 rseg,year,month,irrigation_cfs
 WM0_3650_0001, 1991, 9,  0.0464262888
 WM0_3650_0001, 1991, 10,  0.0309508611
 WM0_3650_0001, 1992, 5,  0.154754311
 WM0_3650_0001, 1992, 6,  0.278557748
 WM0_3650_0001, 1992, 7,  0.355934918
 WM0_3650_0001, 1992, 8,  0.355934918
 WM0_3650_0001, 1992, 9,  0.278557748
 WM0_3650_0001, 1992, 10,  0.154754311
 WM0_3650_0001, 1993, 5,  0.0928525776
 WM0_3650_0001, 1993, 6,  0.170229733
 WM0_3650_0001, 1993, 7,  0.216656029
 WM0_3650_0001, 1993, 8,  0.216656029
 WM0_3650_0001, 1993, 9,  0.170229733
 WM0_3650_0001, 1993, 10,  0.0928525776
 WM0_3650_0001, 1994, 5,  0.154754311
 WM0_3650_0001, 1994, 6,  0.278557748
 WM0_3650_0001, 1994, 7,  0.37141031
 WM0_3650_0001, 1994, 8,  0.37141031
 WM0_3650_0001, 1994, 9,  0.278557748
 WM0_3650_0001, 1994, 10,  0.154754311
 WM0_3650_0001, 1995, 5,  0.185705155
 WM0_3650_0001, 1995, 6,  0.340459466
 WM0_3650_0001, 1995, 7,  0.433312058
 WM0_3650_0001, 1995, 8,  0.433312058
 WM0_3650_0001, 1995, 9,  0.340459466
 WM0_3650_0001, 1995, 10,  0.185705155
 WM0_3650_0001, 1996, 5,  0.0928525776
 WM0_3650_0001, 1996, 6,  0.170229733
 WM0_3650_0001, 1996, 7,  0.216656029
 WM0_3650_0001, 1996, 8,  0.216656029
 WM0_3650_0001, 1996, 9,  0.170229733
 WM0_3650_0001, 1996, 10,  0.0928525776
 WM0_3650_0001, 1997, 5,  0.201180592
 WM0_3650_0001, 1997, 6,  0.355934918
 WM0_3650_0001, 1997, 7,  0.464262933
 WM0_3650_0001, 1997, 8,  0.464262933
 WM0_3650_0001, 1997, 9,  0.355934918
 WM0_3650_0001, 1997, 10,  0.201180592
 WM0_3650_0001, 1998, 5,  0.247606888
 WM0_3650_0001, 1998, 6,  0.417836636
 WM0_3650_0001, 1998, 7,  0.541640043
 WM0_3650_0001, 1998, 8,  0.541640043
 WM0_3650_0001, 1998, 9,  0.417836636
 WM0_3650_0001, 1998, 10,  0.247606888
