riverseg, landseg,flofor,flohvf,flopas,flours,floafo,flocfo,flonpa,flotrp,floalf,flohyw,flohyo,flonhy,flonal,flohom,flonho,flohwm,flonhi,flolwm,flonlo,florpd,flonpd,flocpd,florex,flonex,flocex,florcn,floccn,florid,flonid,flocid,tn for,tn hvf,tn pas,tn urs,tn afo,tn cfo,tn npa,tn trp,tn alf,tn hyw,tn hyo,tn nhy,tn nal,tn hom,tn nho,tn hwm,tn nhi,tn lwm,tn nlo,tn rpd,tn npd,tn cpd,tn rex,tn nex,tn cex,tn rcn,tn ccn,tn rid,tn nid,tn cid,tp for,tp hvf,tp pas,tp urs,tp afo,tp cfo,tp npa,tp trp,tp alf,tp hyw,tp hyo,tp nhy,tp nal,tp hom,tp nho,tp hwm,tp nhi,tp lwm,tp nlo,tp rpd,tp npd,tp cpd,tp rex,tp nex,tp cex,tp rcn,tp ccn,tp rid,tp nid,tp cid,sedafo,sedalf,sedccn,sedcex,sedcfo,sedcid,sedcpd,sedfor,sedhom,sedhvf,sedhwm,sedhyo,sedhyw,sedlwm,sednal,sednex,sednhi,sednho,sednhy,sednid,sednlo,sednpa,sednpd,sedpas,sedrcn,sedrex,sedrid,sedrpd,sedtrp,sedurs
BS0_8441_0000,A51027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.17,0.17,0,0,0.17,0,0,0.143,0.17,0.143,0.17,0.17,0.17,0.17,0.17,0.144,0.17,0.17,0.17,0.161,0.17,0.154,0.161,0.154,0.154,0.144,0.161,0.161,0.154,0.17
BS0_8441_0000,A51051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.218,0.218,0,0,0.218,0,0,0.251,0.218,0.251,0.218,0.218,0.218,0.218,0.218,0.226,0.218,0.218,0.218,0.238,0.218,0.233,0.238,0.233,0.233,0.226,0.238,0.238,0.233,0.218
BS1_8140_0000,A51027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.104,0.104,0,0,0.104,0,0,0.105,0.104,0.105,0.104,0.104,0.104,0.104,0.104,0.122,0.104,0.104,0.104,0.117,0.104,0.112,0.117,0.112,0.112,0.122,0.117,0.117,0.112,0.104
BS1_8730_8540,A51051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.227,0.227,0,0,0.227,0,0,0.212,0.227,0.212,0.227,0.227,0.227,0.227,0.227,0.176,0.227,0.227,0.227,0.197,0.227,0.203,0.197,0.203,0.203,0.176,0.197,0.197,0.203,0.227
BS1_8730_8540,A51195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.206,0.206,0,0,0.206,0,0,0.189,0.206,0.189,0.206,0.206,0.206,0.206,0.206,0.165,0.206,0.206,0.206,0.198,0.206,0.189,0.198,0.189,0.189,0.165,0.198,0.198,0.189,0.206
BS2_8590_8440,A51027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.178,0.178,0,0,0.178,0,0,0.17,0.178,0.17,0.178,0.178,0.178,0.178,0.178,0.142,0.178,0.178,0.178,0.197,0.178,0.172,0.197,0.172,0.172,0.142,0.197,0.197,0.172,0.178
BS2_8590_8440,A51051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.162,0.162,0,0,0.162,0,0,0.14,0.162,0.14,0.162,0.162,0.162,0.162,0.162,0.128,0.162,0.162,0.162,0.142,0.162,0.143,0.142,0.143,0.143,0.128,0.142,0.142,0.143,0.162
BS3_8330_0000,A51027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.222,0.222,0,0,0.222,0,0,0.173,0.222,0.173,0.222,0.222,0.222,0.222,0.222,0.177,0.222,0.222,0.222,0.438,0.222,0.253,0.438,0.253,0.253,0.177,0.438,0.438,0.253,0.222
BS3_8350_8330,A51027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.113,0.113,0,0,0.113,0,0,0.109,0.113,0.109,0.113,0.113,0.113,0.113,0.113,0.111,0.113,0.113,0.113,0.183,0.113,0.129,0.183,0.129,0.129,0.111,0.183,0.183,0.129,0.113
BS3_8580_8440,A51051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.146,0.146,0,0,0.146,0,0,0.173,0.146,0.173,0.146,0.146,0.146,0.146,0.146,0.159,0.146,0.146,0.146,0.142,0.146,0.155,0.142,0.155,0.155,0.159,0.142,0.142,0.155,0.146
