LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON
 A51530,0.40087,0.52796,0.0123,0.15651,0.18017,4.52648,3.07379,0.0231,0.0194,0.03867,0.07488,0.00787,0.13195,0.64819,0.81268
 F51530,0.45389,0.4797,0.01277,0.15602,0.27012,4.46369,3.07151,0.0284,0.01581,0.03689,0.07463,0.00827,0.12539,0.6502,0.81266
 A51121,0.26114,0.47316,0.01404,0.16332,0.0771,3.3515,3.26419,0.05395,0.03167,0.00971,0.08124,0.02292,0.02182,0.82022,0.86093
 F51121,0.6392,0.5431,0.01403,0.16891,0.30616,4.40297,2.81239,0.07541,0.02483,0.00084,0.07369,0.05631,0.02598,0.78257,0.86422
 A51005,0.46005,0.383,0.00049,0.12693,0.19449,1.99619,1.14115,0.05711,0.03159,0.00361,0.06787,0.00318,0.83037,0.04245,0.71059
 A54063,0.32796,3.27134,0.01261,0.14972,0.11447,2.96206,2.38701,0.07841,0.02381,0.00208,0.07171,0.04794,0.02257,0.72133,0.79076
 F51005,0.51953,0.36776,0.0005,0.12822,0.24519,1.93661,1.11743,0.06381,0.02586,0.00312,0.06873,0.0031,0.83,0.04262,0.71015
 F54063,0.19745,2.60507,0.01047,0.14841,0.06674,2.49349,2.42204,0.06996,0.02338,0.00353,0.07181,0.02321,0.01887,0.74844,0.79152
 F51091,0.26094,0.66094,0.00094,0.17245,0.48978,4.20734,0.69218,0.18684,0.09375,9e-05,0.09222,0.01366,0.91605,0.08674,0.93666
 A51580,0.47972,0.39327,0.00748,0.1479,0.268,4.1515,2.85088,0.02351,0.01902,0.03971,0.06683,0.0034,0.33349,0.48878,0.82754
 F51580,0.55473,0.25579,0.00705,0.1689,0.67177,3.62065,2.13802,0.04548,0.0104,0.02194,0.08821,0.00686,0.33934,0.48407,0.83034
 B51023,0.47219,0.44924,0.00725,0.16029,0.1617,3.23462,2.8707,0.06858,0.02268,0.00282,0.07563,0.0518,0.03002,0.77521,0.8576
 A51019,0.08204,0.18497,0.00205,0.08909,0.0142,1.4859,1.49654,1.60528,0.44662,0.00812,0.04168,0.0101,0.94234,0.63558,0.83862
 B51019,0.07028,0.2003,0.00213,0.08801,0.01318,1.44627,1.46509,1.60118,0.49185,0.01266,0.04046,0.00778,0.97269,0.63429,0.8367
 F51019,0.12014,0.15884,0.00214,0.08786,0.02838,1.49033,1.56869,1.67699,0.38624,0.00466,0.04268,0.01162,0.91218,0.63591,0.83773
 A51680,0.26156,0.55027,0.00172,0.20008,0.07759,4.16783,2.53454,0.01367,0.02521,0.0454,0.07795,0.00465,0.35072,0.4964,0.84357
 A11001,0.04398,0.27657,0.00087,0.08511,0.00794,1.59775,1.68632,0.00132,0.03672,0.01388,0.05226,0.00229,0.24448,0.27782,0.52622
 F11001,0.01489,0.25192,0.00084,0.08618,0.00403,1.31419,3.27282,1e-05,0.04232,0.00272,0.05272,0.00056,0.24074,0.28364,0.52619
 A51059,0.24504,0.66275,0.00373,0.17984,0.05552,4.5276,3.3622,0.07448,0.05165,0.00015,0.09698,0.00573,0.1253,0.89097,1.08029
 A51510,0.08489,0.45096,0.00227,0.16735,0.02609,2.65309,9.76006,0.00015,0.04478,0.02587,0.09126,0.0009,0.07594,0.74535,0.90956
 A51610,0.10055,0.56663,0.0017,0.16426,0.02976,3.31489,8.58046,0.00255,0.02906,0.061,0.0915,0.00044,0.37257,0.53159,0.92738
 F51510,0.10765,0.77596,0.00218,0.16326,0.03491,4.42985,4.80677,0.00772,0.02716,0.05632,0.09082,0.00418,0.18321,0.71288,0.90923
 A51600,0.28735,0.35329,0.00238,0.18916,0.06929,5.33817,2.60843,0.02581,0.0294,0.03736,0.07634,0.01277,0.41486,0.50426,0.92648
 F51059,0.38515,0.46958,0.00445,0.17484,0.21409,4.08989,1.08819,0.46817,0.12939,0.00031,0.09947,0.04502,0.18306,0.83201,1.08376
 A51153,0.13786,0.16052,0.00226,0.12182,0.06185,1.52328,0.63284,2.00909,0.4228,0.0007,0.06202,0.01513,1.56831,0.65574,0.99317
 F51153,0.13851,0.15142,0.0023,0.1231,0.06407,1.48436,0.62705,2.15592,0.41704,0.00079,0.06275,0.01401,1.56692,0.65693,0.99358
 A24017,0.06289,0.28947,0.01012,0.09109,0.01713,1.43325,0.87397,0.04052,0.02557,0.00138,0.05469,0.04269,0.03292,0.45921,0.55962
 F24017,0.11302,0.24797,0.01089,0.09086,0.03186,1.54342,0.54334,0.04803,0.02947,0.00097,0.05522,0.06577,0.04069,0.42858,0.55901
 A51179,0.16821,0.17541,0.01279,0.08606,0.04907,1.71193,0.78554,1.54959,0.39659,0.04378,0.04595,0.04825,0.08001,0.98074,1.02587
 F51179,0.16768,0.1758,0.01278,0.08594,0.04884,1.71792,0.7854,1.54256,0.39725,0.04377,0.0459,0.0486,0.08012,0.98036,1.02572
