LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON
 A10001,0.01613,0.31702,0.00184,0.08649,0.00356,1.71448,2.60368,0.03401,0.02761,0.00029,0.07171,0.01781,0.02858,0.5213,0.57589
 A10005,0.01579,0.3263,0.0007,0.06488,0.00216,1.81,2.91366,0.05521,0.04837,5e-05,0.05764,0.00183,0.34794,0.26039,0.70336
 A24011,0.05031,0.34382,0.00148,0.09025,0.01043,1.61783,0.92349,0.09183,0.08181,3e-05,0.05644,0.02987,0.10979,0.44139,0.62605
 A24019,0.10742,0.267,0.00155,0.11589,0.02762,1.48529,0.70494,0.10647,0.07471,4e-05,0.07247,0.08658,0.10782,0.38576,0.57847
 A24045,0.0353,0.32154,0.00159,0.09786,0.00758,2.06047,2.10269,0.12737,0.08985,6e-05,0.06682,0.00672,0.09448,0.55911,1.00451
 F24019,0.04834,0.2796,0.00148,0.11576,0.01539,1.54288,0.69924,0.04969,0.07816,2e-05,0.07238,0.04385,0.13183,0.40585,0.57846
 A24047,0.02262,0.42321,0.00173,0.11003,0.00513,1.80077,1.48642,0.07496,0.0644,3e-05,0.0711,0.02588,0.1049,0.54065,0.74116
 F24045,0.05559,0.36478,0.0016,0.1006,0.01326,1.69167,0.75733,0.23854,0.13628,9e-05,0.06327,0.01551,0.09114,0.54601,1.01528
 A24039,0.06678,0.36027,0.00123,0.0988,0.01669,1.7422,0.7316,0.32798,0.13264,0.00011,0.06233,0.0187,0.1029,0.46036,0.98148
 A51001,0.58892,0.58217,0.00209,0.10284,0.22619,3.273,0.81965,0.53812,0.18768,0.00024,0.06158,0.01918,0.1362,0.42398,0.8782
 F24039,0.03264,0.37481,0.0012,0.09898,0.00986,1.79033,0.71174,0.16563,0.14252,7e-05,0.06237,0.01188,0.10326,0.45909,0.98183
 F51001,0.58674,0.5829,0.00208,0.10281,0.22588,3.27504,0.82003,0.53397,0.18761,0.00024,0.06157,0.01914,0.13618,0.42388,0.87819
 A51131,0.19639,0.36357,0.00149,0.06903,0.05982,2.14186,0.54267,0.0029,0.03741,0.0038,0.03973,0.06437,0.10038,0.34446,0.54091
 F51131,0.24328,0.39678,0.00152,0.06743,0.06706,2.22041,0.56558,0.00309,0.03718,0.00366,0.03858,0.06855,0.09478,0.34396,0.54089
 F10005,0.01514,0.34966,0.00068,0.06089,0.0019,2.04426,2.71603,0.0627,0.07188,3e-05,0.06562,0.00193,0.31027,0.25973,0.71913
 A24041,0.15026,0.24796,0.00164,0.09061,0.03847,1.3693,0.78156,0.10228,0.06164,8e-05,0.05488,0.03821,0.14737,0.36692,0.54594
 F24041,0.08362,0.26495,0.00149,0.09146,0.0246,1.43211,0.78961,0.06026,0.0648,4e-05,0.05559,0.02527,0.15806,0.37146,0.54589
 A24035,0.03638,0.33467,0.00267,0.09326,0.00987,1.37207,1.54769,0.03331,0.02987,0.0003,0.04985,0.02668,0.03007,0.46691,0.52341
 F24035,0.05688,0.27555,0.00283,0.08407,0.01769,1.37459,0.90843,0.03556,0.03527,0.0001,0.05093,0.03897,0.04506,0.43853,0.52243
 A24015,0.03121,0.40322,0.00379,0.1017,0.00841,1.92366,2.88398,0.03873,0.01731,0.00125,0.07724,0.02798,0.02209,0.55387,0.60676
 A10003,0.10707,0.22661,0.0027,0.08438,0.02838,1.23869,0.77084,0.02699,0.01632,4e-05,0.05153,0.0718,0.03995,0.3757,0.48283
 F24015,0.21601,0.41934,0.00483,0.11199,0.04778,1.88033,1.01411,0.06377,0.033,0.0001,0.07027,0.07902,0.04229,0.48504,0.60529
