43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EL0_4562_0001,0.27445E+00,0.18353E+00,0.16187E+00,0.15017E+00,0.14318E+00,0.13686E+00,0.13318E+00,0.12982E+00,0.12696E+00,0.12410E+00,0.12185E+00,0.11767E+00,0.11445E+00,0.11155E+00,0.10918E+00,0.10699E+00,0.10258E+00,0.98824E-01,0.95558E-01,0.91648E-01,0.87870E-01,0.84158E-01,0.80546E-01,0.76948E-01,0.73425E-01,0.69807E-01,0.65627E-01,0.59306E-01,0.56643E-01,0.53894E-01,0.51336E-01,0.48734E-01,0.45632E-01,0.44217E-01,0.42938E-01,0.41540E-01,0.39953E-01,0.38406E-01,0.36662E-01,0.34998E-01,0.32359E-01,0.28913E-01,0.16836E-01,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EL0_5400_0001,0.26123E-01,0.12665E-02,0.57171E-03,0.32776E-03,0.23042E-03,0.16263E-03,0.12443E-03,0.10117E-03,0.83288E-04,0.70999E-04,0.59436E-04,0.45365E-04,0.35157E-04,0.28251E-04,0.23204E-04,0.19116E-04,0.13138E-04,0.92065E-05,0.66873E-05,0.49618E-05,0.38058E-05,0.28919E-05,0.21812E-05,0.15785E-05,0.11284E-05,0.75090E-06,0.47053E-06,0.26266E-06,0.20189E-06,0.14469E-06,0.10303E-06,0.70305E-07,0.45744E-07,0.36572E-07,0.28695E-07,0.23207E-07,0.17915E-07,0.13752E-07,0.10483E-07,0.80079E-08,0.51058E-08,0.20454E-08,0.30331E-13,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EL0_5767_0001,0.38903E+00,0.49516E-01,0.27696E-01,0.15436E-01,0.10147E-01,0.74826E-02,0.56080E-02,0.44528E-02,0.35448E-02,0.29708E-02,0.24373E-02,0.17248E-02,0.13096E-02,0.10193E-02,0.83218E-03,0.68726E-03,0.44338E-03,0.29876E-03,0.20832E-03,0.14967E-03,0.11075E-03,0.80438E-04,0.58950E-04,0.41328E-04,0.28223E-04,0.18078E-04,0.10904E-04,0.58031E-05,0.41682E-05,0.29307E-05,0.19594E-05,0.12666E-05,0.75341E-06,0.56481E-06,0.41180E-06,0.28386E-06,0.19076E-06,0.12140E-06,0.65979E-07,0.28515E-07,0.00000E+00,0.00000E+00,0.00000E+00,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EL1_5150_0001,0.14703E+00,0.10345E+00,0.93171E-01,0.85499E-01,0.79997E-01,0.75249E-01,0.71926E-01,0.69050E-01,0.66866E-01,0.64740E-01,0.62897E-01,0.59638E-01,0.57229E-01,0.55047E-01,0.53036E-01,0.51026E-01,0.46622E-01,0.43330E-01,0.40715E-01,0.38486E-01,0.35954E-01,0.33389E-01,0.30954E-01,0.28478E-01,0.26253E-01,0.23967E-01,0.21652E-01,0.19530E-01,0.18281E-01,0.16768E-01,0.15093E-01,0.13405E-01,0.11633E-01,0.10750E-01,0.97770E-02,0.87929E-02,0.76907E-02,0.65050E-02,0.51233E-02,0.34557E-02,0.82061E-03,0.00000E+00,0.00000E+00,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EL1_5430_0001,0.10121E+00,0.75474E-01,0.68322E-01,0.63812E-01,0.59883E-01,0.56869E-01,0.54726E-01,0.52625E-01,0.50842E-01,0.49348E-01,0.47926E-01,0.45665E-01,0.43919E-01,0.42278E-01,0.40993E-01,0.39614E-01,0.36791E-01,0.34666E-01,0.32747E-01,0.30616E-01,0.28624E-01,0.26782E-01,0.25060E-01,0.23355E-01,0.21187E-01,0.18741E-01,0.16213E-01,0.13908E-01,0.12943E-01,0.12172E-01,0.11316E-01,0.10146E-01,0.89326E-02,0.82358E-02,0.75742E-02,0.69458E-02,0.62307E-02,0.55268E-02,0.48284E-02,0.40934E-02,0.32396E-02,0.18838E-02,0.00000E+00,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EL1_5570_0001,0.82930E-01,0.65091E-01,0.59346E-01,0.54401E-01,0.51132E-01,0.48898E-01,0.46618E-01,0.44766E-01,0.43155E-01,0.41899E-01,0.40784E-01,0.38762E-01,0.37264E-01,0.35789E-01,0.34691E-01,0.33502E-01,0.31204E-01,0.29271E-01,0.27633E-01,0.26036E-01,0.24262E-01,0.22730E-01,0.21150E-01,0.19629E-01,0.17900E-01,0.15778E-01,0.13593E-01,0.11436E-01,0.10674E-01,0.99253E-02,0.91522E-02,0.82797E-02,0.73319E-02,0.68813E-02,0.64063E-02,0.59616E-02,0.55370E-02,0.49995E-02,0.44559E-02,0.39446E-02,0.32803E-02,0.21352E-02,0.00000E+00,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EL1_6000_0001,0.80370E-01,0.54377E-01,0.46892E-01,0.43151E-01,0.40119E-01,0.37973E-01,0.36332E-01,0.34880E-01,0.33648E-01,0.32419E-01,0.31645E-01,0.30321E-01,0.28908E-01,0.27824E-01,0.26683E-01,0.25703E-01,0.23582E-01,0.21944E-01,0.20574E-01,0.19232E-01,0.17861E-01,0.16396E-01,0.15124E-01,0.13886E-01,0.12792E-01,0.11701E-01,0.10667E-01,0.92702E-02,0.85363E-02,0.77448E-02,0.69812E-02,0.61867E-02,0.54769E-02,0.51245E-02,0.47363E-02,0.43461E-02,0.39261E-02,0.35575E-02,0.31120E-02,0.25425E-02,0.18700E-02,0.73389E-03,0.00000E+00,
