TABLE->,OX-FLAGS,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-CFOREA,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-INIT,OX-INIT,OX-INIT
VARS->,REAM,KBOD20,TCBOD,KODSET,SUPSAT,BENOD,TCBEN,EXPOD,BRBOD1,BRBOD2,EXPREL,CFOREA,TCGINV,REAK,EXPRED,EXPREV,DOX,BOD,SATDO
YM1_6370_6620,3,0.05,1.047,0.01,1.35,150.317,1.047,1.22,0.01,0.01,1,na,1.047,0.455875,-1.673,0.969,14,3,14
YM2_6120_6430,3,0.05,1.047,0.01,1.35,152.7865,1.047,1.22,0.01,0.01,1,na,1.047,0.435047,-1.673,0.969,14,3,14
YM3_6430_6620,3,0.05,1.047,0.01,1.35,150.317,1.047,1.22,0.01,0.01,1,na,1.047,0.455875,-1.673,0.969,14,3,14
YM4_6620_0001,3,0.05,1.047,0.01,1.35,150.317,1.047,1.22,0.01,0.01,1,na,1.047,0.455875,-1.673,0.969,14,3,14
GY0_3800_3801,3,0.05,1.047,0.01,1.35,115.5009,1.047,1.22,0.01,0.01,1,na,1.047,2.74016,-1.673,0.969,14,3,14
GY0_3950_3952,3,0.05,1.047,0.01,1.35,200,1.047,1.22,0.01,0.01,1,na,1.047,0.16513,-1.673,0.969,14,3,14
GY0_4240_3951,na,0.05,1.047,0.01,1,65.01819,1.047,1.22,0.01,0.01,1,0.583144,na,na,na,na,14,3,14
GY0_4530_4532,3,0.05,1.047,0.01,1.35,200,1.047,1.22,0.01,0.01,1,na,1.047,0.088955,-1.673,0.969,14,3,14
GY0_4531_4532,3,0.05,1.047,0.01,1.35,200,1.047,1.22,0.01,0.01,1,na,1.047,0.16513,-1.673,0.969,14,3,14
GY0_4532_3951,3,0.05,1.047,0.01,1,65.01819,1.047,1.22,0.01,0.01,1,na,1.047,0.19147,-1.673,0.969,14,3,14
GY0_3951_3952,3,0.05,1.047,0.01,1,65.01819,1.047,1.22,0.01,0.01,1,na,1.047,0.19147,-1.673,0.969,14,3,14
XU0_4090_4270,3,0.05,1.047,0.01,1.35,122.978,1.047,1.22,0.01,0.01,1,na,1.047,1.654334,-1.673,0.969,14,3,14
XU0_4130_4070,3,0.05,1.047,0.01,1.35,59.00624,1.047,1.22,0.01,0.01,1,na,1.047,5,-1.673,0.969,14,3,14
XU0_4091_4270,3,0.05,1.047,0.01,1.35,122.978,1.047,1.22,0.01,0.01,1,na,1.047,1.654334,-1.673,0.969,14,3,14
XU2_4270_4650,3,0.05,1.047,0.01,1.35,156.048,1.047,1.22,0.01,0.01,1,na,1.047,0.177728,-1.673,0.969,14,3,14
XU2_4070_4330,na,0.05,1.047,0.01,1,1,1.047,1.22,0.01,0.01,1,2,na,na,na,na,14,3,14
XU2_4330_4480,na,0.05,1.047,0.01,1,1,1.047,1.22,0.01,0.01,1,2,na,na,na,na,14,3,14
XU2_4480_4650,3,0.05,1.047,0.01,1.35,156.048,1.047,1.22,0.01,0.01,1,na,1.047,0.177728,-1.673,0.969,14,3,14
XU3_4650_0001,3,0.05,1.047,0.01,1.35,156.048,1.047,1.22,0.01,0.01,1,na,1.047,0.177728,-1.673,0.969,14,3,14
YP1_6570_6680,3,0.05,1.047,0.01,1.35,53.62614,1.047,1.22,0.01,0.01,1,na,1.047,0.263394,-1.673,0.969,14,3,14
YP3_6470_6690,3,0.05,1.047,0.01,1.35,200,1.047,1.22,0.01,0.01,1,na,1.047,0.596198,-1.673,0.969,14,3,14
YP2_6390_6330,na,0.05,1.047,0.01,1.35,40.6235,1.047,1.22,0.01,0.01,1,2,na,na,na,na,14,3,14
YP1_6680_6670,3,0.05,1.047,0.01,1.35,200,1.047,1.22,0.01,0.01,1,na,1.047,0.596198,-1.673,0.969,14,3,14
