 seg ,TOTN,TOTP
GY0_3800_3801,    1.0127,    1.1058
GY0_4240_3951,    0.3607,    1.5498
GY0_4530_4532,    1.1280,    1.0934
GY0_4531_4532,    1.1558,    0.9843
GY0_4532_3951,    1.1558,    0.9843
GY0_3951_3952,    1.1558,    0.9843
