 seg ,TOTN,TOTP
PL0_5000_0001, -999.0000,    0.7260
JB3_6820_7053,    0.8017,    0.5506
EM2_3980_0001,    0.8133,    0.5705
EL1_5430_0001,    0.5731,    1.4233
EL0_4560_4562,    0.9483,    1.0306
EL0_4561_4562,    0.9483,    1.0306
EL0_4562_0001, -999.0000, -999.0000
WU0_3021_3020,    1.6722,    0.7090
WU2_3020_3320,    1.6722,    0.7090
WM0_3881_3880,    0.9934,    0.9411
WM1_3882_3880,    0.9934,    0.9411
WM3_3880_4060,    0.9934,    0.9411
WM1_3660_3910,    0.9615,    0.4345
PL1_5370_5470, -999.0000,    0.8803
PL1_5230_0001,    0.9278,    1.3098
PL1_4540_0001, -999.0000,    1.2149
PL1_4460_4780,    1.0229,    0.6537
PL0_5540_5490, -999.0000,    0.8378
PL0_5070_0001,    0.6077,    1.5476
PL0_5010_5130,    0.9199,    0.0548
XL1_4690_0001,    0.5654,    2.7280
XL0_5320_0001,    0.4345,    1.1250
