 seg ,TOTN,TOTP
SL0_2721_2720,    2.0555,   -0.3676
SL2_2750_2720,    2.0555,   -0.3676
SL2_2410_2700,    2.0555,   -0.3676
SL1_2390_2420,    2.6471,    1.4171
SL2_2300_2520,    2.0555,   -0.3676
SL1_2190_2350,    2.6471,    1.4171
SL2_2200_2350,    2.6471,    1.4171
SL0_2831_2830,    2.0555,   -0.3676
SL3_2460_2430,    2.0555,   -0.3676
SL3_2350_2470,    2.6471,    1.4171
SL1_2770_2730,    2.0555,   -0.3676
SL0_2180_2220,    2.0555,   -0.3676
SL3_2470_2420,    2.6471,    1.4171
SL3_2420_2700,    2.6471,    1.4171
SL3_2400_2440,    2.0555,   -0.3676
SL1_2830_2760,    2.0555,   -0.3676
SL1_2760_2730,    2.0555,   -0.3676
SL1_2000_2090,    2.0555,   -0.3676
SL1_2670_2370,    2.0555,   -0.3676
SL3_2730_2550,    2.0555,   -0.3676
SL3_2440_2380,    2.0555,   -0.3676
SL0_2220_2140,    2.0555,   -0.3676
SL2_1850_1990,    2.0555,   -0.3676
SL3_2550_2490,    2.0555,   -0.3676
SJ2_2150_2130,    2.0591,    0.8029
SL2_2540_2370,    2.0555,   -0.3676
SL3_2290_2260,    2.0555,   -0.3676
SL2_1990_2070,    2.0555,   -0.3676
SL2_2070_2090,    2.0555,   -0.3676
SL3_1960_2080,    2.0555,   -0.3676
SJ2_2110_2170,    2.0591,    0.8029
SL4_2370_2330,    2.0555,   -0.3676
SL4_2330_2270,    2.0555,   -0.3676
SL4_2090_2100,    2.0555,   -0.3676
SL4_2100_2140,    2.0555,   -0.3676
SJ2_1900_1930,    2.0591,    0.8029
SL3_2260_2050,    2.0555,   -0.3676
SL2_1810_2030,    2.0555,   -0.3676
SL2_1670_1880,    2.0555,   -0.3676
SJ3_2160_2170,    2.0591,    0.8029
SJ3_2170_1970,    2.0591,    0.8029
SL1_1790_1840,    2.0555,   -0.3676
SL4_2140_2240,    2.0555,   -0.3676
SL1_1730_1700,    2.0555,   -0.3676
SJ1_2280_2450,    2.0591,    0.8029
SJ3_2040_1980,    2.0591,    0.8029
SJ2_2580_2500,    2.0591,    0.8029
SL4_2240_2310,    2.0555,   -0.3676
SJ2_2500_2450,    2.0591,    0.8029
SL3_1710_1740,    2.0555,   -0.3676
SL3_1740_1840,    2.0555,   -0.3676
SU1_1630_1610,    1.8420,    1.2865
SJ2_2570_2660,    2.0591,    0.8029
SJ3_2450_2120,    2.0591,    0.8029
SL1_1700_1780,    2.0555,   -0.3676
SL3_1840_1880,    2.0555,   -0.3676
SW1_1450_1510,    2.0555,   -0.3676
SU2_1550_1620,    1.8420,    1.2865
SJ3_2250_2230,    2.0591,    0.8029
SJ2_2530_2820,    2.0591,    0.8029
SJ3_1980_2060,    2.0591,    0.8029
SW1_1570_1640,    1.7881,    1.2708
SW1_1510_1680,    2.0555,   -0.3676
SU2_1200_1310,    1.8420,    1.2865
SU1_1480_1500,    1.8420,    1.2865
SJ3_2230_2060,    2.0591,    0.8029
SJ2_2900_2740,    2.0591,    0.8029
SJ4_2060_2010,    2.0591,    0.8029
SW1_1560_1460,    1.7881,    1.2708
SW1_1180_1190,    1.7881,    1.2708
SW1_1160_1260,    1.7881,    1.2708
SJ4_2010_2210,    2.0591,    0.8029
SJ2_2820_2740,    2.0591,    0.8029
SU2_1210_1310,    1.8420,    1.2865
SU2_0670_0810,    1.8420,    1.2865
SW2_1190_1410,    1.7881,    1.2708
SW3_1040_1220,    1.7881,    1.2708
SU2_1290_1500,    1.8420,    1.2865
SJ4_2740_2660,    2.0591,    0.8029
SJ4_2660_2360,    2.0591,    0.8029
SJ4_2360_2340,    2.0591,    0.8029
SU3_1310_1280,    1.8420,    1.2865
SW2_1030_1060,    1.7881,    1.2708
SW2_1070_1060,    1.7881,    1.2708
SU3_1280_1590,    1.8420,    1.2865
SJ4_2340_2210,    2.0591,    0.8029
SJ5_2210_2320,    2.0591,    0.8029
SJ5_2320_2120,    2.0591,    0.8029
SJ5_2120_1930,    2.0591,    0.8029
SU3_1500_1420,    1.8420,    1.2865
SU2_1020_0980,    1.8420,    1.2865
SW3_1250_1340,    1.7881,    1.2708
SW3_1220_1320,    1.7881,    1.2708
SJ6_1930_1970,    2.0591,    0.8029
SJ6_1970_2130,    2.0591,    0.8029
SW3_1060_1260,    1.7881,    1.2708
SU3_0810_0970,    1.8420,    1.2865
SU1_0660_0710,    1.8420,    1.2865
SU2_0990_0950,    1.8420,    1.2865
SU3_0970_1120,    1.8420,    1.2865
SU2_0780_0710,    1.8420,    1.2865
SJ6_2130_2050,    2.0555,   -0.3676
SW4_1260_1300,    1.7881,    1.2708
SW3_1080_1350,    1.7881,    1.2708
SW0_1520_1600,    1.7881,    1.2708
SW2_1000_1110,    1.7881,    1.2708
SU2_0760_0960,    1.8420,    1.2865
SU2_0700_0860,    1.8420,    1.2865
SW2_0880_0930,    1.7881,    1.2708
SW2_1100_1130,    1.7881,    1.2708
SW1_1910_1890,    1.7881,    1.2708
SW2_1050_0930,    1.7881,    1.2708
SW3_1600_1580,    1.7881,    1.2708
SU3_0710_0910,    1.8420,    1.2865
SU3_0910_1010,    1.8420,    1.2865
SU1_0940_0900,    1.8420,    1.2865
SW3_1090_1091,    1.7881,    1.2708
SW2_1770_1690,    1.7881,    1.2708
SU2_0800_0850,    1.2881,    1.0036
SU2_0890_0900,    1.8420,    1.2865
SU2_0680_0610,    1.2881,    1.0036
SW3_0930_1110,    1.7881,    1.2708
SW4_1110_1150,    1.7881,    1.2708
SW1_1890_1830,    1.7881,    1.2708
SW3_1130_1390,    1.7881,    1.2708
SU2_0450_0720,    1.2881,    1.0036
SU2_0900_0870,    1.8420,    1.2865
SU3_0870_0730,    1.8420,    1.2865
SW3_1920_1750,    1.7881,    1.2708
SW1_1830_1690,    1.7881,    1.2708
SW4_1150_1350,    1.7881,    1.2708
SW5_1350_1470,    1.7881,    1.2708
SU3_0370_0490,    1.2881,    1.0036
SU2_0470_0590,    1.2881,    1.0036
SU2_0440_0550,    1.2881,    1.0036
SU2_0640_0630,    1.2881,    1.0036
SW3_1690_1660,    1.7881,    1.2708
SW2_1360_1430,    1.7881,    1.2708
SW3_1390_1330,    1.7881,    1.2708
SW3_1091_1380,    1.7881,    1.2708
SW3_1660_1580,    1.7881,    1.2708
SW3_1870_1800,    1.7881,    1.2708
SU3_0490_0530,    1.2881,    1.0036
SU1_0330_0560,    1.2881,    1.0036
SW3_1750_1540,    1.7881,    1.2708
SW1_1170_1270,    1.7881,    1.2708
SW2_1240_1270,    1.7881,    1.2708
SW3_1380_1490,    1.7881,    1.2708
SW3_1580_1440,    1.7881,    1.2708
SW2_1950_1940,    1.7881,    1.2708
SW3_1800_1650,    1.7881,    1.2708
SU1_0390_0560,    1.2881,    1.0036
SU1_0820_0740,    1.2881,    1.0036
SW2_2020_1940,    1.7881,    1.2708
SW3_1270_1370,    1.7881,    1.2708
SW3_1370_1430,    1.7881,    1.2708
SW4_1940_1860,    1.7881,    1.2708
SW4_1860_1720,    1.7881,    1.2708
SW4_1430_1490,    1.7881,    1.2708
SU2_0510_0570,    1.2881,    1.0036
SU2_0110_0240,    1.2881,    1.0036
SU1_0410_0480,    1.2881,    1.0036
SW4_1490_1400,    1.7881,    1.2708
SW4_1720_1650,    1.7881,    1.2708
SW5_1650_1540,    1.7881,    1.2708
