TABLE->,NIT-CMAX,NIT-SVALPM#1,NIT-SVALPM#1,NIT-SVALPM#1,NIT-SVALPM#2,NIT-SVALPM#2,NIT-SVALPM#2,NIT-SVALPM#3,NIT-SVALPM#3,NIT-SVALPM#3,NIT-SVALPM#4,NIT-SVALPM#4,NIT-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A42063,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42065,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42067,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42069,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42071,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42075,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42079,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42081,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42083,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42087,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42093,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42097,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42099,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42105,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42107,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42109,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42111,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42113,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42115,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42117,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42119,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42127,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42131,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A42133,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A47091,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A47163,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51001,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51003,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51005,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51007,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51009,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51011,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51013,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51015,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51017,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51019,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51021,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51023,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51025,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51027,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51029,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51031,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51033,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51035,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51036,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51037,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51041,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51043,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51045,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51047,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51049,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51051,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51053,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51057,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51059,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51061,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51063,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51065,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51067,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51069,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51071,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51073,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51075,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51077,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51079,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51081,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51083,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51085,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51087,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51089,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51091,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51093,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51095,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51097,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51099,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51101,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51103,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51105,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51107,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51109,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51111,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51113,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51115,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51117,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51119,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51121,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51125,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51127,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51131,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51133,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51135,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51137,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51139,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51141,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51143,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51145,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51147,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51149,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51153,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51155,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51157,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A51159,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
