TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,0.003500,1,0.03,0.3,0,50,35.38100,5,0.5,2,0,550,12.56550,5,1,8,0,300,0.389000,6,0.5,1,0,100,0,0,0,0,na,na
A10003,0.001000,1,0.03,0.3,0,50,166.6275,5,0.5,2,0,550,1.198500,5,1,8,0,300,0.077000,6,0.5,1,0,100,0,0,0,0,na,na
A10005,0.077000,1,0.03,0.3,0,50,64.33700,5,0.5,2,0,550,76.55200,5,1,8,0,300,4.499000,6,0.5,1,0,100,0,0,0,0,na,na
A11001,2.468000,1,0.03,0.3,0,50,102.5535,5,0.5,2,0,550,42.27550,5,1,8,0,300,2.520000,6,0.5,1,0,100,0,0,0,0,na,na
A24001,0.057000,1,0.03,0.3,0,50,245.3250,5,0.5,2,0,550,36.15650,5,1,8,0,300,1.505000,6,0.5,1,0,100,0,0,0,0,na,na
A24003,0.,1,0.03,0.3,0,50,105.7385,5,0.5,2,0,550,1.381000,5,1,8,0,300,0.114500,6,0.5,1,0,100,0,0,0,0,na,na
A24005,0.870000,1,0.03,0.3,0,50,46.75150,5,0.5,2,0,550,48.67000,5,1,8,0,300,2.314500,6,0.5,1,0,100,0,0,0,0,na,na
A24009,0.241500,1,0.03,0.3,0,50,32.91300,5,0.5,2,0,550,2.593000,5,1,8,0,300,0.099000,6,0.5,1,0,100,0,0,0,0,na,na
A24011,0.,1,0.03,0.3,0,50,163.3175,5,0.5,2,0,550,1.373500,5,1,8,0,300,0.097000,6,0.5,1,0,100,0,0,0,0,na,na
A24013,0.026500,1,0.03,0.3,0,50,206.1885,5,0.5,2,0,550,14.09500,5,1,8,0,300,0.524000,6,0.5,1,0,100,0,0,0,0,na,na
A24015,0.007000,1,0.03,0.3,0,50,100.4645,5,0.5,2,0,550,14.58500,5,1,8,0,300,0.498500,6,0.5,1,0,100,0,0,0,0,na,na
A24017,0.001000,1,0.03,0.3,0,50,120.5210,5,0.5,2,0,550,1.401000,5,1,8,0,300,0.084500,6,0.5,1,0,100,0,0,0,0,na,na
A24019,0.,1,0.03,0.3,0,50,142.4020,5,0.5,2,0,550,0.867500,5,1,8,0,300,0.060500,6,0.5,1,0,100,0,0,0,0,na,na
A24021,0.082000,1,0.03,0.3,0,50,131.5195,5,0.5,2,0,550,10.40150,5,1,8,0,300,0.307000,6,0.5,1,0,100,0,0,0,0,na,na
A24023,0.093000,1,0.03,0.3,0,50,246.2180,5,0.5,2,0,550,76.95050,5,1,8,0,300,4.272500,6,0.5,1,0,100,0,0,0,0,na,na
A24025,0.823000,1,0.03,0.3,0,50,128.5365,5,0.5,2,0,550,22.17350,5,1,8,0,300,1.042500,6,0.5,1,0,100,0,0,0,0,na,na
A24027,1.119500,1,0.03,0.3,0,50,74.72250,5,0.5,2,0,550,19.37900,5,1,8,0,300,0.762000,6,0.5,1,0,100,0,0,0,0,na,na
A24029,0.,1,0.03,0.3,0,50,164.0390,5,0.5,2,0,550,1.243500,5,1,8,0,300,0.090000,6,0.5,1,0,100,0,0,0,0,na,na
A24031,0.969000,1,0.03,0.3,0,50,55.16050,5,0.5,2,0,550,28.16450,5,1,8,0,300,1.142500,6,0.5,1,0,100,0,0,0,0,na,na
A24033,0.001000,1,0.03,0.3,0,50,31.44950,5,0.5,2,0,550,6.169000,5,1,8,0,300,0.169000,6,0.5,1,0,100,0,0,0,0,na,na
A24035,0.001000,1,0.03,0.3,0,50,55.47150,5,0.5,2,0,550,4.545000,5,1,8,0,300,0.127000,6,0.5,1,0,100,0,0,0,0,na,na
A24037,0.,1,0.03,0.3,0,50,85.38050,5,0.5,2,0,550,1.527500,5,1,8,0,300,0.063500,6,0.5,1,0,100,0,0,0,0,na,na
A24039,0.357500,1,0.03,0.3,0,50,340.5120,5,0.5,2,0,550,1.833000,5,1,8,0,300,0.117500,6,0.5,1,0,100,0,0,0,0,na,na
A24041,0.,1,0.03,0.3,0,50,176.5645,5,0.5,2,0,550,1.175500,5,1,8,0,300,0.079000,6,0.5,1,0,100,0,0,0,0,na,na
A24043,1.253000,1,0.03,0.3,0,50,67.28650,5,0.5,2,0,550,240.2415,5,1,8,0,300,8.149500,6,0.5,1,0,100,0,0,0,0,na,na
A24045,0.452500,1,0.03,0.3,0,50,327.2230,5,0.5,2,0,550,3.976500,5,1,8,0,300,0.184500,6,0.5,1,0,100,0,0,0,0,na,na
A24047,0.086000,1,0.03,0.3,0,50,203.4605,5,0.5,2,0,550,2.852500,5,1,8,0,300,0.110000,6,0.5,1,0,100,0,0,0,0,na,na
A24510,1.987000,1,0.03,0.3,0,50,100.6940,5,0.5,2,0,550,51.42150,5,1,8,0,300,3.301000,6,0.5,1,0,100,0,0,0,0,na,na
A36003,0.,1,0.03,0.3,0,50,287.6690,5,0.5,2,0,550,6.061500,5,1,8,0,300,0.179000,6,0.5,1,0,100,0,0,0,0,na,na
A36007,0.,1,0.03,0.3,0,50,315.5505,5,0.5,2,0,550,19.71850,5,1,8,0,300,1.045000,6,0.5,1,0,100,0,0,0,0,na,na
A36015,0.,1,0.03,0.3,0,50,288.7405,5,0.5,2,0,550,5.171500,5,1,8,0,300,0.154500,6,0.5,1,0,100,0,0,0,0,na,na
A36017,0.,1,0.03,0.3,0,50,409.5680,5,0.5,2,0,550,27.76600,5,1,8,0,300,1.630000,6,0.5,1,0,100,0,0,0,0,na,na
A36023,0.,1,0.03,0.3,0,50,446.6035,5,0.5,2,0,550,35.35300,5,1,8,0,300,2.147500,6,0.5,1,0,100,0,0,0,0,na,na
A36025,0.,1,0.03,0.3,0,50,377.3540,5,0.5,2,0,550,25.57300,5,1,8,0,300,1.651500,6,0.5,1,0,100,0,0,0,0,na,na
A36043,0.,1,0.03,0.3,0,50,474.1175,5,0.5,2,0,550,29.69400,5,1,8,0,300,2.087500,6,0.5,1,0,100,0,0,0,0,na,na
A36051,0.019000,1,0.03,0.3,0,50,384.7645,5,0.5,2,0,550,13.10850,5,1,8,0,300,0.487500,6,0.5,1,0,100,0,0,0,0,na,na
A36053,0.,1,0.03,0.3,0,50,480.8285,5,0.5,2,0,550,35.38100,5,1,8,0,300,2.202000,6,0.5,1,0,100,0,0,0,0,na,na
A36065,0.,1,0.03,0.3,0,50,472.3485,5,0.5,2,0,550,37.29800,5,1,8,0,300,2.558000,6,0.5,1,0,100,0,0,0,0,na,na
A36067,0.,1,0.03,0.3,0,50,430.1865,5,0.5,2,0,550,30.95800,5,1,8,0,300,2.030500,6,0.5,1,0,100,0,0,0,0,na,na
A36069,0.117500,1,0.03,0.3,0,50,352.7620,5,0.5,2,0,550,25.14600,5,1,8,0,300,1.124500,6,0.5,1,0,100,0,0,0,0,na,na
A36077,0.,1,0.03,0.3,0,50,387.0680,5,0.5,2,0,550,25.20400,5,1,8,0,300,1.568000,6,0.5,1,0,100,0,0,0,0,na,na
A36095,0.014500,1,0.03,0.3,0,50,328.7595,5,0.5,2,0,550,32.00800,5,1,8,0,300,2.183500,6,0.5,1,0,100,0,0,0,0,na,na
A36097,0.,1,0.03,0.3,0,50,303.1100,5,0.5,2,0,550,10.92300,5,1,8,0,300,0.428500,6,0.5,1,0,100,0,0,0,0,na,na
A36101,0.012000,1,0.03,0.3,0,50,278.9915,5,0.5,2,0,550,9.999500,5,1,8,0,300,0.355000,6,0.5,1,0,100,0,0,0,0,na,na
A36107,0.,1,0.03,0.3,0,50,353.4495,5,0.5,2,0,550,11.24400,5,1,8,0,300,0.506000,6,0.5,1,0,100,0,0,0,0,na,na
A36109,0.,1,0.03,0.3,0,50,346.3245,5,0.5,2,0,550,12.72700,5,1,8,0,300,0.597500,6,0.5,1,0,100,0,0,0,0,na,na
A36123,0.049500,1,0.03,0.3,0,50,303.5870,5,0.5,2,0,550,19.82400,5,1,8,0,300,0.875500,6,0.5,1,0,100,0,0,0,0,na,na
A37001,150,1,0.03,0.3,0,50,600,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
