TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A24013,0.4,8.66617512,70.98147405,60,72.92644084,80.24670512,57.62090095,58.81679335,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.249223,0.003434,0.,10.00000,0.249223,na,na,0.223331,0.000206,0.,9.378222,0.223331,na,na,0.022333,0.000205,0.005099,0.425647,0.022333,na,na,0.000100,0.000205,0.005099,0.227404,0.000100,11.15298,1636.794,0.0001,1.07,50000.00,5498.555,0.0001,1.07,46.94697,1.921014,0.0001,1.07,46.94697,1.921014,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24015,0.4,10.82687498,71.69084761,60,73.02493327,80.37095332,73.41010492,75.06862099,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.246403,0.008491,0.,10.00000,0.246403,na,na,0.204862,0.000509,0.,8.947044,0.204862,na,na,0.020486,0.000248,0.004207,0.402664,0.020486,na,na,0.000100,0.000248,0.004207,0.164713,0.000100,5.620574,1259.784,0.0001,1.07,50000.00,7144.088,0.0001,1.07,36.20301,1.442282,0.0001,1.07,36.20301,1.442282,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24017,0.4,11.38160131,93.82588115,60,72.46194161,79.66073934,74.2061067,75.88794563,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.208382,0.003689,0.,10.00000,0.208382,na,na,0.142837,0.000222,0.,6.046584,0.142837,na,na,0.014284,0.000409,0.002542,0.540305,0.014284,na,na,0.000100,0.000409,0.002542,0.422689,0.000100,4.358357,425.2291,0.0001,1.07,50000.00,21165.07,0.0001,1.07,37.73670,1.430819,0.0001,1.07,37.73670,1.430819,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24019,0.4,11.70814521,90.67459023,60,67.97859963,74.00500344,77.94094908,79.73221888,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.168984,0.003003,0.,10.00000,0.168984,na,na,0.082511,0.000180,0.,6.464718,0.082511,na,na,0.008251,0.000687,0.001628,0.436893,0.008251,na,na,0.000100,0.000687,0.001628,0.241856,0.000100,2.021978,1904.139,0.0001,1.07,50000.00,4726.545,0.0001,1.07,36.71942,1.539675,0.0001,1.07,36.71942,1.539675,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24021,0.4,8.89553794,86.16254679,60,74.64399958,82.41340547,54.50520348,55.60980594,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.237121,0.004655,0.,10.00000,0.237121,na,na,0.210500,0.000279,0.,6.870745,0.210500,na,na,0.021050,0.000233,0.004484,0.410974,0.021050,na,na,0.000100,0.000233,0.004484,0.203223,0.000100,9.430472,731.5443,0.0001,1.07,50000.00,12302.74,0.0001,1.07,49.86225,2.090823,0.0001,1.07,49.86225,2.090823,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24023,0.4,8.592249922,84.09700285,60,75.90991824,84.01036186,51.66532222,52.68671617,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.258973,0.000250,0.,10.00000,0.258973,na,na,0.258973,0.000100,0.,10.00000,0.258973,na,na,0.030906,0.000100,0.010000,0.706367,0.030906,na,na,0.000100,0.000100,0.010000,0.286624,0.000100,10.87940,2376.327,0.0001,1.07,50000.00,3787.359,0.0001,1.07,65.91790,3.374192,0.0001,1.07,65.91790,3.374192,0.0001,1.07,50.00000,20.43935,0,0,1.07,20
A24025,0.4,9.829871706,76.05981816,60,74.10626944,81.7350589,70.96881411,72.55580036,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.252889,0.004938,0.,10.00000,0.252889,na,na,0.224495,0.000296,0.,10.00000,0.224495,na,na,0.022449,0.000160,0.006540,0.425249,0.022449,na,na,0.000100,0.000160,0.006540,0.181428,0.000100,25.33927,1034.733,0.0001,1.07,39464.43,8697.891,0.0001,1.07,59.68588,2.464951,0.0001,1.07,59.68588,2.464951,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24027,0.4,9.197760165,69.92606107,60,72.0840588,79.18404018,69.37935528,70.91977039,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.252651,0.007778,0.,10.00000,0.252651,na,na,0.252651,0.000467,0.,9.216277,0.252651,na,na,0.025821,0.000200,0.005240,0.408955,0.025821,na,na,0.000100,0.000200,0.005240,0.157930,0.000100,31.52225,1013.630,0.0001,1.07,31723.63,8878.979,0.0001,1.07,42.36829,1.708839,0.0001,1.07,42.36829,1.708839,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24029,0.4,11.48586698,84.6611575,60,76.52072595,84.78089578,86.57554961,88.61981322,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.188032,0.003929,0.,10.00000,0.188032,na,na,0.107056,0.000236,0.,5.509840,0.107056,na,na,0.010706,0.000505,0.002058,0.427896,0.010706,na,na,0.000100,0.000505,0.002058,0.323261,0.000100,3.212194,957.5182,0.0001,1.07,50000.00,9399.302,0.0001,1.07,46.19706,1.975439,0.0001,1.07,46.19706,1.975439,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24031,0.4,8.755937943,66.26503337,60,74.40415743,82.1108446,65.6992694,67.13185799,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.255360,0.010607,0.,10.00000,0.255360,na,na,0.243854,0.000636,0.,9.937419,0.243854,na,na,0.024385,0.000184,0.005681,0.442658,0.024385,na,na,0.000100,0.000184,0.005681,0.254396,0.000100,24.15725,659.0908,0.0001,1.07,41395.43,13655.17,0.0001,1.07,42.43516,1.684846,0.0001,1.07,42.43516,1.684846,0.0001,1.07,0.5,0.1,0,0,1.07,20
