TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A37005,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37009,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37033,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37067,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37077,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37081,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37131,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37135,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37145,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37157,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37169,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37171,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37181,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37185,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37189,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A42001,50,1.000000,0.773164,1.5,20.00000,32.33464,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42009,50,1.000000,41.15315,1.5,20.00000,0.607489,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42011,50,1.000000,0.456532,1.5,20.00000,54.76057,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42013,50,1.000000,26.60935,1.5,20.00000,0.939518,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42015,50,1.000000,46.93851,1.5,20.00000,0.532613,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42021,50,1.000000,100.0000,1.5,20.00000,0.242648,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42023,50,1.000000,0.124613,1.5,20.00000,58.10392,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42025,50,1.000000,30.02455,1.5,20.00000,0.832652,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42027,50,1.000000,100.0000,1.5,20.00000,0.106244,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42029,50,1.000000,50.30864,1.5,20.00000,0.496933,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42033,50,1.000000,100.0000,1.5,20.00000,0.036152,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42035,50,1.000000,20.82000,1.5,20.00000,1.200767,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42037,50,1.000000,33.84991,1.5,20.00000,0.738555,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42041,50,1.000000,54.01445,1.5,20.00000,0.462839,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42043,50,1.000000,1.945257,1.5,20.00000,12.85178,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42047,50,1.000000,47.02827,1.5,20.00000,0.531596,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42055,50,1.000000,67.83579,1.5,20.00000,0.368536,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42057,50,1.000000,17.39358,1.5,20.00000,1.437311,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
