landseg,SORGN,UORGN,LROGN,AORGN
A51700,     0.000,    25.101,    13.099,     1.482
F51700,     0.000,    25.104,    13.096,     1.482
F51810,     0.000,    87.071,    12.213,     1.019
F51800,     0.000,    41.453,     1.115,     0.846
A51085,     0.000,   113.659,    13.473,     0.796
F51085,     0.000,    76.366,     8.529,     0.884
B51003,     0.000,   103.374,    20.229,     0.890
F51003,     0.000,   112.649,    20.540,     0.877
A51125,     0.000,   102.469,    19.793,     1.090
B51125,     0.000,    88.413,    12.741,     0.836
F51125,     0.000,   103.132,    18.754,     1.009
A51009,     0.000,   110.804,    27.444,     1.488
B51009,     0.000,    74.663,    10.340,     0.834
F51009,     0.000,   101.431,    21.874,     1.260
A51540,     0.000,    36.075,    12.823,     0.936
F51540,     0.000,    30.243,     7.476,     0.760
A51031,     0.000,   103.314,    11.110,     0.590
A51023,     0.000,   129.530,     7.488,     1.378
A51163,     0.000,   133.284,    14.646,     1.575
F51023,     0.000,   128.703,     7.304,     1.433
F51163,     0.000,   134.557,    11.267,     1.416
A51161,     0.000,   167.053,    11.055,     1.594
F51161,     0.000,   174.077,     4.335,     1.571
A51015,     0.000,   153.379,    37.537,     3.382
B51015,     0.000,   183.281,    11.593,     1.926
B51163,     0.000,   135.999,    16.925,     1.677
F51015,     0.000,   191.022,     4.910,     1.830
C51015,     0.000,   190.569,     5.660,     1.784
A51045,     0.000,   119.917,    16.263,     2.085
A51071,     0.004,    96.285,    11.727,     1.854
F51045,     0.000,   120.026,    16.186,     2.080
F51071,     0.013,    95.603,    11.559,     1.853
B51017,     0.000,   117.170,    10.001,     1.816
F51017,     0.000,   108.011,     7.042,     1.635
A51678,     0.000,    69.344,    22.487,     2.046
A51017,     0.000,   118.069,    12.340,     1.703
A51091,     0.000,   110.661,     9.256,     1.875
B51091,     0.000,   138.660,    15.919,     2.074
A51530,     0.000,    93.092,    17.322,     2.018
F51530,     0.000,    93.519,    17.278,     1.995
A51121,     0.000,   140.525,    15.142,     2.140
F51121,     0.000,   141.924,     9.452,     1.851
A51005,     0.000,    77.224,     5.929,     1.428
A54063,     0.000,    80.576,    22.563,     1.901
F51005,     0.000,    77.142,     5.909,     1.430
F54063,     0.000,    86.427,    24.228,     1.798
F51091,     0.000,    61.065,     1.546,     1.893
A51580,     0.000,    65.614,     9.921,     1.684
F51580,     0.000,    44.035,     4.570,     1.561
B51023,     0.000,   125.668,     8.970,     1.448
A51019,     0.000,   127.599,    18.424,     0.716
B51019,     0.000,   128.416,    17.308,     0.708
F51019,     0.000,   127.029,    18.281,     0.757
A51680,     0.000,    37.717,    17.322,     1.143
A11001,     0.000,    32.076,    12.861,     1.095
F11001,     0.000,    19.393,    21.463,     1.242
A51059,     0.000,   147.660,    17.954,     1.263
A51510,     0.000,    71.666,    57.191,     1.602
A51610,     0.000,    78.639,    55.315,     1.713
F51510,     0.000,    56.087,    28.079,     1.337
A51600,     0.000,    30.365,    11.360,     1.409
F51059,     0.000,    98.495,     3.640,     1.317
A51153,     0.000,    94.980,     5.588,     0.890
F51153,     0.000,    93.751,     5.515,     0.892
A24017,     0.000,    44.872,     3.351,     0.574
F24017,     0.000,    47.066,     1.457,     0.563
A51179,     0.000,   128.453,     8.763,     0.838
F51179,     0.000,   128.458,     8.775,     0.838
A51193,     0.000,   108.150,    11.383,     0.737
F51193,     0.000,    77.755,     6.439,     0.788
F51013,     0.000,    36.759,    11.540,     1.079
A51107,     0.000,   110.536,    15.959,     0.787
A51683,     0.000,    28.767,     9.670,     1.225
A51685,     0.000,    28.742,    10.267,     1.108
F51107,     0.000,    85.303,     7.356,     0.760
A51013,     0.000,    36.503,    11.469,     1.086
A24021,     0.000,    65.207,     9.773,     0.624
A42001,     0.000,   138.369,     6.747,     0.819
B42001,     0.000,   110.418,     7.562,     0.842
F42001,     0.000,   139.492,     5.854,     0.815
B24021,     0.000,    62.086,    12.449,     0.735
F24021,     0.000,    61.200,    12.586,     0.682
A51069,     0.000,   127.649,    10.930,     1.387
B51171,     0.000,   181.312,     7.897,     2.313
F51069,     0.000,   112.755,     7.702,     1.430
F51171,     0.000,   176.537,    10.929,     2.304
A24043,     0.000,    50.481,    56.875,     2.371
A42055,     0.000,    97.321,    38.307,     2.448
F24043,     0.000,    96.767,    22.226,     1.424
F42055,     0.000,   122.499,    17.213,     1.471
A51820,     0.000,    46.801,    16.268,     2.253
F51820,     0.000,    44.063,    14.942,     2.207
A51165,     0.000,   227.394,    56.774,     4.593
A54031,     0.000,    63.043,     6.604,     2.220
B51165,     0.000,   263.092,    11.654,     2.689
