lseg,State,name ***
N10001,DE,KENT
N10003,DE,NEW CASTLE
N10005,DE,SUSSEX
N11001,DC,DIST OF COLUMBIA
N24001,MD,ALLEGANY
N24003,MD,ANNE ARUNDEL
N24005,MD,BALTIMORE
N24009,MD,CALVERT
N24011,MD,CAROLINE
N24013,MD,CARROLL
N24015,MD,CECIL
N24017,MD,CHARLES
N24019,MD,DORCHESTER
N24021,MD,FREDERICK
H24021,MD,FREDERICK
N24023,MD,GARRETT
H24023,MD,GARRETT
N24025,MD,HARFORD
N24027,MD,HOWARD
N24029,MD,KENT
N24031,MD,MONTGOMERY
N24033,MD,PRINCE GEORGES
N24035,MD,QUEEN ANNES
N24037,MD,ST MARYS
N24039,MD,SOMERSET
N24041,MD,TALBOT
N24043,MD,WASHINGTON
N24045,MD,WICOMICO
N24047,MD,WORCESTER
N24510,MD,BALTIMORE
N36003,NY,ALLEGANY
N36007,NY,BROOME
N36011,NY,CAYUGA
N36015,NY,CHEMUNG
N36017,NY,CHENANGO
N36023,NY,CORTLAND
N36025,NY,DELAWARE
N36043,NY,HERKIMER
N36051,NY,LIVINGSTON
N36053,NY,MADISON
N36065,NY,ONEIDA
N36067,NY,ONONDAGA
N36069,NY,ONTARIO
N36077,NY,OTSEGO
N36095,NY,SCHOHARIE
N36097,NY,SCHUYLER
N36101,NY,STEUBEN
N36107,NY,TIOGA
N36109,NY,TOMPKINS
N36123,NY,YATES
N42001,PA,ADAMS
N42009,PA,BEDFORD
N42011,PA,BERKS
N42013,PA,BLAIR
H42013,PA,BLAIR
N42015,PA,BRADFORD
N42021,PA,CAMBRIA
N42023,PA,CAMERON
N42025,PA,CARBON
N42027,PA,CENTRE
H42027,PA,CENTRE
N42029,PA,CHESTER
N42033,PA,CLEARFIELD
N42035,PA,CLINTON
N42037,PA,COLUMBIA
N42041,PA,CUMBERLAND
N42043,PA,DAUPHIN
H42043,PA,DAUPHIN
N42047,PA,ELK
N42055,PA,FRANKLIN
N42057,PA,FULTON
N42061,PA,HUNTINGDON
N42063,PA,INDIANA
N42065,PA,JEFFERSON
N42067,PA,JUNIATA
N42069,PA,LACKAWANNA
L42069,PA,LACKAWANNA
N42071,PA,LANCASTER
N42075,PA,LEBANON
N42079,PA,LUZERNE
H42079,PA,LUZERNE
L42079,PA,LUZERNE
N42081,PA,LYCOMING
N42083,PA,MCKEAN
N42087,PA,MIFFLIN
N42093,PA,MONTOUR
N42097,PA,NORTHUMBERLAND
N42099,PA,PERRY
N42105,PA,POTTER
N42107,PA,SCHUYLKILL
N42109,PA,SNYDER
N42111,PA,SOMERSET
N42113,PA,SULLIVAN
H42113,PA,SULLIVAN
L42113,PA,SULLIVAN
N42115,PA,SUSQUEHANNA
H42115,PA,SUSQUEHANNA
N42117,PA,TIOGA
H42117,PA,TIOGA
N42119,PA,UNION
H42119,PA,UNION
N42127,PA,WAYNE
N42131,PA,WYOMING
H42131,PA,WYOMING
N42133,PA,YORK
N51001,VA,ACCOMACK
N51003,VA,ALBEMARLE
H51003,VA,ALBEMARLE
N51005,VA,ALLEGHANY
N51007,VA,AMELIA
N51009,VA,AMHERST
H51009,VA,AMHERST
N51011,VA,APPOMATTOX
N51013,VA,ARLINGTON
N51015,VA,AUGUSTA
H51015,VA,AUGUSTA
L51015,VA,AUGUSTA
N51017,VA,BATH
N51019,VA,BEDFORD
N51023,VA,BOTETOURT
H51023,VA,BOTETOURT
L51023,VA,BOTETOURT
N51029,VA,BUCKINGHAM
N51031,VA,CAMPBELL
N51033,VA,CAROLINE
N51036,VA,CHARLES CITY
N51037,VA,CHARLOTTE
N51041,VA,CHESTERFIELD
N51043,VA,CLARKE
N51045,VA,CRAIG
H51045,VA,CRAIG
N51047,VA,CULPEPER
N51049,VA,CUMBERLAND
N51053,VA,DINWIDDIE
N51057,VA,ESSEX
N51059,VA,FAIRFAX
N51061,VA,FAUQUIER
N51065,VA,FLUVANNA
N51069,VA,FREDERICK
