river,name ***
BS1_8730_8540,CRANESNEST R
BS3_8350_8330,BIG SANDY R  LEVISA FK
BS4_8540_8441,John W. Flannagan Dam
DE0_3791_0001,JONES R
DE0_4231_0001,TBD
EL0_4560_0001,NANTICOKE R  GRAVELLY FK
EL1_5430_0001,NASSAWANGO CR
EL2_4400_4590,MARSHY HOPE CR
EL2_5110_5270,POCOMOKE R
EM2_3980_0001,CHOPTANK R
EU0_3830_0001,CHSTR R  UNICORN BR
EU1_2650_0001,BIG ELK CR
GY0_3800_3801,CASSELMAN R
GY0_3950_3952,BEAR CR
GY0_3951_3952,YOUGHIOGHENY R
GY0_4530_4532,LITTLE YOUGHIOGHENY R
GY0_4532_0003,YOUGHIOGHENY R
JA1_7600_7570,WEST CR
JA2_7550_7280,APPOMATTOX R
JA4_7280_7340,APPOMATTOX R
JA5_7480_0001,George F. Brasfield Dam
JB3_6820_0001,CHICAHOMINY R
JL1_6560_6440,MECHUMS R
JL1_6760_6910,HARDWARE R
JL1_6770_6850,ROCKFISH R  N FK
JL1_6940_7200,TYE R
JL1_7080_7190,PINEY R
JL2_6240_6520,RIVANNA R  N FK
JL2_6441_6520,South Rivanna Dam
JL2_7110_7120,SLATE R
JL2_7240_7350,BUFFALO R
JL4_6520_6710,RIVIANNA R
JL6_6890_6990,JAMES R
JL6_7160_7440,JAMES R
JL6_7430_7320,JAMES R
JL7_6800_7070,JAMES R
JL7_7100_7030,JAMES R
JU1_6290_6590,BACK CR
JU1_6300_6650,BULLPASTURE R
JU1_6590_6600,BACK CR
JU1_7630_7490,JOHNS CR
JU1_7750_7560,CATAWBA CR
JU2_6410_6640,CALFPASTURE R
JU2_6600_6810,BACK CR
JU2_7140_7330,DUNLAP CR
JU2_7450_7360,POTTS CR
JU3_6380_6900,JACKSON R
JU3_6640_6790,MAURY R
JU3_6650_7300,COWPASTURE R
JU3_6900_6950,Gathright Dam
JU3_7490_7400,CRAIG CR
JU5_7500_7420,JAMES R
MN0_8300_0001,TBD
MN1_7990_8100,B
MN2_7720_7830,WHITE OAK CR
MN2_8530_8510,FONTAINE CR
MN3_7540_7680,BLACKWATER R
MN3_7770_7930,NOTTOWAY R
MN3_7930_8010,NOTTOWAY R
MN3_8190_8260,MEHERIN R
MN4_8080_8110,BLACKWATER R
MN4_8260_8400,MEHERIN R
NR2_8210_8180,WOLF CR
NR2_8600_8700,REED CR
NR3_8290_8170,WALKER CR
NR3_8420_8430,LITTLE R
NR3_8690_8500,REED ISLAND CR
NR3_9310_9240,NEW R  S FK
NR6_8051_8000,NEW R
OD1_8910_8930,S MAYO R
OD2_8560_8630,Philpott Dam
OD2_8670_8890,SANDY R
OD2_8830_8710,HYCO R
OD2_8840_9020,DAN R
OD2_8920_8830,Lake Hyco Dam
OD3_8340_8520,BANISTER R
OD3_8630_8720,SMITH R
OD3_8720_8900,SMITH R
OD3_8850_8931,N MAYO R
OD4_9140_8990,DAN R
OD5_8780_8660,DAN R
OR1_7700_7980,CLUB CR
OR1_8280_8020,ROANOKE R  S FK
OR1_8320_8271,BLACKWATER R
