landseg,for,hvf,hwm,lwm,hom,hyw,pas,hyo,alf,trp,urs,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,nhi,nlo,nho,nhy,npa,nal,,
A10001,3.376,30.000,27.905,24.860,55.364,5.391,12.540,4.500,8.250,119.112,240.000,9.126,18.721,37.500,18.750,9.126,18.721,18.750,9.126,18.721,37.500,18.750,22.324,19.888,44.291,4.312,10.032,6.600,,LWM is purposefully unbalanced
A10003,3.551,30.000,25.974,23.151,38.521,4.605,11.233,4.500,8.250,106.710,240.000,18.838,20.874,37.500,18.750,18.838,20.874,18.750,18.838,20.874,37.500,18.750,20.779,18.521,30.817,3.684,8.987,6.600,,  The modified TN is the target
A10005,3.740,30.000,44.232,39.353,60.689,6.822,14.979,4.500,8.250,142.191,240.000,14.294,21.759,37.500,18.750,14.294,21.759,18.750,14.294,21.759,37.500,18.750,35.385,31.483,48.551,5.457,11.983,6.600,,   that hitill would have and the 
A11001,3.957,30.000,26.702,23.757,30.069,4.975,5.201,4.500,8.250,49.381,240.000,9.025,21.330,37.500,18.750,9.025,21.330,18.750,9.025,21.330,37.500,18.750,21.361,19.006,24.055,3.980,4.160,6.600,,   surface has an 18% reduction
A24001,2.680,30.000,37.025,33.105,34.715,7.398,6.344,4.500,8.250,60.290,240.000,9.369,12.772,37.500,18.750,9.369,12.772,18.750,9.369,12.772,37.500,18.750,29.620,26.484,27.772,5.919,5.075,6.600,,   for N and 30% for P
A24003,3.675,30.000,26.725,23.831,38.140,5.711,8.063,4.500,8.250,76.577,240.000,17.756,20.929,37.500,18.750,17.756,20.929,18.750,17.756,20.929,37.500,18.750,21.380,19.065,30.512,4.569,6.450,6.600,,
A24005,3.632,30.000,29.297,26.145,39.808,5.448,9.775,4.500,8.250,92.851,240.000,11.038,20.209,37.500,18.750,11.038,20.209,18.750,11.038,20.209,37.500,18.750,23.438,20.916,31.846,4.359,7.820,6.600,,
A24009,3.254,30.000,28.052,25.036,36.622,5.671,6.750,4.500,8.250,64.125,240.000,10.852,18.330,37.500,18.750,10.852,18.330,18.750,10.852,18.330,37.500,18.750,22.441,20.029,29.298,4.536,5.400,6.600,,
A24011,3.657,30.000,35.847,31.922,42.115,5.792,11.508,4.500,8.250,109.259,240.000,18.344,21.343,37.500,18.750,18.344,21.343,18.750,18.344,21.343,37.500,18.750,28.678,25.537,33.692,4.633,9.206,6.600,,
A24013,3.513,30.000,30.956,27.633,58.833,5.402,10.761,4.500,8.250,102.236,240.000,11.436,19.094,37.500,18.750,11.436,19.094,18.750,11.436,19.094,37.500,18.750,24.765,22.106,47.066,4.322,8.609,6.600,,
A24015,3.502,30.000,30.085,26.841,39.466,5.723,10.123,4.500,8.250,96.156,240.000,10.942,19.901,37.500,18.750,10.942,19.901,18.750,10.942,19.901,37.500,18.750,24.068,21.473,31.573,4.578,8.098,6.600,,
A24017,3.183,30.000,26.953,24.048,33.238,5.362,7.282,4.500,8.250,69.179,240.000,11.975,16.801,37.500,18.750,11.975,16.801,18.750,11.975,16.801,37.500,18.750,21.563,19.239,26.590,4.290,5.826,6.600,,
A24019,3.004,30.000,26.952,24.008,40.742,5.439,7.409,4.500,8.250,70.355,240.000,16.910,17.187,37.500,18.750,16.910,17.187,18.750,16.910,17.187,37.500,18.750,21.562,19.206,32.594,4.351,5.927,6.600,,
A24021,3.432,30.000,31.764,28.364,37.786,5.179,12.222,4.500,8.250,116.134,240.000,10.935,17.820,37.500,18.750,10.935,17.820,18.750,10.935,17.820,37.500,18.750,25.411,22.691,30.229,4.143,9.777,6.600,,
A24023,3.370,30.000,35.627,31.847,40.537,7.648,7.822,4.500,8.250,74.313,240.000,21.222,21.461,37.500,18.750,21.222,21.461,18.750,21.222,21.461,37.500,18.750,28.502,25.478,32.430,6.118,6.258,6.600,,
A24025,3.495,30.000,29.337,26.188,42.500,5.250,10.060,4.500,8.250,95.569,240.000,14.265,20.397,37.500,18.750,14.265,20.397,18.750,14.265,20.397,37.500,18.750,23.469,20.950,34.000,4.200,8.048,6.600
A24027,3.649,30.000,28.223,25.181,38.034,5.849,9.523,4.500,8.250,90.460,240.000,11.364,20.072,37.500,18.750,11.364,20.072,18.750,11.364,20.072,37.500,18.750,22.579,20.145,30.427,4.679,7.619,6.600
A24029,3.481,30.000,32.535,29.040,35.854,4.967,8.880,4.500,8.250,84.355,240.000,17.644,20.108,37.500,18.750,17.644,20.108,18.750,17.644,20.108,37.500,18.750,26.028,23.232,28.683,3.973,7.104,6.600
A24031,3.603,30.000,26.583,23.709,34.809,5.426,9.849,4.500,8.250,93.554,240.000,9.161,18.740,37.500,18.750,9.161,18.740,18.750,9.161,18.740,37.500,18.750,21.266,18.967,27.847,4.341,7.879,6.600
A24033,3.538,30.000,30.548,27.264,35.339,5.764,8.406,4.500,8.250,79.839,240.000,9.057,18.720,37.500,18.750,9.057,18.720,18.750,9.057,18.720,37.500,18.750,24.438,21.811,28.271,4.611,6.724,6.600
A24035,3.417,30.000,28.786,25.677,47.253,4.936,9.595,4.500,8.250,91.143,240.000,13.151,19.399,37.500,18.750,13.151,19.399,18.750,13.151,19.399,37.500,18.750,23.028,20.542,37.802,3.949,7.676,6.600
A24037,3.016,30.000,27.666,24.689,32.809,4.984,7.936,4.500,8.250,75.397,240.000,10.459,16.315,37.500,18.750,10.459,16.315,18.750,10.459,16.315,37.500,18.750,22.133,19.751,26.248,3.987,6.349,6.600
A24039,3.331,30.000,68.748,61.164,40.314,9.075,14.615,4.500,8.250,138.687,240.000,18.659,19.979,37.500,18.750,18.659,19.979,18.750,18.659,19.979,37.500,18.750,54.999,48.931,32.251,7.260,11.692,6.600
A24041,3.227,30.000,27.390,24.430,39.741,5.175,8.853,4.500,8.250,84.103,240.000,17.622,18.678,37.500,18.750,17.622,18.678,18.750,17.622,18.678,37.500,18.750,21.912,19.544,31.793,4.140,7.082,6.600
A24043,3.234,30.000,33.180,29.642,34.862,7.705,10.294,4.500,8.250,97.815,240.000,8.161,15.960,37.500,18.750,8.161,15.960,18.750,8.161,15.960,37.500,18.750,26.544,23.714,27.889,6.164,8.235,6.600
A24045,3.521,30.000,83.066,73.901,37.444,9.401,18.588,4.500,8.250,176.392,240.000,13.490,20.673,37.500,18.750,13.490,20.673,18.750,13.490,20.673,37.500,18.750,66.453,59.121,29.955,7.521,14.870,6.600
A24047,3.167,30.000,41.735,37.143,38.231,6.878,10.486,4.500,8.250,99.530,240.000,13.046,18.255,37.500,18.750,13.046,18.255,18.750,13.046,18.255,37.500,18.750,33.388,29.715,30.585,5.502,8.389,6.600
A24510,4.082,30.000,30.861,27.475,40.569,5.883,5.231,4.500,8.250,49.661,240.000,17.706,23.648,37.500,18.750,17.706,23.648,18.750,17.706,23.648,37.500,18.750,24.689,21.980,32.455,4.707,4.184,6.600
A36003,2.888,30.000,41.172,36.853,43.606,5.428,6.501,4.500,8.250,61.782,240.000,12.543,13.923,37.500,18.750,12.543,13.923,18.750,12.543,13.923,37.500,18.750,32.938,29.482,34.885,4.342,5.201,6.600
A36007,2.889,30.000,42.021,37.621,36.064,5.724,6.333,4.500,8.250,60.180,240.000,14.889,14.821,37.500,18.750,14.889,14.821,18.750,14.889,14.821,37.500,18.750,33.617,30.096,28.851,4.579,5.066,6.600
A36015,2.795,30.000,38.239,33.583,37.778,5.827,6.102,4.500,8.250,57.994,240.000,11.029,12.911,37.500,18.750,11.029,12.911,18.750,11.029,12.911,37.500,18.750,30.591,26.867,30.222,4.662,4.882,6.600
