cell,rseg,weight***
SUS,SL2_2480_0001,0.333333333
SUS,SL2_2480_0001,0.333333333
SUS,SL2_2480_0001,0.333333333
EAS,EU1_2650_0001,1
SUS,SL9_2720_0001,0.333333333
SUS,SL9_2720_0001,0.333333333
SUS,SL9_2720_0001,0.333333333
EAS,EU1_2810_0001,0.5
EAS,EU1_2810_0001,0.5
SUS,SL2_3060_0001,1
WES,WU0_3250_0001,1
WES,WU1_3330_0001,1
WES,WU3_3481_0001,1
WES,WU1_3482_0001,1
EAS,EU2_3520_0001,1
WES,WM0_3650_0001,1
WES,WU0_3670_0001,1
WES,WM0_3740_0001,1
EAS,EU0_3830_0001,1
WES,WM1_3910_0001,1
EAS,EM2_3980_0001,1
WES,WM3_4060_0001,1
EAS,EM2_4100_0001,1
POT,PL0_4510_0001,1
POT,PL1_4540_0001,1
EAS,EL0_4562_0001,1
EAS,EL2_4590_0001,1
PAT,XU3_4650_0001,1
PAT,XL1_4690_0001,1
POT,PL1_4780_0001,1
POT,PM7_4820_0001,1
POT,PL0_5000_0001,1
POT,PL0_5070_0001,1
POT,PL1_5130_0001,1
EAS,EL1_5150_0001,1
POT,PL1_5230_0001,1
POT,PL3_5250_0001,1
EAS,EL2_5270_0001,1
PAT,XL0_5320_0001,1
EAS,EL0_5400_0001,1
EAS,EL1_5430_0001,1
POT,PL0_5490_0001,1
POT,PL0_5510_0001,1
EAS,EL1_5570_0001,1
POT,PL2_5630_0001,1
POT,PL1_5690_0001,1
POT,PL0_5710_0001,1
POT,PL0_5720_0001,1
POT,PL0_5750_0001,1
POT,PL0_5830_0001,1
POT,PL1_5910_0001,1
EAS,EL1_6000_0001,0.5
EAS,EL1_6000_0001,0.5
RAP,RU5_6030_0001,1
RAP,RL1_6180_0001,1
RAP,RL0_6540_0001,1
YOR,YL2_6580_0001,1
YOR,YM4_6620_0001,1
YOR,YP4_6750_0001,1
YOR,YP0_6840_0001,1
JAM,JB0_7051_0001,1
JAM,JB0_7052_0001,1
JAM,JB3_7053_0001,1
JAM,JL7_7070_0001,1
JAM,JA2_7290_0001,1
JAM,JA5_7480_0001,1
JAM,JB2_7800_0001,1
JAM,JB1_8090_0001,1
EAS,EU0_3726_0001,1
EAS,EL0_5767_0001,1
