cell,rseg,weight***
MDMAIN_XRIM,SL2_2480_0001,0.33333333
MDMAIN_XRIM,SL2_2480_0001,0.33333333
MDMAIN_XRIM,SL2_2480_0001,0.33333333
MDUPES_XRIM,EU1_2650_0001,1.00000000
MDMAIN_IRIM,SL9_2720_0001,0.33333333
MDMAIN_IRIM,SL9_2720_0001,0.33333333
MDMAIN_IRIM,SL9_2720_0001,0.33333333
MDUPES_XRIM,EU1_2810_0001,0.50000000
MDUPES_XRIM,EU1_2810_0001,0.50000000
MDMAIN_XRIM,SL2_3060_0001,1.00000000
MDUPWS_XRIM,WU0_3250_0001,1.00000000
MDUPWS_XRIM,WU1_3330_0001,1.00000000
MDUPWS_XRIM,WU3_3481_0001,1.00000000
MDUPWS_XRIM,WU1_3482_0001,1.00000000
MDUPES_XRIM,EU2_3520_0001,1.00000000
PATABK_XRIM,WM0_3650_0001,1.00000000
MDUPWS_XRIM,WU0_3670_0001,1.00000000
PATABK_XRIM,WM0_3740_0001,1.00000000
MDUPES_XRIM,EU0_3830_0001,1.00000000
PATABK_XRIM,WM1_3910_0001,1.00000000
CHOPTA_IRIM,EM2_3980_0001,1.00000000
PATABK_XRIM,WM3_4060_0001,1.00000000
CHOPTA_XRIM,EM2_4100_0001,1.00000000
POTOMA_XRIM,PL0_4510_0001,1.00000000
POTOMA_XRIM,PL1_4540_0001,1.00000000
LOWESH_XRIM,EL0_4562_0001,1.00000000
LOWESH_XRIM,EL2_4590_0001,1.00000000
PATUXE_IRIM,XU3_4650_0001,1.00000000
PATUXE_XRIM,XL1_4690_0001,1.00000000
POTOMA_XRIM,PL1_4780_0001,1.00000000
POTOMA_IRIM,PM7_4820_0001,1.00000000
POTOMA_XRIM,PL0_5000_0001,1.00000000
POTOMA_XRIM,PL0_5070_0001,1.00000000
POTOMA_XRIM,PL1_5130_0001,1.00000000
LOWESH_XRIM,EL1_5150_0001,1.00000000
POTOMA_XRIM,PL1_5230_0001,1.00000000
POTOMA_XRIM,PL3_5250_0001,1.00000000
LOWESH_XRIM,EL2_5270_0001,1.00000000
PATUXE_XRIM,XL0_5320_0001,1.00000000
LOWESH_XRIM,EL0_5400_0001,1.00000000
LOWESH_XRIM,EL1_5430_0001,1.00000000
POTOMA_XRIM,PL0_5490_0001,1.00000000
POTOMA_XRIM,PL0_5510_0001,1.00000000
LOWESH_XRIM,EL1_5570_0001,1.00000000
POTOMA_XRIM,PL2_5630_0001,1.00000000
POTOMA_XRIM,PL1_5690_0001,1.00000000
POTOMA_XRIM,PL0_5710_0001,1.00000000
POTOMA_XRIM,PL0_5720_0001,1.00000000
POTOMA_XRIM,PL0_5750_0001,1.00000000
POTOMA_XRIM,PL0_5830_0001,1.00000000
POTOMA_XRIM,PL1_5910_0001,1.00000000
LOWESH_XRIM,EL1_6000_0001,0.50000000
LOWESH_XRIM,EL1_6000_0001,0.50000000
RAPPAH_IRIM,RU5_6030_0001,1.00000000
RAPPAH_XRIM,RL1_6180_0001,1.00000000
RAPPAH_XRIM,RL0_6540_0001,1.00000000
VAMAIN_XRIM,YL2_6580_0001,1.00000000
YORKXX_IRIM,YM3_6430_6620,1.00000000
YORKXX_IRIM,YM1_6370_6620,1.00000000
YORKXX_IRIM,YP4_6720_6750,1.00000000
YORKXX_XRIM,YP0_6840_0001,1.00000000
JAMESX_XRIM,JB0_7051_0001,1.00000000
JAMESX_XRIM,JB0_7052_0001,1.00000000
JAMESX_XRIM,JB3_7053_0001,1.00000000
JAMESX_XRIM,JL7_7070_0001,1.00000000
JAMESX_XRIM,JA2_7290_0001,1.00000000
JAMESX_IRIM,JA5_7480_0001,1.00000000
JAMESX_XRIM,JB2_7800_0001,1.00000000
JAMESX_XRIM,JB1_8090_0001,1.00000000
MDUPES_XRIM,EU0_3726_0001,1.00000000
LOWESH_XRIM,EL0_5767_0001,1.00000000
