cell,rseg,weight***
5B,SL2_2480_0001,0.333333333
5B,SL2_2480_0001,0.333333333
5B,SL2_2480_0001,0.333333333
4B,EU1_2650_0001,1
5A,SL9_2720_0001,0.333333333
5A,SL9_2720_0001,0.333333333
5A,SL9_2720_0001,0.333333333
4B,EU1_2810_0001,0.5
4B,EU1_2810_0001,0.5
5B,SL2_3060_0001,1
5B,WU0_3250_0001,1
5B,WU1_3330_0001,1
5B,WU3_3481_0001,1
5B,WU1_3482_0001,1
3B,EU2_3520_0001,1
5B,WM0_3650_0001,1
5B,WU0_3670_0001,1
5B,WM0_3740_0001,1
3B,EU0_3830_0001,1
5B,WM1_3910_0001,1
2A,EM2_3980_0001,1
5B,WM3_4060_0001,1
2B,EM2_4100_0001,1
7B,PL0_4510_0001,1
7B,PL1_4540_0001,1
1B,EL0_4562_0001,1
1B,EL2_4590_0001,1
6A,XU3_4650_0001,1
6B,XL1_4690_0001,1
7B,PL1_4780_0001,1
7A,PM7_4820_0001,1
7B,PL0_5000_0001,1
7B,PL0_5070_0001,1
7B,PL1_5130_0001,1
1B,EL1_5150_0001,1
7B,PL1_5230_0001,1
7B,PL3_5250_0001,1
1B,EL2_5270_0001,1
6B,XL0_5320_0001,1
1B,EL0_5400_0001,1
1B,EL1_5430_0001,1
7B,PL0_5490_0001,1
7B,PL0_5510_0001,1
1B,EL1_5570_0001,1
7B,PL2_5630_0001,1
7B,PL1_5690_0001,1
7B,PL0_5710_0001,1
7B,PL0_5720_0001,1
7B,PL0_5750_0001,1
7B,PL0_5830_0001,1
7B,PL1_5910_0001,1
1B,EL1_6000_0001,0.5
1B,EL1_6000_0001,0.5
8A,RU5_6030_0001,1
8B,RL1_6180_0001,1
8B,RL0_6540_0001,1
9B,YL2_6580_0001,1
9A,YM4_6620_0001,1
9A,YP4_6750_0001,1
9B,YP0_6840_0001,1
10B,JB0_7051_0001,1
10B,JB0_7052_0001,1
10B,JB3_7053_0001,1
10A,JL7_7070_0001,1
10B,JA2_7290_0001,1
10A,JA5_7480_0001,1
10B,JB2_7800_0001,1
10B,JB1_8090_0001,1
3B,EU0_3726_0001,1
1B,EL0_5767_0001,1
