ROMS CELLS,lseg,rseg,weight***
792,N51550,JB0_7382_0000,1.000000002
792,N51550,JB0_7580_0000,0.833333335
23,N51810,MN0_7790_0000,0.5
924,N51131,DE0_7130_0000,0.018181818
26,N51810,MN0_7790_0000,0.5
86,N51131,DE0_7130_0000,0.036363636
26,N51810,JB0_7662_0000,0.025
33,N51810,JB0_7662_0000,0.275
792,N51740,JB0_7382_0000,0.5
792,N51740,JB0_7580_0000,0.2
912,N51131,DE0_7130_0000,0.018181818
17,N51710,JB0_7382_0000,1
17,N51740,JB0_7382_0000,0.5
17,N51710,JB0_7580_0000,0
38,N51810,JB0_7662_0000,0.2
911,N51131,DE0_7130_0000,0.018181818
784,N51800,JB0_7760_0000,0.5
17,N51740,JB0_7399_0000,1
17,N51710,JB0_7381_0000,0.75
17,N51550,JB0_7381_0000,1
833,N51710,JB0_7381_0000,0.25
833,N51810,JB0_7381_0000,1
83,N51131,DE0_7130_0000,0.036363636
17,N51710,JB0_7398_0000,0.25
845,N51810,JB0_7662_0000,0.1
11,N51800,JB0_7760_0000,0.071428571
799,N51550,JB0_7383_0000,1
799,N51800,JB0_7383_0000,1
800,N51740,JB0_7383_0000,0.666666666
800,N51740,JB0_7580_0000,0.2
16,N51740,JB0_7383_0000,0.333333333
16,N51740,JB0_7580_0000,0.4
16,N51710,JB0_7398_0000,0.5
16,N51710,JB0_7580_0000,0
37,N51810,JB0_7662_0000,0.1
843,N51810,JB0_7662_0000,0.3
900,N51131,DE0_7130_0000,0.018181818
789,N51800,JB0_7760_0000,0.142857142
16,N51740,JB0_7397_0000,0.166666667
31,N51810,JB0_7660_0000,0.5
37,N51810,JB0_7660_0000,0.5
899,N51131,DE0_7130_0000,0.036363636
795,N51093,JB0_7390_0000,0.052631579
795,N51800,JB0_7390_0000,0.333333333
14,N51800,JB0_7760_0000,0.142857142
15,N51800,JB0_7760_0000,0.142857142
800,N51740,JB0_7397_0000,0.166666667
22,N51710,JB0_7398_0000,0.25
834,N51710,JB0_7661_0000,0.125
834,N51810,JB0_7661_0000,0.75
836,N51810,JB0_7661_0000,0.25
885,N51131,DE0_7130_0000,0.018181818
19,N51093,JB0_7390_0000,0.157894737
22,N51740,JB0_7397_0000,0.166666667
22,N51710,JB0_7396_0000,1
832,N51710,JB0_7661_0000,0.125
884,N51131,DE0_7130_0000,0.054545454
74,N51131,DE0_7130_0000,0.072727272
27,N51093,JB0_7390_0000,0.105263158
797,N51800,JB0_7390_0000,0.333333333
798,N51800,JB0_7390_0000,0.333333333
20,N51740,JB0_7390_0000,0.999999999
21,N51740,JB0_7397_0000,0.500000001
25,N51710,JB0_7394_0000,0.999999999
831,N51710,JB0_7661_0000,0.125
82,N51131,DE0_7130_0000,0.072727272
811,N51093,JB0_7390_0000,0.052631579
812,N51093,JB0_7390_0000,0.052631579
24,N51093,JB0_7390_0000,0.157894737
830,N51710,JB0_7661_0000,0.125
73,N51131,DE0_7130_0000,0.072727272
51,N51181,JB0_7072_0000,0.25
52,N51181,JB0_7072_0000,0.125
53,N51093,JB0_7390_0000,0.052631579
48,N51093,JB0_7390_0000,0.052631579
42,N51093,JB0_7390_0000,0.052631579
39,N51093,JB0_7390_0000,0.052631579
34,N51093,JB0_7390_0000,0.052631579
821,N51093,JB0_7390_0000,0.052631579
822,N51093,JB0_7390_0000,0.052631579
823,N51093,JB0_7390_0000,0.052631579
20,N51800,JB0_7580_0000,1
25,N51710,JB0_7580_0000,1
829,N51710,JB0_7661_0000,0.25
64,N51181,JB0_7072_0000,0.125
60,N51181,JB0_7390_0000,1
806,N51740,JB0_7395_0000,1
806,N51550,JB0_7580_0000,0.166666667
806,N51710,JB0_7580_0000,0
806,N51740,JB0_7580_0000,0.2
30,N51710,JB0_7393_0000,0.500000001
827,N51710,JB0_7393_0000,0.333333334
82,N51131,EL0_7220_0000,0.02500005
57,N51181,JB0_7072_0000,0.125
57,N51181,JB0_7271_0000,0.333333333
889,N51181,JB0_7072_0000,0.125
890,N51181,JB0_7072_0000,0.125
878,N51181,JB0_7072_0000,0.125
880,N51181,JB0_7392_0000,1
826,N51710,JB0_7393_0000,0.166666667
828,N51710,JB0_7661_0000,0.125
63,N51670,JB0_7074_0000,1
63,N51149,JB0_7074_0000,1
63,N51149,JB0_7270_0000,0.5
63,N51181,JB0_7270_0000,1
63,N51181,JB0_7271_0000,0.333333333
56,N51181,JB0_7271_0000,0.333333333
853,N51710,JB0_7661_0000,0.125
85,N51131,DE0_7130_0000,0.127272726
85,N51131,EL0_7220_0000,0.175
63,N51041,JA5_7520_0000,1
63,N51053,JA5_7520_0000,1
63,N51570,JA5_7520_0000,1
63,N51730,JA5_7520_0000,1
63,N51041,JA5_7460_0000,0.999999999
63,N51149,JA5_7460_0000,1
63,N51149,JA5_7520_0000,1
63,N51670,JA5_7460_0000,1
63,N51041,JB0_7076_0000,1
63,N51670,JB0_7075_0000,1
68,N51149,JB0_7270_0000,0.5
63,N51041,JB0_7073_0000,1
63,N51041,JB0_7074_0000,1
68,N51760,JB0_7071_0000,1
68,N51087,JB0_7071_0000,0.571428572
68,N51041,JB0_7071_0000,0.25
63,N51041,JB0_7071_0000,0.75
63,N51087,JB0_7071_0000,0.428571429
69,N51095,JB0_7072_0000,0.090909091
878,N51095,JB0_7072_0000,0.090909091
44,N51650,JB0_7580_0000,0.416666665
63,N51087,JB0_7073_0000,1
63,N51036,JB0_7073_0000,1
63,N51036,JB0_7074_0000,0.8
68,N51036,JB0_7074_0000,0.2
68,N51036,JB0_7270_0000,0.777777777
63,N51036,JB0_7270_0000,0.222222222
68,N51036,JB0_7271_0000,0.333333333
78,N51095,JB0_7072_0000,0.272727273
892,N51095,JB0_7072_0000,0.090909091
47,N51650,JB0_7580_0000,0.166666666
