cell,lseg,rseg,weight***
2D,N10001,EM3_4326_0000,0.1
2D,N10001,EM3_4326_0000,0.1
2D,N10001,EM3_4326_0000,0.1
2D,N10001,EM3_4326_0000,0.1
2D,N10001,EM3_4326_0000,0.6
0D,N10003,DE0_2990_0000,0.1
0D,N10003,DE0_2990_0000,0.1
0D,N10003,DE0_2990_0000,0.1
0D,N10003,DE0_2990_0000,0.1
0D,N10003,DE0_2990_0000,0.1
0D,N10003,DE0_2990_0000,0.1
0D,N10003,DE0_2990_0000,0.1
0D,N10003,DE0_2990_0000,0.1
0D,N10003,DE0_2990_0000,0.1
0D,N10003,DE0_2990_0000,0.1
4D,N10003,EU0_3010_0000,0.111111111
4D,N10003,EU0_3010_0000,0.111111111
4D,N10003,EU0_3010_0000,0.111111111
4D,N10003,EU0_3010_0000,0.111111111
4D,N10003,EU0_3010_0000,0.111111111
4D,N10003,EU0_3010_0000,0.111111111
4D,N10003,EU0_3010_0000,0.111111111
4D,N10003,EU0_3010_0000,0.111111111
4D,N10003,EU0_3010_0000,0.111111111
4D,N10003,EU0_3011_0000,0.2
4D,N10003,EU0_3011_0000,0.2
4D,N10003,EU0_3011_0000,0.2
4D,N10003,EU0_3011_0000,0.2
4D,N10003,EU0_3011_0000,0.2
4D,N10003,EU0_3201_0000,1
4D,N10003,EU0_3361_0000,1
4D,N10003,EU1_2981_0000,1
4D,N10003,EU1_2983_0000,0.8
4D,N10003,EU1_2983_0000,0.2
1D,N10005,EL0_4591_0000,1
1D,N10005,EL0_4594_0000,1
1D,N10005,EL0_4597_0000,0.5
1D,N10005,EL0_4597_0000,0.5
1D,N10005,EL0_4631_0000,1
1D,N10005,EL0_4632_0000,1
1D,N10005,EL0_4633_0000,0.083333333
1D,N10005,EL0_4633_0000,0.916666667
1D,N10005,EL2_4630_0000,0.049986357
1D,N10005,EL2_4630_0000,0.049986357
1D,N10005,EL2_4630_0000,0.099972713
1D,N10005,EL2_4630_0000,0.199945426
1D,N10005,EL2_4630_0000,0.599836279
1D,N10005,EL2_4634_0000,0.5
1D,N10005,EL2_4634_0000,0.5
7D,N11001,PL2_4810_0000,0.090027051
7D,N11001,PL2_4810_0000,0.090027051
7D,N11001,PL2_4810_0000,0.090027051
7D,N11001,PL2_4810_0000,0.090027051
7D,N11001,PL2_4810_0000,0.090027051
7D,N11001,PL2_4810_0000,0.090027051
7D,N11001,PL2_4810_0000,0.090027051
7D,N11001,PL2_4810_0000,0.090027051
7D,N11001,PL2_4811_0000,0.890341328
7D,N11001,PL2_4945_0000,0.638897889
7D,N11001,PL2_4945_0000,0.006851452
7D,N11001,PL2_4945_0000,0.210682146
7D,N11001,PL7_4910_0000,0.175085746
7D,N11001,PL7_4910_0000,0.175085746
7D,N11001,PL7_4910_0000,0.175085746
7D,N11001,PL7_4910_0000,0.175085746
7D,N11001,PL7_4940_0000,0.029948677
7D,N11001,PL7_4940_0000,0.119794707
7D,N11001,PL7_4940_0000,0.059897353
7D,N11001,PL7_4940_0000,0.08984603
7D,N11001,PL7_4942_0000,0.019035531
7D,N11001,PL7_4942_0000,0.019035531
7D,N11001,PL7_4960_0000,0.047798311
7D,N11001,PL7_4960_0000,0.047798311
7D,N11001,PL7_4960_0000,0.047798311
7D,N11001,PL7_4960_0000,0.047798311
7D,N11001,PL7_4960_0000,0.047798311
7D,N11001,PL7_4960_0000,0.238991553
7D,N11001,PL7_4960_0000,0.238991553
5D,N24003,WL0_4390_0000,1
5D,N24003,WL0_4391_0000,0.05
5D,N24003,WL0_4391_0000,0.1
5D,N24003,WL0_4391_0000,0.2
5D,N24003,WL0_4391_0000,0.6
5D,N24003,WL0_4391_0000,0.025
5D,N24003,WL0_4391_0000,0.025
5D,N24003,WL0_4392_0000,0.142857143
5D,N24003,WL0_4392_0000,0.142857143
5D,N24003,WL0_4392_0000,0.142857143
5D,N24003,WL0_4392_0000,0.142857143
5D,N24003,WL0_4392_0000,0.142857143
5D,N24003,WL0_4392_0000,0.142857143
5D,N24003,WL0_4392_0000,0.142857143
5D,N24003,WL0_4393_0000,0.333333333
5D,N24003,WL0_4393_0000,0.333333333
5D,N24003,WL0_4393_0000,0.333333333
5D,N24003,WL0_4394_0000,0.2
5D,N24003,WL0_4394_0000,0.2
5D,N24003,WL0_4394_0000,0.2
5D,N24003,WL0_4394_0000,0.2
5D,N24003,WL0_4394_0000,0.2
5D,N24003,WL0_4420_0000,0.966674267
5D,N24003,WL0_4421_0000,0.666666667
5D,N24003,WL0_4421_0000,0.333333333
5D,N24003,WL0_4422_0000,0.6
5D,N24003,WL0_4422_0000,0.2
5D,N24003,WL0_4422_0000,0.2
5D,N24003,WL0_4423_0000,0.091353396
5D,N24003,WL0_4423_0000,0.091353396
5D,N24003,WL0_4423_0000,0.182706792
5D,N24003,WL0_4423_0000,0.182706792
5D,N24003,WL0_4423_0000,0.182706792
5D,N24003,WL0_4423_0000,0.091353396
5D,N24003,WL0_4423_0000,0.091353396
5D,N24003,WL0_4424_0000,0.380898385
5D,N24003,WL0_4424_0000,0.095224596
5D,N24003,WL0_4424_0000,0.095224596
5D,N24003,WL0_4424_0000,0.380898385
5D,N24003,WL0_4425_0000,0.333333333
5D,N24003,WL0_4425_0000,0.333333333
5D,N24003,WL0_4425_0000,0.333333333
5D,N24003,WL0_4600_0000,1
5D,N24003,WL0_4601_0000,0.1
5D,N24003,WL0_4601_0000,0.2
5D,N24003,WL0_4601_0000,0.4
5D,N24003,WL0_4601_0000,0.2
5D,N24003,WL0_4601_0000,0.05
5D,N24003,WL0_4601_0000,0.05
5D,N24003,WL0_4602_0000,0.859498629
5D,N24003,WL0_4602_0000,0.027430807
5D,N24003,WL0_4602_0000,0.027430807
5D,N24003,WL0_4603_0000,0.6
5D,N24003,WL0_4603_0000,0.4
5D,N24003,WL0_4770_0000,0.5
5D,N24003,WL0_4770_0000,0.3
5D,N24003,WL0_4770_0000,0.1
5D,N24003,WL0_4770_0000,0.1
5D,N24003,WL0_4771_0000,1
5D,N24003,WL0_4772_0000,0.066666667
5D,N24003,WL0_4772_0000,0.066666667
5D,N24003,WL0_4772_0000,0.066666667
5D,N24003,WL0_4772_0000,0.066666667
5D,N24003,WL0_4772_0000,0.066666667
5D,N24003,WL0_4772_0000,0.066666667
5D,N24003,WL0_4772_0000,0.066666667
5D,N24003,WL0_4772_0000,0.2
5D,N24003,WL0_4772_0000,0.066666667
5D,N24003,WL0_4772_0000,0.066666667
5D,N24003,WL0_4772_0000,0.066666667
5D,N24003,WL0_4772_0000,0.066666667
5D,N24003,WL0_4772_0000,0.066666667
5D,N24003,WM0_3961_0000,0.483524892
5D,N24003,WM0_3961_0000,0.483524892
5D,N24003,WM0_3962_0000,0.496992534
5D,N24003,WM0_3962_0000,0.248496267
5D,N24003,WM0_3962_0000,0.082832089
5D,N24003,WM0_3962_0000,0.041416045
5D,N24003,WM0_3962_0000,0.041416045
5D,N24003,WM0_3962_0000,0.082832089
5D,N24003,WM0_3963_0000,0.75
5D,N24003,WM0_3963_0000,0.05
5D,N24003,WM0_3963_0000,0.04
5D,N24003,WM0_3963_0000,0.04
5D,N24003,WM0_3963_0000,0.04
5D,N24003,WM0_3963_0000,0.04
5D,N24003,WM0_3963_0000,0.04
5D,N24003,WM0_3966_0000,0.333333333
5D,N24003,WM0_3966_0000,0.333333333
5D,N24003,WM0_3966_0000,0.333333333
6D,N24003,XL3_4710_0000,0.333235089
6D,N24003,XL3_4710_0000,0.333235089
6D,N24003,XL3_4710_0000,0.333235089
6D,N24003,XL3_4711_0000,0.5
6D,N24003,XL3_4711_0000,0.5
6D,N24003,XL3_4712_0000,0.333333333
6D,N24003,XL3_4712_0000,0.333333333
6D,N24003,XL3_4712_0000,0.333333333
6D,N24003,XL3_4713_0000,0.6
6D,N24003,XL3_4713_0000,0.4
6D,N24003,XL3_4950_0000,0.5
6D,N24003,XL3_4950_0000,0.5
5D,N24005,WM0_3741_0000,0.999039436
5D,N24005,WM0_3742_0000,0.199877833
5D,N24005,WM0_3742_0000,0.199877833
5D,N24005,WM0_3742_0000,0.199877833
5D,N24005,WM0_3742_0000,0.199877833
5D,N24005,WM0_3742_0000,0.199877833
5D,N24005,WM0_3743_0000,1
5D,N24005,WM0_3744_0000,1
5D,N24005,WM0_3745_0000,1
5D,N24005,WM0_3964_0000,0.053342756
5D,N24005,WM0_3964_0000,0.053342756
5D,N24005,WM0_3964_0000,0.053342756
5D,N24005,WM0_3964_0000,0.053342756
5D,N24005,WM0_3964_0000,0.053342756
5D,N24005,WM0_3964_0000,0.053342756
5D,N24005,WM0_3964_0000,0.124466429
5D,N24005,WM0_3964_0000,0.124466429
5D,N24005,WM0_3964_0000,0.053342756
5D,N24005,WM0_3964_0000,0.373399287
5D,N24005,WM0_3965_0000,0.707599632
5D,N24005,WM0_3965_0000,0.235866544
5D,N24005,WU0_3540_0000,0.202841557
5D,N24005,WU0_3540_0000,0.040568311
5D,N24005,WU0_3540_0000,0.040568311
5D,N24005,WU0_3540_0000,0.121704934
5D,N24005,WU0_3540_0000,0.081136623
5D,N24005,WU0_3540_0000,0.081136623
5D,N24005,WU0_3540_0000,0.081136623
5D,N24005,WU0_3540_0000,0.081136623
