land,for,hvf,pas,npa,urs,afo,trp,alf,nal,hyw,nhy,hyo,hom,nho,hwm,nhi,lwm,nlo,pul,puh,ext,bar,iml,imh,css
A36017,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36023,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36025,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36043,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36051,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36053,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36065,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36067,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36069,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36077,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36095,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36097,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36101,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36107,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36109,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A36123,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37001,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37005,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37009,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37033,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37067,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37077,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37081,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37131,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37135,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37145,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37157,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37169,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37171,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37181,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37185,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A37189,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42001,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42009,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42011,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42013,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42015,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42021,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42023,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42025,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42027,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
A42029,,,MVR,MVR,FV,M,MV,FVTUR,FVTUR,FMVLTR,FMVLTUR,VTU,FVPLTUR,FVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FMVPLTUR,FV,FV
