 seg ,TOTN,TOTP
JL1_7170_6800,    0.3092, -999.0000
JL3_7020_7100,    0.9805,    0.9938
JL2_6240_6520,    0.9805,    0.8568
JL2_7110_7120,    0.9805,    0.9663
JL1_6560_6440,    0.4105,    1.0000
JL1_6760_6910,    0.9805,    0.9938
JL2_7120_6970,    0.9805,    0.9938
JL2_6440_6441,    0.9805,    0.9923
JL2_6441_6520,    0.9805,    0.9923
JL1_6770_6850,    0.9805,    0.9938
JL1_6910_6960,    0.9805,    0.9938
JL1_7080_7190,    0.9805,    1.0247
JL4_6520_6710,    0.9805,    1.6343
JL2_6850_6890,    0.9805,    0.9938
JL1_7530_7430,    0.9805,    0.9938
JL4_6710_6740,    0.9805,    0.9938
JL2_7240_7350,    0.9837,    0.9971
JL1_6940_7200,    0.9805,    0.9938
JU2_7180_7380,    0.9515,    0.9938
JL1_7190_7250,    0.9805,    0.9938
JL2_7350_7090,    0.9805,    0.9938
JL1_7200_7250,    0.9805,    0.9938
JU1_7750_7560,    0.9515,    0.9938
JU1_6880_7260,    0.8610,    0.8442
JL2_7250_7090,    0.9805,    0.9938
JL3_7090_7150,    0.9805,    0.9938
JU2_6410_6640,    0.2500,    0.8920
JU1_7630_7490,    0.9515,    1.0152
JU3_6640_6790,    0.8610,    0.8915
JU3_6790_7260,    0.8610,    0.8442
JU1_7560_7500,    0.9515,    0.9938
JU1_6300_6650,    0.9992,    1.0203
JU4_7260_7380,    0.9515,    0.9938
JU1_7690_7490,    0.9515,    0.9938
JU2_7450_7360,    0.2500,    0.9938
JU1_6340_6650,    0.9515,    0.9938
JU4_7380_7160,    0.9515,    0.9938
JU3_7490_7400,    0.9515,    0.9938
JU3_7400_7510,    0.9515,    0.9938
JU3_6650_7300,    0.9515,    0.9938
JU2_7140_7330,    0.3863,    0.9938
JU2_7360_7000,    0.2500,    0.9938
JU1_6290_6590,    1.0025,    0.9938
JU3_6380_6900,    4.0000,    0.9938
JU1_6590_6600,    1.0025,    0.9938
JU2_6600_6810,    1.0025,    0.9938
JU2_6810_6900,    4.0000,    0.9938
JU3_6900_6950,    4.0000,    0.9938
JU3_6950_7330,    0.3863,    0.9938
JU4_7330_7000,    0.2500,    0.9938
JU4_7000_7300,    0.2500,    0.9938
JU5_7300_7510,    0.9515,    0.9938
JU5_7510_7500,    0.9515,    0.9938
JU5_7500_7420,    0.9515,    0.9938
JU5_7420_7160,    0.9515,    0.9938
JL6_7160_7440,    0.9515,    0.9938
JL6_7440_7430,    0.9805,    0.9938
JL6_7430_7320,    0.9805,    0.9938
JL6_7320_7150,    0.9805,    0.9938
JL6_7150_6890,    0.9805,    0.9938
JL6_6890_6990,    0.9805,    0.9938
JL6_6990_6960,    0.9805,    0.9938
JL6_6960_6970,    0.9805,    0.9938
JL6_6970_6740,    0.9805,    0.9938
JL6_6740_7100,    0.9805,    0.9938
JL7_7100_7030,    0.9805,    0.9938
JL7_7030_6800,    0.3092, -999.0000
JL7_6800_7070,    0.3092, -999.0000
JL7_7070_0001, -999.0000, -999.0000
