TABLE->,ICE-FLAG,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT2,SNOW-INIT2,SNOW-INIT2
VARS->,ICFG,LAT,ELEV,SHADE,SNOWCF,COVIND,RDCSN,TSNOW,SNOEVP,CCFACT,MWATER,MGMELT,PACK-SNOW,PACK-ICE,PACK-WATR,RDENPF,DULL,PAKTMP,COVINX,XLNMLT,SKYCLR
A10001,1,39.0859,44.4,0.05,1.3,1.062,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.062,0,0.9
A10003,1,39.5768,68.12,0.05,1.3,1.096,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.096,0,0.9
A10005,1,38.6623,35.3,0.05,1.3,1.05,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.05,0,0.9
A11001,1,38.9116,159.02,0.05,1.3,1.223,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.223,0,0.9
A24001,1,39.6364,944.8,0.05,1.3,2.326,0.12,32,0.13,0.5,0.03,0.03,0.558,0,0,0.15,100,30,2.326,0,0.9
A24003,1,39.0025,108.71,0.05,1.3,1.153,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.153,0,0.9
A24005,1,39.4676,557.81,0.05,1.3,1.783,0.12,32,0.13,0.5,0.03,0.03,0.48,0,0,0.15,100,30,1.783,0,0.9
A24009,1,38.5535,83.68,0.05,1.3,1.117,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.117,0,0.9
A24011,1,38.8729,46.42,0.05,1.3,1.065,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.065,0,0.9
A24013,1,39.5631,661.78,0.05,1.3,1.929,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.929,0,0.9
A24015,1,39.5769,190.61,0.05,1.3,1.268,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.268,0,0.9
A24017,1,38.5066,113.28,0.05,1.3,1.159,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.159,0,0.9
A24019,1,38.491,19.78,0.05,1.3,1.028,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.028,0,0.9
A24021,1,39.4562,450.67,0.05,1.3,1.633,0.12,32,0.13,0.5,0.03,0.03,0.084,0,0,0.15,100,30,1.633,0,0.9
A24023,1,39.5292,2498.59,0.05,1.3,4.508,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,4.508,0,0.9
A24025,1,39.5856,435.86,0.05,1.3,1.612,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.612,0,0.9
A24027,1,39.2509,543.05,0.05,1.3,1.762,0.12,32,0.13,0.5,0.03,0.03,0.084,0,0,0.15,100,30,1.762,0,0.9
A24029,1,39.261,49.28,0.05,1.3,1.069,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.069,0,0.9
A24031,1,39.1387,460.58,0.05,1.3,1.647,0.12,32,0.13,0.5,0.03,0.03,0.186,0,0,0.15,100,30,1.647,0,0.9
