TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A36023,0.491000,1,0.03,0.3,0,50,227.4275,5,0.5,2,0,550,139.6070,5,1,8,0,300,6.993000,6,0.5,1,0,100,0,0,0,0,na,na
A36025,0.342500,1,0.03,0.3,0,50,336.4520,5,0.5,2,0,550,110.2585,5,1,8,0,300,6.905000,6,0.5,1,0,100,0,0,0,0,na,na
A36043,0.539500,1,0.03,0.3,0,50,302.4525,5,0.5,2,0,550,250.7235,5,1,8,0,300,11.33950,6,0.5,1,0,100,0,0,0,0,na,na
A36051,0.347000,1,0.03,0.3,0,50,275.2630,5,0.5,2,0,550,190.5095,5,1,8,0,300,8.886499,6,0.5,1,0,100,0,0,0,0,na,na
A36053,0.337000,1,0.03,0.3,0,50,152.8390,5,0.5,2,0,550,206.8780,5,1,8,0,300,10.72750,6,0.5,1,0,100,0,0,0,0,na,na
A36065,0.411500,1,0.03,0.3,0,50,128.3595,5,0.5,2,0,550,580.7825,5,1,8,0,300,23.12750,6,0.5,1,0,100,0,0,0,0,na,na
A36067,0.274500,1,0.03,0.3,0,50,327.3905,5,0.5,2,0,550,147.3070,5,1,8,0,300,9.605000,6,0.5,1,0,100,0,0,0,0,na,na
A36069,0.634500,1,0.03,0.3,0,50,239.6880,5,0.5,2,0,550,230.7085,5,1,8,0,300,7.951000,6,0.5,1,0,100,0,0,0,0,na,na
A36077,0.384000,1,0.03,0.3,0,50,234.8730,5,0.5,2,0,550,165.9305,5,1,8,0,300,9.727500,6,0.5,1,0,100,0,0,0,0,na,na
A36095,0.217500,1,0.03,0.3,0,50,393.6075,5,0.5,2,0,550,103.9295,5,1,8,0,300,7.558000,6,0.5,1,0,100,0,0,0,0,na,na
A36097,0.205000,1,0.03,0.3,0,50,680.2330,5,0.5,2,0,550,97.19950,5,1,8,0,300,5.301500,6,0.5,1,0,100,0,0,0,0,na,na
A36101,0.148500,1,0.03,0.3,0,50,610.3715,5,0.5,2,0,550,56.10300,5,1,8,0,300,2.696500,6,0.5,1,0,100,0,0,0,0,na,na
A36107,0.515500,1,0.03,0.3,0,50,250.7575,5,0.5,2,0,550,67.64200,5,1,8,0,300,3.675500,6,0.5,1,0,100,0,0,0,0,na,na
A36109,0.138500,1,0.03,0.3,0,50,476.1590,5,0.5,2,0,550,8.873500,5,1,8,0,300,0.582500,6,0.5,1,0,100,0,0,0,0,na,na
A36123,0.284500,1,0.03,0.3,0,50,712.4919,5,0.5,2,0,550,85.28750,5,1,8,0,300,4.322000,6,0.5,1,0,100,0,0,0,0,na,na
A37001,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37005,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37009,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
