landseg,SORGN,UORGN,LROGN,AORGN
A51700,     0.000,    41.778,    26.743,     0.000
F51700,     0.000,    41.815,    26.741,     0.000
F51810,     0.000,    83.816,    29.639,     0.000
F51800,     0.000,    44.828,    23.369,     0.306
A51085,     0.000,    85.097,     7.735,     0.017
F51085,     0.000,    76.934,     9.073,     0.709
B51003,     0.000,   124.572,    21.925,     2.609
F51003,     0.000,   126.151,    21.288,     4.136
A51125,     0.000,   112.173,    25.806,     3.244
B51125,     0.000,   112.480,    24.791,     2.476
F51125,     0.000,   117.600,    24.360,     3.011
A51009,     0.000,    94.402,    24.936,     2.799
B51009,     0.000,   109.058,    20.117,     0.902
F51009,     0.000,   107.095,    22.273,     1.815
A51540,     0.000,    58.920,    10.146,     0.000
F51540,     0.000,    65.498,    24.486,     0.000
A51031,     0.000,    62.854,     6.611,     0.939
A51023,     0.000,   141.579,    15.194,     0.000
A51163,     0.000,    96.672,    15.887,     0.000
F51023,     0.000,   139.372,    15.388,     0.129
F51163,     0.000,    99.906,    14.643,     0.000
A51161,     0.000,   128.889,    15.844,     0.000
F51161,     0.000,   135.630,    12.743,     0.000
A51015,     0.000,    82.855,    18.472,     0.892
B51015,     0.000,    88.173,    16.198,     0.000
B51163,     0.000,    96.091,    17.551,     0.000
F51015,     0.000,    96.986,    11.921,     0.000
C51015,     0.000,    94.616,    11.189,     0.439
A51045,     0.000,   102.353,    18.007,     0.000
A51071,     0.000,    84.484,    17.768,     0.000
F51045,     0.000,   102.494,    17.995,     0.000
F51071,     0.000,    84.590,    17.664,     0.000
B51017,     0.000,    99.615,    13.385,     0.000
F51017,     0.000,   100.737,    13.607,     0.000
A51678,     0.000,    52.171,    18.287,     0.000
A51017,     0.000,   102.340,    15.686,     0.000
A51091,     0.000,    79.605,    17.124,     0.000
B51091,     0.000,    87.859,    17.713,     0.000
A51530,     0.000,    74.591,    43.445,     0.000
F51530,     0.000,    72.592,    44.078,     0.000
A51121,     0.000,    81.082,    15.387,     0.000
F51121,     0.000,    86.985,    13.008,     0.000
A51005,     0.000,   112.372,    18.454,     0.000
A54063,     0.000,    93.818,    13.366,     0.000
F51005,     0.000,   112.470,    18.353,     0.000
F54063,     0.000,    96.531,    13.575,     0.000
F51091,     0.000,    82.275,    12.473,     0.000
A51580,     0.000,    79.355,    40.159,     0.000
F51580,     0.000,    85.120,    34.119,     0.000
B51023,     0.000,   136.889,    16.055,     0.000
A51019,     0.000,   113.585,    16.942,     1.832
B51019,     0.000,   111.692,    16.525,     1.780
F51019,     0.000,   112.611,    16.425,     1.689
A51680,     0.000,    58.091,    25.776,     0.000
A11001,     0.000,    50.054,    26.266,     0.082
F11001,     0.000,    40.919,    27.694,     0.039
A51059,     0.000,    91.069,    14.273,     0.501
A51510,     0.000,    30.329,    20.840,     0.000
A51610,     0.000,    45.955,    29.553,     0.000
F51510,     0.000,    56.419,    31.985,     0.000
A51600,     0.000,    62.250,    33.145,     0.000
F51059,     0.000,    86.840,    10.548,     0.000
A51153,     0.000,   101.239,    13.100,     0.721
F51153,     0.000,   101.370,    13.098,     0.749
A24017,     0.000,    64.632,     5.389,     0.206
F24017,     0.000,    67.478,     3.697,     0.000
A51179,     0.000,   119.477,    12.934,     0.311
F51179,     0.000,   119.456,    12.948,     0.312
A51193,     0.000,    97.439,    25.758,     0.000
F51193,     0.000,    99.961,    23.918,     0.000
F51013,     0.000,    68.876,    25.339,     0.000
A51107,     0.000,   103.173,    15.777,     2.025
A51683,     0.000,    69.989,    25.716,     0.000
A51685,     0.000,    69.588,    26.764,     0.000
F51107,     0.000,    96.733,    15.980,     2.820
A51013,     0.000,    70.240,    23.589,     0.000
A24021,     0.000,   132.634,    23.172,     0.000
A42001,     0.000,   134.368,    18.025,     3.016
B42001,     0.000,   122.167,    17.009,     2.295
F42001,     0.000,   139.747,    15.764,     2.361
B24021,     0.000,   125.411,    25.449,     0.000
F24021,     0.000,   130.025,    23.998,     0.169
A51069,     0.000,   143.670,    18.828,     2.152
B51171,     0.000,   137.992,    18.825,     0.000
F51069,     0.000,   150.491,    17.110,     0.000
F51171,     0.000,   146.677,    18.169,     0.256
A24043,     0.000,    84.133,    33.807,     4.675
A42055,     0.000,   124.104,    28.011,     2.558
F24043,     0.000,   128.661,    22.912,     1.150
F42055,     0.000,   134.713,    21.508,     1.645
A51820,     0.000,    66.878,    40.322,     0.000
F51820,     0.000,    68.540,    39.580,     0.000
A51165,     0.000,   129.708,    22.398,     1.879
A54031,     0.000,   100.267,    15.026,     0.000
B51165,     0.000,   136.135,    13.125,     0.943
F51165,     0.000,   150.937,    15.040,     0.197
F54031,     0.000,    99.520,    15.908,     0.000
A51171,     0.000,   135.027,    22.525,     2.081
A51187,     0.000,   127.266,    16.262,     0.767
F51187,     0.000,   123.630,    18.380,     1.018
A51043,     0.000,   141.527,    20.095,     2.066
A51840,     0.000,    59.026,    19.984,     0.000
A51660,     0.000,    67.288,    43.942,     0.000
F51660,     0.000,    84.295,    36.617,     0.000
B42041,     0.000,    93.417,    27.382,     1.873
B42055,     0.000,   127.747,    23.530,     1.882
A54003,     0.000,   138.753,    24.846,     1.803
A54037,     0.000,   134.568,    28.011,     2.189
F54003,     0.000,   148.434,    19.483,     0.086
A51139,     0.000,   102.394,    18.524,     0.485
F51139,     0.000,   102.240,    18.505,     0.526
A51790,     0.000,    57.068,    13.846,     0.000
F51790,     0.000,    76.830,    32.544,     0.000
A42099,     0.000,   122.524,    16.814,     0.000
A54065,     0.000,   147.526,    14.899,     0.660
A42057,     0.000,   124.147,    24.589,     0.000
C51165,     0.000,   134.620,    18.824,     0.000
A54027,     0.000,   144.020,    18.892,     1.475
A24001,     0.000,   127.152,    16.375,     0.781
C42009,     0.000,   146.365,    14.294,     0.000
F24001,     0.000,   120.598,    15.252,     0.904
F54027,     0.000,   140.482,    20.367,     1.694
B51139,     0.000,   105.511,    17.933,     0.000
B51187,     0.000,   128.420,    15.722,     0.233
F51043,     0.000,   143.928,    18.975,     1.698
F54037,     0.000,   153.230,    17.238,     0.861
A42009,     0.000,   129.625,    17.143,     0.382
A54071,     0.000,    94.932,    15.646,     0.000
F54071,     0.000,    99.564,    14.162,     0.000
A54023,     0.000,    93.553,    17.583,     0.000
A54057,     0.000,    91.299,    15.374,     0.000
B54023,     0.000,    94.664,    18.662,     1.188
B54057,     0.000,    84.727,    18.084,     2.066
B54071,     0.000,    86.599,    20.666,     0.000
B54031,     0.000,   101.845,    13.918,     0.000
A42111,     0.000,   103.374,    16.227,     0.000
B24001,     0.000,   112.625,    19.393,     0.000
B42009,     0.000,   135.266,    15.832,     0.000
A24023,     0.000,    86.242,    29.686,     0.000
F54023,     0.000,    95.449,    15.556,     0.000
A54077,     0.000,    91.100,    12.455,     0.000
A54093,     0.000,   105.455,    14.389,     0.000
F24023,     0.000,    88.415,    28.009,     0.000
F54057,     0.000,    93.044,    11.760,     0.000
F54065,     0.000,   151.119,    13.973,     0.000
A42071,     0.000,    81.370,    16.230,     0.832
A42133,     0.000,   134.317,    36.287,     0.000
A42075,     0.000,    88.657,    34.129,     1.684
A42011,     0.000,   115.684,    13.761,     0.000
F42133,     0.000,   133.689,    32.487,     0.000
F42075,     0.000,   113.834,    25.947,     0.000
F42071,     0.000,    99.812,    10.785,     0.000
A42041,     0.000,   115.125,    17.615,     0.516
F42041,     0.000,    92.193,    28.396,     2.149
F42011,     0.000,   115.229,    11.867,     0.000
A42107,     0.000,   102.902,    14.947,     0.000
F42107,     0.000,   104.751,    13.491,     0.000
A42067,     0.000,   130.415,    18.865,     1.156
A42043,     0.000,   108.604,    15.079,     1.142
F42043,     0.000,   112.350,    14.441,     0.000
A42087,     0.000,   118.758,    16.278,     0.000
A42027,     0.000,    86.482,    82.943,     4.880
A42109,     0.000,   115.756,    11.934,     0.060
F42087,     0.000,   120.672,    14.292,     0.000
A42097,     0.000,   102.474,    56.801,     1.542
A42037,     0.000,   115.604,    53.713,     0.498
A42061,     0.000,   118.453,    13.041,     0.000
A42119,     0.000,   114.380,    31.299,     0.000
B42043,     0.000,   115.558,    14.105,     0.169
A42013,     0.000,   116.899,    16.867,     0.016
A42021,     0.000,    89.521,    16.792,     0.386
B42027,     0.000,   103.337,    79.686,     3.415
B42119,     0.000,   114.386,    30.690,     0.049
A42093,     0.000,   123.275,    39.998,     0.068
B42081,     0.000,   109.497,    20.959,     0.263
A42025,     0.000,    91.734,     8.787,     0.000
A42079,     0.000,    99.743,    19.227,     0.000
F42013,     0.000,   114.970,    15.136,     0.799
F42021,     0.000,    88.978,    16.393,     0.636
A42113,     0.000,   115.484,    25.214,     0.000
B42079,     0.000,   100.707,    16.479,     0.000
B42035,     0.000,    84.739,    12.437,     0.131
A42081,     0.000,   104.518,    20.796,     0.000
F42061,     0.000,   107.159,    14.470,     0.592
A42115,     0.000,    91.446,    18.244,     0.000
A42127,     0.000,   106.050,    23.761,     0.000
A42117,     0.000,   110.278,    27.732,     0.000
F42009,     0.000,   134.547,    15.205,     0.000
B42015,     0.000,   105.932,    22.537,     0.000
B42131,     0.000,   104.354,    14.560,     0.000
A42131,     0.000,   107.173,    16.133,     0.000
A42069,     0.000,    91.521,    15.372,     0.000
F42069,     0.000,    91.956,    14.857,     0.000
A42035,     0.000,    80.935,    13.305,     0.000
A42015,     0.000,   110.286,    21.690,     0.000
A42105,     0.000,    99.149,    26.698,     0.000
A42023,     0.000,   102.614,    16.809,     0.000
A36015,     0.000,   111.925,    22.195,     0.000
A36101,     0.000,   104.979,    17.121,     0.175
F42117,     0.000,   118.996,    24.297,     0.000
A36097,     0.000,   134.469,    25.992,     0.000
A36107,     0.000,    87.099,    14.503,     0.000
A36109,     0.000,    89.325,     9.382,     0.000
A42033,     0.000,   101.236,    24.689,     0.157
F42027,     0.000,   107.268,    74.911,     3.386
A36051,     0.000,    87.378,    33.087,     0.371
A36069,     0.000,   105.201,    36.375,     0.000
A36123,     0.000,   133.361,    26.591,     0.000
F36101,     0.000,   105.900,    16.625,     0.050
A36007,     0.000,    93.898,    18.435,     0.000
A42047,     0.000,    87.798,    13.799,     0.000
A36023,     0.000,    88.501,    20.225,     0.000
A42083,     0.000,    92.570,    14.409,     0.000
A42063,     0.000,   100.296,     9.977,     0.000
A42065,     0.000,    99.096,    17.754,     0.000
F42033,     0.000,   102.323,    25.320,     0.000
A36003,     0.000,    96.076,    36.389,     0.000
F36003,     0.000,    96.230,    36.230,     0.000
A36017,     0.000,    93.999,    36.143,     0.000
A36053,     0.000,    92.183,    29.787,     0.059
F42035,     0.000,    83.192,    10.515,     0.000
F42081,     0.000,   105.394,    17.907,     0.000
A36067,     0.000,   101.400,    19.742,     0.000
F36007,     0.000,    92.572,    20.352,     0.000
F42119,     0.000,   115.562,    30.388,     0.000
A36065,     0.000,   107.356,    70.400,     2.143
A36025,     0.000,    92.157,    24.089,     0.000
A36077,     0.000,    87.704,    25.600,     0.000
F36025,     0.000,    92.296,    24.080,     0.000
A36043,     0.000,    94.886,    34.509,     0.000
F36015,     0.000,   112.149,    22.064,     0.000
A36095,     0.000,    99.785,    19.093,     0.000
F42115,     0.000,    90.310,    15.629,     0.000
F42079,     0.000,   103.062,    14.080,     0.000
F42097,     0.000,   118.479,    53.018,     0.261
end
