TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A10001,50,1.000000,44.85476,1.5,20.00000,0.557354,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10003,50,1.000000,1.852434,1.5,20.00000,13.49575,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10005,50,1.000000,47.54522,1.5,20.00000,0.525815,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A11001,50,1.000000,9.564373,1.5,20.00000,2.613867,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24001,50,1.000000,1.157410,1.5,20.00000,21.59995,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24003,50,1.000000,3.610252,1.5,20.00000,6.924723,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24005,50,1.000000,50.37801,1.5,20.00000,0.496249,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24009,50,1.000000,40.53561,1.5,20.00000,0.616742,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24011,50,1.000000,0.905049,1.5,20.00000,27.62280,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24013,50,1.000000,15.07061,1.5,20.00000,1.658857,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24015,50,1.000000,4.430868,1.5,20.00000,5.642236,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24017,50,1.000000,4.159348,1.5,20.00000,6.010557,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24019,50,1.000000,0.479229,1.5,20.00000,52.16715,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24021,50,1.000000,3.455220,1.5,20.00000,7.235432,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24023,50,1.000000,0.577134,1.5,20.00000,43.31750,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24025,50,1.000000,8.058857,1.5,20.00000,3.102178,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24027,50,1.000000,5.384606,1.5,20.00000,4.642865,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24029,50,1.000000,0.602034,1.5,20.00000,41.52590,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24031,50,1.000000,24.90493,1.5,20.00000,1.003817,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24033,50,1.000000,29.83813,1.5,20.00000,0.837854,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24035,50,1.000000,3.318514,1.5,20.00000,7.533491,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24037,50,1.000000,38.24376,1.5,20.00000,0.653701,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24039,50,1.000000,0.925273,1.5,20.00000,27.01902,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24041,50,1.000000,0.712654,1.5,20.00000,35.08013,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24043,50,1.000000,100.0000,1.5,20.00000,0.179269,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
