TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A24013,0.4,8.66617512,70.98147405,60,72.92644084,80.24670512,57.62090095,58.81679335,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.531927,0.100000,0.,8.359236,0.531927,na,na,0.531927,0.100000,0.,4.430652,0.531927,na,na,0.081616,0.003538,0.000192,3.553670,0.081616,na,na,0.000100,0.003538,0.000192,0.592272,0.000100,9173.076,50000.00,0.0001,1.07,109.0147,155.8105,0.0001,1.07,8.970448,4.564409,0.0001,1.07,8.970448,4.564409,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24015,0.4,10.82687498,71.69084761,60,73.02493327,80.37095332,73.41010492,75.06862099,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.244262,0.059816,0.,5.163631,0.244262,na,na,0.244262,0.011988,0.,2.581816,0.244262,na,na,0.030467,0.004062,0.000273,2.147511,0.030467,na,na,0.000100,0.004062,0.000273,0.357921,0.000100,2297.665,8878.198,0.0001,1.07,435.2242,1013.720,0.0001,1.07,4.994697,5.488585,0.0001,1.07,4.994697,5.488585,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24017,0.4,11.38160131,93.82588115,60,72.46194161,79.66073934,74.2061067,75.88794563,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.271002,0.017715,0.,4.535490,0.271002,na,na,0.183177,0.003542,0.,2.267744,0.183177,na,na,0.018317,0.053281,0.000018,1.597310,0.018317,na,na,0.000100,0.053281,0.000018,0.266217,0.000100,1308.445,4093.189,0.0001,1.07,764.2657,2198.775,0.0001,1.07,0.330736,4.380686,0.0001,1.07,0.330736,4.380686,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24019,0.4,11.70814521,90.67459023,60,67.97859963,74.00500344,77.94094908,79.73221888,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.580694,0.040241,0.,7.792563,0.580694,na,na,0.580694,0.008059,0.,5.532337,0.580694,na,na,0.067814,0.013113,0.000061,3.095490,0.067814,na,na,0.000100,0.013113,0.000061,0.515912,0.000100,1274.481,25263.76,0.0001,1.07,784.6334,356.2418,0.0001,1.07,2.005929,5.086493,0.0001,1.07,2.005929,5.086493,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24021,0.4,8.89553794,86.16254679,60,74.64399958,82.41340547,54.50520348,55.60980594,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.287941,0.063318,0.,5.644529,0.287941,na,na,0.287941,0.012640,0.,2.822265,0.287941,na,na,0.039915,0.009574,0.000132,3.323383,0.039915,na,na,0.000100,0.009574,0.000132,0.553893,0.000100,1421.107,18273.31,0.0001,1.07,703.6772,492.5217,0.0001,1.07,3.443204,6.881936,0.0001,1.07,3.443204,6.881936,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24023,0.4,8.592249922,84.09700285,60,75.90991824,84.01036186,51.66532222,52.68671617,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.197553,0.010415,0.,4.714750,0.197553,na,na,0.197553,0.002078,0.,2.357376,0.197553,na,na,0.028858,0.003070,0.000363,1.634581,0.028858,na,na,0.000100,0.003070,0.000363,0.272431,0.000100,665.8207,12953.78,0.0001,1.07,1501.906,694.7784,0.0001,1.07,8.222925,10.23022,0.0001,1.07,8.222925,10.23022,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24025,0.4,9.829871706,76.05981816,60,74.10626944,81.7350589,70.96881411,72.55580036,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.510859,0.100000,0.,8.014937,0.510859,na,na,0.510859,0.084674,0.,4.007466,0.510859,na,na,0.076630,0.003513,0.000261,2.825600,0.076630,na,na,0.000100,0.003513,0.000261,0.470940,0.000100,5314.900,11519.42,0.0001,1.07,188.1503,781.2895,0.0001,1.07,9.721167,7.920512,0.0001,1.07,9.721167,7.920512,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24027,0.4,9.197760165,69.92606107,60,72.0840588,79.18404018,69.37935528,70.91977039,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.363040,0.100000,0.,6.646315,0.363040,na,na,0.363040,0.053501,0.,3.323158,0.363040,na,na,0.052668,0.004451,0.000278,2.927595,0.052668,na,na,0.000100,0.004451,0.000278,0.487936,0.000100,4538.545,7014.130,0.0001,1.07,220.3349,1283.124,0.0001,1.07,6.322981,6.655248,0.0001,1.07,6.322981,6.655248,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24029,0.4,11.48586698,84.6611575,60,76.52072595,84.78089578,86.57554961,88.61981322,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.377354,0.053131,0.,5.909972,0.377354,na,na,0.377354,0.010641,0.,2.954986,0.377354,na,na,0.060249,0.032474,0.000040,5.253953,0.060249,na,na,0.000100,0.032474,0.000040,0.875660,0.000100,1590.302,6100.596,0.0001,1.07,628.8120,1475.266,0.0001,1.07,1.152396,6.658181,0.0001,1.07,1.152396,6.658181,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24031,0.4,8.755937943,66.26503337,60,74.40415743,82.1108446,65.6992694,67.13185799,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.270728,0.100000,0.,5.859628,0.270728,na,na,0.270728,0.092106,0.,2.929812,0.270728,na,na,0.034403,0.003192,0.000408,3.405468,0.034403,na,na,0.000100,0.003192,0.000408,0.567574,0.000100,8338.993,3945.265,0.0001,1.07,119.9185,2281.216,0.0001,1.07,6.683682,7.192441,0.0001,1.07,6.683682,7.192441,0.0001,1.07,0.5,0.1,0,0,1.07,20
