TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A24013,0.4,8.66617512,70.98147405,60,72.92644084,80.24670512,57.62090095,58.81679335,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.035439,0.100000,0.,8.850215,0.035439,na,na,0.035439,0.013631,0.,8.850215,0.035439,na,na,0.000100,0.100000,0.100E-04,0.336313,0.200000,na,na,0.000100,0.100000,0.100E-04,0.056052,0.000100,25196.39,14765.07,0.001,1.07,39.68821,609.5476,0.001,1.07,0.100000,51.14615,0.001,1.07,0.100000,51.14615,0.001,1.07,na,na,na,na,na,na
A24015,0.4,10.82687498,71.69084761,60,73.02493327,80.37095332,73.41010492,75.06862099,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.026547,0.100000,0.,7.515428,0.026547,na,na,0.026547,0.021580,0.,7.515428,0.026547,na,na,0.000100,0.100000,0.100E-04,0.113219,0.200000,na,na,0.000100,0.038197,0.000015,0.033939,0.000100,36805.43,18912.96,0.001,1.07,27.16991,475.8640,0.001,1.07,0.100000,45.10469,0.001,1.07,0.100000,45.10469,0.001,1.07,na,na,na,na,na,na
A24017,0.4,11.38160131,93.82588115,60,72.46194161,79.66073934,74.2061067,75.88794563,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.353596,0.010975,0.,10.00000,0.353596,na,na,0.353596,0.000659,0.,10.00000,0.353596,na,na,0.000100,0.100000,0.100E-04,0.010771,0.200000,na,na,0.000100,0.100000,0.100E-04,0.010000,0.000100,30822.32,11901.45,0.001,1.07,32.44402,756.2100,0.001,1.07,0.100000,26.90603,0.001,1.07,0.100000,26.90603,0.001,1.07,na,na,na,na,na,na
A24019,0.4,11.70814521,90.67459023,60,67.97859963,74.00500344,77.94094908,79.73221888,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.311338,0.013216,0.,10.00000,0.311338,na,na,0.311338,0.000791,0.,10.00000,0.311338,na,na,0.000100,0.100000,0.100E-04,0.010000,0.200000,na,na,0.000100,0.100000,0.100E-04,0.010000,0.000100,34819.97,13745.39,0.001,1.07,28.71916,654.7650,0.001,1.07,0.100000,26.10707,0.001,1.07,0.100000,26.10707,0.001,1.07,na,na,na,na,na,na
A24021,0.4,8.89553794,86.16254679,60,74.64399958,82.41340547,54.50520348,55.60980594,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.033207,0.100000,0.,8.467597,0.033207,na,na,0.033207,0.015447,0.,8.467597,0.033207,na,na,0.000100,0.100000,0.100E-04,0.355972,0.200000,na,na,0.000100,0.100000,0.100E-04,0.059331,0.000100,30058.06,16048.90,0.001,1.07,33.26894,560.7859,0.001,1.07,0.100000,55.17449,0.001,1.07,0.100000,55.17449,0.001,1.07,na,na,na,na,na,na
A24023,0.4,8.592249922,84.09700285,60,75.90991824,84.01036186,51.66532222,52.68671617,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.321114,0.013484,0.,9.539418,0.321114,na,na,0.321114,0.000810,0.,9.539418,0.321114,na,na,0.000100,0.100000,0.100E-04,0.045453,0.200000,na,na,0.000100,0.100000,0.100E-04,0.029976,0.000100,19881.36,14225.17,0.001,1.07,50.29831,632.6813,0.001,1.07,0.100000,45.17445,0.001,1.07,0.100000,45.17445,0.001,1.07,na,na,na,na,na,na
A24025,0.4,9.829871706,76.05981816,60,74.10626944,81.7350589,70.96881411,72.55580036,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.020006,0.100000,0.,7.430617,0.020006,na,na,0.018397,0.032587,0.,7.430617,0.018397,na,na,0.000100,0.100000,0.000019,0.062765,0.200000,na,na,0.000100,0.017131,0.000038,0.045624,0.000100,41624.05,22863.38,0.001,1.07,24.02457,393.6429,0.001,1.07,0.100000,56.77227,0.001,1.07,0.100000,56.77227,0.001,1.07,na,na,na,na,na,na
A24027,0.4,9.197760165,69.92606107,60,72.0840588,79.18404018,69.37935528,70.91977039,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.026578,0.100000,0.,7.990520,0.026578,na,na,0.026578,0.020586,0.,7.990520,0.026578,na,na,0.000100,0.100000,0.000015,0.125911,0.200000,na,na,0.000100,0.022489,0.000030,0.028754,0.000100,31612.56,17852.86,0.001,1.07,31.63300,504.1212,0.001,1.07,0.100000,52.41809,0.001,1.07,0.100000,52.41809,0.001,1.07,na,na,na,na,na,na
A24029,0.4,11.48586698,84.6611575,60,76.52072595,84.78089578,86.57554961,88.61981322,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.060366,0.100000,0.,9.840045,0.060366,na,na,0.060366,0.006592,0.,9.840045,0.060366,na,na,0.000100,0.100000,0.100E-04,0.010000,0.200000,na,na,0.000100,0.100000,0.100E-04,0.010000,0.000100,38451.26,18260.74,0.001,1.07,26.00696,492.8608,0.001,1.07,0.100000,33.36019,0.001,1.07,0.100000,33.36019,0.001,1.07,na,na,na,na,na,na
A24031,0.4,8.755937943,66.26503337,60,74.40415743,82.1108446,65.6992694,67.13185799,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.025040,0.100000,0.,6.947010,0.025040,na,na,0.025040,0.022882,0.,6.947010,0.025040,na,na,0.000100,0.051179,0.000071,0.269322,0.200000,na,na,0.000100,0.006679,0.000116,0.044887,0.000100,33293.62,17176.75,0.001,1.07,30.03580,523.9646,0.001,1.07,0.100000,59.92828,0.001,1.07,0.100000,59.92828,0.001,1.07,na,na,na,na,na,na
