TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A24013,0.4,8.66617512,70.98147405,60,72.92644084,80.24670512,57.62090095,58.81679335,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.202935,0.001691,0.,10.00000,0.202935,na,na,0.202935,0.000339,0.,10.00000,0.202935,na,na,0.027253,0.005301,0.000364,1.582252,0.027253,na,na,0.000100,0.005301,0.000551,0.263707,0.000100,192.4768,50000.00,0.0001,1.07,5195.432,132.1842,0.0001,1.07,2.170782,3.794405,0.0001,1.07,2.170782,3.794405,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24015,0.4,10.82687498,71.69084761,60,73.02493327,80.37095332,73.41010492,75.06862099,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.190345,0.002999,0.,10.00000,0.190345,na,na,0.190345,0.000601,0.,10.00000,0.190345,na,na,0.022248,0.004378,0.000467,1.154861,0.022248,na,na,0.000100,0.004378,0.000621,0.192477,0.000100,47.09493,48436.92,0.0001,1.07,21233.70,185.8087,0.0001,1.07,1.998653,3.191256,0.0001,1.07,1.998653,3.191256,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24017,0.4,11.38160131,93.82588115,60,72.46194161,79.66073934,74.2061067,75.88794563,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.263330,0.002500,0.,10.00000,0.263330,na,na,0.200124,0.000499,0.,10.00000,0.200124,na,na,0.020012,0.002043,0.000609,0.719479,0.020012,na,na,0.000100,0.002043,0.000609,0.119914,0.000100,129.6558,37381.16,0.0001,1.07,7712.728,240.7629,0.0001,1.07,1.981996,2.279806,0.0001,1.07,1.981996,2.279806,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24019,0.4,11.70814521,90.67459023,60,67.97859963,74.00500344,77.94094908,79.73221888,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.209771,0.002469,0.,10.00000,0.209771,na,na,0.169256,0.000492,0.,10.00000,0.169256,na,na,0.016926,0.003523,0.000600,1.426137,0.016926,na,na,0.000100,0.003523,0.000600,0.237690,0.000100,13.70691,50000.00,0.0001,1.07,50000.00,147.5696,0.0001,1.07,1.899543,2.904496,0.0001,1.07,1.899543,2.904496,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24021,0.4,8.89553794,86.16254679,60,74.64399958,82.41340547,54.50520348,55.60980594,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.214868,0.001855,0.,10.00000,0.214868,na,na,0.214868,0.000370,0.,10.00000,0.214868,na,na,0.029618,0.006137,0.000306,1.213157,0.029618,na,na,0.000100,0.006137,0.000435,0.202192,0.000100,98.04942,50000.00,0.0001,1.07,10198.94,111.9262,0.0001,1.07,2.043993,3.728037,0.0001,1.07,2.043993,3.728037,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24023,0.4,8.592249922,84.09700285,60,75.90991824,84.01036186,51.66532222,52.68671617,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.177833,0.000211,0.,10.00000,0.177833,na,na,0.177833,0.000100,0.,10.00000,0.177833,na,na,0.021502,0.002608,0.000832,0.647181,0.021502,na,na,0.000100,0.002608,0.000832,0.107865,0.000100,170.2202,50000.00,0.0001,1.07,5874.747,154.4091,0.0001,1.07,4.528499,5.663935,0.0001,1.07,4.528499,5.663935,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24025,0.4,9.829871706,76.05981816,60,74.10626944,81.7350589,70.96881411,72.55580036,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.151872,0.001589,0.,10.00000,0.151872,na,na,0.151872,0.000319,0.,10.00000,0.151872,na,na,0.018594,0.001981,0.001062,0.894526,0.018594,na,na,0.000100,0.001981,0.001062,0.149088,0.000100,368.4410,46797.15,0.0001,1.07,2714.138,192.3194,0.0001,1.07,4.386853,5.263794,0.0001,1.07,4.386853,5.263794,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24027,0.4,9.197760165,69.92606107,60,72.0840588,79.18404018,69.37935528,70.91977039,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.188623,0.002196,0.,10.00000,0.188623,na,na,0.188623,0.000439,0.,10.00000,0.188623,na,na,0.023696,0.002905,0.000757,1.084144,0.023696,na,na,0.000100,0.002905,0.000781,0.180691,0.000100,312.9590,42956.37,0.0001,1.07,3195.307,209.5148,0.0001,1.07,3.088115,4.123983,0.0001,1.07,3.088115,4.123983,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24029,0.4,11.48586698,84.6611575,60,76.52072595,84.78089578,86.57554961,88.61981322,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.349272,0.005035,0.,10.00000,0.349272,na,na,0.349272,0.001007,0.,10.00000,0.349272,na,na,0.051429,0.013471,0.000112,2.372154,0.051429,na,na,0.000100,0.013471,0.000225,0.395360,0.000100,55.36619,49917.33,0.0001,1.07,18061.57,180.2982,0.0001,1.07,1.036661,3.031811,0.0001,1.07,1.036661,3.031811,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24031,0.4,8.755937943,66.26503337,60,74.40415743,82.1108446,65.6992694,67.13185799,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.198214,0.004549,0.,10.00000,0.198214,na,na,0.198214,0.000910,0.,10.00000,0.198214,na,na,0.023924,0.002482,0.000851,1.485644,0.023924,na,na,0.000100,0.002482,0.000851,0.247608,0.000100,366.7574,33005.27,0.0001,1.07,2726.598,272.6837,0.0001,1.07,3.198284,4.130999,0.0001,1.07,3.198284,4.130999,0.0001,1.07,0.5,0.1,0,0,1.07,20
