TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A36023,1.657500,1,0.03,0.3,0,50,1218.125,5,0.5,2,0,550,103.4270,5,1,8,0,300,10.97850,6,0.5,1,0,100,0,0,0,0,na,na
A36025,4.269000,1,0.03,0.3,0,50,1252.620,5,0.5,2,0,550,95.06850,5,1,8,0,300,11.63300,6,0.5,1,0,100,0,0,0,0,na,na
A36043,0.647500,1,0.03,0.3,0,50,1191.864,5,0.5,2,0,550,61.27400,5,1,8,0,300,7.495500,6,0.5,1,0,100,0,0,0,0,na,na
A36051,4.438000,1,0.03,0.3,0,50,788.7180,5,0.5,2,0,550,92.10249,5,1,8,0,300,8.237000,6,0.5,1,0,100,0,0,0,0,na,na
A36053,4.246000,1,0.03,0.3,0,50,1110.173,5,0.5,2,0,550,104.6040,5,1,8,0,300,11.30850,6,0.5,1,0,100,0,0,0,0,na,na
A36065,3.795500,1,0.03,0.3,0,50,939.7955,5,0.5,2,0,550,73.56200,5,1,8,0,300,8.556000,6,0.5,1,0,100,0,0,0,0,na,na
A36067,4.992000,1,0.03,0.3,0,50,831.9814,5,0.5,2,0,550,104.6570,5,1,8,0,300,12.35050,6,0.5,1,0,100,0,0,0,0,na,na
A36069,7.167500,1,0.03,0.3,0,50,714.6355,5,0.5,2,0,550,73.78700,5,1,8,0,300,6.943500,6,0.5,1,0,100,0,0,0,0,na,na
A36077,2.646500,1,0.03,0.3,0,50,1040.279,5,0.5,2,0,550,65.19450,5,1,8,0,300,7.597000,6,0.5,1,0,100,0,0,0,0,na,na
A36095,5.023000,1,0.03,0.3,0,50,927.5960,5,0.5,2,0,550,85.81200,5,1,8,0,300,10.52150,6,0.5,1,0,100,0,0,0,0,na,na
A36097,7.824500,1,0.03,0.3,0,50,832.8925,5,0.5,2,0,550,34.44800,5,1,8,0,300,3.082500,6,0.5,1,0,100,0,0,0,0,na,na
A36101,3.877000,1,0.03,0.3,0,50,866.0715,5,0.5,2,0,550,24.53600,5,1,8,0,300,1.877500,6,0.5,1,0,100,0,0,0,0,na,na
A36107,0.008000,1,0.03,0.3,0,50,1044.606,5,0.5,2,0,550,26.49550,5,1,8,0,300,2.305500,6,0.5,1,0,100,0,0,0,0,na,na
A36109,0.210500,1,0.03,0.3,0,50,821.4695,5,0.5,2,0,550,25.02550,5,1,8,0,300,2.199000,6,0.5,1,0,100,0,0,0,0,na,na
A36123,4.893500,1,0.03,0.3,0,50,819.9975,5,0.5,2,0,550,46.88000,5,1,8,0,300,4.192500,6,0.5,1,0,100,0,0,0,0,na,na
A37001,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37005,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37009,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37033,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37067,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37077,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37081,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37131,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37135,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37145,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
A37157,15,1,0.03,0.3,0,50,300,5,0.5,2,0,550,200,5,1,8,0,300,100,6,0.5,1,0,100,0,0,0,0,na,na
