TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A10001,50,1.000000,6.201719,1.5,20.00000,4.031140,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10003,50,1.000000,3.187155,1.5,20.00000,7.843986,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10005,50,1.000000,2.118335,1.5,20.00000,11.80172,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A11001,50,1.000000,6.655253,1.5,20.00000,3.756431,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24001,50,1.000000,2.762379,1.5,20.00000,9.050170,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24003,50,1.000000,6.195340,1.5,20.00000,4.035292,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24005,50,1.000000,11.55648,1.5,20.00000,2.163289,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24009,50,1.000000,11.66596,1.5,20.00000,2.142987,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24011,50,1.000000,1.061753,1.5,20.00000,23.54597,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24013,50,1.000000,8.206333,1.5,20.00000,3.046427,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24015,50,1.000000,6.059113,1.5,20.00000,4.126016,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24017,50,1.000000,3.068928,1.5,20.00000,8.146164,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24019,50,1.000000,0.958949,1.5,20.00000,26.07021,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24021,50,1.000000,7.963255,1.5,20.00000,3.139420,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24023,50,1.000000,2.838056,1.5,20.00000,8.808847,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24025,50,1.000000,6.822795,1.5,20.00000,3.664186,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24027,50,1.000000,7.600205,1.5,20.00000,3.289385,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24029,50,1.000000,5.069721,1.5,20.00000,4.931237,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
