river,cal5 name  ***
SU2_0070_0090,CHENANGO R
SU2_0100_0230,SCHENEUUS CR
SU2_0110_0240,OTSELIC RIVER AT CINCINNATUS NY
SU2_0120_0260,TIOUGHNIOGA CR
SU2_0130_0250,OTEGO CR
SU2_0150_0220,CHARLOTTE CR
SU2_0160_0260,TIOUGHNIOGA R  W BR
SU2_0210_0300,BUTTERNUT CR
SU2_0280_0430,GENEGANTSLET CR
SU2_0290_0291,OULEOUT
SU2_0291_0320,OULEOUT CREEK AT EAST SIDNEY NY
SU2_0320_0340,OULEOUT
SU2_0360_0460,KELSIE CR
SU2_0440_0550,NANTICOKE CR
SU2_0450_0720,CAYUTA CR
SU2_0470_0590,CATATONK CR
SU2_0510_0570,CANISTEO R BELOW CANACADEA CR @ HORNELL NY
SU2_0560_0590,OWEGO CR
SU2_0570_0580,CANISTEO R
SU2_0620_0580,BENNETTES CR
SU2_0640_0630,TUSCARORA CR  N BR
SU2_0670_0810,"LACKAWANNA RIVER NEAR FOREST CITY, PA."
SU2_0680_0610,SEELEY CR
SU2_0700_0860,WYALUSING CR
SU2_0740_0741,COWANESQUE R
SU2_0741_0690,"COWANESQUE RIVER NR LAWRENCEVILLE, PA"
SU2_0760_0960,MESHOPPEN CR
SU2_0780_0710,TUNKHANNOCK CR  E BR
SU2_0800_0850,SUGAR CR
SU2_0830_0831,TIOGA R
SU2_0890_0900,TOWANDA CR
SU2_0900_0870,"TOWANDA CREEK NEAR MONROETON, PA"
SU2_0920_0830,"TIOGA RIVER NEAR MANSFIELD, PA"
SU2_0990_0950,MEHOOPANY CR
SU2_1020_0980,BOWMAN CR
SU2_1200_1310,HUNTINGTON CR
SU2_1210_1310,FISHING CR
SU2_1290_1500,NESCOPECK CR
SU2_1550_1620,CATAWISSA CR
SU3_0010_0190,UNADILLA R
SU3_0090_0170,CHENANGO RIVER AT SHERBURNE NY
SU3_0140_0180,SUSQUEHANNA R
SU3_0170_0270,CHENANGO R
SU3_0180_0230,SUSQUEHANNA R
SU3_0190_0300,UNADILLA R
SU3_0240_0350,WHITNEY POINT DAM
SU3_0370_0490,COHOCTON RIVER NEAR CAMPBELL NY
SU3_0490_0530,COHOCTON R
SU3_0590_0540,OWEGO CR
SU3_0710_0910,"TUNKHANNOCK CREEK NEAR TUNKHANNOCK, PA"
SU3_0770_0690,TIOGA R
SU3_0790_0770,"TIOGA RIVER AT TIOGA JUNCTION, PA"
SU3_0810_0970,"LACKAWANNA RIVER AT ARCHBALD, PA."
SU3_0831_0790,"TIOGA RIVER AT TIOGA, PA"
SU3_0870_0730,TOWANDA CR
SU3_0910_1010,TUNKHANNOCK CR
SU3_0970_1120,"LACKAWANNA RIVER AT OLD FORGE, PA."
SU3_1280_1590,FISHING CR
SU3_1310_1280,"FISHING CREEK NEAR BLOOMSBURG, PA."
SU3_1500_1420,NESCOPECK CR
SU4_0220_0250,SUSQUEHANNA R
SU4_0230_0220,SUSQUEHANNA R
SU4_0250_0340,SUSQUEHANNA R
SU4_0260_0003,TIOUGHNIOGA RIVER AT CORTLAND NY
SU4_0260_0350,TIOUGHNIOGA R
SU4_0270_0430,CHENANGO R
SU4_0300_0310,UNADILLA RIVER AT ROCKDALE NY
SU4_0350_0420,TIOUGHNIOGA R
SU4_0430_0420,CHENANGO R
SU4_0580_0630,CANISTEO R
SU4_0630_0650,CANISTEO R
SU4_0690_0650,TIOGA RIVER AT LINDLEY NY
SU5_0310_0400,SUSQUEHANNA R
SU5_0340_0310,SUSQUEHANNA RIVER AT UNADILLA NY
SU5_0400_0460,SUSQUEHANNA R
SU5_0420_0003,CHENANGO RIVER NEAR CHENANGO FORKS NY
SU5_0420_0500,CHENANGO R
SU5_0460_0480,SUSQUEHANNA R
SU5_0530_0003,CHEMUNG RIVER AT CORNING NY
SU5_0530_0610,CHEMUNG R
SU5_0600_0750,CHEMUNG R
SU5_0610_0600,CHEMUNG RIVER AT CHEMUNG NY
SU5_0650_0003,TIOGA RIVER NEAR ERWINS NY
SU5_0650_0530,TIOGA R
SU6_0480_0520,SUSQUEHANNA RIVER AT CONKLIN NY
SU6_0500_0550,SUSQUEHANNA R
SU6_0520_0500,SUSQUEHANNA R
SU7_0540_0720,SUSQUEHANNA R
SU7_0550_0540,SUSQUEHANNA R
SU7_0720_0003,SUSQUEHANNA RIVER NEAR WAVERLY NY
SU7_0720_0750,SUSQUEHANNA R
SU7_0730_0860,SUSQUEHANNA R
SU7_0750_0850,SUSQUEHANNA R
SU7_0850_0730,"SUSQUEHANNA RIVER AT TOWANDA, PA"
SU7_0860_0960,SUSQUEHANNA R
SU7_0950_1010,SUSQUEHANNA R
SU7_0960_0003,"SUSQUEHANNA RIVER AT MESHOPPEN, PA"
SU7_0960_0950,SUSQUEHANNA R
SU7_0980_1120,SUSQUEHANNA R
SU7_1010_0980,SUSQUEHANNA R
SU7_1120_1140,"SUSQUEHANNA RIVER AT WILKES-BARRE, PA"
SU7_1140_1420,SUSQUEHANNA R
SU7_1420_1590,SUSQUEHANNA R
SU8_1530_1760,SUSQUEHANNA R
SU8_1590_1620,SUSQUEHANNA R
SU8_1610_1530,"SUSQUEHANNA RIVER AT DANVILLE, PA"
SU8_1620_1610,SUSQUEHANNA R
SW0_1520_1600,"BEECH CREEK AT MONUMENT, PA"
SW1_1160_1260,WALLIS RUN
SW1_1170_1270,SINNEMAHONING PORTAGE CR
SW1_1180_1190,"MUNCY CREEK NEAR SONESTOWN, PA"
SW1_1450_1510,"CHILLISQUAQUE CREEK AT WASHINGTONVILLE, PA"
SW1_1510_1680,CHILLISQUAQUE CR
SW1_1560_1460,WHITE DEER CR
SW1_1570_1640,BUFFALO CR
SW1_1830_1690,"SPRING CREEK AT MILESBURG, PA"
SW1_1890_1830,"SPRING CREEK NEAR AXEMANN, PA."
SW1_1910_1890,"SPRING CREEK AT HOUSERVILLE, PA"
SW2_0880_0930,PINE CR
SW2_1000_1110,BABB CR
SW2_1030_1060,LITTLE LOYALSOCK CR
SW2_1050_0930,PINE CR  W BR
SW2_1070_1060,LOYALSOCK CR
SW2_1100_1130,"KETTLE CREEK AT CROSS FORK, PA"
SW2_1190_1410,MUNCY CR
SW2_1240_1270,WEST CR
SW2_1360_1430,BENNETTE BR
SW2_1770_1690,BALD EAGLE CR
SW2_1950_1940,SUSQUEHANNA R  W BR
SW2_2020_1940,CHEST CR
SW3_0930_1110,PINE CR
SW3_1040_1220,"LYCOMING CREEK NEAR TROUT RUN, PA"
SW3_1060_1260,LOYALSOCK CR
SW3_1080_1350,TEXAS CR
SW3_1090_1091,SINNEMAHONING CR  FIRST FK
SW3_1091_1380,"F FORK SINNEMAHONING CR NR SINNEMAHONING, PA"
SW3_1130_1390,"KETTLE CREEK NEAR WESTPORT, PA"
SW3_1220_1320,LYCOMING CR
SW3_1250_1340,LARRYS CR
SW3_1270_1370,"DRIFTWOOD BR SINNEMAHONING CR AT STERLING RUN, PA"
SW3_1370_1430,DRIFTWOOD BR
SW3_1380_1490,SINNEMAHONING CR  FIRST FK
SW3_1390_1330,KETTLE CR
SW3_1580_0003,"BALD EAGLE CREEK NEAR BEECH CREEK STATION, PA"
SW3_1580_1440,BALD EAGLE CR
SW3_1600_1580,BEECH CR
SW3_1660_1580,BALD EAGLE CR
SW3_1690_0003,"BALD EAGLE CREEK BL SPRING CREEK AT MILESBURG, PA"
SW3_1690_1660,"BALD EAGLE CREEK AT BLANCHARD, PA"
SW3_1750_1540,MOSHANNON CR
SW3_1800_1650,CLEARFIELD CR
SW3_1870_1800,"CLEARFIELD CREEK AT DIMELING, PA"
SW3_1920_1750,"MOSHANNON CREEK AT OSCEOLA MILLS, PA."
SW4_1110_1150,"PINE CREEK AT CEDAR RUN, PA"
SW4_1150_1350,PINE CR
SW4_1260_0003,"LOYALSOCK CREEK AT LOYALSOCKVILLE, PA"
SW4_1260_1300,LOYALSOCK CR
SW4_1430_1490,"SINNEMAHONING CREEK AT SINNEMAHONING, PA"
SW4_1490_1400,SINNEMAHONING CR
SW4_1720_1650,"WEST BRANCH SUSQUEHANNA RIVER AT HYDE, PA"
SW4_1860_1720,"WB SUSQUEHANNA RIVER NEAR CURWENSVILLE, PA"
SW4_1940_1860,"WEST BRANCH SUSQUEHANNA RIVER AT BOWER, PA"
SW5_1350_0003,"PINE CREEK BL L PINE CREEK NEAR WATERVILLE, PA"
SW5_1350_1470,PINE CR
SW5_1540_0003,"WB SUSQUEHANNA RIVER AT KARTHAUS, PA"
SW5_1540_1400,SUSQUEHANNA R  W BR
SW5_1650_1540,SUSQUEHANNA R  W BR
SW6_1230_1440,SUSQUEHANNA R  W BR
SW6_1330_1230,"WEST BRANCH SUSQUEHANNA RIVER AT RENOVO, PA"
SW6_1400_1330,SUSQUEHANNA R  W BR
SW6_1440_1470,SUSQUEHANNA R  W BR
SW7_1300_1410,SUSQUEHANNA R  W BR
SW7_1320_0003,"WB SUSQUEHANNA RIVER AT WILLIAMSPORT, PA"
SW7_1320_1300,SUSQUEHANNA R  W BR
SW7_1340_1320,SUSQUEHANNA R  W BR
SW7_1410_1460,SUSQUEHANNA R  W BR
SW7_1460_1640,SUSQUEHANNA R  W BR
SW7_1470_1340,SUSQUEHANNA R  W BR
SW7_1640_0003,"WEST BRANCH SUSQUEHANNA RIVER AT LEWISBURG, PA"
SW7_1640_1680,SUSQUEHANNA R  W BR
SW7_1680_1760,SUSQUEHANNA R  W BR
TU1_8570_8680,LITTLE R
TU1_9010_9290,BIG MOCCASIN CR
TU1_9220_9200,BEAVERDAM CR
TU2_8790_9070,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA"
TU2_8860_9000,GUEST R
TU2_8950_9040,"S F HOLSTON RIVER AT RIVERSIDE NR CHILHOWIE, VA"
TU2_8970_9280,COPPER CR
TU2_9070_9090,HOLSTON R  MIDDLE FK
TU2_9100_9200,WHITETOP LAUREL CR
TU2_9200_9180,WHITETOP LAUREL CR
TU3_8480_8680,CLINCH R
TU3_8650_8800,"N F HOLSTON RIVER NEAR SALTVILLE, VA"
TU3_8880_9230,POWELL R
TU3_9040_9180,HOLSTON R  S FK
TU3_9060_9230,POWELL R  N FK
TU3_9180_0003,"S F HOLSTON RIVER NEAR DAMASCUS, VA"
TU3_9180_9090,HOLSTON R  S FK
TU3_9230_9260,"POWELL RIVER NEAR JONESVILLE, VA"
TU4_8680_8810,"CLINCH RIVER AT CLEVELAND, VA"
TU4_8800_9290,HOLSTON R  N FK
TU4_8810_9000,CLINCH R
TU5_9000_9280,CLINCH R
TU5_9280_0003,"CLINCH RIVER AT SPEERS FERRY, VA"
WM0_3650_0001,JONES FALLS
WM0_3740_0001,HERRING RUN
WM0_3881_3880,LIBERTY DAM
WM1_3660_3910,"GWYNNS FALLS AT VILLA NOVA, MD"
WM1_3882_3880,PATAPSCO R
WM1_3910_0001,GWYNNS FALLS
WM3_3880_4060,"PATAPSCO RIVER AT HOLLOFIELD, MD"
WM3_4060_0001,PATAPSCO R
WU0_3021_3020,PRETTYBOY DAM
WU0_3250_0001,BYNUM RUN
WU0_3670_0001,WHITEMARSH RUN
WU1_3240_3331,"WINTERS RUN NEAR BENSON, MD"
WU1_3330_0001,WINTERS RUN
WU1_3331_3330,WINTERS RUN
WU1_3350_3490,"WESTERN RUN AT WESTERN RUN, MD"
WU1_3482_0001,WESTERN RUN
WU1_3490_3480,GUNPOWDER FALLS
WU2_3020_3320,"GUNPOWDER FALLS AT GLENCOE, MD"
WU2_3320_3480,GUNPOWDER FALLS
WU3_3480_3481,LOCH RAVEN DAM
WU3_3481_0001,GUNPOWDER FALLS
XL0_5320_0001,"HUNTING CREEK NEAR HUNTINGTOWN, MD"
XL1_4690_0001,WESTERN BRANCH AT UPPER MARLBORO MD
XU0_4090_4270,LITTLE PATUXENT R
XU0_4091_4270,MIDDLE PATUXENT R
XU0_4130_4070,"PATUXENT RIVER NEAR UNITY, MD"
XU2_4070_4330,"PATUXENT RIVER BELOW BRIGHTON DAM NEAR BRIGHTON,MD"
XU2_4270_0003,"LITTLE PATUXENT RIVER AT SAVAGE, MD"
XU2_4270_4650,LITTLE PATUXENT R
XU2_4330_4480,"PATUXENT R NR LAUREL, MD"
XU2_4480_4650,PATUXENT R
XU3_4650_0001,"PATUXENT RIVER NEAR BOWIE, MD"
YL2_6580_0001,PIANKATANK R
YM1_6370_6620,MARRACOSSIC CR
YM2_6120_6430,"MATTAPONI RIVER NEAR BOWLING GREEN, VA"
YM3_6430_6620,MATTAPONI R
YM4_6620_0001,MATTAPONI R
YM4_6620_0003,"MATTAPONI RIVER NEAR BEULAHVILLE, VA"
YP0_6840_0001,TOTOPONOMOY CR
YP0_6860_6840,"TOTOPOTOMOY CREEK NEAR STUDLEY, VA"
YP1_6570_6680,"LITTLE RIVER NEAR DOSWELL, VA"
YP1_6680_6670,LITTLE R
YP2_6390_6330,"NORTH ANNA RIVER NEAR PARTLOW, VA"
YP3_6330_6700,"NORTH ANNA RIVER AT HART CORNER NEAR DOSWELL, VA"
YP3_6470_6690,"SOUTH ANNA RIVER NEAR ASHLAND, VA"
YP3_6670_6720,N ANNA R
YP3_6690_6720,S ANNA R
YP3_6700_6670,N ANNA R
YP4_6720_6750,"PAMUNKEY RIVER NEAR HANOVER, VA"
YP4_6750_0001,PAMUNKEY R
end
