river,cal5 name  ***
JU4_7260_0003,"MAURY RIVER NEAR BUENA VISTA, VA"
JU4_7260_7380,MAURY R
JU4_7330_0003,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA"
JU4_7330_7000,JACKSON R
JU4_7380_7160,MAURY R
JU5_7300_0003,"JAMES RIVER AT LICK RUN, VA"
JU5_7300_7510,JAMES R
JU5_7420_7160,JAMES R
JU5_7500_7420,"JAMES RIVER AT BUCHANAN, VA"
JU5_7510_7500,JAMES R
MN0_8300_0001,"CYPRESS SWAMP AT CYPRESS CHAPEL, VA"
MN1_7590_7860,MILL SWAMP
MN1_7620_7710,ROWANTY CR
MN1_7730_8160,ASSAMOOSIAK SWAMP
MN1_7990_8100,"NORTH MEHERRIN RIVER NEAR LUNENBURG, VA"
MN2_7720_7830,"STONY CREEK NEAR DINWIDDIE, VA"
MN2_7830_7950,STONY CR
MN2_8100_8190,N MEHERIN R
MN2_8250_8190,M MEHERIN R
MN2_8530_8510,"FOUNTAINS CREEK NEAR BRINK, VA"
MN3_7540_7680,"BLACKWATER RIVER NEAR DENDRON, VA"
MN3_7680_7860,BLACKWATER R
MN3_7770_7930,"NOTTOWAY RIVER NEAR RAWLINGS, VA"
MN3_7860_8080,BLACKWATER R
MN3_7930_8010,"NOTTOWAY RIVER NEAR STONY CREEK, VA"
MN3_8010_7950,NOTTOWAY R
MN3_8190_8260,"MEHERRIN RIVER NEARLAWRENCEVILLE, VA"
MN4_7710_8161,NOTTOWAY R
MN4_7810_8080,SEACOCK SWAMP
MN4_7950_7710,NOTTOWAY R
MN4_8080_8110,"BLACKWATER RIVER NEAR FRANKLIN, VA"
MN4_8260_8400,"MEHERRIN RIVER AT EMPORIA, VA"
MN4_8400_8380,MEHERIN R
MN4_8510_8380,FONTAINE CR
MN5_8161_0003,"NOTTOWAY RIVER NEAR SEBRELL, VA"
MN5_8161_8160,NOTTOWAY R
MN5_8230_8161,THREE CR
NR1_7880_8050,STONY CR
NR1_8030_8051,RICH CR
NR1_8820_8760,CRIPPLE CR
NR1_8960_8870,ELK CR
NR1_9030_9080,FOX CR
NR1_9150_9050,LITTLE R
NR2_8210_8180,"WOLF CREEK NEAR NARROWS, VA"
NR2_8600_8700,"REED CREEK AT GRAHAMS FORGE, VA"
NR2_9250_9170,NEW R  N FK
NR3_8290_8170,"WALKER CREEK AT BANE, VA"
NR3_8420_8430,"LITTLE RIVER AT GRAYSONTOWN, VA"
NR3_8430_7820,LITTLE R
NR3_8690_8500,"BIG REED ISLAND CREEK NEAR ALLISONIA, VA"
NR3_8740_8500,LITTLE REED ISLAND CR
NR3_9170_9130,NEW R  N FK
NR3_9190_9170,BIG HORSE CR
NR3_9240_9130,NEW R  S FK
NR3_9310_9240,"SOUTH FORK NEW RIVER NEAR JEFFERSON, NC"
NR4_9130_9080,NEW R
NR5_8700_8640,REED CR
NR5_8760_8640,NEW R
NR5_8870_0003,"NEW RIVER NEAR GALAX, VA"
