PAPER_SEG,UPSTREAM_1,UPSTREAM_2***
JU4_7260_0003,JU3_6790_7260,JU1_6880_7260
JU4_7330_0003,JU2_7140_7330,JU3_6950_7330
JU5_7300_0003,JU4_7000_7300,JU3_6650_7300
GY0_4532_0003,GY0_4530_4532,GY0_4531_4532
PM4_4040_0003,PM4_3341_4040,PM1_3710_4040
PM7_4200_0003,PM1_4430_4200,PM7_4290_4200
PM7_4620_0003,PM3_4660_4620,PM7_4410_4620
PU1_5380_0003,PU0_5620_5380,PU1_5820_5380
PU3_5210_0003,PU1_5520_5210,PU2_5700_5210
PU4_4310_0003,PU2_5190_4310,PU4_5050_4310
PU4_4440_0003,PU3_4450_4440,PU1_4300_4440
PU4_5050_0003,PU3_5210_5050,PU1_5380_5050
RU3_5610_0003,RU2_5810_5610,RU2_5500_5610
RU4_5640_0003,RU2_5220_5640,RU3_5610_5640
SJ6_2130_0003,SJ2_2150_2130,SJ6_1970_2130
SL9_2270_0003,SL9_2050_2270,SL4_2330_2270
SU4_0260_0003,SU2_0120_0260,SU2_0160_0260
SU5_0420_0003,SU4_0430_0420,SU4_0350_0420
SU5_0530_0003,SU3_0490_0530,SU5_0650_0530
SU5_0650_0003,SU4_0630_0650,SU4_0690_0650
SU7_0720_0003,SU2_0450_0720,SU7_0540_0720
SU7_0960_0003,SU2_0760_0960,SU7_0860_0960
SW3_1580_0003,SW3_1600_1580,SW3_1660_1580
SW3_1690_0003,SW2_1770_1690,SW1_1830_1690
SW4_1260_0003,SW1_1160_1260,SW3_1060_1260
SW5_1350_0003,SW3_1080_1350,SW4_1150_1350
SW5_1540_0003,SW5_1650_1540,SW3_1750_1540
SW7_1320_0003,SW7_1340_1320,SW3_1220_1320
SW7_1640_0003,SW1_1570_1640,SW7_1460_1640
XU2_4270_0003,XU0_4090_4270,XU0_4091_4270
YM4_6620_0003,YM3_6430_6620,YM1_6370_6620
EL0_4562_0003,EL0_4560_4562,EL0_4561_4562
end
