TABLE->,HT-BED-FLAGS,HT-BED-FLAGS,HT-BED-FLAGS,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,HEAT-INIT,HEAT-INIT
VARS->,BDFG,TGFG,TSTP,ELEV,ELDAT,CFSAEX,KATRAD,KCOND,KEVAP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TW,AIRTMP
MN0_8300_0001,0,na,na,25,-17,0.1,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN1_7590_7860,0,na,na,48,-6,0.1,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN4_7810_8080,0,na,na,41,-22,0.4,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN3_7540_7680,0,na,na,87,5,0.3,11.50000,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN3_7680_7860,0,na,na,25,-57,0.3,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN3_7860_8080,0,na,na,13,-41,0.3,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN4_8080_8110,0,na,na,8,-46,0.4,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN1_7990_8100,0,na,na,469,26,0.1,12.12500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN2_8530_8510,0,na,na,198,-92,0.2,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN2_8250_8190,0,na,na,367,-76,0.2,12.12500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN4_8510_8380,0,na,na,95,-55,0.4,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN2_8100_8190,0,na,na,343,-100,0.2,12.12500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN3_8190_8260,0,na,na,244,-199,0.3,12.12500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN4_8260_8400,0,na,na,131,-159,0.4,12.12500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN4_8400_8380,0,na,na,49,-101,0.4,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN1_7730_8160,0,na,na,61,-39,0.1,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN1_7620_7710,0,na,na,167,-66,0.1,12.37500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN5_8230_8161,0,na,na,130,67,0.5,12.37500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN2_7720_7830,0,na,na,246,13,0.2,12.37500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN3_7770_7930,0,na,na,351,-40,0.3,13.25000,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN2_7830_7950,0,na,na,100,-133,0.2,12.37500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN3_7930_8010,0,na,na,157,-133,0.3,13.25000,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN3_8010_7950,0,na,na,93,-6,0.3,12.37500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN4_7950_7710,0,na,na,61,-39,0.4,12.37500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN4_7710_8161,0,na,na,36,-64,0.4,12.37500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
MN5_8161_8160,0,na,na,13,-50,0.5,12.37500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU2_8790_9070,0,na,na,2150,-405,0.2,14.00000,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU1_9220_9200,0,na,na,1994,-1037,0.1,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU2_9070_9090,0,na,na,1778,-315,0.2,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU2_8950_9040,0,na,na,2301,-254,0.2,12.50000,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU2_9100_9200,0,na,na,2163,-868,0.2,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU2_9200_9180,0,na,na,1866,-226,0.2,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU3_9040_9180,0,na,na,1961,-131,0.3,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU3_9180_9090,0,na,na,1774,-318,0.3,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU3_8880_9230,0,na,na,1858,-362,0.3,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU3_9060_9230,0,na,na,1689,-431,0.3,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU3_9230_9260,0,na,na,1356,-311,0.3,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU1_9010_9290,0,na,na,1738,50,0.1,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU3_8650_8800,0,na,na,2101,-454,0.3,12.37500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU4_8800_9290,0,na,na,1456,-636,0.4,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU2_8970_9280,0,na,na,1586,-102,0.2,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU2_8860_9000,0,na,na,1820,-400,0.2,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU1_8570_8680,0,na,na,2137,-630,0.1,13.25000,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU3_8480_8680,0,na,na,2178,-589,0.3,13.25000,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU4_8680_8810,0,na,na,1704,-546,0.4,13.25000,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU4_8810_9000,0,na,na,1453,-797,0.4,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
TU5_9000_9280,0,na,na,1302,-386,0.5,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
BS2_8590_8440,0,na,na,1489,-453,0.2,12.87500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
BS1_8730_8540,0,na,na,1953,-267,0.1,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
BS3_8580_8440,0,na,na,1937,-5,0.3,12.87500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
BS4_8440_8441,0,na,na,1220,-684,0.4,12.87500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
BS4_8540_8441,0,na,na,1200,-742,0.85,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
BS3_8350_8330,0,na,na,1399,-505,0.3,14.25000,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
OR2_8450_8490,0,na,na,297,-68,0.2,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
OD2_8920_8830,0,na,na,394,-144,0.85,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
OD3_8340_8520,0,na,na,595,-118,0.3,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
OR5_7910_8410,0,na,na,407,-92,0.5,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
OD2_8830_8710,0,na,na,387,-150,0.2,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
OD2_8670_8890,0,na,na,690,-23,0.2,13.00000,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
