TABLE->,SLD-PARM1,SLD-PARM1,SLD-PARM1,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-STOR
VARS->,VASD,VRSD,SDOP,KEIM,JEIM,ACCSDP,REMSDP,SLDS
A10001,0,0,0,0.222486,2,0.1,0.07675,1
A10003,0,0,0,1.248615,2,0.1,0.07675,1
A10005,0,0,0,0.031293,2,0.1,0.07675,1
A11001,0,0,0,0.031601,2,0.1,0.07675,1
A24001,0,0,0,0.239373,2,0.1,0.07675,1
A24003,0,0,0,0.613774,2,0.1,0.07675,1
A24005,0,0,0,3.402423,2,0.1,0.07675,1
A24009,0,0,0,1.594815,2,0.1,0.07675,1
A24011,0,0,0,0.040757,2,0.1,0.07675,1
A24013,0,0,0,1.377632,2,0.1,0.07675,1
A24015,0,0,0,0.562139,2,0.1,0.07675,1
A24017,0,0,0,0.480347,2,0.1,0.07675,1
A24019,0,0,0,0.083735,2,0.1,0.07675,1
A24021,0,0,0,4.374215,2,0.1,0.07675,1
A24023,0,0,0,0.640755,2,0.1,0.07675,1
A24025,0,0,0,0.416886,2,0.1,0.07675,1
A24027,0,0,0,769.9691,2,0.1,0.07675,1
A24029,0,0,0,2.595778,2,0.1,0.07675,1
A24031,0,0,0,3.777481,2,0.1,0.07675,1
A24033,0,0,0,406.9529,2,0.1,0.07675,1
A24035,0,0,0,0.207720,2,0.1,0.07675,1
A24037,0,0,0,0.329213,2,0.1,0.07675,1
A24039,0,0,0,0.023810,2,0.1,0.07675,1
A24041,0,0,0,0.032530,2,0.1,0.07675,1
A24043,0,0,0,3.562391,2,0.1,0.07675,1
A24045,0,0,0,0.128321,2,0.1,0.07675,1
A24047,0,0,0,0.253182,2,0.1,0.07675,1
A24510,0,0,0,0.345628,2,0.1,0.07675,1
A36003,0,0,0,1.938002,2,0.1,0.07675,1
A36007,0,0,0,0.360465,2,0.1,0.07675,1
A36015,0,0,0,0.939990,2,0.1,0.07675,1
A36017,0,0,0,0.548775,2,0.1,0.07675,1
A36023,0,0,0,0.214684,2,0.1,0.07675,1
A36025,0,0,0,0.417434,2,0.1,0.07675,1
A36043,0,0,0,0.288040,2,0.1,0.07675,1
A36051,0,0,0,0.721794,2,0.1,0.07675,1
A36053,0,0,0,0.194490,2,0.1,0.07675,1
A36065,0,0,0,0.188966,2,0.1,0.07675,1
A36067,0,0,0,0.081406,2,0.1,0.07675,1
A36069,0,0,0,2.015083,2,0.1,0.07675,1
A36077,0,0,0,59.00782,2,0.1,0.07675,1
A36095,0,0,0,0.427128,2,0.1,0.07675,1
A36097,0,0,0,0.628295,2,0.1,0.07675,1
A36101,0,0,0,0.642206,2,0.1,0.07675,1
A36107,0,0,0,0.993117,2,0.1,0.07675,1
A36109,0,0,0,0.137590,2,0.1,0.07675,1
A36123,0,0,0,0.572475,2,0.1,0.07675,1
A37001,0,0,0,2.5,2,0.1,0.07675,1
A37005,0,0,0,2.5,2,0.1,0.07675,1
A37009,0,0,0,2.5,2,0.1,0.07675,1
A37033,0,0,0,2.5,2,0.1,0.07675,1
A37067,0,0,0,2.5,2,0.1,0.07675,1
A37077,0,0,0,2.5,2,0.1,0.07675,1
A37081,0,0,0,2.5,2,0.1,0.07675,1
A37131,0,0,0,2.5,2,0.1,0.07675,1
A37135,0,0,0,2.5,2,0.1,0.07675,1
A37145,0,0,0,2.5,2,0.1,0.07675,1
A37157,0,0,0,2.5,2,0.1,0.07675,1
A37169,0,0,0,2.5,2,0.1,0.07675,1
A37171,0,0,0,2.5,2,0.1,0.07675,1
A37181,0,0,0,2.5,2,0.1,0.07675,1
A37185,0,0,0,2.5,2,0.1,0.07675,1
A37189,0,0,0,2.5,2,0.1,0.07675,1
A42001,0,0,0,0.149646,2,0.1,0.07675,1
A42009,0,0,0,2.172955,2,0.1,0.07675,1
A42011,0,0,0,0.777856,2,0.1,0.07675,1
A42013,0,0,0,0.288992,2,0.1,0.07675,1
A42015,0,0,0,0.317980,2,0.1,0.07675,1
A42021,0,0,0,0.242697,2,0.1,0.07675,1
A42023,0,0,0,0.264806,2,0.1,0.07675,1
A42025,0,0,0,0.257736,2,0.1,0.07675,1
A42027,0,0,0,3.899976,2,0.1,0.07675,1
A42029,0,0,0,0.631549,2,0.1,0.07675,1
A42033,0,0,0,22444.21,2,0.1,0.07675,1
A42035,0,0,0,0.768606,2,0.1,0.07675,1
A42037,0,0,0,0.394290,2,0.1,0.07675,1
A42041,0,0,0,2.807340,2,0.1,0.07675,1
A42043,0,0,0,0.396875,2,0.1,0.07675,1
A42047,0,0,0,0.206137,2,0.1,0.07675,1
A42055,0,0,0,1.208292,2,0.1,0.07675,1
A42057,0,0,0,11.70635,2,0.1,0.07675,1
A42061,0,0,0,0.862969,2,0.1,0.07675,1
A42063,0,0,0,2.464899,2,0.1,0.07675,1
A42065,0,0,0,1.550308,2,0.1,0.07675,1
A42067,0,0,0,0.554601,2,0.1,0.07675,1
A42069,0,0,0,0.865563,2,0.1,0.07675,1
A42071,0,0,0,8.994953,2,0.1,0.07675,1
A42075,0,0,0,0.518277,2,0.1,0.07675,1
A42079,0,0,0,0.169881,2,0.1,0.07675,1
A42081,0,0,0,0.401959,2,0.1,0.07675,1
A42083,0,0,0,0.022213,2,0.1,0.07675,1
A42087,0,0,0,0.341367,2,0.1,0.07675,1
A42093,0,0,0,0.186679,2,0.1,0.07675,1
A42097,0,0,0,0.948367,2,0.1,0.07675,1
A42099,0,0,0,4.119377,2,0.1,0.07675,1
A42105,0,0,0,0.618339,2,0.1,0.07675,1
A42107,0,0,0,0.497906,2,0.1,0.07675,1
A42109,0,0,0,0.342E+08,2,0.1,0.07675,1
A42111,0,0,0,2.344454,2,0.1,0.07675,1
A42113,0,0,0,1.449753,2,0.1,0.07675,1
A42115,0,0,0,0.168483,2,0.1,0.07675,1
A42117,0,0,0,1.035338,2,0.1,0.07675,1
A42119,0,0,0,0.088517,2,0.1,0.07675,1
A42127,0,0,0,0.102231,2,0.1,0.07675,1
A42131,0,0,0,0.291594,2,0.1,0.07675,1
A42133,0,0,0,0.393444,2,0.1,0.07675,1
A47091,0,0,0,2.5,2,0.1,0.07675,1
A47163,0,0,0,2.5,2,0.1,0.07675,1
A51001,0,0,0,0.034509,2,0.1,0.07675,1
A51003,0,0,0,265.3837,2,0.1,0.07675,1
A51005,0,0,0,5.635982,2,0.1,0.07675,1
A51007,0,0,0,0.827212,2,0.1,0.07675,1
A51009,0,0,0,1242.832,2,0.1,0.07675,1
A51011,0,0,0,9.657397,2,0.1,0.07675,1
A51013,0,0,0,12.03569,2,0.1,0.07675,1
A51015,0,0,0,2609.409,2,0.1,0.07675,1
A51017,0,0,0,5.082792,2,0.1,0.07675,1
A51019,0,0,0,17444.22,2,0.1,0.07675,1
A51021,0,0,0,2.5,2,0.1,0.07675,1
A51023,0,0,0,919071.1,2,0.1,0.07675,1
A51025,0,0,0,2.5,2,0.1,0.07675,1
A51027,0,0,0,2.5,2,0.1,0.07675,1
A51029,0,0,0,17.31643,2,0.1,0.07675,1
A51031,0,0,0,1.894914,2,0.1,0.07675,1
A51033,0,0,0,0.106687,2,0.1,0.07675,1
A51035,0,0,0,2.5,2,0.1,0.07675,1
A51036,0,0,0,0.228222,2,0.1,0.07675,1
A51037,0,0,0,2.5,2,0.1,0.07675,1
A51041,0,0,0,0.303701,2,0.1,0.07675,1
A51043,0,0,0,0.713805,2,0.1,0.07675,1
A51045,0,0,0,19.70734,2,0.1,0.07675,1
A51047,0,0,0,6.166088,2,0.1,0.07675,1
A51049,0,0,0,1.385520,2,0.1,0.07675,1
A51051,0,0,0,2.5,2,0.1,0.07675,1
A51053,0,0,0,2.120562,2,0.1,0.07675,1
A51057,0,0,0,0.253988,2,0.1,0.07675,1
A51059,0,0,0,3.961999,2,0.1,0.07675,1
A51061,0,0,0,0.851797,2,0.1,0.07675,1
A51063,0,0,0,2.5,2,0.1,0.07675,1
A51065,0,0,0,0.727829,2,0.1,0.07675,1
A51067,0,0,0,2.5,2,0.1,0.07675,1
A51069,0,0,0,1.211573,2,0.1,0.07675,1
A51071,0,0,0,0.462926,2,0.1,0.07675,1
A51073,0,0,0,0.151691,2,0.1,0.07675,1
A51075,0,0,0,0.542785,2,0.1,0.07675,1
A51077,0,0,0,2.5,2,0.1,0.07675,1
A51079,0,0,0,1.713550,2,0.1,0.07675,1
A51081,0,0,0,2.5,2,0.1,0.07675,1
A51083,0,0,0,2.5,2,0.1,0.07675,1
