LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON,SPO4,IPO4,DPO4,BPO4
A24037,0.52355,1.29643,0.02948,0.72806,0.11368,8.55915,15.7157,0.00019,0.1357,0.04446,0.23911,0.00943,0.15432,1.82476,2.09491,0.30517,0.67697,0.90327,0.02241
A24009,0.13724,1.25623,0.09068,0.75549,0.05177,7.37322,15.4963,0.00037,0.03243,0.19925,0.23706,0.00187,0.08067,2.20162,2.38557,0.09669,1.20342,1.3987,0.02243
F24009,0.15876,1.19886,0.09924,0.75683,0.07068,7.21618,15.4631,0.00038,0.02953,0.20201,0.23677,0.00184,0.08752,2.17645,2.38544,0.09601,1.16921,1.43311,0.02243
F24037,1.15061,0.79973,0.02773,0.69983,0.18325,9.41403,6.22448,0.00126,0.16163,0.0393,0.20145,0.02375,0.16489,1.83239,2.11001,0.43188,1.37322,0.10357,0.0224
A24033,0.21429,1.08892,0.06944,0.6968,0.05407,6.74225,14.7705,4e-05,0.10334,0.10751,0.21316,0.00236,0.08189,2.06225,2.27617,0.14682,0.75812,1.51891,0.01952
F24033,0.39351,1.44483,0.0751,0.66728,0.09228,9.29743,15.6444,0.00017,0.07565,0.11872,0.2271,0.00238,0.15588,1.96069,2.23604,0.25831,1.12847,0.85383,0.01971
A24003,0.40927,1.8943,0.03093,0.78019,0.13609,11.1455,18.3662,0.00087,0.11544,0.11011,0.27044,0.0062,0.21521,2.09601,2.44129,0.27417,2.43937,0.04619,0.00176
F24003,0.38781,1.93469,0.02959,0.78332,0.12871,11.221,18.4424,0.001,0.11767,0.10948,0.27173,0.00619,0.23268,2.07867,2.44167,0.26736,2.47134,0.03909,0.00176
A24027,0.18492,1.58716,0.02042,0.72637,0.04708,8.93381,16.5124,6e-05,0.18517,0.04742,0.22403,0.00352,0.17356,2.05853,2.3827,0.1634,1.77812,0.09027,0.00999
F24027,0.10442,1.35453,0.01985,0.73791,0.03149,7.40885,16.5046,4e-05,0.18939,0.04442,0.22329,0.00368,0.11972,2.12412,2.37438,0.21212,1.29032,0.63325,0.00811
A24031,0.11555,1.23138,0.02908,0.6572,0.031,6.93551,15.258,2e-05,0.17851,0.04154,0.21519,0.00467,0.06681,2.11942,2.24297,0.19692,1.18545,1.10155,0.01445
F24031,0.09414,0.74546,0.02602,0.67516,0.02872,4.37384,15.2999,1e-05,0.18046,0.03868,0.21247,0.00425,0.04735,2.12428,2.22441,0.19706,0.7505,1.56512,0.00277
A51073,0.58662,2.95062,0.01498,0.58837,0.06798,18.4339,17.2152,0.00039,0.1752,0.00889,0.21982,0.01527,0.17559,1.75642,2.0074,0.17227,1.9739,0.01132,0.02197
