LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON,SPO4,IPO4,DPO4,BPO4
A24037,0.4138,0.44766,0.02471,0.41311,0.08118,4.45925,6.60716,0.08261,0.01147,0.36988,0.47891,0.0018,3.32017,1.96265,5.31155,0.36495,0.64579,0.16109,0.02241
A24009,0.11501,0.60495,0.07569,0.41596,0.0271,4.16587,7.47468,0.00248,0.01014,0.35466,0.53414,0.00016,2.7068,2.32604,5.09106,0.09211,0.53843,0.83635,0.02242
F24009,0.11546,0.60926,0.08677,0.41489,0.03819,4.11104,7.45299,0.0021,0.00964,0.36889,0.53278,0.00018,2.80376,2.25639,5.03184,0.08786,0.53048,0.86563,0.02242
F24037,0.71621,0.41442,0.02487,0.39256,0.15987,6.20687,5.76135,0.25037,0.0199,0.2824,0.50902,0.00314,3.2546,1.99478,5.26614,0.45907,0.59772,0.03784,0.0224
A24033,0.15161,0.72045,0.06849,0.44033,0.03392,4.73143,8.6232,0.04319,0.00674,0.49317,0.57809,0.00038,4.27468,2.11374,4.96722,0.10932,0.78089,0.72521,0.01953
F24033,0.26596,0.79702,0.07251,0.48922,0.06106,5.30188,8.86493,0.07636,0.00944,0.44814,0.61437,0.00048,3.65279,1.92539,5.7402,0.19783,0.88044,0.64673,0.01971
A24003,0.32023,0.49226,0.03264,0.37921,0.08191,7.02348,7.81713,0.08874,0.02109,0.34906,0.52349,0.00114,2.98114,2.16601,5.14549,0.29343,0.92924,0.16818,0.00176
F24003,0.29813,0.50198,0.03169,0.37959,0.07733,7.12207,7.79937,0.09275,0.02242,0.3452,0.52253,0.0012,2.99343,2.1511,5.1448,0.28924,0.96313,0.14197,0.00176
A24027,0.29603,0.54771,0.02535,0.3718,0.06395,8.50297,10.4462,0.01709,0.0424,0.48466,0.54659,0.00074,3.30382,2.17086,5.09043,0.20413,0.93685,0.46788,0.00998
F24027,0.17752,0.51884,0.02306,0.35972,0.03925,7.43488,10.4309,0.01295,0.03514,0.49696,0.54443,0.00063,3.26519,2.28379,5.00771,0.16549,0.86917,0.57998,0.0081
A24031,0.21451,0.51195,0.03235,0.35068,0.04707,6.49942,8.36512,0.00576,0.03835,0.46541,0.54364,0.0005,3.136,2.34022,5.18015,0.13455,0.71531,0.6852,0.01443
F24031,0.18963,0.39719,0.0279,0.33627,0.04229,4.93829,8.93566,5e-05,0.16546,0.16767,0.53653,0.00053,3.03369,2.30539,4.93578,0.1274,0.52894,0.88528,0.00277
A51073,0.13857,0.41544,0.01245,0.33033,0.02546,5.69722,6.56968,0.00794,0.15142,0.29405,0.45728,0.00232,2.56894,1.94748,4.57872,0.12813,1.3326,0.013,0.02196
A51115,0.09253,0.44456,0.00517,0.32872,0.01589,5.4704,6.80644,0.00181,0.34774,0.11411,0.45864,0.0032,3.26433,1.24668,4.49652,0.12014,1.07775,0.00786,0.02196
A51119,0.23935,0.52874,0.02245,0.39174,0.0566,5.39367,6.4268,0.04305,0.09312,1.42331,0.52059,0.00158,2.9057,2.16823,4.92221,0.21896,3.37407,0.03164,0.02197
A51199,0.05465,0.5643,0.00906,0.29775,0.00818,6.48917,7.73228,0.02886,0.03518,0.32468,0.47829,0.00119,2.64977,1.78334,4.72762,0.03614,0.35335,0.00896,0.02264
F51199,0.05714,0.5624,0.00925,0.29741,0.00845,6.4851,7.73917,0.02921,0.03488,0.32767,0.47838,0.00121,2.65355,1.77966,4.72708,0.03795,0.35293,0.00914,0.02264
A51095,0.10609,0.55091,0.01724,0.37643,0.02418,7.14892,7.36111,0.09857,0.06802,0.47729,0.46994,0.00093,3.30818,2.1175,5.04432,0.06937,1.36787,0.01651,0.02266
A51097,0.22452,0.94661,0.01336,0.58483,0.03055,7.52599,13.1813,0.00144,0.59921,1.81007,0.8209,0.00166,4.75317,1.89349,8.76815,0.45419,5.39458,0.49347,0.01477
A51127,0.20463,0.38054,0.01751,0.39532,0.04782,5.65611,7.8802,0.00455,0.34244,0.90838,0.52041,0.00167,3.45655,1.85715,5.14464,0.219,1.85403,0.05157,0.02224
A51830,0.11241,0.90817,0.00745,0.3986,0.02236,10.2569,7.68455,0.00352,0.24216,0.27089,0.51051,0.0017,3.71582,1.38263,5.08042,0.04933,1.34459,0.00532,0.02279
F51095,0.10304,0.55525,0.01702,0.37632,0.0234,7.16177,7.34743,0.10071,0.06951,0.47457,0.46921,0.00092,3.30663,2.11902,5.04423,0.06717,1.3695,0.01634,0.02266
F51830,0.12373,0.89005,0.00772,0.39863,0.02514,10.189,7.68289,0.00356,0.23787,0.27581,0.51044,0.00171,3.71622,1.38194,5.08101,0.05459,1.33928,0.00541,0.02282
A51650,0.08183,0.55834,0.00721,0.37468,0.03095,6.43536,9.11595,0.00341,0.24516,0.23157,0.47789,0.00131,3.31003,1.4568,4.77333,0.03462,1.17084,0.00565,0.02259
A51735,0.05974,0.96424,0.0067,0.38253,0.01418,10.2932,7.27072,0.00165,0.18198,0.29435,0.4667,0.00103,3.21354,1.48831,4.6372,0.02324,1.15053,0.00537,0.02259
F51650,0.0677,0.57286,0.00694,0.37466,0.02688,6.4411,9.07673,0.00323,0.24367,0.23335,0.47787,0.00121,3.29562,1.47147,4.77252,0.02845,1.17697,0.0056,0.02262
F51735,0.11429,0.89827,0.00789,0.38322,0.02101,10.1841,7.26548,0.0018,0.18666,0.28513,0.4667,0.00129,3.24181,1.45834,4.6403,0.04371,1.13,0.00557,0.02266
A51101,0.28674,0.87296,0.01854,0.52988,0.04323,7.28965,11.9099,0.00428,0.31177,2.07492,0.76336,0.00133,4.23392,2.00839,6.52256,0.42335,5.51898,0.39768,0.0145
A51033,0.25098,0.48,0.01803,0.36779,0.04973,4.90069,7.42223,0.00081,0.34887,0.43645,0.52026,0.00111,3.32271,1.70437,4.99283,0.3421,1.76623,0.44287,0.01303
F51033,0.36107,0.34651,0.01804,0.36039,0.07204,5.17016,6.8799,0.01015,0.16687,0.84367,0.48974,0.00166,3.2919,1.74268,4.92695,0.431,2.21145,0.16732,0.01155
A51177,0.89922,0.68736,0.0276,0.43656,0.23005,5.54206,7.07323,0.08561,0.033,0.46552,0.49494,0.0023,3.96608,1.75789,5.77599,0.55135,0.79025,0.04411,0.01244
F51177,0.91611,0.68579,0.02764,0.43609,0.23471,5.55758,7.02583,0.08752,0.03299,0.46429,0.49214,0.00232,3.9617,1.75843,5.77461,0.55694,0.78682,0.04312,0.01118
F51101,0.65911,0.45706,0.02328,0.43756,0.12412,5.85108,7.40653,0.32783,0.08282,3.8062,0.58752,0.00275,4.7976,2.24656,5.52184,0.59801,9.10762,0.03476,0.01447
A51109,0.37755,0.80903,0.02009,0.43934,0.09921,5.4029,4.67962,1.07827,0.25918,4.6179,0.36978,0.0018,7.56017,1.79378,6.40184,0.43647,12.3807,0.02364,0.00528
A51003,0.13283,1.11611,0.00337,0.47811,0.06167,6.88712,10.0944,0.00934,0.32337,0.36549,0.63564,0.00184,5.04432,0.76246,6.52833,0.16005,1.35905,0.06624,0.0098
A51065,0.34628,1.17963,0.00951,0.51682,0.06999,7.40584,15.7019,0.00142,0.54226,0.56296,0.89919,0.00149,4.69802,1.2698,6.60533,0.32719,3.04349,0.37096,0.01067
A51075,0.30885,0.62308,0.00691,0.45287,0.05127,6.08621,7.73522,0.77241,0.28638,5.991,0.51699,0.00357,10.2835,1.5585,6.71505,0.49194,20.5805,0.01665,0.00091
A51103,0.32262,0.44405,0.00281,0.3704,0.09442,4.63386,5.43375,0.00138,0.41571,0.02323,0.4954,0.00483,4.23585,0.58948,4.99327,0.28578,1.07431,0.00422,0.02241
A51133,0.44339,0.37188,0.01749,0.37347,0.14173,6.25533,5.53258,0.00395,0.34033,0.149,0.49937,0.00279,3.05862,1.85169,5.06913,0.27454,1.11049,0.01784,0.02241
A51057,0.1844,1.34187,0.02511,0.68994,0.02316,10.4345,17.8553,0.00498,0.24212,4.41154,1.07914,0.00071,4.43052,2.53967,7.95881,0.36225,10.08,0.66959,0.02224
A51159,0.27973,1.0528,0.00337,0.67975,0.04227,8.34046,13.8017,0.00414,0.74701,0.31985,0.88077,0.00279,5.20237,0.70984,6.06272,0.40941,6.81966,0.07423,0.02248
F51159,0.45888,0.63021,0.00342,0.47457,0.08312,6.51381,6.75991,0.05185,0.58158,0.84173,0.62993,0.00501,6.13571,0.7568,5.44435,0.40819,9.57576,0.0075,0.02245
A51099,0.42168,1.41819,0.01093,0.68935,0.0665,10.9276,13.5118,0.0211,0.38517,1.62321,0.9176,0.00223,5.81456,1.54553,6.77374,0.29872,11.8198,0.01349,0.02205
A51630,0.58354,0.59009,0.01659,0.30851,0.14575,8.56863,9.00683,0.00196,0.25181,0.32422,0.57756,0.00258,4.4013,1.36825,6.08581,0.30916,1.15827,0.01725,0.00812
F51057,0.35402,1.51382,0.02531,0.81963,0.05199,12.1659,17.6019,0.03129,0.31479,4.12539,1.08048,0.00131,5.11815,2.49758,6.42701,0.47304,17.7045,0.15731,0.02214
F51099,0.40273,1.42364,0.01021,0.68672,0.06313,10.8178,13.12,0.02762,0.35221,1.59684,0.89461,0.00249,5.83101,1.55532,6.76375,0.29044,11.9706,0.01233,0.02205
F51630,1.45394,1.00104,0.01533,0.46248,0.43981,12.3985,8.39842,0.01063,0.29088,0.27889,0.54929,0.00487,4.35335,1.39791,5.78823,0.69508,0.76308,0.01567,0.00812
A51047,0.25632,1.02879,0.07887,0.53393,0.06545,6.25788,10.3812,0.16137,0.03965,3.4181,0.67873,0.00054,5.2258,2.2508,7.06909,0.21773,3.63779,0.44521,0.01038
A51061,0.31302,1.14813,0.02205,0.42631,0.07284,7.66858,7.03244,0.33555,0.10732,1.74296,0.50692,0.00114,5.44378,1.88281,5.72609,0.19576,5.00433,0.02073,0.02067
A51157,0.18194,1.77385,0.08857,0.55173,0.06034,9.14483,11.2951,0.00379,0.1067,0.57826,0.67525,0.00022,4.10937,2.00904,6.83633,0.10409,1.0261,0.33252,0.01616
B51061,0.08439,1.03791,0.04084,0.42528,0.03145,6.49301,8.4104,0.08414,0.07508,1.88634,0.57663,0.00037,5.46363,1.98615,6.16158,0.06923,3.59181,0.13885,0.01557
B51157,0.28205,2.4949,0.08954,0.56048,0.09311,11.3572,11.1662,0.00609,0.13863,0.54419,0.67662,0.00037,3.99036,2.18072,6.77941,0.11446,1.32405,0.13438,0.01613
F51061,0.32834,0.92099,0.01961,0.4284,0.06688,6.19208,7.72712,0.3707,0.07584,1.71211,0.53857,0.00152,5.44023,1.96284,6.04673,0.24324,4.35615,0.03068,0.02186
F51157,0.26605,1.93099,0.09434,0.55394,0.12193,9.96557,11.1822,0.00552,0.09985,0.58232,0.66779,0.00029,4.08687,2.02564,6.77217,0.13583,1.06853,0.25281,0.01642
A51113,0.18567,0.78817,0.04718,0.4482,0.06707,7.38098,10.6802,0.43904,0.08761,4.37897,0.64493,0.00034,6.446,2.11349,6.92083,0.3426,6.80794,0.35434,0.01418
B51113,0.30154,1.11646,0.07205,0.4299,0.1121,6.72801,7.93712,0.66463,0.12563,4.78336,0.56464,0.0006,5.6839,2.30171,6.27846,0.29464,9.90616,0.07966,0.01586
F51113,0.23679,0.78396,0.05001,0.43893,0.12397,6.61447,9.15955,0.71469,0.09771,4.26215,0.59723,0.00047,6.09172,2.14695,6.45276,0.37288,8.21197,0.17373,0.01576
A51079,0.45295,1.14238,0.02027,0.50029,0.15695,6.82774,9.68246,0.41143,0.07643,2.20604,0.62232,0.00192,6.58891,1.88046,6.82555,0.34624,4.02695,0.0447,0.01449
B51079,0.62766,1.66961,0.02305,0.48046,0.27575,7.94364,8.3834,0.59985,0.10965,2.1468,0.55763,0.00245,6.53864,1.97561,6.88274,0.31072,4.52348,0.02489,0.01452
F51079,0.5134,1.10031,0.02702,0.49506,0.33637,6.65292,9.6022,0.51638,0.07056,2.17041,0.61269,0.00188,6.56309,1.9496,6.81928,0.39499,3.82545,0.05696,0.01547
A51137,0.43915,0.92084,0.02926,0.45581,0.11163,6.06845,8.48879,0.60663,0.06101,1.79269,0.5815,0.00107,5.43775,1.82685,6.13725,0.39783,4.2522,0.05294,0.01269
F51137,0.42867,0.90774,0.02868,0.45843,0.10551,5.91609,8.68832,0.61641,0.0528,1.76254,0.59168,0.00113,5.49749,1.83277,6.25329,0.41531,4.13124,0.06115,0.00813
A24005,0.16224,0.4527,0.02569,0.33608,0.03181,6.82191,10.2792,0.0098,0.01709,0.5134,0.57119,0.00039,3.64224,2.32842,5.06562,0.10307,0.74437,0.7245,0.01081
A24510,0.41742,0.66331,0.01288,0.45981,0.10268,10.8126,8.79527,0.00194,0.34817,0.24878,0.59586,0.00177,4.25588,1.72041,6.09013,0.2396,1.27868,0.16315,0.01092
F24005,0.13876,0.46644,0.02337,0.3094,0.02667,6.69211,10.8292,0.00778,0.01789,0.4993,0.56828,0.00038,3.68541,2.32436,5.01347,0.09817,0.74408,0.73133,0.01767
F24510,0.372,0.71381,0.01176,0.46057,0.08733,10.8742,8.78093,0.00202,0.35105,0.24618,0.59543,0.00175,4.25979,1.71285,6.07826,0.23455,1.29258,0.15309,0.01092
A24013,0.50491,0.68722,0.01778,0.43188,0.09966,9.03802,8.99885,0.09764,0.0439,0.54923,0.58694,0.00181,4.20933,1.87152,5.5672,0.19979,1.04882,0.23126,0.01369
F24013,1.03911,1.0981,0.018,0.43946,0.21533,16.5197,8.8104,0.20391,0.06797,0.40949,0.57799,0.00347,4.20733,1.82619,5.60647,0.29571,1.21393,0.01167,0.01383
A24025,0.34489,0.60002,0.03146,0.3611,0.06444,10.1494,9.68146,0.01312,0.05116,0.47995,0.5746,0.00087,3.63481,2.16849,5.40919,0.1581,0.95568,0.35763,0.01039
F24025,0.35789,1.15669,0.02286,0.39075,0.0498,15.9558,9.26942,0.02367,0.08593,0.42974,0.57812,0.00137,3.50839,2.16196,5.42055,0.12893,1.43636,0.01877,0.01044
A10001,0.08961,0.56649,0.00904,0.35193,0.01531,3.7841,7.25577,0.05778,0.01106,0.25445,0.51195,0.00147,3.71771,1.66812,3.35765,0.1489,0.63883,0.20839,0.0196
A10005,0.06459,0.75978,0.00315,0.50425,0.01061,5.38481,9.4179,0.35253,0.07055,0.02771,0.74231,0.00236,0.00151,0.86295,3.66958,0.0892,1.09934,0.00341,0.00722
A24011,0.2625,1.28176,0.00765,0.5199,0.04924,6.67513,8.49177,0.47907,0.1248,0.00321,0.71008,0.00434,4.41337,1.36288,6.75156,0.17116,1.22903,0.00656,0.01213
A24019,0.36268,0.58703,0.00703,0.39959,0.08589,6.68683,6.85075,0.35197,0.08604,0.00089,0.49043,0.00615,3.28245,1.37122,5.51376,0.22999,1.10672,0.00563,0.01433
A24045,0.13547,1.10691,0.00713,0.65519,0.03607,7.04982,11.996,0.39446,0.13037,0.00095,0.93165,0.00474,3e-05,1.4996,13.7603,0.18055,0.92331,0.00601,0.01583
F24019,0.1707,0.63951,0.00653,0.39972,0.05101,6.96488,6.82648,0.30798,0.11449,0.00738,0.48872,0.00368,3.28154,1.3611,5.51701,0.11173,1.20609,0.00548,0.01447
A24047,0.09879,0.656,0.00748,0.54586,0.02117,6.76179,7.86332,0.44334,0.13313,0.00212,0.72341,0.00701,4.86823,1.51582,8.04011,0.17681,1.44402,0.00681,0.01546
F24045,0.20322,1.05446,0.00756,0.78647,0.06334,6.62204,7.87936,0.43776,0.15071,0.00048,1.09748,0.00668,0.00027,1.50672,15.762,0.20654,0.64798,0.00597,0.01441
A24039,0.23011,0.85137,0.00574,0.7334,0.07646,5.79888,7.44231,0.57387,0.14168,0.00054,1.0213,0.00801,0.00637,1.35648,12.1062,0.21797,0.63821,0.00433,0.01397
A51001,0.30923,0.39892,0.0062,0.42159,0.07459,6.88198,6.75959,0.47783,0.08409,0.00132,0.53254,0.00809,4.16514,1.2741,5.91611,0.23444,1.10221,0.00506,0.014
F24039,0.11215,0.87709,0.00536,0.74698,0.04725,5.83708,7.22179,0.42234,0.19753,0.00101,1.01323,0.00491,0.52008,1.35903,11.1597,0.12233,0.69716,0.00425,0.01399
F51001,0.30765,0.40045,0.00619,0.4216,0.07414,6.88405,6.75956,0.4774,0.08438,0.00133,0.5325,0.00806,4.16536,1.27387,5.91638,0.23299,1.10339,0.00506,0.014
A51131,0.3903,0.45141,0.00666,0.32348,0.08305,8.887,7.10029,0.00361,0.35567,0.06199,0.44849,0.00611,3.11479,1.28839,4.37375,0.27345,1.06084,0.00738,0.01399
F51131,0.43579,0.40221,0.0068,0.3234,0.1004,8.83591,7.10664,0.0038,0.35513,0.06239,0.44902,0.00655,3.11528,1.28835,4.37425,0.30423,1.02976,0.00742,0.01398
F10005,0.06134,0.78599,0.00305,0.54295,0.012,5.60482,8.98909,0.33897,0.09722,0.01323,0.71782,0.00804,7.73376,0.84357,2.69382,0.08212,0.93447,0.00294,0.00726
A24041,0.37602,0.7886,0.00659,0.40005,0.08397,7.31862,7.53723,0.27678,0.05488,0.11584,0.50167,0.00468,3.66354,1.23656,5.29765,0.21831,1.11791,0.00671,0.01236
F24041,0.20651,0.84311,0.00604,0.40005,0.05354,7.59944,7.54283,0.17747,0.06966,0.18308,0.50205,0.00316,3.6504,1.25229,5.29776,0.12357,1.20024,0.00634,0.01213
A24035,0.13382,0.81385,0.01173,0.43802,0.03037,5.1228,8.10154,0.02465,0.02014,0.31811,0.57715,0.00134,3.67463,1.9098,5.82884,0.20879,0.97363,0.23667,0.01924
F24035,0.16541,0.77538,0.01182,0.42147,0.04317,6.72787,7.98826,0.13336,0.04459,0.36976,0.54764,0.00185,3.75562,1.91001,5.66579,0.12907,1.42141,0.01793,0.0194
