LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON,SPO4,IPO4,DPO4,BPO4
A24037,8e-05,0.07085,0.00065,0.08931,0,0.44018,0.70318,0.09158,0.01974,0.01805,0.01016,0.00887,0.04311,1.13364,0.1257,0,0,0,0
A24009,0.00024,0.06602,0.00061,0.09918,1e-05,0.48275,1.03796,0.02256,0.01931,0.09136,0.01373,0.00152,0.1369,1.00291,0.1328,0,0,0,0
F24009,0.00026,0.06572,0.00061,0.09915,1e-05,0.48298,1.03841,0.02308,0.01891,0.09123,0.01375,0.00155,0.1369,1.00226,0.13281,0,0,0,0
F24037,0,0.13084,0.00062,0.10771,0,0.38551,0.27181,0.12744,0.02818,0.00122,0.01629,0.02283,0.06213,1.12561,0.1257,0,0,0,0
A24033,0.00035,0.05816,0.00069,0.10941,1e-05,0.5375,1.18195,0.054,0.01608,0.07035,0.01478,0.00349,0.03482,1.2377,0.1408,0,0,0,0
F24033,0.00013,0.0921,0.00068,0.11132,0,0.53302,1.09801,0.08702,0.02486,0.03093,0.01396,0.0061,0.05444,1.22957,0.1408,0,0,0,0
A24003,8e-05,0.14008,0.00057,0.09548,0,0.34881,0.865,0.09677,0.03573,0.01339,0.01757,0.00815,0.24618,1.05427,0.1445,0,0,0,0
F24003,7e-05,0.143,0.00057,0.09526,0,0.35495,0.86612,0.09777,0.03702,0.01241,0.01709,0.00838,0.25031,1.05207,0.1445,0,0,0,0
A24027,0.00033,0.08138,0.00101,0.11075,1e-05,0.53061,1.2874,0.041,0.01616,0.08587,0.01535,0.01878,0.01551,1.55291,0.14388,0,0,0,0
F24027,0.00064,0.06475,0.00071,0.10807,2e-05,0.4957,1.29616,0.02204,0.01192,0.1067,0.0153,0.0016,0.04267,1.23684,0.14388,0,0,0,0
A24031,0.00092,0.05526,0.00075,0.10466,3e-05,0.48232,1.27869,0.02011,0.00895,0.10876,0.01515,0.00154,0.03292,1.2495,0.14271,0,0,0,0
F24031,0.00637,0.05799,0.00084,0.14008,0.00029,0.37318,1.07306,0.00192,0.00081,0.05705,0.01452,0.00132,0.02041,1.25366,0.14264,0,0,0,0
A51073,0.00022,0.11757,0.00036,0.07563,0,0.34676,0.35739,0.04382,0.03327,0.03901,0.0062,0.00724,0.5667,0.59887,0.1185,0,0,0,0
A51115,0.00026,0.11393,0.00028,0.08846,0,0.29372,0.26754,0.02413,0.0326,0.04993,0.01444,0.0054,0.62967,0.4612,0.1097,0,0,0,0
A51119,0.00031,0.11871,0.00036,0.07433,1e-05,0.3337,0.367,0.04221,0.03005,0.04167,0.00634,0.00596,0.54724,0.60015,0.1169,0,0,0,0
A51199,0.00017,0.11308,0.0003,0.08855,0,0.38184,0.86181,0.0159,0.04016,0.06864,0.01215,0.00258,0.72375,0.51041,0.1238,0,0,0,0
F51199,0.00018,0.11258,0.0003,0.08856,1e-05,0.38247,0.86227,0.01692,0.03968,0.06794,0.01216,0.00274,0.72405,0.50995,0.1238,0,0,0,0
A51095,0.00014,0.10301,0.00034,0.08049,0,0.34873,0.7093,0.02427,0.04105,0.0524,0.01046,0.00385,0.59135,0.57081,0.1175,0,0,0,0
A51097,0.00123,0.03887,0.00033,0.08503,5e-05,0.39856,0.93374,0.01931,0.01007,0.09145,0.01291,0.00206,0.66427,0.53825,0.1227,0,0,0,0
A51127,0.00051,0.05652,0.00038,0.08437,2e-05,0.41061,0.92121,0.04102,0.0207,0.05925,0.01279,0.00524,0.561,0.63011,0.1226,0,0,0,0
A51830,0.00011,0.11588,0.0004,0.08649,0,0.37163,0.73296,0.02544,0.04463,0.05355,0.01057,0.00379,0.53072,0.67042,0.1227,0,0,0,0
F51095,0.00011,0.10415,0.00034,0.08053,0,0.3479,0.70731,0.02451,0.0431,0.04964,0.01042,0.00396,0.58994,0.57207,0.1175,0,0,0,0
F51830,0.00011,0.11604,0.0004,0.08656,0,0.37166,0.73366,0.02538,0.04486,0.05338,0.01058,0.00378,0.53075,0.67044,0.1227,0,0,0,0
A51650,0.00011,0.12244,0.0003,0.05853,0,0.20821,0.50031,0.00916,0.03128,0.06008,0.00839,0.00247,0.44662,0.51334,0.0971,0,0,0,0
A51735,0.00014,0.07636,0.00026,0.05309,0,0.21394,0.5312,0.00677,0.0206,0.0656,0.00911,0.00218,0.45568,0.44254,0.0908,0,0,0,0
F51650,0.0001,0.12284,0.0003,0.05851,0,0.20748,0.49864,0.00825,0.03132,0.06092,0.00836,0.00224,0.44616,0.51405,0.0971,0,0,0,0
F51735,0.00015,0.07631,0.00026,0.05304,0,0.21404,0.53107,0.007,0.02059,0.06536,0.00911,0.00226,0.45564,0.4425,0.0908,0,0,0,0
A51101,0.00157,0.04346,0.00039,0.08809,6e-05,0.41589,0.9794,0.03087,0.01122,0.08121,0.01327,0.00273,0.55924,0.63761,0.12561,0,0,0,0
A51033,0.00052,0.04601,0.00034,0.0897,1e-05,0.44742,0.93513,0.0372,0.01188,0.07664,0.01285,0.00341,0.6625,0.56711,0.1254,0,0,0,0
F51033,0.00043,0.04885,0.00034,0.08996,1e-05,0.44791,0.92292,0.04974,0.01386,0.05835,0.01274,0.00545,0.67102,0.56238,0.1254,0,0,0,0
A51177,8e-05,0.06662,0.00033,0.08736,0,0.41889,0.88392,0.10951,0.01823,0.00698,0.01247,0.01253,0.65703,0.55086,0.1229,0,0,0,0
F51177,5e-05,0.06667,0.00033,0.08741,0,0.41964,0.87683,0.11725,0.01859,0.00495,0.01242,0.01399,0.65509,0.55141,0.1229,0,0,0,0
F51101,0.00019,0.10979,0.00037,0.09816,1e-05,0.2576,0.38754,0.08876,0.02522,0.01268,0.01075,0.00909,0.59783,0.62537,0.1256,0,0,0,0
A51109,0.00016,0.07967,0.00036,0.08122,1e-05,0.38108,0.707,0.05012,0.02864,0.03476,0.01042,0.00659,0.57588,0.58786,0.1182,0,0,0,0
A51003,0.00021,0.0686,0.00051,0.08001,1e-05,0.3766,0.80377,0.0208,0.01727,0.07989,0.01177,0.00219,0.18539,0.85315,0.11691,0,0,0,0
A51065,0.00071,0.04974,0.00043,0.07551,2e-05,0.35942,0.82472,0.03702,0.01147,0.06622,0.01196,0.00359,0.37103,0.68811,0.1142,0,0,0,0
A51075,0.00043,0.09228,0.00038,0.08796,2e-05,0.35932,0.8732,0.05243,0.02207,0.04185,0.0117,0.00432,0.52957,0.62969,0.1189,0,0,0,0
A51103,0.00023,0.12459,0.00039,0.11149,0,0.39115,0.26699,0.0589,0.03269,0.03102,0.01664,0.00814,0.58264,0.65027,0.1258,0,0,0,0
A51133,0.00024,0.13645,0.00039,0.11126,0,0.37099,0.26858,0.06343,0.03127,0.02753,0.01666,0.00776,0.57225,0.65062,0.1249,0,0,0,0
A51057,0.00042,0.04741,0.00037,0.08846,1e-05,0.43972,0.93907,0.01485,0.01298,0.10091,0.01297,0.0014,0.59556,0.60739,0.1247,0,0,0,0
A51159,0.00042,0.06933,0.00032,0.09004,1e-05,0.43121,0.9068,0.02819,0.02019,0.07781,0.01258,0.00266,0.7015,0.53897,0.1252,0,0,0,0
F51159,0.00032,0.141,0.00032,0.08241,1e-05,0.36904,0.42448,0.05886,0.03225,0.02961,0.0069,0.00656,0.71531,0.52703,0.1252,0,0,0,0
A51099,0.00039,0.12143,0.00036,0.08345,1e-05,0.35384,0.40609,0.04076,0.02793,0.05277,0.00723,0.00394,0.62277,0.59216,0.1232,0,0,0,0
A51630,0.0002,0.05322,0.00117,0.09609,1e-05,0.47385,1.05071,0.06306,0.01203,0.0562,0.01379,0.06932,0.01819,1.40402,0.1315,0,0,0,0
F51057,0.00049,0.11542,0.00036,0.08913,1e-05,0.31886,0.79097,0.04465,0.0281,0.04892,0.01342,0.00406,0.62764,0.59776,0.1247,0,0,0,0
F51099,0.00033,0.12412,0.00036,0.08318,1e-05,0.35609,0.40669,0.03971,0.03004,0.05167,0.00713,0.00387,0.62356,0.59194,0.1232,0,0,0,0
F51630,0,0.12666,0.00106,0.06121,0,0.2293,0.21079,0.12508,0.02396,0.00325,0.00928,0.23149,0.04155,1.29763,0.1315,0,0,0,0
A51047,0.00054,0.06364,0.00042,0.07931,3e-05,0.3705,0.86157,0.02608,0.01252,0.07959,0.0123,0.00215,0.38936,0.70211,0.1174,0,0,0,0
A51061,0.00036,0.07989,0.00042,0.08416,1e-05,0.39841,0.93027,0.03099,0.02027,0.07255,0.01283,0.00386,0.44905,0.72568,0.1227,0,0,0,0
A51157,0.00021,0.12015,0.00051,0.08452,1e-05,0.35484,0.83368,0.01779,0.02221,0.08113,0.01195,0.00143,0.20486,0.88764,0.1207,0,0,0,0
B51061,0.00016,0.10843,0.00075,0.08659,1e-05,0.37639,0.92192,0.01159,0.01794,0.09348,0.01284,0.0018,0.01792,1.23862,0.1231,0,0,0,0
B51157,0.00014,0.17732,0.00084,0.08664,1e-05,0.35798,0.38338,0.02341,0.03096,0.07251,0.01177,0.01179,0.02898,1.3407,0.1267,0,0,0,0
F51061,0.00036,0.08377,0.00042,0.08696,1e-05,0.40001,0.86506,0.05901,0.02052,0.04267,0.01226,0.00426,0.42393,0.73456,0.1227,0,0,0,0
F51157,0.00029,0.12141,0.00051,0.08445,2e-05,0.35597,0.78965,0.02293,0.02305,0.07511,0.01141,0.00184,0.20904,0.88729,0.1207,0,0,0,0
A51113,0.00056,0.08859,0.00048,0.08072,4e-05,0.35569,0.87174,0.03207,0.01571,0.07084,0.01238,0.00249,0.22523,0.82035,0.11851,0,0,0,0
B51113,0.00021,0.16561,0.00098,0.09418,2e-05,0.48954,0.52858,0.05266,0.02554,0.05298,0.00715,0.05644,0.03228,1.35522,0.1271,0,0,0,0
F51113,0.00057,0.10675,0.00047,0.08191,6e-05,0.35654,0.81171,0.04792,0.0185,0.05168,0.01157,0.00365,0.2542,0.81302,0.1185,0,0,0,0
A51079,0.00026,0.1021,0.00042,0.08197,1e-05,0.36052,0.72484,0.06329,0.0205,0.03363,0.01068,0.00581,0.35408,0.74806,0.1187,0,0,0,0
B51079,0.0001,0.16645,0.00091,0.10217,1e-05,0.38027,0.4107,0.07239,0.0282,0.02669,0.01486,0.07397,0.03246,1.35857,0.1283,0,0,0,0
F51079,0.00043,0.11237,0.00042,0.08491,5e-05,0.2793,0.65793,0.06498,0.01953,0.03146,0.01172,0.00509,0.35532,0.74838,0.1187,0,0,0,0
A51137,0.00031,0.05777,0.0004,0.08201,1e-05,0.39754,0.8367,0.06236,0.01586,0.03733,0.01208,0.00625,0.46692,0.66524,0.1188,0,0,0,0
F51137,0.00024,0.05854,0.0004,0.0823,1e-05,0.39799,0.82538,0.07724,0.01572,0.02458,0.01196,0.00702,0.46265,0.6659,0.1188,0,0,0,0
A24005,0.00106,0.04914,0.00071,0.10842,4e-05,0.47891,1.25815,0.01445,0.00737,0.11489,0.0151,0.00124,0.03564,1.22564,0.1435,0,0,0,0
A24510,0.00021,0.13658,0.00094,0.13394,1e-05,0.56974,1.23172,0.06486,0.03456,0.05378,0.01625,0.01165,0.01869,1.61214,0.1551,0,0,0,0
F24005,0.0023,0.06137,0.0004,0.12228,0.0001,0.45014,1.28428,0.00644,0.00516,0.10863,0.01479,0.00095,0.69056,0.69119,0.1435,0,0,0,0
F24510,0.00014,0.14181,0.00094,0.13421,0,0.56139,1.22443,0.05952,0.03892,0.05449,0.01628,0.01116,0.02027,1.61232,0.15509,0,0,0,0
A24013,0.0002,0.10982,0.00068,0.10978,0,0.50766,1.13917,0.06377,0.01963,0.05624,0.01442,0.00419,0.06942,1.2027,0.1401,0,0,0,0
F24013,3e-05,0.22267,0.00066,0.11197,0,0.43296,0.33753,0.08376,0.05465,0.01384,0.01434,0.01258,0.15046,1.16714,0.1401,0,0,0,0
A24025,0.00025,0.09141,0.00068,0.10801,1e-05,0.51426,1.1641,0.03198,0.0194,0.08802,0.0147,0.00227,0.06628,1.18139,0.1396,0,0,0,0
F24025,0.00015,0.21287,0.00067,0.10492,0,0.69001,0.88338,0.04578,0.04456,0.05628,0.00792,0.0038,0.11841,1.17614,0.1396,0,0,0,0
A10001,0.00098,0.05926,0.00029,0.10294,3e-05,0.46759,1.12065,0.02105,0.01044,0.09553,0.01428,0.00199,0.88213,0.4727,0.13638,0,0,0,0
A10005,0.00064,0.08995,0.00026,0.11572,1e-05,0.53189,1.28567,0.03215,0.01962,0.06037,0.01535,0.0035,1.01597,0.44003,0.14645,0,0,0,0
A24011,8e-05,0.21555,0.00025,0.10493,0,0.45008,0.45887,0.08544,0.04718,0.01144,0.01265,0.01045,1.00745,0.42477,0.144,0,0,0,0
A24019,8e-05,0.13757,0.00025,0.11009,0,0.38214,0.33577,0.04375,0.0501,0.02678,0.01934,0.01094,0.75636,0.48654,0.1253,0,0,0,0
A24045,9e-05,0.13472,0.00025,0.11071,0,0.48648,1.03859,0.07556,0.03516,0.02265,0.01326,0.01056,0.94225,0.45132,0.1403,0,0,0,0
F24019,8e-05,0.13832,0.00025,0.10397,0,0.38105,0.31933,0.02449,0.05667,0.04405,0.01715,0.0065,0.76389,0.4837,0.1253,0,0,0,0
A24047,0.0001,0.11304,0.00025,0.09657,0,0.43088,0.88414,0.06109,0.03211,0.02629,0.01203,0.00957,0.86094,0.43222,0.1302,0,0,0,0
F24045,1e-05,0.204,0.00025,0.09299,0,0.46562,0.35887,0.08865,0.04528,0.00772,0.01042,0.0191,0.9452,0.44132,0.1403,0,0,0,0
A24039,2e-05,0.15458,0.00025,0.10092,0,0.43898,0.27315,0.07357,0.04832,0.01076,0.01328,0.01922,0.84349,0.48818,0.135,0,0,0,0
A51001,4e-05,0.14193,0.00025,0.08717,0,0.33106,0.15766,0.07063,0.04264,0.00764,0.01323,0.01727,0.76225,0.41476,0.1193,0,0,0,0
F24039,4e-05,0.16067,0.00025,0.10553,0,0.44656,0.27342,0.04435,0.06029,0.02776,0.01417,0.01179,0.85189,0.4876,0.135,0,0,0,0
F51001,3e-05,0.14058,0.00025,0.08744,0,0.33347,0.15881,0.07903,0.04173,0.00528,0.01327,0.01947,0.75903,0.41575,0.1193,0,0,0,0
A51131,0.00011,0.10015,0.00025,0.08094,0,0.31898,0.25889,0.0544,0.03634,0.01546,0.01283,0.01347,0.69535,0.41131,0.112,0,0,0,0
F51131,9e-05,0.09875,0.00025,0.08148,0,0.31981,0.25977,0.06341,0.03364,0.01105,0.01307,0.01549,0.69115,0.41341,0.112,0,0,0,0
F10005,0.0002,0.16058,0.00025,0.11943,0,0.50662,1.24362,0.07592,0.03605,0.02119,0.01511,0.0072,1.02,0.4358,0.1463,0,0,0,0
A24041,0.0001,0.16106,0.00025,0.0783,0,0.40765,0.31682,0.06734,0.04341,0.01528,0.00931,0.01038,0.88281,0.42757,0.132,0,0,0,0
F24041,0.00012,0.16396,0.00025,0.0818,0,0.40597,0.30969,0.02317,0.05515,0.04654,0.00978,0.00414,0.88897,0.42778,0.132,0,0,0,0
A24035,0.00047,0.10127,0.00034,0.10558,1e-05,0.48348,1.10962,0.02836,0.02356,0.08523,0.01419,0.002,0.78715,0.57623,0.1374,0,0,0,0
F24035,0.00029,0.18249,0.00033,0.14044,0,0.39228,0.50195,0.04349,0.03961,0.05142,0.02058,0.00386,0.80172,0.5656,0.1374,0,0,0,0
A24015,0.0006,0.07772,0.00032,0.10742,2e-05,0.51798,1.18171,0.03464,0.01561,0.08973,0.01476,0.0027,0.80379,0.58083,0.1398,0,0,0,0
A10003,0.00019,0.21625,0.00033,0.14365,0,0.63756,0.58291,0.11201,0.03879,0.01317,0.0179,0.00948,0.83845,0.57088,0.1411,0,0,0,0
F24015,0.00011,0.23032,0.00031,0.12518,0,0.41004,0.40064,0.10312,0.04442,0.00987,0.01694,0.01171,0.8249,0.56181,0.1398,0,0,0,0
A24029,0.00023,0.18188,0.00033,0.15597,0,0.47669,0.59213,0.07966,0.03796,0.02495,0.0223,0.00645,0.80597,0.5791,0.1392,0,0,0,0
F24029,0.00026,0.18865,0.00033,0.1532,0,0.51252,0.61847,0.06399,0.04007,0.03609,0.02125,0.0052,0.80605,0.58203,0.1392,0,0,0,0
A42029,0.00032,0.15172,0.00036,0.12196,1e-05,0.53775,1.24651,0.0791,0.0241,0.04331,0.01513,0.0055,0.81812,0.648,0.14791,0,0,0,0
A51041,0.00175,0.05764,0.00033,0.09915,5e-05,0.41028,1.8301,0.04355,0.01289,0.06263,0.01308,0.00608,0.74011,0.52158,0.12762,0,0,0,0
A51145,0.00018,0.09423,0.00038,0.08129,1e-05,0.35911,0.80288,0.06382,0.02946,0.02327,0.01169,0.00673,0.52254,0.63109,0.118,0,0,0,0
A51570,0.00021,0.1556,0.0004,0.10578,1e-05,0.43624,1.06045,0.02994,0.04451,0.06244,0.01377,0.00283,0.69136,0.66227,0.137,0,0,0,0
A51149,0.00062,0.07357,0.00031,0.0948,2e-05,0.45162,1.12316,0.01308,0.02022,0.09996,0.01408,0.0015,0.81483,0.51775,0.13415,0,0,0,0
A51670,0.00018,0.21865,0.0004,0.18501,1e-05,0.81839,1.8544,0.04334,0.06103,0.07587,0.01837,0.00291,1.1321,0.68156,0.18179,0,0,0,0
F51149,0.00024,0.14804,0.0003,0.10208,1e-05,0.42156,0.9926,0.02682,0.04193,0.06169,0.01314,0.00331,0.83001,0.50676,0.1341,0,0,0,0
F51670,0.00021,0.21596,0.0004,0.18467,1e-05,0.82155,1.85742,0.04322,0.058,0.07927,0.0184,0.00286,1.13158,0.68207,0.1818,0,0,0,0
A51007,8e-05,0.08289,0.00035,0.08123,0,0.36597,0.81769,0.11431,0.02043,0.00479,0.01187,0.01104,0.54914,0.60123,0.1181,0,0,0,0
A51135,0.00023,0.08639,0.00038,0.08166,1e-05,0.36705,0.77766,0.08931,0.02134,0.01481,0.01134,0.00701,0.49838,0.64414,0.1182,0,0,0,0
A51147,0.00041,0.08037,0.00038,0.07628,1e-05,0.33774,0.7979,0.06703,0.02041,0.02717,0.01175,0.00548,0.45455,0.64691,0.1142,0,0,0,0
A51011,0.00023,0.09193,0.0005,0.0783,1e-05,0.35001,0.72821,0.07288,0.01843,0.02441,0.01091,0.0068,0.19431,0.84782,0.1155,0,0,0,0
A51029,0.00028,0.09276,0.00044,0.07551,1e-05,0.33026,0.72356,0.06554,0.01984,0.0277,0.01091,0.00595,0.31593,0.744,0.11291,0,0,0,0
