TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A10001,50,1.000000,100.0000,1.5,20.00000,0.085198,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10003,50,1.000000,94.64003,1.5,20.00000,0.264158,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10005,50,1.000000,0.325749,1.5,20.00000,76.74620,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A11001,50,1.000000,100.0000,1.5,20.00000,0.053051,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24001,50,1.000000,100.0000,1.5,20.00000,0.221797,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24003,50,1.000000,100.0000,1.5,20.00000,0.246683,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24005,50,1.000000,100.0000,1.5,20.00000,0.138408,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24009,50,1.000000,83.64613,1.5,20.00000,0.298879,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24011,50,1.000000,5.582232,1.5,20.00000,4.478495,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24013,50,1.000000,100.0000,1.5,20.00000,0.115327,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24015,50,1.000000,100.0000,1.5,20.00000,0.221134,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24017,50,1.000000,45.17484,1.5,20.00000,0.553406,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24019,50,1.000000,2.734101,1.5,20.00000,9.143770,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24021,50,1.000000,96.34374,1.5,20.00000,0.259488,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24023,50,1.000000,77.16440,1.5,20.00000,0.323984,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24025,50,1.000000,100.0000,1.5,20.00000,0.108025,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24027,50,1.000000,100.0000,1.5,20.00000,0.139782,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24029,50,1.000000,100.0000,1.5,20.00000,0.230155,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24031,50,1.000000,100.0000,1.5,20.00000,0.145388,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24033,50,1.000000,81.07172,1.5,20.00000,0.308369,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24035,50,1.000000,100.0000,1.5,20.00000,0.131757,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24037,50,1.000000,100.0000,1.5,20.00000,0.211899,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24039,50,1.000000,0.010000,1.5,20.00000,100.0000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24041,50,1.000000,68.54420,1.5,20.00000,0.364728,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24043,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24045,50,1.000000,0.010000,1.5,20.00000,100.0000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24047,50,1.000000,0.010000,1.5,20.00000,100.0000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24510,50,1.000000,100.0000,1.5,20.00000,0.136391,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36003,50,1.000000,43.50504,1.5,20.00000,0.574645,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36007,50,1.000000,40.89221,1.5,20.00000,0.611364,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36015,50,1.000000,46.58015,1.5,20.00000,0.536709,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36017,50,1.000000,48.09985,1.5,20.00000,0.519752,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36023,50,1.000000,80.04565,1.5,20.00000,0.312322,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36025,50,1.000000,63.19149,1.5,20.00000,0.395623,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36043,50,1.000000,55.23781,1.5,20.00000,0.452589,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A36051,50,1.000000,81.17709,1.5,20.00000,0.307969,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
