landseg,SORGN,UORGN,LROGN,AORGN
A51700,     0.000,    57.659,    58.744,     0.000
F51700,     0.000,    57.667,    58.757,     0.000
F51810,     0.000,    55.516,    62.455,     0.167
F51800,     0.000,   109.886,    39.861,     0.000
A51085,     0.000,    99.604,    70.189,     0.355
F51085,     0.000,    41.936,    18.962,     0.273
B51003,     0.000,    99.739,    44.560,     0.066
F51003,     0.000,    72.480,    23.913,     0.443
A51125,     0.000,    74.578,    46.845,     0.337
B51125,     0.000,   119.117,    69.761,     0.364
F51125,     0.000,    91.443,    58.448,     0.461
A51009,     0.000,    45.636,    27.153,     0.208
B51009,     0.000,   154.079,    81.007,     0.624
F51009,     0.000,    91.112,    64.222,     0.378
A51540,     0.000,   110.242,    21.116,     0.114
F51540,     0.000,   196.491,    70.279,     0.000
A51031,     0.000,   133.559,    52.974,     0.000
A51023,     0.000,   162.064,    82.835,     0.325
A51163,     0.000,    53.783,    41.362,     0.000
F51023,     0.000,   138.337,    81.964,     0.453
F51163,     0.000,    78.813,    46.279,     0.000
A51161,     0.000,   126.619,    80.999,     0.467
F51161,     0.000,   168.099,    81.040,     0.684
A51015,     0.000,    34.849,    42.467,     0.083
B51015,     0.000,   133.234,    84.091,     0.538
B51163,     0.000,    57.251,    49.205,     0.014
F51015,     0.000,   136.221,    78.311,     0.437
C51015,     0.000,    89.564,    39.162,     0.172
A51045,     0.000,    97.379,    84.102,     0.601
A51071,     0.000,   134.993,    84.932,     0.532
F51045,     0.000,    96.771,    84.046,     0.603
F51071,     0.000,   134.410,    84.887,     0.528
B51017,     0.000,   109.790,    70.002,     0.000
F51017,     0.000,   120.619,    73.897,     0.060
A51678,     0.000,    39.606,    23.588,     0.000
A51017,     0.000,   138.810,    82.046,     0.223
A51091,     0.000,   111.440,    73.909,     0.558
B51091,     0.000,   155.430,    82.645,     0.475
A51530,     0.000,   121.425,    81.246,     0.000
F51530,     0.000,   120.336,    81.097,     0.000
A51121,     0.000,    72.818,    70.361,     0.232
F51121,     0.000,   117.539,    79.093,     0.330
A51005,     0.000,   106.894,    74.404,     1.237
A54063,     0.000,   122.256,    72.521,     0.383
F51005,     0.000,   104.237,    73.987,     1.244
F54063,     0.000,   181.000,    75.296,     0.481
F51091,     0.000,   157.233,    80.495,     0.655
A51580,     0.000,   168.282,    74.837,     0.000
F51580,     0.000,   211.428,    74.390,     0.000
B51023,     0.000,   173.856,    77.837,     0.000
A51019,     0.000,   146.037,    66.487,     0.238
B51019,     0.000,   143.317,    63.592,     0.077
F51019,     0.000,   148.582,    65.715,     0.000
A51680,     0.000,   129.893,    54.507,     0.000
A11001,     0.000,    63.630,    64.032,     0.000
F11001,     0.000,    36.982,    69.329,     0.134
A51059,     0.000,    97.759,    62.337,     0.000
A51510,     0.000,    32.292,    37.514,     0.020
A51610,     0.000,    64.058,    56.824,     0.000
F51510,     0.000,   139.391,    86.358,     0.307
A51600,     0.000,   147.880,    71.797,     0.000
F51059,     0.000,   127.475,    50.560,     0.000
A51153,     0.000,   131.569,    40.686,     0.210
F51153,     0.000,   131.376,    40.500,     0.222
A24017,     0.000,    46.626,    22.336,     0.506
F24017,     0.000,    88.088,    49.483,     0.000
A51179,     0.000,   117.334,    55.439,     0.000
F51179,     0.000,   117.355,    55.404,     0.000
A51193,     0.000,    91.234,    77.396,     0.516
F51193,     0.000,   153.819,    80.594,     0.679
F51013,     0.000,   184.291,    82.916,     0.422
A51107,     0.000,    83.706,    35.539,     0.000
A51683,     0.000,   200.149,    81.040,     0.104
A51685,     0.000,   197.150,    81.217,     0.098
F51107,     0.000,    72.237,    11.366,     0.646
A51013,     0.000,   184.613,    82.800,     0.416
A24021,     0.000,   124.536,    69.772,     0.386
A42001,     0.000,    85.608,    23.001,     0.219
B42001,     0.000,   119.239,    38.298,     0.266
F42001,     0.000,   116.241,    35.379,     0.000
B24021,     0.000,   105.243,    69.269,     0.428
F24021,     0.000,   107.152,    68.560,     0.377
A51069,     0.000,    51.522,    27.885,     0.055
B51171,     0.000,   109.312,    77.626,     0.182
F51069,     0.000,   134.999,    78.110,     0.155
F51171,     0.000,   100.988,    72.149,     0.025
A24043,     0.000,    16.345,    67.447,     0.573
A42055,     0.000,    46.762,    57.830,     0.411
F24043,     0.000,    42.065,    57.415,     0.309
F42055,     0.000,    87.120,    61.399,     0.519
A51820,     0.000,   107.645,    84.094,     0.377
F51820,     0.000,   115.049,    85.155,     0.474
A51165,     0.000,    46.185,    43.960,     0.123
A54031,     0.000,    94.537,    60.355,     0.000
B51165,     0.000,   109.804,    53.586,     0.344
F51165,     0.000,   121.485,    70.733,     0.288
F54031,     0.000,    83.827,    58.657,     0.049
A51171,     0.000,    42.708,    36.092,     0.000
A51187,     0.000,    44.879,    25.034,     0.000
F51187,     0.000,    34.033,    23.710,     0.000
A51043,     0.000,    39.060,    28.168,     0.085
A51840,     0.000,    40.311,    31.595,     0.000
A51660,     0.000,    82.396,    84.049,     0.220
F51660,     0.000,   162.837,    84.224,     0.169
B42041,     0.000,    26.487,    44.728,     0.337
B42055,     0.000,    82.274,    63.938,     0.699
A54003,     0.000,    38.687,    50.102,     0.000
A54037,     0.000,    23.122,    43.360,     0.000
F54003,     0.000,   130.594,    74.371,     0.285
A51139,     0.000,    59.438,    44.173,     0.000
F51139,     0.000,    59.394,    44.077,     0.000
A51790,     0.000,    51.477,    19.638,     0.061
F51790,     0.000,   159.770,    77.080,     0.234
A42099,     0.000,   142.895,    72.964,     0.876
A54065,     0.000,    94.253,    52.187,     0.000
A42057,     0.000,   162.590,    73.706,     0.469
C51165,     0.000,    95.551,    66.496,     0.008
A54027,     0.000,    65.766,    49.806,     0.000
A24001,     0.000,   126.288,    65.521,     0.621
C42009,     0.000,   152.060,    72.186,     0.402
F24001,     0.000,    84.578,    43.311,     0.711
F54027,     0.000,    53.259,    43.993,     0.000
B51139,     0.000,    82.022,    65.055,     0.000
B51187,     0.000,    62.588,    36.729,     0.000
F51043,     0.000,    47.581,    35.811,     0.000
F54037,     0.000,    63.016,    48.964,     0.000
A42009,     0.000,    76.346,    54.029,     0.338
A54071,     0.000,    57.377,    50.616,     0.000
F54071,     0.000,   106.950,    63.366,     0.128
A54023,     0.000,   145.271,    74.929,     1.047
A54057,     0.000,    85.542,    60.899,     0.876
B54023,     0.000,    54.077,    46.876,     0.922
B54057,     0.000,    34.987,    39.797,     1.252
B54071,     0.000,    51.353,    66.526,     0.410
B54031,     0.000,    76.265,    48.398,     0.000
A42111,     0.000,   110.427,    60.061,     0.695
B24001,     0.000,   102.983,    68.509,     0.581
B42009,     0.000,   108.744,    62.709,     0.512
A24023,     0.000,   137.621,    67.753,     0.875
F54023,     0.000,   162.871,    75.768,     0.880
A54077,     0.000,   204.648,    75.266,     0.790
A54093,     0.000,   204.213,    76.856,     0.446
F24023,     0.000,   154.394,    70.216,     0.827
F54057,     0.000,   183.437,    75.969,     0.693
F54065,     0.000,   164.862,    74.534,     0.193
A42071,     0.000,   100.339,    73.914,     0.584
A42133,     0.000,    98.379,    74.332,     0.486
A42075,     0.000,    80.808,    73.068,     0.852
