TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A36023,0.,1,0.03,0.3,0,50,924.2305,5,0.5,2,0,550,384.7805,5,1,8,0,300,8.274500,6,0.5,1,0,100,0,0,0,0,na,na
A36025,0.,1,0.03,0.3,0,50,1122.763,5,0.5,2,0,550,363.9140,5,1,8,0,300,8.713000,6,0.5,1,0,100,0,0,0,0,na,na
A36043,0.001000,1,0.03,0.3,0,50,541.8435,5,0.5,2,0,550,369.3850,5,1,8,0,300,8.788500,6,0.5,1,0,100,0,0,0,0,na,na
A36051,0.001000,1,0.03,0.3,0,50,1229.010,5,0.5,2,0,550,178.5460,5,1,8,0,300,4.588500,6,0.5,1,0,100,0,0,0,0,na,na
A36053,0.,1,0.03,0.3,0,50,290.4340,5,0.5,2,0,550,254.2550,5,1,8,0,300,6.813000,6,0.5,1,0,100,0,0,0,0,na,na
A36065,0.001000,1,0.03,0.3,0,50,439.9315,5,0.5,2,0,550,375.8230,5,1,8,0,300,8.788500,6,0.5,1,0,100,0,0,0,0,na,na
A36067,0.001000,1,0.03,0.3,0,50,358.0130,5,0.5,2,0,550,387.4290,5,1,8,0,300,8.897000,6,0.5,1,0,100,0,0,0,0,na,na
A36069,0.001000,1,0.03,0.3,0,50,1015.670,5,0.5,2,0,550,273.8470,5,1,8,0,300,6.540000,6,0.5,1,0,100,0,0,0,0,na,na
A36077,0.,1,0.03,0.3,0,50,997.6510,5,0.5,2,0,550,366.1780,5,1,8,0,300,8.461000,6,0.5,1,0,100,0,0,0,0,na,na
A36095,0.,1,0.03,0.3,0,50,1136.771,5,0.5,2,0,550,388.4855,5,1,8,0,300,9.193000,6,0.5,1,0,100,0,0,0,0,na,na
A36097,0.000500,1,0.03,0.3,0,50,1231.237,5,0.5,2,0,550,276.9555,5,1,8,0,300,6.494500,6,0.5,1,0,100,0,0,0,0,na,na
A36101,0.,1,0.03,0.3,0,50,741.7275,5,0.5,2,0,550,213.9190,5,1,8,0,300,5.582000,6,0.5,1,0,100,0,0,0,0,na,na
A36107,0.001000,1,0.03,0.3,0,50,984.6470,5,0.5,2,0,550,246.2065,5,1,8,0,300,6.172500,6,0.5,1,0,100,0,0,0,0,na,na
A36109,0.001000,1,0.03,0.3,0,50,1732.125,5,0.5,2,0,550,285.7860,5,1,8,0,300,6.705000,6,0.5,1,0,100,0,0,0,0,na,na
A36123,0.,1,0.03,0.3,0,50,1070.575,5,0.5,2,0,550,254.2395,5,1,8,0,300,6.101500,6,0.5,1,0,100,0,0,0,0,na,na
A37001,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37005,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37009,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37033,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37067,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37077,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37081,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37131,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37135,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37145,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37157,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37169,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37171,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37181,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37185,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37189,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A42001,0.008500,1,0.03,0.3,0,50,354.9025,5,0.5,2,0,550,50.13450,5,1,8,0,300,1.833000,6,0.5,1,0,100,0,0,0,0,na,na
A42009,0.001500,1,0.03,0.3,0,50,295.9515,5,0.5,2,0,550,230.9820,5,1,8,0,300,6.429000,6,0.5,1,0,100,0,0,0,0,na,na
A42011,0.002000,1,0.03,0.3,0,50,1151.843,5,0.5,2,0,550,350.8940,5,1,8,0,300,7.211000,6,0.5,1,0,100,0,0,0,0,na,na
A42013,0.001000,1,0.03,0.3,0,50,771.8435,5,0.5,2,0,550,377.5920,5,1,8,0,300,7.715500,6,0.5,1,0,100,0,0,0,0,na,na
A42015,0.,1,0.03,0.3,0,50,550.5955,5,0.5,2,0,550,231.5530,5,1,8,0,300,6.318000,6,0.5,1,0,100,0,0,0,0,na,na
A42021,0.,1,0.03,0.3,0,50,562.2305,5,0.5,2,0,550,190.3390,5,1,8,0,300,5.153500,6,0.5,1,0,100,0,0,0,0,na,na
A42023,0.048500,1,0.03,0.3,0,50,3355.787,5,0.5,2,0,550,239.1260,5,1,8,0,300,6.452000,6,0.5,1,0,100,0,0,0,0,na,na
A42025,0.,1,0.03,0.3,0,50,1448.432,5,0.5,2,0,550,348.7995,5,1,8,0,300,9.467500,6,0.5,1,0,100,0,0,0,0,na,na
A42027,0.,1,0.03,0.3,0,50,206.0315,5,0.5,2,0,550,379.5410,5,1,8,0,300,8.015500,6,0.5,1,0,100,0,0,0,0,na,na
A42029,0.002000,1,0.03,0.3,0,50,578.6320,5,0.5,2,0,550,368.8645,5,1,8,0,300,8.460500,6,0.5,1,0,100,0,0,0,0,na,na
A42033,0.,1,0.03,0.3,0,50,670.7925,5,0.5,2,0,550,255.9010,5,1,8,0,300,6.050500,6,0.5,1,0,100,0,0,0,0,na,na
A42035,0.,1,0.03,0.3,0,50,675.5875,5,0.5,2,0,550,286.0090,5,1,8,0,300,7.023000,6,0.5,1,0,100,0,0,0,0,na,na
A42037,0.,1,0.03,0.3,0,50,1671.688,5,0.5,2,0,550,357.5815,5,1,8,0,300,7.363500,6,0.5,1,0,100,0,0,0,0,na,na
A42041,0.005000,1,0.03,0.3,0,50,234.6810,5,0.5,2,0,550,271.8905,5,1,8,0,300,6.863000,6,0.5,1,0,100,0,0,0,0,na,na
A42043,0.002500,1,0.03,0.3,0,50,262.7050,5,0.5,2,0,550,108.0215,5,1,8,0,300,3.881500,6,0.5,1,0,100,0,0,0,0,na,na
A42047,0.,1,0.03,0.3,0,50,1077.509,5,0.5,2,0,550,194.3420,5,1,8,0,300,5.064000,6,0.5,1,0,100,0,0,0,0,na,na
A42055,0.002000,1,0.03,0.3,0,50,56.05050,5,0.5,2,0,550,273.2705,5,1,8,0,300,7.192500,6,0.5,1,0,100,0,0,0,0,na,na
A42057,0.001000,1,0.03,0.3,0,50,1161.021,5,0.5,2,0,550,293.8620,5,1,8,0,300,5.889000,6,0.5,1,0,100,0,0,0,0,na,na
A42061,0.001000,1,0.03,0.3,0,50,1287.249,5,0.5,2,0,550,348.8570,5,1,8,0,300,7.112000,6,0.5,1,0,100,0,0,0,0,na,na
A42063,0.000500,1,0.03,0.3,0,50,1175.643,5,0.5,2,0,550,312.9195,5,1,8,0,300,6.646000,6,0.5,1,0,100,0,0,0,0,na,na
A42065,0.,1,0.03,0.3,0,50,1396.069,5,0.5,2,0,550,315.7210,5,1,8,0,300,6.736500,6,0.5,1,0,100,0,0,0,0,na,na
A42067,0.001000,1,0.03,0.3,0,50,245.1135,5,0.5,2,0,550,221.5175,5,1,8,0,300,6.264000,6,0.5,1,0,100,0,0,0,0,na,na
A42069,0.,1,0.03,0.3,0,50,469.8500,5,0.5,2,0,550,381.5795,5,1,8,0,300,9.995000,6,0.5,1,0,100,0,0,0,0,na,na
A42071,0.271500,1,0.03,0.3,0,50,375.6110,5,0.5,2,0,550,375.8675,5,1,8,0,300,8.754499,6,0.5,1,0,100,0,0,0,0,na,na
A42075,0.205500,1,0.03,0.3,0,50,144.2860,5,0.5,2,0,550,358.6150,5,1,8,0,300,8.123000,6,0.5,1,0,100,0,0,0,0,na,na
A42079,0.002000,1,0.03,0.3,0,50,343.7125,5,0.5,2,0,550,371.4915,5,1,8,0,300,9.263500,6,0.5,1,0,100,0,0,0,0,na,na
