 seg,scen,Total,Stream,PS,Sep,Atdep,calscen,Total,Stream,PS,Sep,Atdep
PS0_6150_6160,p53_1985                 , 0.24924E+07, 0.21979E+07, 0.58034E+02, 0.23231E+06, 0.62099E+05,p53cal                   , 0.24948E+07, 0.22138E+07, 0.58034E+02, 0.22288E+06, 0.58014E+05
PU2_4050_4180,p53_1985                 , 0.71038E+08, 0.70462E+08, 0.00000E+00, 0.49190E+05, 0.52761E+06,p53cal                   , 0.70185E+08, 0.69595E+08, 0.59172E+05, 0.51997E+05, 0.47876E+06
SJ3_2170_1970,p53_1985                 , 0.32540E+08, 0.32420E+08, 0.00000E+00, 0.41907E+05, 0.78107E+05,p53cal                   , 0.30855E+08, 0.30741E+08, 0.00000E+00, 0.43821E+05, 0.70305E+05
JL1_6770_6850,p53_1985                 , 0.67542E+07, 0.56073E+07, 0.11814E+06, 0.22656E+06, 0.80224E+06,p53cal                   , 0.82036E+07, 0.52604E+07, 0.19470E+07, 0.24931E+06, 0.74695E+06
SU2_0670_0810,p53_1985                 , 0.78060E+07, 0.33163E+07, 0.00000E+00, 0.56904E+05, 0.44328E+07,p53cal                   , 0.68373E+07, 0.29395E+07, 0.00000E+00, 0.60765E+05, 0.38371E+07
SJ1_2280_2450,p53_1985                 , 0.58609E+07, 0.56364E+07, 0.00000E+00, 0.10271E+06, 0.12177E+06,p53cal                   , 0.56192E+07, 0.53882E+07, 0.14483E+05, 0.10717E+06, 0.10938E+06
SW3_1040_1220,p53_1985                 , 0.13061E+08, 0.12011E+08, 0.00000E+00, 0.14681E+06, 0.90308E+06,p53cal                   , 0.11962E+08, 0.11004E+08, 0.10778E+03, 0.14564E+06, 0.81209E+06
PU2_2790_3290,p53_1985                 , 0.96622E+08, 0.86137E+08, 0.32464E+07, 0.24257E+07, 0.48134E+07,p53cal                   , 0.96276E+08, 0.83431E+08, 0.58145E+07, 0.25604E+07, 0.44708E+07
PS2_5560_5100,p53_1985                 , 0.10596E+09, 0.10042E+09, 0.18039E+07, 0.11847E+07, 0.25460E+07,p53cal                   , 0.10515E+09, 0.98808E+08, 0.26612E+07, 0.12497E+07, 0.24310E+07
SU2_1290_1500,p53_1985                 , 0.13974E+08, 0.92212E+07, 0.15188E+07, 0.63787E+06, 0.25962E+07,p53cal                   , 0.12601E+08, 0.82402E+07, 0.13916E+07, 0.64713E+06, 0.23222E+07
JL2_7120_6970,p53_1985                 , 0.65732E+07, 0.60361E+07, 0.38655E+03, 0.36816E+05, 0.49987E+06,p53cal                   , 0.63930E+07, 0.58828E+07, 0.46110E+03, 0.38537E+05, 0.47117E+06
SW2_1030_1060,p53_1985                 , 0.12174E+08, 0.10960E+08, 0.19884E+06, 0.13542E+06, 0.88030E+06,p53cal                   , 0.10496E+08, 0.93287E+07, 0.20056E+06, 0.13708E+06, 0.82972E+06
SJ3_2040_1980,p53_1985                 , 0.29668E+08, 0.21594E+08, 0.58955E+07, 0.62487E+06, 0.15538E+07,p53cal                   , 0.28981E+08, 0.20916E+08, 0.59857E+07, 0.62782E+06, 0.14515E+07
PU2_4220_3900,p53_1985                 , 0.70216E+08, 0.62328E+08, 0.51608E+07, 0.15075E+07, 0.12194E+07,p53cal                   , 0.66726E+08, 0.58934E+08, 0.48724E+07, 0.17338E+07, 0.11861E+07
SW2_1070_1060,p53_1985                 , 0.12248E+08, 0.87210E+07, 0.79684E+04, 0.10009E+06, 0.34193E+07,p53cal                   , 0.11132E+08, 0.80082E+07, 0.37856E+05, 0.10242E+06, 0.29840E+07
SU3_1310_1280,p53_1985                 , 0.29921E+08, 0.29599E+08, 0.00000E+00, 0.18540E+06, 0.13704E+06,p53cal                   , 0.27522E+08, 0.27199E+08, 0.13976E+05, 0.18736E+06, 0.12219E+06
PS3_5100_5080,p53_1985                 , 0.11439E+09, 0.10093E+09, 0.40861E+07, 0.10505E+07, 0.83209E+07,p53cal                   , 0.11255E+09, 0.98280E+08, 0.56008E+07, 0.11437E+07, 0.75282E+07
SJ2_2580_2500,p53_1985                 , 0.21673E+08, 0.18447E+08, 0.96379E+05, 0.37002E+06, 0.27596E+07,p53cal                   , 0.20534E+08, 0.17502E+08, 0.14981E+06, 0.38496E+06, 0.24973E+07
JL2_6440_6441,p53_1985                 , 0.12290E+08, 0.10632E+08, 0.15754E+03, 0.18097E+06, 0.14772E+07,p53cal                   , 0.11749E+08, 0.10123E+08, 0.16201E+03, 0.20132E+06, 0.14246E+07
PU0_3601_3602,p53_1985                 , 0.41062E+07, 0.36033E+07, 0.16686E+06, 0.70640E+05, 0.26534E+06,p53cal                   , 0.37156E+07, 0.32984E+07, 0.10281E+06, 0.76653E+05, 0.23777E+06
SW3_1250_1340,p53_1985                 , 0.72007E+07, 0.68546E+07, 0.23571E+05, 0.14408E+06, 0.17847E+06,p53cal                   , 0.66957E+07, 0.63750E+07, 0.23745E+05, 0.14466E+06, 0.15232E+06
SU3_1280_1590,p53_1985                 , 0.50382E+08, 0.48718E+08, 0.20170E+06, 0.48336E+06, 0.97949E+06,p53cal                   , 0.46600E+08, 0.44871E+08, 0.34328E+06, 0.49806E+06, 0.88746E+06
PS2_6660_6490,p53_1985                 , 0.20508E+08, 0.11872E+08, 0.84499E+07, 0.55710E+05, 0.13019E+06,p53cal                   , 0.18420E+08, 0.11771E+08, 0.64657E+07, 0.60085E+05, 0.12290E+06
SJ2_2500_2450,p53_1985                 , 0.19690E+08, 0.19154E+08, 0.30491E+05, 0.28234E+05, 0.47824E+06,p53cal                   , 0.18670E+08, 0.18179E+08, 0.31379E+05, 0.29557E+05, 0.42953E+06
PU3_2510_3290,p53_1985                 , 0.54367E+08, 0.49746E+08, 0.26282E+06, 0.66849E+06, 0.36899E+07,p53cal                   , 0.52454E+08, 0.47889E+08, 0.30583E+06, 0.69664E+06, 0.35625E+07
JL2_6441_6520,p53_1985                 , 0.18211E+08, 0.14300E+08, 0.15152E+05, 0.38260E+06, 0.35137E+07,p53cal                   , 0.17358E+08, 0.13641E+08, 0.15430E+05, 0.43390E+06, 0.32672E+07
