 seg,scen,Total,Stream,PS,Sep,Atdep,calscen,Total,Stream,PS,Sep,Atdep
JL3_7020_7100,p53_1985                 , 0.67509E+09, 0.67500E+09, 0.92298E+05, 0.00000E+00, 0.00000E+00,p53cal                   , 0.64341E+09, 0.64335E+09, 0.58824E+05, 0.00000E+00, 0.00000E+00
SJ2_2150_2130,p53_1985                 , 0.35563E+09, 0.35426E+09, 0.13693E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.31584E+09, 0.31474E+09, 0.11019E+07, 0.00000E+00, 0.00000E+00
PS1_4790_4830,p53_1985                 , 0.24275E+09, 0.24274E+09, 0.66444E+04, 0.00000E+00, 0.00000E+00,p53cal                   , 0.22943E+09, 0.22942E+09, 0.40235E+04, 0.00000E+00, 0.00000E+00
PU0_3000_3090,p53_1985                 , 0.55567E+09, 0.55321E+09, 0.24548E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.50255E+09, 0.50055E+09, 0.19973E+07, 0.00000E+00, 0.00000E+00
SW1_1570_1640,p53_1985                 , 0.69768E+09, 0.69652E+09, 0.11584E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.61626E+09, 0.61542E+09, 0.84609E+06, 0.00000E+00, 0.00000E+00
SU1_1630_1610,p53_1985                 , 0.38703E+09, 0.38688E+09, 0.15208E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.30973E+09, 0.30957E+09, 0.16365E+06, 0.00000E+00, 0.00000E+00
PU0_3751_3752,p53_1985                 , 0.27232E+09, 0.27215E+09, 0.17107E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.23999E+09, 0.23982E+09, 0.17123E+06, 0.00000E+00, 0.00000E+00
SJ2_2110_2170,p53_1985                 , 0.16564E+09, 0.16564E+09, 0.00000E+00, 0.00000E+00, 0.00000E+00,p53cal                   , 0.13903E+09, 0.13903E+09, 0.00000E+00, 0.00000E+00, 0.00000E+00
JL1_7170_6800,p53_1985                 , 0.13496E+09, 0.13496E+09, 0.21642E+03, 0.00000E+00, 0.00000E+00,p53cal                   , 0.12432E+09, 0.12432E+09, 0.14293E+03, 0.00000E+00, 0.00000E+00
PS2_6730_6660,p53_1985                 , 0.12025E+10, 0.12014E+10, 0.11578E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.11486E+10, 0.11477E+10, 0.83118E+06, 0.00000E+00, 0.00000E+00
SW1_1560_1460,p53_1985                 , 0.10664E+09, 0.10664E+09, 0.13450E+04, 0.00000E+00, 0.00000E+00,p53cal                   , 0.88000E+08, 0.87999E+08, 0.13450E+04, 0.00000E+00, 0.00000E+00
SU2_1550_1620,p53_1985                 , 0.47116E+09, 0.46688E+09, 0.42798E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.40499E+09, 0.40218E+09, 0.28089E+07, 0.00000E+00, 0.00000E+00
SJ2_1900_1930,p53_1985                 , 0.51588E+09, 0.51300E+09, 0.28792E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.47270E+09, 0.47038E+09, 0.23244E+07, 0.00000E+00, 0.00000E+00
SW1_1180_1190,p53_1985                 , 0.50444E+08, 0.50444E+08, 0.00000E+00, 0.00000E+00, 0.00000E+00,p53cal                   , 0.40164E+08, 0.40164E+08, 0.00000E+00, 0.00000E+00, 0.00000E+00
SU2_1200_1310,p53_1985                 , 0.28735E+09, 0.28735E+09, 0.00000E+00, 0.00000E+00, 0.00000E+00,p53cal                   , 0.24149E+09, 0.24143E+09, 0.59128E+05, 0.00000E+00, 0.00000E+00
JL2_6240_6520,p53_1985                 , 0.57975E+09, 0.57955E+09, 0.19970E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.52163E+09, 0.52146E+09, 0.17296E+06, 0.00000E+00, 0.00000E+00
PS2_5550_5560,p53_1985                 , 0.56739E+09, 0.56738E+09, 0.15570E+05, 0.00000E+00, 0.00000E+00,p53cal                   , 0.54829E+09, 0.54823E+09, 0.59070E+05, 0.00000E+00, 0.00000E+00
PU2_3090_4050,p53_1985                 , 0.19361E+10, 0.19331E+10, 0.29666E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.17342E+10, 0.17312E+10, 0.30660E+07, 0.00000E+00, 0.00000E+00
SW1_1160_1260,p53_1985                 , 0.69145E+08, 0.69145E+08, 0.00000E+00, 0.00000E+00, 0.00000E+00,p53cal                   , 0.59096E+08, 0.59096E+08, 0.00000E+00, 0.00000E+00, 0.00000E+00
JL2_7110_7120,p53_1985                 , 0.44563E+09, 0.44538E+09, 0.24849E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.43437E+09, 0.43422E+09, 0.15040E+06, 0.00000E+00, 0.00000E+00
SJ3_2160_2170,p53_1985                 , 0.71617E+09, 0.71615E+09, 0.16961E+05, 0.00000E+00, 0.00000E+00,p53cal                   , 0.59638E+09, 0.59637E+09, 0.10085E+05, 0.00000E+00, 0.00000E+00
SU1_1480_1500,p53_1985                 , 0.26641E+09, 0.23510E+09, 0.31307E+08, 0.00000E+00, 0.00000E+00,p53cal                   , 0.24012E+09, 0.21680E+09, 0.23320E+08, 0.00000E+00, 0.00000E+00
PU2_4730_4220,p53_1985                 , 0.34075E+09, 0.34074E+09, 0.95666E+04, 0.00000E+00, 0.00000E+00,p53cal                   , 0.32821E+09, 0.32512E+09, 0.30911E+07, 0.00000E+00, 0.00000E+00
PS1_4830_5080,p53_1985                 , 0.78145E+09, 0.78108E+09, 0.36772E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.73192E+09, 0.73166E+09, 0.25855E+06, 0.00000E+00, 0.00000E+00
JL1_6560_6440,p53_1985                 , 0.39637E+09, 0.39621E+09, 0.16008E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.36564E+09, 0.36548E+09, 0.15784E+06, 0.00000E+00, 0.00000E+00
SU2_1210_1310,p53_1985                 , 0.35725E+09, 0.35725E+09, 0.61790E+03, 0.00000E+00, 0.00000E+00,p53cal                   , 0.28464E+09, 0.28463E+09, 0.93359E+04, 0.00000E+00, 0.00000E+00
SW2_1190_1410,p53_1985                 , 0.62264E+09, 0.62217E+09, 0.46867E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.53267E+09, 0.53236E+09, 0.31280E+06, 0.00000E+00, 0.00000E+00
PS0_6150_6160,p53_1985                 , 0.13407E+09, 0.13407E+09, 0.15003E+02, 0.00000E+00, 0.00000E+00,p53cal                   , 0.13595E+09, 0.13595E+09, 0.15003E+02, 0.00000E+00, 0.00000E+00
PU2_4050_4180,p53_1985                 , 0.18988E+10, 0.18988E+10, 0.31050E+03, 0.00000E+00, 0.00000E+00,p53cal                   , 0.17012E+10, 0.17012E+10, 0.12832E+05, 0.00000E+00, 0.00000E+00
SJ3_2170_1970,p53_1985                 , 0.10653E+10, 0.10653E+10, 0.00000E+00, 0.00000E+00, 0.00000E+00,p53cal                   , 0.89417E+09, 0.89417E+09, 0.00000E+00, 0.00000E+00, 0.00000E+00
JL1_6770_6850,p53_1985                 , 0.29823E+09, 0.29804E+09, 0.18569E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.28955E+09, 0.28861E+09, 0.94251E+06, 0.00000E+00, 0.00000E+00
SU2_0670_0810,p53_1985                 , 0.56067E+08, 0.56067E+08, 0.00000E+00, 0.00000E+00, 0.00000E+00,p53cal                   , 0.49295E+08, 0.49295E+08, 0.00000E+00, 0.00000E+00, 0.00000E+00
SJ1_2280_2450,p53_1985                 , 0.16706E+09, 0.16706E+09, 0.00000E+00, 0.00000E+00, 0.00000E+00,p53cal                   , 0.14091E+09, 0.14091E+09, 0.55773E+04, 0.00000E+00, 0.00000E+00
SW3_1040_1220,p53_1985                 , 0.21378E+09, 0.21378E+09, 0.00000E+00, 0.00000E+00, 0.00000E+00,p53cal                   , 0.16320E+09, 0.16320E+09, 0.34026E+02, 0.00000E+00, 0.00000E+00
PU2_2790_3290,p53_1985                 , 0.20331E+10, 0.20258E+10, 0.73389E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.18665E+10, 0.18600E+10, 0.65612E+07, 0.00000E+00, 0.00000E+00
PS2_5560_5100,p53_1985                 , 0.27388E+10, 0.27347E+10, 0.41257E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.25570E+10, 0.25526E+10, 0.44724E+07, 0.00000E+00, 0.00000E+00
SU2_1290_1500,p53_1985                 , 0.26542E+09, 0.25797E+09, 0.74451E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.22684E+09, 0.22127E+09, 0.55749E+07, 0.00000E+00, 0.00000E+00
JL2_7120_6970,p53_1985                 , 0.73612E+09, 0.73612E+09, 0.74147E+03, 0.00000E+00, 0.00000E+00,p53cal                   , 0.71907E+09, 0.71906E+09, 0.43618E+03, 0.00000E+00, 0.00000E+00
SW2_1030_1060,p53_1985                 , 0.17558E+09, 0.17535E+09, 0.23196E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.13461E+09, 0.13448E+09, 0.13169E+06, 0.00000E+00, 0.00000E+00
SJ3_2040_1980,p53_1985                 , 0.49263E+09, 0.47134E+09, 0.21295E+08, 0.00000E+00, 0.00000E+00,p53cal                   , 0.43337E+09, 0.41246E+09, 0.20910E+08, 0.00000E+00, 0.00000E+00
PU2_4220_3900,p53_1985                 , 0.95507E+09, 0.94613E+09, 0.89412E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.91001E+09, 0.90590E+09, 0.41144E+07, 0.00000E+00, 0.00000E+00
SW2_1070_1060,p53_1985                 , 0.21843E+09, 0.21842E+09, 0.93305E+04, 0.00000E+00, 0.00000E+00,p53cal                   , 0.17461E+09, 0.17460E+09, 0.15370E+05, 0.00000E+00, 0.00000E+00
