 seg,scen,Total,Stream,PS,Sep,Atdep,calscen,Total,Stream,PS,Sep,Atdep
JL3_7020_7100,p53_1985AA               , 0.18383E+08, 0.15736E+08, 0.58616E+05, 0.36144E+06, 0.22269E+07,p53cal                   , 0.19459E+08, 0.15264E+08, 0.64242E+05, 0.38208E+06, 0.37491E+07
PS1_4790_4830,p53_1985AA               , 0.90406E+07, 0.85398E+07, 0.22953E+06, 0.98617E+05, 0.17268E+06,p53cal                   , 0.96861E+07, 0.90225E+07, 0.23014E+06, 0.11328E+06, 0.32013E+06
SJ2_2150_2130,p53_1985AA               , 0.11533E+08, 0.97287E+07, 0.33429E+06, 0.20137E+06, 0.12686E+07,p53cal                   , 0.12802E+08, 0.10133E+08, 0.32548E+06, 0.22291E+06, 0.21211E+07
SW1_1570_1640,p53_1985AA               , 0.22793E+08, 0.21276E+08, 0.38688E+06, 0.57143E+06, 0.55943E+06,p53cal                   , 0.24437E+08, 0.22612E+08, 0.26579E+06, 0.60960E+06, 0.94943E+06
SU1_1630_1610,p53_1985AA               , 0.13824E+08, 0.12302E+08, 0.65050E+04, 0.24478E+06, 0.12709E+07,p53cal                   , 0.15163E+08, 0.12592E+08, 0.53734E+05, 0.25336E+06, 0.22639E+07
PU0_3000_3090,p53_1985AA               , 0.28289E+08, 0.25331E+08, 0.19039E+07, 0.67630E+06, 0.37711E+06,p53cal                   , 0.28732E+08, 0.25836E+08, 0.16008E+07, 0.70669E+06, 0.58830E+06
JL1_7170_6800,p53_1985AA               , 0.57318E+07, 0.47427E+07, 0.92806E+02, 0.10976E+06, 0.87930E+06,p53cal                   , 0.61616E+07, 0.45082E+07, 0.16171E+03, 0.13014E+06, 0.15231E+07
PU0_3751_3752,p53_1985AA               , 0.58871E+07, 0.55802E+07, 0.55952E+05, 0.14800E+06, 0.10297E+06,p53cal                   , 0.59096E+07, 0.54687E+07, 0.57692E+05, 0.20905E+06, 0.17418E+06
SJ2_2110_2170,p53_1985AA               , 0.46948E+07, 0.44587E+07, 0.00000E+00, 0.10043E+06, 0.13575E+06,p53cal                   , 0.50080E+07, 0.46796E+07, 0.00000E+00, 0.10648E+06, 0.22197E+06
PS2_6730_6660,p53_1985AA               , 0.22588E+08, 0.20432E+08, 0.51892E+06, 0.46520E+06, 0.11715E+07,p53cal                   , 0.23999E+08, 0.21098E+08, 0.67613E+06, 0.51580E+06, 0.17089E+07
