 seg,scen,Total,Stream,PS,Sep,Atdep,calscen,Total,Stream,PS,Sep,Atdep
PS1_4790_4830,p53_NA10                 , 0.22838E+09, 0.22837E+09, 0.11001E+05, 0.00000E+00, 0.00000E+00,p53cal                   , 0.22943E+09, 0.22942E+09, 0.40235E+04, 0.00000E+00, 0.00000E+00
SU1_1630_1610,p53_NA10                 , 0.41379E+09, 0.41349E+09, 0.30164E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.30973E+09, 0.30957E+09, 0.16365E+06, 0.00000E+00, 0.00000E+00
SW1_1570_1640,p53_NA10                 , 0.74405E+09, 0.74181E+09, 0.22429E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.61626E+09, 0.61542E+09, 0.84609E+06, 0.00000E+00, 0.00000E+00
JL3_7020_7100,p53_NA10                 , 0.68062E+09, 0.68051E+09, 0.11148E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.64341E+09, 0.64335E+09, 0.58824E+05, 0.00000E+00, 0.00000E+00
PU0_3000_3090,p53_NA10                 , 0.66697E+09, 0.65953E+09, 0.74459E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.50255E+09, 0.50055E+09, 0.19973E+07, 0.00000E+00, 0.00000E+00
SJ2_2150_2130,p53_NA10                 , 0.43031E+09, 0.42860E+09, 0.17037E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.31584E+09, 0.31474E+09, 0.11019E+07, 0.00000E+00, 0.00000E+00
PU0_3751_3752,p53_NA10                 , 0.32059E+09, 0.32042E+09, 0.17107E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.23999E+09, 0.23982E+09, 0.17123E+06, 0.00000E+00, 0.00000E+00
JL1_7170_6800,p53_NA10                 , 0.10650E+09, 0.10650E+09, 0.49432E+03, 0.00000E+00, 0.00000E+00,p53cal                   , 0.12432E+09, 0.12432E+09, 0.14293E+03, 0.00000E+00, 0.00000E+00
PS2_6730_6660,p53_NA10                 , 0.12646E+10, 0.12583E+10, 0.62519E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.11486E+10, 0.11477E+10, 0.83118E+06, 0.00000E+00, 0.00000E+00
SJ2_2110_2170,p53_NA10                 , 0.16955E+09, 0.16955E+09, 0.00000E+00, 0.00000E+00, 0.00000E+00,p53cal                   , 0.13903E+09, 0.13903E+09, 0.00000E+00, 0.00000E+00, 0.00000E+00
SU2_1550_1620,p53_NA10                 , 0.50882E+09, 0.50378E+09, 0.50337E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.40499E+09, 0.40218E+09, 0.28089E+07, 0.00000E+00, 0.00000E+00
SW1_1560_1460,p53_NA10                 , 0.11259E+09, 0.11258E+09, 0.13450E+04, 0.00000E+00, 0.00000E+00,p53cal                   , 0.88000E+08, 0.87999E+08, 0.13450E+04, 0.00000E+00, 0.00000E+00
