 seg,scen,Total,Stream,PS,Sep,Atdep,calscen,Total,Stream,PS,Sep,Atdep
SJ2_2150_2130,p53_2007AA               , 0.50863E+06, 0.39936E+06, 0.22765E+05, 0.00000E+00, 0.86505E+05,p53cal                   , 0.51805E+06, 0.37929E+06, 0.51668E+05, 0.00000E+00, 0.87096E+05
PS1_4790_4830,p53_2007AA               , 0.47534E+06, 0.33993E+06, 0.12171E+06, 0.00000E+00, 0.13690E+05,p53cal                   , 0.50209E+06, 0.36638E+06, 0.12147E+06, 0.00000E+00, 0.14243E+05
SW1_1570_1640,p53_2007AA               , 0.11691E+07, 0.10986E+07, 0.36543E+05, 0.00000E+00, 0.33898E+05,p53cal                   , 0.14435E+07, 0.13095E+07, 0.93877E+05, 0.00000E+00, 0.40134E+05
PU0_3000_3090,p53_2007AA               , 0.10088E+07, 0.61258E+06, 0.37256E+06, 0.00000E+00, 0.23701E+05,p53cal                   , 0.11011E+07, 0.64995E+06, 0.42787E+06, 0.00000E+00, 0.23243E+05
JL3_7020_7100,p53_2007AA               , 0.18585E+07, 0.16040E+07, 0.91238E+04, 0.00000E+00, 0.24544E+06,p53cal                   , 0.17795E+07, 0.15646E+07, 0.12948E+05, 0.00000E+00, 0.20188E+06
SU1_1630_1610,p53_2007AA               , 0.80248E+06, 0.66861E+06, 0.29806E+05, 0.00000E+00, 0.10406E+06,p53cal                   , 0.81709E+06, 0.70278E+06, 0.12604E+05, 0.00000E+00, 0.10170E+06
PU0_3751_3752,p53_2007AA               , 0.27408E+06, 0.26578E+06, 0.13041E+04, 0.00000E+00, 0.69977E+04,p53cal                   , 0.29539E+06, 0.28675E+06, 0.15816E+04, 0.00000E+00, 0.70532E+04
JL1_7170_6800,p53_2007AA               , 0.50959E+06, 0.37672E+06, 0.40222E+02, 0.00000E+00, 0.13283E+06,p53cal                   , 0.47604E+06, 0.39894E+06, 0.25076E+02, 0.00000E+00, 0.77066E+05
SJ2_2110_2170,p53_2007AA               , 0.16151E+06, 0.15208E+06, 0.00000E+00, 0.00000E+00, 0.94259E+04,p53cal                   , 0.16935E+06, 0.15995E+06, 0.00000E+00, 0.00000E+00, 0.93956E+04
SW1_1560_1460,p53_2007AA               , 0.10907E+06, 0.10902E+06, 0.50443E+02, 0.00000E+00, 0.00000E+00,p53cal                   , 0.11198E+06, 0.11193E+06, 0.50443E+02, 0.00000E+00, 0.00000E+00
