 seg,scen,Total,Stream,PS,Sep,Atdep,calscen,Total,Stream,PS,Sep,Atdep
SJ2_2150_2130,p53_E310v1               , 0.66798E+07, 0.53723E+07, 0.62100E+05, 0.10601E+06, 0.11394E+07,p53cal                   , 0.12802E+08, 0.10133E+08, 0.32548E+06, 0.22291E+06, 0.21211E+07
PU0_3000_3090,p53_E310v1               , 0.13247E+08, 0.11739E+08, 0.81725E+06, 0.33895E+06, 0.35097E+06,p53cal                   , 0.28732E+08, 0.25836E+08, 0.16008E+07, 0.70669E+06, 0.58830E+06
SU1_1630_1610,p53_E310v1               , 0.77942E+07, 0.64480E+07, 0.40696E+05, 0.10890E+06, 0.11966E+07,p53cal                   , 0.15163E+08, 0.12592E+08, 0.53734E+05, 0.25336E+06, 0.22639E+07
SW1_1570_1640,p53_E310v1               , 0.10511E+08, 0.95922E+07, 0.23798E+06, 0.28134E+06, 0.39936E+06,p53cal                   , 0.24437E+08, 0.22612E+08, 0.26579E+06, 0.60960E+06, 0.94943E+06
PU0_3751_3752,p53_E310v1               , 0.23052E+07, 0.20530E+07, 0.92529E+04, 0.15027E+06, 0.92666E+05,p53cal                   , 0.59096E+07, 0.54687E+07, 0.57692E+05, 0.20905E+06, 0.17418E+06
SW1_1560_1460,p53_E310v1               , 0.18663E+07, 0.18418E+07, 0.38214E+01, 0.24429E+05, 0.00000E+00,p53cal                   , 0.26118E+07, 0.25635E+07, 0.22929E+02, 0.48316E+05, 0.00000E+00
SU2_1550_1620,p53_E310v1               , 0.11341E+08, 0.74547E+07, 0.65381E+06, 0.21914E+06, 0.30135E+07,p53cal                   , 0.21932E+08, 0.12831E+08, 0.27332E+07, 0.55283E+06, 0.58148E+07
SJ2_2110_2170,p53_E310v1               , 0.29643E+07, 0.27922E+07, 0.00000E+00, 0.47466E+05, 0.12465E+06,p53cal                   , 0.50080E+07, 0.46796E+07, 0.00000E+00, 0.10648E+06, 0.22197E+06
SW1_1180_1190,p53_E310v1               , 0.11847E+07, 0.11119E+07, 0.00000E+00, 0.80050E+04, 0.64750E+05,p53cal                   , 0.18883E+07, 0.17239E+07, 0.00000E+00, 0.19880E+05, 0.14444E+06
SJ2_1900_1930,p53_E310v1               , 0.16422E+08, 0.15145E+08, 0.44434E+06, 0.31428E+06, 0.51882E+06,p53cal                   , 0.37150E+08, 0.33616E+08, 0.17869E+07, 0.72097E+06, 0.10264E+07
SU2_1200_1310,p53_E310v1               , 0.75746E+07, 0.61943E+07, 0.39620E+05, 0.14127E+06, 0.11995E+07,p53cal                   , 0.14613E+08, 0.11099E+08, 0.15944E+06, 0.35140E+06, 0.30033E+07
PU2_3090_4050,p53_E310v1               , 0.34725E+08, 0.30073E+08, 0.18940E+07, 0.88792E+06, 0.18698E+07,p53cal                   , 0.81720E+08, 0.70341E+08, 0.61305E+07, 0.18594E+07, 0.33884E+07
SW1_1160_1260,p53_E310v1               , 0.14505E+07, 0.14050E+07, 0.00000E+00, 0.17261E+05, 0.28228E+05,p53cal                   , 0.24003E+07, 0.22510E+07, 0.00000E+00, 0.40820E+05, 0.10853E+06
SU1_1480_1500,p53_E310v1               , 0.65345E+07, 0.24594E+07, 0.13899E+07, 0.11540E+06, 0.25698E+07,p53cal                   , 0.15392E+08, 0.37882E+07, 0.57656E+07, 0.30780E+06, 0.55301E+07
SJ3_2160_2170,p53_E310v1               , 0.15761E+08, 0.13616E+08, 0.19585E+05, 0.12356E+06, 0.20019E+07,p53cal                   , 0.28677E+08, 0.24722E+08, 0.66276E+05, 0.27663E+06, 0.36123E+07
PU2_4730_4220,p53_E310v1               , 0.74629E+07, 0.49470E+07, 0.20870E+07, 0.21016E+06, 0.21868E+06,p53cal                   , 0.17737E+08, 0.13064E+08, 0.38720E+07, 0.36251E+06, 0.43760E+06
SU2_1210_1310,p53_E310v1               , 0.62334E+07, 0.59754E+07, 0.47179E+05, 0.79686E+05, 0.13111E+06,p53cal                   , 0.10734E+08, 0.10256E+08, 0.23217E+05, 0.18320E+06, 0.27153E+06
SW2_1190_1410,p53_E310v1               , 0.12315E+08, 0.11215E+08, 0.13757E+06, 0.19744E+06, 0.76463E+06,p53cal                   , 0.25756E+08, 0.23170E+08, 0.28649E+06, 0.50627E+06, 0.17932E+07
SJ3_2170_1970,p53_E310v1               , 0.16930E+08, 0.16876E+08, 0.00000E+00, 0.18982E+05, 0.35231E+05,p53cal                   , 0.30855E+08, 0.30741E+08, 0.00000E+00, 0.43821E+05, 0.70305E+05
PU2_4050_4180,p53_E310v1               , 0.31189E+08, 0.30858E+08, 0.47258E+05, 0.25510E+05, 0.25797E+06,p53cal                   , 0.70185E+08, 0.69595E+08, 0.59172E+05, 0.51997E+05, 0.47876E+06
SU2_0670_0810,p53_E310v1               , 0.33366E+07, 0.15351E+07, 0.19313E+05, 0.26526E+05, 0.17557E+07,p53cal                   , 0.68373E+07, 0.29395E+07, 0.00000E+00, 0.60765E+05, 0.38371E+07
SW3_1040_1220,p53_E310v1               , 0.69883E+07, 0.65619E+07, 0.97727E+02, 0.56148E+05, 0.37014E+06,p53cal                   , 0.11962E+08, 0.11004E+08, 0.10778E+03, 0.14564E+06, 0.81209E+06
SJ1_2280_2450,p53_E310v1               , 0.35750E+07, 0.33933E+07, 0.83711E+05, 0.45954E+05, 0.51960E+05,p53cal                   , 0.56192E+07, 0.53882E+07, 0.14483E+05, 0.10717E+06, 0.10938E+06
PU2_2790_3290,p53_E310v1               , 0.43432E+08, 0.37915E+08, 0.15999E+07, 0.12513E+07, 0.26658E+07,p53cal                   , 0.96276E+08, 0.83431E+08, 0.58145E+07, 0.25604E+07, 0.44708E+07
SU2_1290_1500,p53_E310v1               , 0.66008E+07, 0.47208E+07, 0.55199E+06, 0.26677E+06, 0.10612E+07,p53cal                   , 0.12601E+08, 0.82402E+07, 0.13916E+07, 0.64713E+06, 0.23222E+07
SW2_1030_1060,p53_E310v1               , 0.53122E+07, 0.47927E+07, 0.62260E+05, 0.54346E+05, 0.40293E+06,p53cal                   , 0.10496E+08, 0.93287E+07, 0.20056E+06, 0.13708E+06, 0.82972E+06
SJ3_2040_1980,p53_E310v1               , 0.15115E+08, 0.11369E+08, 0.28017E+07, 0.25326E+06, 0.69090E+06,p53cal                   , 0.28981E+08, 0.20916E+08, 0.59857E+07, 0.62782E+06, 0.14515E+07
PU2_4220_3900,p53_E310v1               , 0.27173E+08, 0.24158E+08, 0.12844E+07, 0.11108E+07, 0.61924E+06,p53cal                   , 0.66726E+08, 0.58934E+08, 0.48724E+07, 0.17338E+07, 0.11861E+07
SW2_1070_1060,p53_E310v1               , 0.67629E+07, 0.54370E+07, 0.31619E+05, 0.41289E+05, 0.12530E+07,p53cal                   , 0.11132E+08, 0.80082E+07, 0.37856E+05, 0.10242E+06, 0.29840E+07
SU3_1310_1280,p53_E310v1               , 0.15146E+08, 0.14979E+08, 0.29046E+05, 0.77789E+05, 0.60381E+05,p53cal                   , 0.27522E+08, 0.27199E+08, 0.13976E+05, 0.18736E+06, 0.12219E+06
SJ2_2580_2500,p53_E310v1               , 0.10847E+08, 0.93772E+07, 0.97000E+05, 0.16734E+06, 0.12055E+07,p53cal                   , 0.20534E+08, 0.17502E+08, 0.14981E+06, 0.38496E+06, 0.24973E+07
PU0_3601_3602,p53_E310v1               , 0.17354E+07, 0.15294E+07, 0.41917E+05, 0.39403E+05, 0.12466E+06,p53cal                   , 0.37156E+07, 0.32984E+07, 0.10281E+06, 0.76653E+05, 0.23777E+06
SW3_1250_1340,p53_E310v1               , 0.37802E+07, 0.36504E+07, 0.59870E+04, 0.56812E+05, 0.66955E+05,p53cal                   , 0.66957E+07, 0.63750E+07, 0.23745E+05, 0.14466E+06, 0.15232E+06
