 seg,scen,Total,Stream,PS,Sep,Atdep,calscen,Total,Stream,PS,Sep,Atdep
PU0_3000_3090,p53_E310v1               , 0.34617E+09, 0.34527E+09, 0.89943E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.50255E+09, 0.50055E+09, 0.19973E+07, 0.00000E+00, 0.00000E+00
SU1_1630_1610,p53_E310v1               , 0.22446E+09, 0.22436E+09, 0.10797E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.30973E+09, 0.30957E+09, 0.16365E+06, 0.00000E+00, 0.00000E+00
SW1_1570_1640,p53_E310v1               , 0.37422E+09, 0.37395E+09, 0.26687E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.61626E+09, 0.61542E+09, 0.84609E+06, 0.00000E+00, 0.00000E+00
SJ2_2150_2130,p53_E310v1               , 0.24421E+09, 0.24414E+09, 0.72191E+05, 0.00000E+00, 0.00000E+00,p53cal                   , 0.31584E+09, 0.31474E+09, 0.11019E+07, 0.00000E+00, 0.00000E+00
PU0_3751_3752,p53_E310v1               , 0.15283E+09, 0.15272E+09, 0.10939E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.23999E+09, 0.23982E+09, 0.17123E+06, 0.00000E+00, 0.00000E+00
SW1_1560_1460,p53_E310v1               , 0.89171E+08, 0.89170E+08, 0.67956E+03, 0.00000E+00, 0.00000E+00,p53cal                   , 0.88000E+08, 0.87999E+08, 0.13450E+04, 0.00000E+00, 0.00000E+00
SU2_1550_1620,p53_E310v1               , 0.28486E+09, 0.28421E+09, 0.64680E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.40499E+09, 0.40218E+09, 0.28089E+07, 0.00000E+00, 0.00000E+00
SJ2_2110_2170,p53_E310v1               , 0.11767E+09, 0.11767E+09, 0.00000E+00, 0.00000E+00, 0.00000E+00,p53cal                   , 0.13903E+09, 0.13903E+09, 0.00000E+00, 0.00000E+00, 0.00000E+00
SW1_1180_1190,p53_E310v1               , 0.41525E+08, 0.41525E+08, 0.00000E+00, 0.00000E+00, 0.00000E+00,p53cal                   , 0.40164E+08, 0.40164E+08, 0.00000E+00, 0.00000E+00, 0.00000E+00
SJ2_1900_1930,p53_E310v1               , 0.33105E+09, 0.33019E+09, 0.85960E+06, 0.00000E+00, 0.00000E+00,p53cal                   , 0.47270E+09, 0.47038E+09, 0.23244E+07, 0.00000E+00, 0.00000E+00
SU2_1200_1310,p53_E310v1               , 0.19079E+09, 0.19076E+09, 0.27293E+05, 0.00000E+00, 0.00000E+00,p53cal                   , 0.24149E+09, 0.24143E+09, 0.59128E+05, 0.00000E+00, 0.00000E+00
PU2_3090_4050,p53_E310v1               , 0.11164E+10, 0.11135E+10, 0.29721E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.17342E+10, 0.17312E+10, 0.30660E+07, 0.00000E+00, 0.00000E+00
SW1_1160_1260,p53_E310v1               , 0.57311E+08, 0.57311E+08, 0.00000E+00, 0.00000E+00, 0.00000E+00,p53cal                   , 0.59096E+08, 0.59096E+08, 0.00000E+00, 0.00000E+00, 0.00000E+00
SU1_1480_1500,p53_E310v1               , 0.97775E+08, 0.96163E+08, 0.16116E+07, 0.00000E+00, 0.00000E+00,p53cal                   , 0.24012E+09, 0.21680E+09, 0.23320E+08, 0.00000E+00, 0.00000E+00
SJ3_2160_2170,p53_E310v1               , 0.46440E+09, 0.46437E+09, 0.30260E+05, 0.00000E+00, 0.00000E+00,p53cal                   , 0.59638E+09, 0.59637E+09, 0.10085E+05, 0.00000E+00, 0.00000E+00
