"","Name","HUC8","Area_m^2","WBArea_m^2","Withdraw_BGY","Normalized7q10_cfs/mi^2","HUC7q10_cfs","Hamn_BGY","Thrn_BGY","Hrg_BGY","AvgET_BGY","AvgET_mmpyr","RatioET_7q10","RatioET_ETpD"
"1","Upper Levisa","05070202",3139917257.64645,8571826.25656886,2.79653,0.029277566539924,35.4940380126585,1.66020345736277,1.55561840873513,2.64532654260195,1.95371613623328,697053.606945413,0.233328445789859,0.411287348108341
"2","Middle New","05050002",4347417615.28065,1989514.97960769,26.15722,0.26751255617235,449.032485659386,0.362550935423423,0.345237926417945,0.574725503356512,0.427504788399293,702113.982994271,0.00403575558815612,0.0160808431082891
"3","Upper Dan","03010103",5320566065.25657,22662583.4650807,4.04247,0.311345646437995,639.591770476685,4.93467121182898,4.55036218080499,7.52678472429658,5.67060603897685,1631082.75632881,0.0375827230601516,0.583811556320749
"4","Conococheague-Opequon","02070004",5903229964.38006,4857619.50019079,1.07276,0.0286941580756014,65.4011549622803,0.955334109019248,0.887176233095618,1.44601170352423,1.09617401521303,1285985.81921391,0.071048631932276,0.505397585876012
"5","Eastern Lower Delmarva","02040304",1970121878.71582,5251597.43401834,3.00168,NA,NA,1.18272138405438,1.12813820583447,1.44854806255905,1.2531358841493,642299.410289995,NA,0.294521765046915
"6","North Fork Holston","06010101",1881141950.32966,2127092.64508186,0.34151,0.0873323397913562,63.4306108766853,0.381726803140678,0.365009462961242,0.61506871620458,0.453934994102166,169968.575280537,0.0303358665318479,0.570667987689748
"7","Upper New","05050001",7614757728.49987,18196490.5370037,14.59013,0.320202385254789,941.418834346185,3.46282924023788,3.26669496567869,5.46266923204527,4.06406447932061,1547612.07056406,0.0182995049821989,0.217863305961879
"8","North Fork Shenandoah","02070006",2678290442.18954,5071399.8719817,5.33074,0.0849350649350649,87.830817336386,0.993861330457955,0.919205624981708,1.5595071019559,1.15752468579852,2305147.0600979,0.0558656649377075,0.178402815213766
"9","South Fork Shenandoah","02070005",4330637668.46276,8344478.76752085,15.14026,0.151162790697674,252.754548506547,1.64214839781912,1.53122664361608,2.52776282353395,1.90037928832305,4011531.73910869,0.0318715322877125,0.111520422219445
"10","Rapidan-Upper Rappahannock","02080103",4035431615.24158,22504387.5266712,2.14943,0.0168012924071082,26.1779064876739,4.77972433309591,4.41632288730697,7.07017516391839,5.42207412810709,3806218.95489006,0.877995264604365,0.716115851800061
"11","Appomattox","02080207",4174433986.33976,54912925.087896,22.74479,0.0358420268256334,57.7686724981973,12.3644033037456,11.4235083050048,18.0732183457503,13.9537099848335,3325241.89925595,1.02390329218242,0.380225622044503
"12","Pamunkey","02080106",3817374126.68829,79049766.2037083,15.36021,0.037569573283859,55.3736584473809,17.3752098487942,16.0172731876504,25.6330968171784,19.675193284541,3011816.14671346,1.50618190127299,0.561580328467989
"13","Lynnhaven-Poquoson","02080108",595588790.558401,13906314.2398723,8.06483,NA,NA,3.28298727184636,3.13362154735687,4.0036927079849,3.47343384239604,680149.790154431,NA,0.301036090857387
"14","Chincoteague","02040303",2732475394.45441,8812122.22881423,1.63705,NA,NA,1.9570536859835,1.86433233401199,2.38804479186393,2.06981027061981,891326.258706017,NA,0.55837288689431
"15","North Fork Kentucky","05100201",3429231106.10375,8571826.25656886,2.79653,NA,NA,1.66020345736277,1.55561840873513,2.64532654260195,1.95371613623328,697053.606945413,NA,0.411287348108341
"16","Powell","06010206",2452649888.46435,3094649.9053628,2.15969,0.0824451410658307,78.0733568747173,0.596984017511103,0.565271238459077,0.927210634379085,0.696488630116422,534736.268016459,0.0378157582634258,0.243853316025977
"17","Middle Roanoke","03010102",4503513255.23117,148030992.214169,0.22783,0.157451112609575,273.778543561008,34.0527575917234,31.5221419642568,49.5660953202334,38.3803316254045,3860636.71018246,0.594252406230711,0.994098916125287
"18","Middle James-Buffalo","02080203",5240729533.1006,16365367.6901253,13.25428,0.118314778432657,239.404864856247,3.50308914529077,3.24186736820087,5.26092728432986,4.0019612659405,1750293.42149881,0.0708600646781452,0.231913845214912
"19","Blackwater","03010202",1921236977.05951,15463660.1001527,8.37983,0.00125611745513866,0.931780069843336,3.57739030209344,3.31774109954575,5.12985594670545,4.00832911611488,1328399.1471759,18.2352445217879,0.323561320010875
"20","Upper Cumberland","05130101",6043370212.59982,8571826.25656886,2.79653,NA,NA,1.66020345736277,1.55561840873513,2.64532654260195,1.95371613623328,697053.606945413,NA,0.411287348108341
"21","Banister","03010105",1545366857.83041,10657482.0840942,0.21564,0.0707495429616088,42.2140929771817,2.29291246182531,2.1176789442546,3.51146147737617,2.64068429448536,1743398.87908038,0.265167720317409,0.924504370733977
"22","Chowan","03010203",2334493247.81457,783276.627021038,0.00647,NA,NA,0.181827704370677,0.168722869205839,0.262303308268077,0.204284627281531,116501.730081533,NA,0.969300792663702
"23","Pokomoke-Western Lower Delmarva","02080111",2800960031.49709,8397036.07456215,2.10016,NA,NA,1.87912170337862,1.78559742661259,2.35695706167192,2.00722539722104,1705695.57406099,NA,0.488686890346127
"24","Tug","05070201",4028011535.89317,146852.989511152,0.029,NA,NA,0.0289957240492487,0.0272051886747251,0.0446663681325867,0.0336224269521868,49112.480977273,NA,0.536907120796485
