"","Name","HUC8","Area_m^2","WBArea_m^2","Withdraw_BGY","Normalized7q10_cfs/mi^2","HUC7q10_cfs","Hamn_BGY","Thrn_BGY","Hrg_BGY","AvgET_BGY","AvgET_mmpyr","RatioET_7q10","RatioET_ETpD"
"25","Upper Yadkin","03040101",6352899914.92855,777856.618780297,1.32354,NA,NA,0.160742582511678,0.149660728495072,0.250627636804595,0.187010315937115,228531.766473591,NA,0.123802771721045
"26","Maury","02080202",2170125481.06711,3446737.89695263,1.07426,0.0924265842349304,77.4433229155623,0.666944015976221,0.623163295591632,1.05054025394879,0.780215855172215,582129.098287017,0.0427063472586382,0.420720417036522
"27","Nottoway","03010201",4470217684.38991,29528931.7078977,3.37018,0.0176266481609993,30.4229019474517,6.70476902262405,6.20707609966823,9.75957526627004,7.55714012952077,3118230.72300433,1.05297599938687,0.69158220313366
"28","Mattaponi","02080105",2363712654.00178,24794704.2255314,2.46033,0.0132006633499171,12.0473815601295,5.5917455473848,5.17577706743852,8.0001681567323,6.25589692385187,1576564.67449643,2.20119518346599,0.71772992815649
"29","Middle Potomac-Catoctin","02070008",3211380098.16084,13121154.2734584,85.9927,0.00539156626506024,6.68511509085021,2.7384469994787,2.53194484281226,3.9981532648283,3.08951503570642,2504879.18274753,1.9590388988733,0.0346816144442307
"30","York","02080107",758131580.003833,7538113.49195642,0.70723,NA,NA,1.76244720496559,1.65407662967408,2.36517349737419,1.92723244400462,283091.53885296,NA,0.731546751934354
"31","Holston","06010104",2590656811.06416,8571826.25656886,2.79653,NA,NA,1.66020345736277,1.55561840873513,2.64532654260195,1.95371613623328,697053.606945413,NA,0.411287348108341
"32","Upper James","02080201",5725592958.93318,14042033.2238984,23.67835,0.137481910274964,303.926282251889,2.58493935651369,2.44134698515627,4.14117290385056,3.05581974850684,1184696.40404055,0.0426207522232068,0.114303895623222
"33","Upper Roanoke","03010101",5671898170.35526,108612306.677008,16.27231,0.153198653198653,335.494652392672,22.834585953556,21.1120266488091,35.1855095857008,26.3773740626887,3209104.22260497,0.333278724783943,0.618465872429861
"34","South Branch Potomac","02070001",3832051956.586,122252.787730415,0.94029,NA,NA,0.0193496479865197,0.0187452449801048,0.032635289269734,0.0235767274121195,60684.6130130148,NA,0.024460567775195
"35","Lower Dan","03010104",3325200701.8527,25726947.6814927,1.27471,0.161963664476227,207.939831322669,5.78394079022523,5.34004115321468,8.61943703367884,6.58113965903958,1648703.42062286,0.134160619368733,0.837737475215909
"36","Roanoke Rapids","03010106",1534200831.48966,27563948.9441144,8.74873,0.189909373731909,112.494384790584,6.38499715521434,5.92308220858839,9.19048587710398,7.16618841363557,944413.646449256,0.270034349841936,0.4502811907283
"37","Lower James","02080206",3741972096.13602,49418518.4298265,88.5671,0.00545816733067729,7.88587011883463,11.5641684104303,10.7840209814294,15.9472521282049,12.7651471733549,2115560.49590747,6.86179661254896,0.125973197372371
"38","Lower Rappahannock","02080104",3001097311.83035,18991867.062829,6.68658,0.0287147335423197,33.2726275073907,4.27510319225295,3.97324732853191,5.9841377728644,4.74416276454975,1227576.64809686,0.60441344611103,0.415035388536855
"39","Lower Potomac","02070011",4688254739.61566,13522041.7552398,5.5307,0.000857142857142857,1.55155309265354,2.98386088730612,2.77872694862708,4.13116574647552,3.29791786080291,726568.610768186,9.01020823834633,0.373548602148126
"40","Shenandoah","02070007",912034533.006116,2059661.75882657,1.04541,0.349532710280374,123.083924948816,0.419732862044186,0.388395732804925,0.626642747720584,0.478257114189899,724640.999450866,0.0164710671234787,0.313885565774764
"41","Great Wicomico-Piankatank","02080102",1745546896.68075,5143203.9363734,0.81712,0.000825688073394495,0.556480258881611,1.1586993860769,1.08951049523605,1.54585686452392,1.26468891527896,327906.086152105,9.63375471460914,0.607495196123459
"42","Tangier","02080110",2525780083.6532,845666.363029834,2.79653,NA,NA,0.193177999370294,0.183771913792148,0.232946080553435,0.203298664571959,111841.454423412,NA,0.0677700919965598
"43","Albemarle","03010205",11235262468.1734,25603669.9332671,2.14428,NA,NA,6.13690440985274,5.75568732555201,8.28852167748041,6.72703780429505,1042118.44764052,NA,0.758290701865979
"44","Upper Clinch, Tennessee, Virginia","06010205",5090797589.05635,2579408.16452074,2.49742,0.0880676758682102,173.103000046405,0.499262007954544,0.471734108308431,0.773615172049874,0.581537096104283,564638.21483314,0.0142408025059018,0.188874699436405
"45","South Fork Holston","06010102",3052648808.77793,9337030.70794999,6.14396,0.23960396039604,282.405444782739,1.89745803046021,1.77005240105006,2.97083125767567,2.21278056306198,295743.74850959,0.0332144386643751,0.26478990778328
"46","Lower Chesapeake Bay","02080101",3059709099.77859,8571826.25656886,2.79653,NA,NA,1.66020345736277,1.55561840873513,2.64532654260195,1.95371613623328,697053.606945413,NA,0.411287348108341
"47","Greenbrier","05050003",4257579030.08453,8571826.25656886,2.79653,NA,NA,1.66020345736277,1.55561840873513,2.64532654260195,1.95371613623328,697053.606945413,NA,0.411287348108341
"48","Rivanna","02080204",1990226553.48191,14874746.6647658,4.37638,0.0428355957767722,32.9161897728133,3.16374606705167,2.93204881148167,4.67990679276364,3.59190055709899,1386823.73027037,0.462568848328945,0.450774860568752
"49","Middle James-Willis","02080205",2449479755.16709,20716787.0102561,33.12987,0.0121871760698949,11.5260147089986,4.55074695248407,4.19000754491593,6.80797493952302,5.18290981230767,1833431.51007652,1.90614580258412,0.135278876596751
"50","Meherrin","03010204",4181533744.02808,16424649.7821593,1.30177,0.0270161290322581,43.617518833609,3.70715995504906,3.43812817944362,5.40155307890507,4.18228040446592,2393459.63245543,0.406456267443258,0.762626178829446
"51","Middle Potomac-Anacostia-Occoquan","02070010",3380230996.94194,25074882.9285848,30.33427,0,0,5.37367603286556,4.97651470443155,7.69366951326654,6.01462008352122,2677626.12408281,Inf,0.165469153795371
"52","Cacapon-Town","02070003",3121142553.31971,8571826.25656886,2.79653,NA,NA,1.66020345736277,1.55561840873513,2.64532654260195,1.95371613623328,697053.606945413,NA,0.411287348108341
"53","Hampton Roads","02080208",1313144029.4484,29858892.9980502,36.51259,NA,NA,6.98602572909318,6.55464724905513,9.54747268679795,7.69604855498209,822925.797050168,NA,0.174084722048397
