TABLE->,IWT-PARM1,IWT-PARM1,IWT-PARM2,IWT-PARM2,IWT-PARM2
A42001,0,0,578.4,35,0.65
A42009,0,0,1276.29,35,0.65
A42011,0,0,505.72,35,0.65
A42013,0,0,1253.53,35,0.65
A42015,0,0,1300.45,35,0.65
A42021,0,0,1941.39,35,0.65
A42023,0,0,1570.65,35,0.65
A42025,0,0,922.83,35,0.65
A42027,0,0,1169.82,35,0.65
A42029,0,0,469.84,35,0.65
A42033,0,0,1625.3,35,0.65
A42035,0,0,1344.93,35,0.65
A42037,0,0,881.25,35,0.65
A42041,0,0,569.21,35,0.65
A42043,0,0,624.1,35,0.65
A42047,0,0,1814.75,35,0.65
A42055,0,0,676.45,35,0.65
A42057,0,0,939.31,35,0.65
A42061,0,0,962.99,35,0.65
A42063,0,0,1447.66,35,0.65
A42065,0,0,1606.81,35,0.65
A42067,0,0,651.86,35,0.65
A42069,0,0,1389.02,35,0.65
A42071,0,0,468.78,35,0.65
A42075,0,0,518.39,35,0.65
A42079,0,0,1045.23,35,0.65
A42081,0,0,1480.87,35,0.65
A42083,0,0,1775.8,35,0.65
A42087,0,0,770.77,35,0.65
A42093,0,0,665.46,35,0.65
A42097,0,0,676.13,35,0.65
A42099,0,0,650.55,35,0.65
A42105,0,0,2019.25,35,0.65
A42107,0,0,867.86,35,0.65
A42109,0,0,673.97,35,0.65
A42111,0,0,2174.59,35,0.65
A42113,0,0,1663.61,35,0.65
A42115,0,0,1406.13,35,0.65
A42117,0,0,1639.62,35,0.65
A42119,0,0,710.05,35,0.65
A42127,0,0,1468.43,35,0.65
A42131,0,0,1046.4,35,0.65
A42133,0,0,642.87,35,0.65
A47091,0,0,2903.76,35,0.65
A47163,0,0,1699.48,35,0.65
A51001,0,0,24.52,35,0.65
A51003,0,0,553.19,35,0.65
A51005,0,0,1733.82,35,0.65
A51007,0,0,329.4,35,0.65
A51009,0,0,771.71,35,0.65
A51011,0,0,693.6,35,0.65
A51013,0,0,351.05,35,0.65
A51015,0,0,1491.39,35,0.65
A51017,0,0,2142.95,35,0.65
A51019,0,0,1190.81,35,0.65
A51021,0,0,2720.54,35,0.65
A51023,0,0,1200.41,35,0.65
A51025,0,0,292.96,35,0.65
A51027,0,0,1903.18,35,0.65
A51029,0,0,502.56,35,0.65
A51031,0,0,700.85,35,0.65
A51033,0,0,168.44,35,0.65
A51035,0,0,2547.38,35,0.65
A51036,0,0,69.07,35,0.65
A51037,0,0,514.53,35,0.65
A51041,0,0,204.5,35,0.65
A51043,0,0,574.53,35,0.65
A51045,0,0,2068.81,35,0.65
A51047,0,0,388.79,35,0.65
A51049,0,0,371.67,35,0.65
A51051,0,0,1942.21,35,0.65
A51053,0,0,246.3,35,0.65
A51057,0,0,101.79,35,0.65
A51059,0,0,249.32,35,0.65
A51061,0,0,475.34,35,0.65
A51063,0,0,2592.35,35,0.65
A51065,0,0,394.34,35,0.65
A51067,0,0,1102.94,35,0.65
A51069,0,0,795.88,35,0.65
A51071,0,0,2181.24,35,0.65
A51073,0,0,53.78,35,0.65
A51075,0,0,290.26,35,0.65
A51077,0,0,2630.08,35,0.65
A51079,0,0,602.24,35,0.65
A51081,0,0,152,35,0.65
A51083,0,0,470.13,35,0.65
A51085,0,0,202.67,35,0.65
A51087,0,0,113.25,35,0.65
A51089,0,0,937.62,35,0.65
A51091,0,0,2834.63,35,0.65
A51093,0,0,64.27,35,0.65
A51095,0,0,81.96,35,0.65
A51097,0,0,119.42,35,0.65
A51099,0,0,88.44,35,0.65
A51101,0,0,97.51,35,0.65
A51103,0,0,63.89,35,0.65
A51105,0,0,1665.28,35,0.65
A51107,0,0,459.42,35,0.65
A51109,0,0,378.73,35,0.65
A51111,0,0,449.96,35,0.65
A51113,0,0,519.33,35,0.65
A51115,0,0,11.31,35,0.65
A51117,0,0,367.09,35,0.65
A51119,0,0,65.9,35,0.65
A51121,0,0,2002.86,35,0.65
A51125,0,0,696.36,35,0.65
A51127,0,0,78.88,35,0.65
A51131,0,0,22.9,35,0.65
A51133,0,0,65.31,35,0.65
A51135,0,0,414.42,35,0.65
A51137,0,0,424.35,35,0.65
A51139,0,0,909.5,35,0.65
A51141,0,0,1339.18,35,0.65
A51143,0,0,717.06,35,0.65
A51145,0,0,297.57,35,0.65
A51147,0,0,506.42,35,0.65
A51149,0,0,110.18,35,0.65
A51153,0,0,287.03,35,0.65
A51155,0,0,2197.32,35,0.65
A51157,0,0,611.91,35,0.65
A51159,0,0,102.69,35,0.65
A51161,0,0,1578.27,35,0.65
A51163,0,0,1342.16,35,0.65
A51165,0,0,1253.12,35,0.65
A51167,0,0,2249.97,35,0.65
A51169,0,0,1688.82,35,0.65
A51171,0,0,958.59,35,0.65
A51173,0,0,2565.67,35,0.65
A51175,0,0,64.84,35,0.65
A51177,0,0,306.1,35,0.65
A51179,0,0,223.21,35,0.65
A51181,0,0,90.06,35,0.65
A51183,0,0,101.65,35,0.65
A51185,0,0,2776.15,35,0.65
A51187,0,0,606.1,35,0.65
A51191,0,0,2093.34,35,0.65
A51193,0,0,90.62,35,0.65
A51195,0,0,2220.59,35,0.65
A51197,0,0,2449.27,35,0.65
A51199,0,0,61.59,35,0.65
A51510,0,0,195.75,35,0.65
A51515,0,0,926.24,35,0.65
A51520,0,0,1809.66,35,0.65
A51530,0,0,955.64,35,0.65
A51540,0,0,386.18,35,0.65
A51550,0,0,12.98,35,0.65
A51570,0,0,25.69,35,0.65
A51580,0,0,1249.11,35,0.65
A51590,0,0,538.43,35,0.65
A51595,0,0,116.3,35,0.65
A51600,0,0,348.31,35,0.65
A51610,0,0,334.15,35,0.65
A51620,0,0,37.34,35,0.65
A51630,0,0,191.23,35,0.65
A51640,0,0,2491.16,35,0.65
A51650,0,0,9.51,35,0.65
A51660,0,0,1357.16,35,0.65
A51670,0,0,35.9,35,0.65
A51678,0,0,1081.62,35,0.65
A51680,0,0,764.4,35,0.65
A51683,0,0,234.71,35,0.65
A51685,0,0,252.98,35,0.65
A51690,0,0,891.75,35,0.65
A51700,0,0,48.52,35,0.65
A51710,0,0,5.36,35,0.65
A51720,0,0,2521.02,35,0.65
A51730,0,0,152.96,35,0.65
A51735,0,0,5.76,35,0.65
A51740,0,0,9.94,35,0.65
A51750,0,0,1900.96,35,0.65
A51760,0,0,175.34,35,0.65
A51770,0,0,1056.89,35,0.65
A51775,0,0,1126.78,35,0.65
A51790,0,0,1427.74,35,0.65
A51800,0,0,55.78,35,0.65
A51810,0,0,7.72,35,0.65
A51820,0,0,1358.03,35,0.65
A51830,0,0,80.21,35,0.65
A51840,0,0,815.12,35,0.65
A54003,0,0,553.48,35,0.65
A54023,0,0,2339.24,35,0.65
A54027,0,0,1100.79,35,0.65
A54031,0,0,1671.34,35,0.65
A54037,0,0,514.14,35,0.65
A54057,0,0,1770.52,35,0.65
A54063,0,0,2138.68,35,0.65
A54065,0,0,770.82,35,0.65
A54071,0,0,2034.91,35,0.65
A54077,0,0,2069.85,35,0.65
A54093,0,0,2684.55,35,0.65
B24001,0,0,1546.03,35,0.65
B24021,0,0,641.83,35,0.65
B37005,0,0,2744.72,35,0.65
B37009,0,0,2930.45,35,0.65
B42001,0,0,968,35,0.65
B42009,0,0,1368.58,35,0.65
B42015,0,0,1557.57,35,0.65
B42027,0,0,1572.93,35,0.65
B42035,0,0,918.99,35,0.65
B42041,0,0,724.15,35,0.65
B42043,0,0,460.4,35,0.65
B42055,0,0,750.96,35,0.65
B42079,0,0,1359.55,35,0.65
B42081,0,0,853.4,35,0.65
B42119,0,0,571.57,35,0.65
B42131,0,0,1460.29,35,0.65
B51003,0,0,928.81,35,0.65
B51009,0,0,1451.85,35,0.65
B51015,0,0,1548.99,35,0.65
B51017,0,0,1588.98,35,0.65
B51019,0,0,888.08,35,0.65
B51023,0,0,1303.94,35,0.65
B51035,0,0,1411.78,35,0.65
B51061,0,0,854.64,35,0.65
B51067,0,0,1939.39,35,0.65
B51071,0,0,1875.02,35,0.65
B51077,0,0,3561.46,35,0.65
B51079,0,0,885.41,35,0.65
B51091,0,0,2315.79,35,0.65
B51105,0,0,2124.34,35,0.65
B51113,0,0,777.73,35,0.65
B51125,0,0,1229.72,35,0.65
B51139,0,0,1218.56,35,0.65
B51141,0,0,2447.42,35,0.65
B51157,0,0,844.46,35,0.65
B51161,0,0,1830.2,35,0.65
B51163,0,0,1092.51,35,0.65
B51165,0,0,1445.27,35,0.65
B51167,0,0,2288.31,35,0.65
B51169,0,0,2509.71,35,0.65
B51171,0,0,1178.63,35,0.65
B51173,0,0,3523.18,35,0.65
B51185,0,0,2562.78,35,0.65
B51187,0,0,959.62,35,0.65
B51191,0,0,3030.52,35,0.65
B51195,0,0,2932.42,35,0.65
B51197,0,0,2975.53,35,0.65
B54023,0,0,1227.05,35,0.65
B54031,0,0,1006.49,35,0.65
B54057,0,0,834.4,35,0.65
B54071,0,0,2486.24,35,0.65
C42009,0,0,1272.53,35,0.65
C51015,0,0,1683.25,35,0.65
C51071,0,0,2098.84,35,0.65
C51165,0,0,1348.35,35,0.65
F10005,0,0,32.81,35,0.65
F11001,0,0,78.34,35,0.65
F24001,0,0,544.34,35,0.65
F24003,0,0,116.77,35,0.65
F24005,0,0,471.48,35,0.65
F24009,0,0,20.56,35,0.65
F24013,0,0,760.05,35,0.65
F24015,0,0,43.91,35,0.65
F24017,0,0,42.2,35,0.65
F24019,0,0,2.88,35,0.65
F24021,0,0,313.36,35,0.65
F24023,0,0,1548.31,35,0.65
F24025,0,0,17.12,35,0.65
F24027,0,0,418.78,35,0.65
F24029,0,0,14.42,35,0.65
F24031,0,0,323.05,35,0.65
F24033,0,0,134.23,35,0.65
F24035,0,0,12.33,35,0.65
F24037,0,0,35.8,35,0.65
F24039,0,0,1.37,35,0.65
F24041,0,0,39.37,35,0.65
F24043,0,0,423.04,35,0.65
F24045,0,0,29.53,35,0.65
F24510,0,0,13.12,35,0.65
F36003,0,0,1436.99,35,0.65
F36007,0,0,1089.67,35,0.65
F36015,0,0,899.79,35,0.65
F36025,0,0,1174.55,35,0.65
F36101,0,0,1326.47,35,0.65
F42001,0,0,542.35,35,0.65
F42009,0,0,1256.31,35,0.65
F42011,0,0,1158.12,35,0.65
F42013,0,0,1951.79,35,0.65
F42021,0,0,2357.51,35,0.65
F42027,0,0,669.16,35,0.65
F42033,0,0,1180.37,35,0.65
F42035,0,0,608.92,35,0.65
F42041,0,0,408.26,35,0.65
F42043,0,0,689.33,35,0.65
F42055,0,0,694.21,35,0.65
F42061,0,0,825.82,35,0.65
F42069,0,0,961.27,35,0.65
F42071,0,0,314.96,35,0.65
F42075,0,0,619.69,35,0.65
F42079,0,0,524.2,35,0.65
F42081,0,0,545.15,35,0.65
F42087,0,0,663.82,35,0.65
F42097,0,0,546.25,35,0.65
F42107,0,0,1092.92,35,0.65
F42115,0,0,1544.09,35,0.65
F42117,0,0,1178.23,35,0.65
F42119,0,0,545.71,35,0.65
F42133,0,0,338.85,35,0.65
F51001,0,0,3.14,35,0.65
F51003,0,0,537.6,35,0.65
F51005,0,0,1694.57,35,0.65
F51009,0,0,918.04,35,0.65
F51011,0,0,746.79,35,0.65
F51013,0,0,70.54,35,0.65
F51015,0,0,1624.42,35,0.65
F51017,0,0,2019.94,35,0.65
F51019,0,0,2161.91,35,0.65
F51023,0,0,1265.97,35,0.65
F51033,0,0,193.47,35,0.65
F51041,0,0,10.83,35,0.65
F51043,0,0,1536.76,35,0.65
F51045,0,0,2257.64,35,0.65
F51053,0,0,147.41,35,0.65
F51057,0,0,49.31,35,0.65
F51059,0,0,118.87,35,0.65
F51061,0,0,344.23,35,0.65
F51069,0,0,737.15,35,0.65
F51071,0,0,2934.44,35,0.65
F51079,0,0,2326.57,35,0.65
F51085,0,0,147.66,35,0.65
F51087,0,0,96.64,35,0.65
F51091,0,0,3373.3,35,0.65
F51095,0,0,24.52,35,0.65
F51099,0,0,25.58,35,0.65
F51101,0,0,26.25,35,0.65
F51107,0,0,280.44,35,0.65
F51113,0,0,2611.74,35,0.65
F51121,0,0,2007.13,35,0.65
F51125,0,0,2002.3,35,0.65
F51131,0,0,11.7,35,0.65
F51137,0,0,322.28,35,0.65
F51139,0,0,816.54,35,0.65
F51145,0,0,412.49,35,0.65
F51147,0,0,459.31,35,0.65
F51149,0,0,99.8,35,0.65
F51153,0,0,248.04,35,0.65
F51157,0,0,2544.08,35,0.65
F51159,0,0,31.1,35,0.65
F51161,0,0,1851.23,35,0.65
F51163,0,0,1013.93,35,0.65
F51165,0,0,1325.88,35,0.65
F51171,0,0,1774.87,35,0.65
F51177,0,0,317.78,35,0.65
F51179,0,0,293.43,35,0.65
F51181,0,0,102.85,35,0.65
F51187,0,0,595.01,35,0.65
F51193,0,0,18.3,35,0.65
F51199,0,0,56.03,35,0.65
F51510,0,0,10.61,35,0.65
F51530,0,0,1099.66,35,0.65
F51540,0,0,487.68,35,0.65
F51550,0,0,16.4,35,0.65
F51580,0,0,1722,35,0.65
F51630,0,0,160.96,35,0.65
F51650,0,0,2.46,35,0.65
F51660,0,0,1315.6,35,0.65
F51670,0,0,51.7,35,0.65
F51700,0,0,16.22,35,0.65
F51710,0,0,12.33,35,0.65
F51730,0,0,109.84,35,0.65
F51735,0,0,7.64,35,0.65
F51740,0,0,6.39,35,0.65
F51760,0,0,126.37,35,0.65
F51790,0,0,1489.48,35,0.65
F51800,0,0,18.77,35,0.65
F51810,0,0,18.37,35,0.65
F51820,0,0,1451.21,35,0.65
F51830,0,0,59.05,35,0.65
F54003,0,0,488.84,35,0.65
F54023,0,0,1506.22,35,0.65
F54027,0,0,1397.84,35,0.65
F54031,0,0,1835.27,35,0.65
F54037,0,0,439.44,35,0.65
F54057,0,0,946.51,35,0.65
F54063,0,0,2648.71,35,0.65
F54065,0,0,526.23,35,0.65
F54071,0,0,2039.29,35,0.65
end,,,,,
