TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A37009,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37033,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37067,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37077,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37081,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37131,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37135,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37145,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37157,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37169,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37171,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37181,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37185,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37189,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A42001,1,0,0,1,0,1,0,1,0,0.003849,0.200000,0,0.000385,0.003849,0.500000,0.000200,0.000100
A42009,1,0,0,1,0,1,0,1,0,0.003405,0.200000,0,0.000341,0.003405,0.500000,0.000200,0.000100
A42011,1,0,0,1,0,1,0,1,0,0.003874,0.200000,0,0.000387,0.003874,0.500000,0.000200,0.000100
A42013,1,0,0,1,0,1,0,1,0,0.003586,0.200000,0,0.000359,0.003586,0.500000,0.000200,0.000100
A42015,1,0,0,1,0,1,0,1,0,0.003389,0.200000,0,0.000339,0.003389,0.500000,0.000200,0.000100
A42021,1,0,0,1,0,1,0,1,0,0.003781,0.200000,0,0.000378,0.003781,0.500000,0.000200,0.000100
A42023,1,0,0,1,0,1,0,1,0,0.003364,0.200000,0,0.000336,0.003364,0.500000,0.000200,0.000100
A42025,1,0,0,1,0,1,0,1,0,0.003671,0.200000,0,0.000367,0.003671,0.500000,0.000200,0.000100
A42027,1,0,0,1,0,1,0,1,0,0.003493,0.200000,0,0.000349,0.003493,0.500000,0.000200,0.000100
A42029,1,0,0,1,0,1,0,1,0,0.004052,0.200000,0,0.000405,0.004052,0.500000,0.000200,0.000100
A42033,1,0,0,1,0,1,0,1,0,0.003468,0.200000,0,0.000347,0.003468,0.500000,0.000200,0.000100
