TABLE->,ICE-FLAG,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT2,SNOW-INIT2,SNOW-INIT2
VARS->,ICFG,LAT,ELEV,SHADE,SNOWCF,COVIND,RDCSN,TSNOW,SNOEVP,CCFACT,MWATER,MGMELT,PACK-SNOW,PACK-ICE,PACK-WATR,RDENPF,DULL,PAKTMP,COVINX,XLNMLT,SKYCLR
A10001,1,39.0858521,33.65,0.475,1.3,1.05,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.05,0,0.9
A10003,1,39.57675237,81.72,0.388,1.3,1.11,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.11,0,0.9
A10005,1,38.66226838,31.16,0.472,1.3,1.04,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.04,0,0.9
A11001,1,38.91164515,180.12,0.3,1.3,1.25,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.25,0,0.9
A24001,1,39.63643987,1026.96,0.253,1.3,2.44,0.12,32,0.13,0.5,0.03,0.03,0.558,0,0,0.15,100,30,2.44,0,0.9
A24003,1,39.00248079,79.98,0.293,1.3,1.11,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.11,0,0.9
A24005,1,39.46758802,452.02,0.242,1.3,1.63,0.12,32,0.13,0.5,0.03,0.03,0.48,0,0,0.15,100,30,1.63,0,0.9
A24009,1,38.55352098,78.09,0.25,1.3,1.11,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.11,0,0.9
A24011,1,38.87286029,40.99,0.335,1.3,1.06,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.06,0,0.9
A24013,1,39.5630754,666.41,0.259,1.3,1.94,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.94,0,0.9
A24015,1,39.57694968,168.16,0.241,1.3,1.24,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.24,0,0.9
A24017,1,38.50663898,106.53,0.299,1.3,1.15,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.15,0,0.9
A24019,1,38.49100934,7.14,0.73,1.3,1.01,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.01,0,0.9
A24021,1,39.45624589,481.59,0.271,1.3,1.68,0.12,32,0.13,0.5,0.03,0.03,0.084,0,0,0.15,100,30,1.68,0,0.9
A24023,1,39.52923072,2475.82,0.251,1.3,4.48,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,4.48,0,0.9
A24025,1,39.58559005,362.86,0.263,1.3,1.51,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.51,0,0.9
A24027,1,39.25091961,445.36,0.226,1.3,1.63,0.12,32,0.13,0.5,0.03,0.03,0.084,0,0,0.15,100,30,1.63,0,0.9
A24029,1,39.26100108,33.95,0.301,1.3,1.05,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.05,0,0.9
A24031,1,39.13873721,404.72,0.232,1.3,1.57,0.12,32,0.13,0.5,0.03,0.03,0.186,0,0,0.15,100,30,1.57,0,0.9
A24033,1,38.82618772,138.85,0.266,1.3,1.19,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.19,0,0.9
A24035,1,39.07168106,44.11,0.275,1.3,1.06,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.06,0,0.9
A24037,1,38.30568701,75.07,0.365,1.3,1.11,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.11,0,0.9
A24039,1,38.12373492,11.02,0.771,1.3,1.02,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.02,0,0.9
A24041,1,38.77564848,20.33,0.357,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24043,1,39.60701101,797.07,0.22,1.3,2.12,0.12,32,0.13,0.5,0.03,0.03,0.822,0,0,0.15,100,30,2.12,0,0.9
A24045,1,38.37289199,27.99,0.575,1.3,1.04,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.04,0,0.9
A24047,1,38.22028612,22.73,0.594,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A24510,1,39.30861554,239.94,0.318,1.3,1.34,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.34,0,0.9
A36003,1,42.25739363,1870.67,0.309,1.3,3.63,0.12,32,0.13,0.5,0.03,0.03,4.224,0,0,0.15,100,30,3.63,0,0.9
A36007,1,42.15939928,1373.84,0.335,1.3,2.93,0.12,32,0.13,0.5,0.03,0.03,2.742,0,0,0.15,100,30,2.93,0,0.9
A36015,1,42.14125317,1356.55,0.251,1.3,2.9,0.12,32,0.13,0.5,0.03,0.03,2.628,0,0,0.15,100,30,2.9,0,0.9
A36017,1,42.49334922,1495.07,0.364,1.3,3.1,0.12,32,0.13,0.5,0.03,0.03,2.946,0,0,0.15,100,30,3.1,0,0.9
A36023,1,42.59500184,1528.23,0.266,1.3,3.15,0.12,32,0.13,0.5,0.03,0.03,4.128,0,0,0.15,100,30,3.15,0,0.9
A36025,1,42.19812271,1868.87,0.247,1.3,3.62,0.12,32,0.13,0.5,0.03,0.03,5.166,0,0,0.15,100,30,3.62,0,0.9
A36043,1,43.4196111,1633.38,0.257,1.3,3.29,0.12,32,0.13,0.5,0.03,0.03,4.89,0,0,0.15,100,30,3.29,0,0.9
A36051,1,42.72807314,1218.46,0.237,1.3,2.71,0.12,32,0.13,0.5,0.03,0.03,4.452,0,0,0.15,100,30,2.71,0,0.9
A36053,1,42.91286895,1293.62,0.254,1.3,2.82,0.12,32,0.13,0.5,0.03,0.03,4.638,0,0,0.15,100,30,2.82,0,0.9
