TABLE->,SLD-PARM1,SLD-PARM1,SLD-PARM1,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-STOR
VARS->,VASD,VRSD,SDOP,KEIM,JEIM,ACCSDP,REMSDP,SLDS
A10001,0,0,0,0.653950,2,0.1,0.07675,1
A10003,0,0,0,0.782013,2,0.1,0.07675,1
A10005,0,0,0,0.593383,2,0.1,0.07675,1
A11001,0,0,0,0.599264,2,0.1,0.07675,1
A24001,0,0,0,0.628222,2,0.1,0.07675,1
A24003,0,0,0,0.715295,2,0.1,0.07675,1
A24005,0,0,0,0.877786,2,0.1,0.07675,1
A24009,0,0,0,0.493327,2,0.1,0.07675,1
A24011,0,0,0,0.576740,2,0.1,0.07675,1
A24013,0,0,0,0.758905,2,0.1,0.07675,1
A24015,0,0,0,0.639166,2,0.1,0.07675,1
A24017,0,0,0,0.758566,2,0.1,0.07675,1
A24019,0,0,0,0.622350,2,0.1,0.07675,1
A24021,0,0,0,0.807693,2,0.1,0.07675,1
A24023,0,0,0,0.607233,2,0.1,0.07675,1
A24025,0,0,0,0.621066,2,0.1,0.07675,1
A24027,0,0,0,0.853259,2,0.1,0.07675,1
A24029,0,0,0,0.697196,2,0.1,0.07675,1
A24031,0,0,0,0.979644,2,0.1,0.07675,1
A24033,0,0,0,0.566441,2,0.1,0.07675,1
A24035,0,0,0,0.771194,2,0.1,0.07675,1
A24037,0,0,0,0.691250,2,0.1,0.07675,1
A24039,0,0,0,0.506250,2,0.1,0.07675,1
A24041,0,0,0,0.647644,2,0.1,0.07675,1
A24043,0,0,0,0.865319,2,0.1,0.07675,1
A24045,0,0,0,0.512407,2,0.1,0.07675,1
A24047,0,0,0,0.560887,2,0.1,0.07675,1
A24510,0,0,0,0.731789,2,0.1,0.07675,1
A36003,0,0,0,0.752389,2,0.1,0.07675,1
A36007,0,0,0,1.251727,2,0.1,0.07675,1
A36015,0,0,0,0.879474,2,0.1,0.07675,1
A36017,0,0,0,0.839479,2,0.1,0.07675,1
A36023,0,0,0,0.705362,2,0.1,0.07675,1
A36025,0,0,0,0.573163,2,0.1,0.07675,1
A36043,0,0,0,0.533295,2,0.1,0.07675,1
A36051,0,0,0,0.713826,2,0.1,0.07675,1
A36053,0,0,0,0.658489,2,0.1,0.07675,1
A36065,0,0,0,0.504166,2,0.1,0.07675,1
A36067,0,0,0,0.621333,2,0.1,0.07675,1
A36069,0,0,0,0.726889,2,0.1,0.07675,1
A36077,0,0,0,0.672602,2,0.1,0.07675,1
A36095,0,0,0,0.705891,2,0.1,0.07675,1
A36097,0,0,0,0.874399,2,0.1,0.07675,1
A36101,0,0,0,1.325106,2,0.1,0.07675,1
A36107,0,0,0,0.973645,2,0.1,0.07675,1
A36109,0,0,0,0.764733,2,0.1,0.07675,1
A36123,0,0,0,0.720412,2,0.1,0.07675,1
A37001,0,0,0,2.5,2,0.1,0.07675,1
A37005,0,0,0,2.5,2,0.1,0.07675,1
A37009,0,0,0,2.5,2,0.1,0.07675,1
A37033,0,0,0,2.5,2,0.1,0.07675,1
A37067,0,0,0,2.5,2,0.1,0.07675,1
A37077,0,0,0,2.5,2,0.1,0.07675,1
A37081,0,0,0,2.5,2,0.1,0.07675,1
A37131,0,0,0,2.5,2,0.1,0.07675,1
A37135,0,0,0,2.5,2,0.1,0.07675,1
A37145,0,0,0,2.5,2,0.1,0.07675,1
A37157,0,0,0,2.5,2,0.1,0.07675,1
A37169,0,0,0,2.5,2,0.1,0.07675,1
A37171,0,0,0,2.5,2,0.1,0.07675,1
A37181,0,0,0,2.5,2,0.1,0.07675,1
A37185,0,0,0,2.5,2,0.1,0.07675,1
A37189,0,0,0,2.5,2,0.1,0.07675,1
A42001,0,0,0,0.512216,2,0.1,0.07675,1
A42009,0,0,0,0.766339,2,0.1,0.07675,1
A42011,0,0,0,0.515090,2,0.1,0.07675,1
A42013,0,0,0,0.837034,2,0.1,0.07675,1
A42015,0,0,0,0.847848,2,0.1,0.07675,1
A42021,0,0,0,0.648353,2,0.1,0.07675,1
A42023,0,0,0,0.561681,2,0.1,0.07675,1
A42025,0,0,0,0.261192,2,0.1,0.07675,1
