TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
A10001,1,0,1,0,0.040114,0.166487,0.004012,0.040114,0.500000
A10003,1,0,1,0,0.043176,0.169719,0.004318,0.043176,0.500000
A10005,1,0,1,0,0.042333,0.168935,0.004234,0.042333,0.500000
A11001,1,0,1,0,0.038001,0.164253,0.003800,0.038001,0.500000
A24001,1,0,1,0,0.033686,0.158599,0.003369,0.033686,0.500000
A24003,1,0,1,0,0.041261,0.167852,0.004126,0.041261,0.500000
A24005,1,0,1,0,0.040020,0.166540,0.004002,0.040020,0.500000
A24009,1,0,1,0,0.041177,0.167638,0.004118,0.041177,0.500000
A24011,1,0,1,0,0.042288,0.167895,0.004229,0.042288,0.500000
A24013,1,0,1,0,0.038779,0.164682,0.003878,0.038779,0.500000
A24015,1,0,1,0,0.041328,0.167915,0.004132,0.041328,0.500000
A24017,1,0,1,0,0.037773,0.163626,0.003777,0.037773,0.500000
A24019,1,0,1,0,0.042384,0.168685,0.004238,0.042384,0.500000
A24021,1,0,1,0,0.036664,0.162455,0.003667,0.036664,0.500000
A24023,1,0,1,0,0.047127,0.170773,0.004712,0.047127,0.500000
A24025,1,0,1,0,0.042859,0.169549,0.004286,0.042859,0.500000
A24027,1,0,1,0,0.039520,0.166336,0.003952,0.039520,0.500000
A24029,1,0,1,0,0.042289,0.168868,0.004228,0.042289,0.500000
A24031,1,0,1,0,0.036590,0.162611,0.003659,0.036590,0.500000
A24033,1,0,1,0,0.037489,0.163559,0.003749,0.037489,0.500000
A24035,1,0,1,0,0.041333,0.167703,0.004133,0.041333,0.500000
A24037,1,0,1,0,0.039306,0.165485,0.003930,0.039306,0.500000
A24039,1,0,1,0,0.045051,0.172693,0.004506,0.045051,0.500000
A24041,1,0,1,0,0.042659,0.168888,0.004266,0.042659,0.500000
A24043,1,0,1,0,0.034354,0.159261,0.003435,0.034354,0.500000
A24045,1,0,1,0,0.043613,0.171640,0.004361,0.043613,0.500000
A24047,1,0,1,0,0.043118,0.171186,0.004312,0.043118,0.500000
A24510,1,0,1,0,0.041832,0.168704,0.004183,0.041832,0.500000
A36003,1,0,1,0,0.033669,0.157896,0.003367,0.033669,0.500000
A36007,1,0,1,0,0.036304,0.160228,0.003631,0.036304,0.500000
A36015,1,0,1,0,0.031881,0.155443,0.003188,0.031881,0.500000
A36017,1,0,1,0,0.040685,0.164399,0.004069,0.040685,0.500000
A36023,1,0,1,0,0.040961,0.164868,0.004096,0.040961,0.500000
A36025,1,0,1,0,0.038162,0.162110,0.003816,0.038162,0.500000
A36043,1,0,1,0,0.045495,0.168680,0.004549,0.045495,0.500000
A36051,1,0,1,0,0.033121,0.156140,0.003312,0.033121,0.500000
A36053,1,0,1,0,0.042229,0.166300,0.004223,0.042229,0.500000
A36065,1,0,1,0,0.044733,0.168307,0.004474,0.044733,0.500000
A36067,1,0,1,0,0.041921,0.165776,0.004192,0.041921,0.500000
A36069,1,0,1,0,0.031284,0.153686,0.003128,0.031284,0.500000
A36077,1,0,1,0,0.037767,0.160787,0.003777,0.037767,0.500000
A36095,1,0,1,0,0.039111,0.162554,0.003911,0.039111,0.500000
A36097,1,0,1,0,0.032656,0.155942,0.003265,0.032656,0.500000
A36101,1,0,1,0,0.027917,0.149454,0.002792,0.027917,0.500000
A36107,1,0,1,0,0.033979,0.157839,0.003397,0.033979,0.500000
A36109,1,0,1,0,0.037904,0.161812,0.003790,0.037904,0.500000
A36123,1,0,1,0,0.031814,0.154758,0.003182,0.031814,0.500000
A37001,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37005,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37009,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37033,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37067,1,0,1,0,0.01,0.5,0.01,0.1,0.64
