TABLE->,IWT-PARM1,IWT-PARM1,IWT-PARM2,IWT-PARM2,IWT-PARM2
VARS->,WTFV,CSNO,ELEV,AWTF,BWTF
A10001,0,0,37.15,35,0.65
A10003,0,0,123.96,35,0.65
A10005,0,0,23.12,35,0.65
A11001,0,0,156.99,35,0.65
A24001,0,0,829.74,35,0.65
A24003,0,0,85.96,35,0.65
A24005,0,0,322.11,35,0.65
A24009,0,0,93.43,35,0.65
A24011,0,0,39.63,35,0.65
A24013,0,0,692.09,35,0.65
A24015,0,0,169.36,35,0.65
A24017,0,0,160.39,35,0.65
A24019,0,0,15.17,35,0.65
A24021,0,0,427.33,35,0.65
A24023,0,0,2411.32,35,0.65
A24025,0,0,274.99,35,0.65
A24027,0,0,385.68,35,0.65
A24029,0,0,36.86,35,0.65
A24031,0,0,395.33,35,0.65
A24033,0,0,164.92,35,0.65
A24035,0,0,23.4,35,0.65
A24037,0,0,86.88,35,0.65
A24039,0,0,9.08,35,0.65
A24041,0,0,24.82,35,0.65
A24043,0,0,585.04,35,0.65
A24045,0,0,34.85,35,0.65
A24047,0,0,15.84,35,0.65
A24510,0,0,189.29,35,0.65
A36003,0,0,1586.59,35,0.65
A36007,0,0,997.02,35,0.65
A36015,0,0,941,35,0.65
A36017,0,0,1151.97,35,0.65
A36023,0,0,1197.15,35,0.65
A36025,0,0,1426.15,35,0.65
A36043,0,0,781.04,35,0.65
A36051,0,0,829.11,35,0.65
A36053,0,0,805.44,35,0.65
A36065,0,0,600.41,35,0.65
A36067,0,0,518.45,35,0.65
A36069,0,0,710.02,35,0.65
A36077,0,0,1280.56,35,0.65
A36095,0,0,1179.81,35,0.65
A36097,0,0,920.56,35,0.65
A36101,0,0,1213.8,35,0.65
A36107,0,0,941.99,35,0.65
A36109,0,0,902.81,35,0.65
A36123,0,0,864.33,35,0.65
A37001,0,0,608.44,35,0.65
A37005,0,0,3229.87,35,0.65
A37009,0,0,3399.58,35,0.65
A37033,0,0,578.88,35,0.65
A37067,0,0,853.28,35,0.65
A37077,0,0,427.78,35,0.65
A37081,0,0,779.11,35,0.65
A37131,0,0,94.9,35,0.65
A37135,0,0,580.72,35,0.65
A37145,0,0,559.72,35,0.65
A37157,0,0,716.4,35,0.65
A37169,0,0,965.65,35,0.65
A37171,0,0,1221.07,35,0.65
A37181,0,0,388.34,35,0.65
A37185,0,0,305.28,35,0.65
A37189,0,0,3318.94,35,0.65
A42001,0,0,560.3,35,0.65
A42009,0,0,1193.15,35,0.65
A42011,0,0,412.91,35,0.65
A42013,0,0,1189.27,35,0.65
A42015,0,0,989.16,35,0.65
A42021,0,0,1812.56,35,0.65
A42023,0,0,1030.83,35,0.65
A42025,0,0,1128.92,35,0.65
A42027,0,0,1110.83,35,0.65
A42029,0,0,403.6,35,0.65
A42033,0,0,1507.71,35,0.65
A42035,0,0,1017.87,35,0.65
A42037,0,0,686.83,35,0.65
A42041,0,0,490.72,35,0.65
A42043,0,0,562.41,35,0.65
A42047,0,0,1679.99,35,0.65
A42055,0,0,719.58,35,0.65
A42057,0,0,997.74,35,0.65
A42061,0,0,876.39,35,0.65
A42063,0,0,1307.24,35,0.65
A42065,0,0,1504.22,35,0.65
A42067,0,0,593.86,35,0.65
A42069,0,0,1134.17,35,0.65
