riverseg,landseg,for,hvf,hwm,nhi,lwm,nlo,hom,nho,hyw,nhy,hyo,alf,nal,pas,npa,trp,urs,afo,cfo,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,wat
DE0_3380_0000,A10001,3895.061,39.344002,3581.8831,0,5363.499,0,1293.382,0,381.444,0,92.337997,263.85699,0,347.672,0,0,21.77,7.443,0,0,0,309.755,0,2293,823,0,0,0,0,0,235.73801
DE0_3410_0000,A10001,30670.361,309.802,7994.541,0,11970.998,0,2886.75,0,851.35901,0,206.093,588.91302,0,775.98199,0,0,48.59,16.611,0,0,0,287.09,0,4385,1173,175.024,0,0,0,0,4136.9731
DE0_3790_0000,A10001,7110.1699,71.82,5068.9312,0,7590.1992,0,1830.3409,0,539.80298,0,130.673,373.39999,0,492.01001,0,0,30.809,10.532,0,0,0,521.29498,0,8923,3394,282.88501,0,0,0,0,802.62
DE0_3791_0001,A10001,6272.0459,63.354,2540.9431,0,3804.7991,0,917.50897,0,270.59201,0,65.502998,187.177,0,246.634,0,0,15.444,5.28,0,0,0,287.09,0,3969,1557,53.152,0,0,0,0,175.246
DE0_3840_0000,A10001,4213.7642,42.563,1784.4301,0,2672,0,644.34003,0,190.02901,0,46.000999,131.44901,0,173.20399,0,0,10.846,3.708,0,0,0,22.665001,0,3000,952,53.819,0,0,0,0,1010.113
DE0_4140_0000,A10001,14584.027,147.313,9512.041,0,14243.299,0,3434.7041,0,1012.962,0,245.213,700.69897,0,923.276,0,0,57.813999,19.765,0,0,0,339.97501,0,7199,1700,195.26199,0,0,0,0,726.56097
DE0_4141_0001,A10001,4086.627,41.278999,2553.7649,0,3824,0,922.13898,0,271.957,0,65.834,188.12199,0,247.87801,0,0,15.522,5.306,0,0,0,37.775002,0,682,220,14.9,0,0,0,0,108.306
DE0_4230_0000,A10001,11239.628,113.532,3095.3049,0,4634.8989,0,1117.684,0,329.62701,0,79.793999,228.01401,0,300.44199,0,0,18.813,6.432,0,0,0,105.77,0,2155,861,0,0,0,0,0,800.396
DE0_4231_0001,A10001,946.71698,9.5629997,539.13599,0,807.29999,0,194.677,0,57.414001,0,13.898,39.715,0,52.331001,0,0,3.277,1.12,0,0,0,4.533,0,97.199997,34.799999,0,0,0,0,0,0
EL0_4560_4562,A10001,2987.875,30.181,549.82202,730.66699,823.302,1094.098,198.535,263.83701,58.551998,77.810997,33.009998,40.501999,53.824001,124.289,0,0,7.783,2.661,0,0,0,22.665001,0,346,111,0,0,0,0,0,2.224
EL2_4400_4590,A10001,11351.8,114.665,2686.6609,2817.4919,4022.9961,4218.9019,970.12701,1017.368,286.10901,300.04199,141.89301,197.911,207.549,534.255,0,0,33.453999,11.437,0,0,0,22.665001,0,1141,376,0,0,0,0,0,2.0020001
EL2_4590_0001,A10001,3994.905,40.353001,716.56,751.45398,1072.975,1125.225,258.742,271.34299,76.308998,80.024002,37.844002,52.785,55.355,142.491,0,0,8.9219999,3.05,0,0,0,6.7989998,0,164,91.599998,0,0,0,0,0,0
EM2_3980_0001,A10001,22252.625,224.774,3647.7061,4024.075,5462.061,6025.6372,1317.15,1453.054,388.45401,428.534,197.772,268.70599,296.431,744.65302,0,0,46.629002,15.941,0,0,0,75.550003,0,2473,803,20.238001,0,0,0,0,66.273003
EM3_4326_0000,A10001,3954.375,39.943001,1170.2939,1291.0439,1752.394,1933.205,422.582,466.18301,124.627,137.487,63.451,86.209,95.103996,238.907,0,0,14.96,5.114,0,0,0,15.11,0,410,166,0,0,0,0,0,0.222
EU2_3520_0001,A10001,8513.8281,85.998001,1364.626,1571.3361,2043.387,2352.9121,492.75299,567.39398,145.32201,167.336,75.686996,100.524,115.752,284.97601,0,0,17.844999,6.1,0,0,0,30.219999,0,776,271,0,0,0,0,0,13.121
DE0_2590_0000,A10003,491.71799,4.967,26.160999,0,26.033001,0,2.816,0,4.0170002,0,2.299,1.768,0,3.0339999,0,0,0.184,0.039,0,0,0,15.11,0,4340,1577,0,0,0,0,0,12.009
DE0_2600_0000,A10003,5373.917,54.282001,731.37903,0,727.80798,0,78.737,0,112.299,0,64.279999,49.417,0,84.814003,0,0,5.1339998,1.089,0,0,0,113.325,0,4821,2312,0,0,0,0,0,106.527
DE0_2610_0000,A10003,898.93402,9.0799999,7.066,0,7.0320001,0,0.76099998,0,1.085,0,0.62099999,0.477,0,0.81900001,0,0,5.00E-02,1.10E-02,0,0,0,30.219999,0,5866,2353,0,0,0,0,0,152.785
DE0_2640_0000,A10003,5098.0361,51.494999,619.81897,0,616.79303,0,66.726997,0,95.169998,0,54.474998,41.879002,0,71.876999,0,0,4.3509998,0.922,0,0,0,22.665001,0,4942,1599,0,0,0,0,0,182.14101
DE0_2690_0000,A10003,7580.3081,76.569,667.93103,0,664.66998,0,71.905998,0,102.557,0,58.702999,45.130001,0,77.457001,0,0,4.6890001,0.994,0,0,0,249.315,0,14563,5211,0,0,0,0,0,150.561
DE0_2710_0000,A10003,9341.8057,94.362,597.56702,0,594.65002,0,64.331001,0,91.752998,0,52.519001,40.375999,0,69.296997,0,0,4.1950002,0.889,0,0,0,521.29498,0,20433,10493,288.66699,0,0,0,0,522.84802
DE0_2800_0000,A10003,504.62299,5.0970001,2.3299999,0,2.319,0,0.25099999,0,0.35800001,0,0.205,0.15700001,0,0.27000001,0,0,1.60E-02,3.00E-03,0,0,0,52.884998,0,2095,1129,0,0,0,0,0,15.123
DE0_2850_0000,A10003,1298.5291,13.116,234.17101,0,233.02699,0,25.209999,0,35.956001,0,20.580999,15.822,0,27.156,0,0,1.6440001,0.349,0,0,0,90.660004,0,3046,1365,0,0,0,0,0,17.124001
DE0_2870_0000,A10003,56.909,0.57499999,0.15000001,0,0.15000001,0,1.60E-02,0,0.023,0,0.013,1.00E-02,0,1.70E-02,0,0,0.001,0,0,0,0,0,0,187,101,0,0,0,0,0,10.008
DE0_2920_0000,A10003,2301.3059,23.246,536.52502,0,533.90503,0,57.759998,0,82.379997,0,47.153999,36.250999,0,62.217999,0,0,3.766,0.799,0,0,0,75.550003,0,2283,846,0,0,0,0,0,117.869
DE0_2960_0000,A10003,2042.167,20.628,685.22101,0,681.87598,0,73.767998,0,105.212,0,60.223,46.298,0,79.461998,0,0,4.8099999,1.02,0,0,0,52.884998,0,2229,759,0,0,0,0,0,32.025002
DE0_2990_0000,A10003,10595.218,107.022,3764.019,0,3745.6421,0,405.216,0,577.94299,0,330.814,254.32201,0,436.495,0,0,26.423,5.602,0,0,0,52.884998,0,4784,1015,118.758,0,0,0,0,2005.104
DE0_3110_0000,A10003,7822.043,79.011002,5409.1528,0,5382.7422,0,582.323,0,830.54401,0,475.40201,365.478,0,627.27197,0,0,37.972,8.05,0,0,0,377.75,0,5324,1288,83.398003,0,0,0,0,977.86603
DE0_3260_0000,A10003,10730.188,108.386,2808.6941,0,2794.98,0,302.37,0,431.259,0,246.85201,189.774,0,325.70999,0,0,19.716999,4.18,0,0,0,52.884998,0,935,286,0,0,0,0,0,574.44397
DE0_3280_0000,A10003,1275.054,12.879,95.247002,0,94.781998,0,10.254,0,14.625,0,8.3710003,6.4359999,0,11.045,0,0,0.66900003,0.142,0,0,0,0,0,0,1.4,0,0,0,0,0,39.140999
DE0_3310_0000,A10003,2997.47,30.277,512.62,0,510.116,0,55.186001,0,78.709999,0,45.053001,34.636002,0,59.445999,0,0,3.599,0.763,0,0,0,0,0,9.8000002,22.200001,0,0,0,0,0,115.2
DE0_3380_0000,A10003,9177.5605,92.703003,4206.2749,0,4185.7378,0,452.827,0,645.849,0,369.68301,284.203,0,487.78101,0,0,29.527,6.26,0,0,0,15.11,0,1368,422,0,0,0,0,0,192.81599
EU0_3010_0000,A10003,1288.334,13.013,464.23401,683.38898,461.96799,680.05298,49.978001,73.57,71.280998,104.93,100.863,31.367001,46.174,133.084,0,0,8.0559998,1.708,0,0,0,98.214996,0,2531,460,0,0,0,0,0,15.79
EU0_3011_0000,A10003,1039.698,10.502,219.923,323.74399,218.849,322.16299,23.674999,34.853001,33.768002,49.709,47.782001,14.86,21.874001,63.046001,0,0,3.816,0.809,0,0,0,60.439999,0,862,188,0,0,0,0,0,61.826
EU0_3201_0000,A10003,891.612,9.0059996,591.37701,870.55402,588.48999,866.30298,63.664001,93.720001,90.803001,133.668,128.487,39.958,58.82,169.533,0,0,10.263,2.176,0,0,0,37.775002,0,832,166,0,0,0,0,0,14.678
EU0_3361_0000,A10003,1826.262,18.447001,488.897,719.69397,486.51001,716.17999,52.632,77.478996,75.067001,110.505,106.221,33.033001,48.626999,140.15401,0,0,8.4840002,1.799,0,0,0,13.599,0,223,72.5,0,0,0,0,0,0.667
EU1_2981_0000,A10003,191.39,1.933,0.79100001,1.164,0.787,1.158,8.50E-02,0.125,0.121,0.17900001,0.17200001,5.30E-02,7.90E-02,0.227,0,0,0.014,3.00E-03,0,0,0,0,0,46.5,18.299999,0,0,0,0,0,0
EU1_2983_0000,A10003,579.95697,5.8579998,38.195,56.224998,38.007999,55.951,4.112,6.053,5.8649998,8.6330004,8.2980003,2.5810001,3.799,10.949,0,0,0.66299999,0.141,0,0,0,18.888,0,367,80.5,0,0,0,0,0,0
EU2_3520_0001,A10003,4220.936,42.636002,360.06799,414.61099,358.311,412.58701,38.763,44.634998,55.286999,63.660999,68.084999,24.327999,28.014,89.835999,0,0,5.4380002,1.153,0,0,0,3.777,0,271,91.900002,0,0,0,0,0,6.8940001
DE0_4230_0000,A10005,5808.1069,58.667999,2552.2881,0,6289.46,0,832.66199,0,244.15401,0,273.37,31.485001,0,188.31,0,0,6.6890001,8.892,0,0,0,120.88,0,3540,857,0,0,0,0,0,204.825
DE0_4350_0000,A10005,12450.877,125.766,4109.3521,0,10126.443,0,1340.641,0,393.104,0,440.14301,50.692001,0,303.19101,0,0,10.769,14.317,0,0,0,113.325,0,2543,595,4.8930001,0,0,0,0,1062.1541
DE0_4520_0000,A10005,29165.756,294.604,6581.1221,0,16217.489,0,2147.0349,0,629.55603,0,704.88898,81.182999,0,485.561,0,0,17.247,22.928,0,0,0,445.745,0,8131,2261,185.032,0,0,0,0,1499.158
DE0_4570_0000,A10005,4833.6841,48.825001,401.89301,0,990.362,0,131.114,0,38.445,0,43.046001,4.9580002,0,29.652,0,0,1.053,1.4,0,0,0,188.875,0,2482,1110,0,0,0,0,0,510.617
