riverseg,landseg,aop,soy,gwm,gom,lhy,swm,som,sgg,dbl,sch,scl,oac,ohy,pas,fsp,fnp,nir,nnr,nci,nch,ntg,mir,mnr,mci,mch,mtg,mcn,cir,cnr,cci,cch,ctg,ccn,cmo,cfr,hfr,for,wfp,wto,osp,wat,stb,stf,sho
PM1_3510_4000,H24021,40.016841888,94.562530518,57.548088074,78.081565857,128.335418701,34.812911987,6.143451214,34.489330292,82.047798157,1.821191788,6.375257015,34.432422638,346.295898438,375.649993896,0.129066095,1.221533656,0.733571768,1.314988429,1.995007157,1.777590394,11.475449562,43.610851288,93.25359726,105.385664463,53.823452376,406.382711709,0,0,0,0,0,0,0,0,0,16.928764343,7283.392130136,0,21.219305038,129.684767783,44.708074357,0,0,0
PM3_3040_3340,H24021,15.791672707,38.212203979,23.255361557,31.55232048,50.633392334,14.068008423,2.482581854,13.93724823,33.15511322,0.735937476,2.576229811,13.913964272,136.624420166,148.212738037,0.058045775,0.54936868,1.796635747,3.769927025,1.55121541,6.94674778,31.863874435,22.003087044,40.417727232,16.183605075,36.267457053,166.411521554,0,0,0,0,0,0,0,0,0,2.746133327,1150.586465776,0,17.092741366,45.813169599,6.923042394,0,0,0
PM4_3340_3341,H24021,31.8819561,95.246673584,57.962230682,78.644714355,102.159370422,35.06344986,6.187668324,34.737529755,82.641342163,1.834346414,6.421287537,34.681549072,275.674102783,299.061523438,0.124052703,1.174084902,17.814340115,23.382577896,66.51125145,91.887542725,33.685044289,68.200842977,76.321683995,122.382357717,54.821254805,371.663213372,4.142243385,0,0,0,0,0,0,0,0,34.455844879,18499.099567413,60.642982483,34.193293571,193.400580704,157.806211293,0,0,0
PU2_4720_4750,H24023,104.910194397,37.322650909,143.58795166,226.266387939,479.462280273,48.104972839,8.489112854,93.185928345,134.973052979,2.231261492,60.200965881,231.024917603,1024.942260742,1195.654541016,0,3.546554327,79.000961304,388.182739258,48.818744659,319.284820557,621.617614746,0.146218434,40.982475281,0.294460654,13.827682495,11.936027527,2.834960461,0,0,0,0,0,0,0,0,213.116348267,14007.194335938,74.222755432,139.577819824,1363.214355469,159.506607056,0,0,0
PU3_4451_4450,H24023,11.61635685,2.729088068,10.49937439,16.544958115,53.12253952,3.517507792,0.620736599,6.813894749,9.871666908,0.163153186,4.401998043,16.892915726,113.55456543,132.475372314,0,0.359942466,7.593706608,14.355178833,3.119981527,26.226758957,47.04341507,0,0,0,0,0,0.398584217,0,0,0,0,0,0,0,0,23.477344513,1543.041137695,0.000548281,17.146940231,78.229896545,8.641407967,0,0,0
SJ2_2530_2820,H42013,19.108846664,49.09457016,104.830871582,119.037490845,315.941741943,155.658874512,27.4692173,13.326090813,55.760738373,1.697761178,5.973311901,79.947158813,151.529846191,122.244529724,0.389410257,2.106636524,28.419620514,29.202148438,16.062664032,11.786073685,172.399490356,0,0,0,0,0,1.593725204,0,0,0,0,0,0,0,0,56.546977997,3713.28125,29.459459305,25.605510712,68.915267944,27.44496727,0,0,0
SJ3_2040_1980,H42013,1.960793853,5.522207737,11.791495323,13.389466286,32.41765976,17.508670807,3.089770317,1.498930812,6.271903038,0.190966547,0.671886921,8.992541313,15.547933578,12.543048859,0.041279059,0.22331199,16.141746521,9.566799164,3.396198034,8.215295792,39.044055939,0.410123527,0.628001869,0.607322872,1.962165475,2.575737238,0.510169327,0,0,0,0,0,0,0,0,77.885650635,5114.495117188,3.123111725,46.533061981,41.316432953,15.322716713,0,0,0
SJ3_2250_2230,H42013,14.3314991,44.620918274,95.27835083,108.190429688,236.93397522,141.474746704,24.966121674,12.11178875,50.678192139,1.543056965,5.429009914,72.662124634,113.636672974,91.674438477,0.31564799,1.707596779,105.662995338,111.984741449,51.781159043,135.679455996,400.634609222,0,0,0,0,0,4.82227087,0,0,0,0,0,0,0,0,343.212280273,23005.275024414,24.712505341,216.165804386,914.260968208,140.498358727,0,0,0
SW3_1870_1800,H42013,0.056801066,0.218497843,0.466543734,0.529774368,0.93890202,0.692766607,0.122246459,0.059307519,0.248161152,0.00755606,0.026577946,0.355803698,0.450309336,0.363286912,0.001377349,0.007451202,4.676185861,0.882180652,1.153555334,0.215480193,5.313687317,0,0,0,0,0,0.073940933,0,0,0,0,0,0,0,0,10.143750191,666.713769376,0.000936328,14.981180348,7.893885721,0.728078306,0,0,0
SL3_1710_1740,H42027,14.475157738,28.922685623,30.024057388,40.336071014,132.405136108,21.299446106,3.758721352,12.781173706,18.55752182,2.109153986,9.45367527,26.978233337,91.806182861,127.957702637,0,0.600119472,43.94159317,14.974593163,117.691078186,45.391593933,132.248092651,0,0,0,0,0,2.004488945,0,0,0,0,0,0,0,0,338.424987793,22223.3203125,229.560546875,1188.852294922,193.923339844,87.084922791,0,0,0
