riverseg,landseg,aop,soy,gwm,gom,lhy,swm,som,sgg,dbl,sch,scl,oac,ohy,pas,fsp,fnp,nir,nnr,nci,nch,ntg,mir,mnr,mci,mch,mtg,mcn,cir,cnr,cci,cch,ctg,ccn,cmo,cfr,hfr,for,wfp,wto,osp,wat,stb,stf,sho
SW1_1560_1460,H42027,0.101713866,0.423678964,0.439821124,0.59087497,0.9281376,0.312014163,0.055055548,0.187227026,0.271894038,0.030894576,0.138498783,0.395203382,0.643554091,0.89698118,0,0.00573338,8.634413719,0.431014836,37.589950562,3.400424242,11.271942139,0,0,0,0,0,0.347001076,0,0,0,0,0,0,0,0,76.433113098,5019.111816406,178.18081665,323.750823975,33.262733459,27.594005585,0,0,0
SW1_1570_1640,H42027,0.028624045,0.119808882,0.124364048,0.167087406,0.261107653,0.088233493,0.015571204,0.052941635,0.076885059,0.008730678,0.039166484,0.111752689,0.181044832,0.252336174,0,0.001617006,12.165066719,2.100089788,3.645051956,5.97633028,5.017292023,0,0,0,0,0,0.163541496,0,0,0,0,0,0,0,0,40.31880188,2647.602783203,0.000348641,343.301879883,10.230681419,10.437747002,0,0,0
SW3_1580_1440,H42027,0.119980261,0.43239814,0.448849738,0.603017747,1.095451355,0.318423212,0.056192916,0.191074163,0.277476847,0.031527504,0.141339585,0.40332967,0.759565651,1.058662295,0,0.006303616,5.02328968,1.047751904,9.078632355,9.673537254,8.293315887,0,0,0,0,0,0.18738161,0,0,0,0,0,0,0,0,24.310649872,1596.40222168,0.001421466,102.325866699,17.276790619,2.014534235,0,0,0
SL3_1960_2080,H42043,0.165719301,2.027258396,1.788593054,1.392417669,1.181282878,0.643076718,0.113480605,0.735222697,0.515173972,0.090883344,0.09300901,0.859516442,1.957088232,1.614732504,0.008971908,0.023378799,6.460700512,3.734280586,27.778120041,26.518323898,61.92760849,0,0,0,0,0,0.969376564,0,0,0,0,0,0,0,0,155.737747192,10226.779296875,1.724954724,398.093078613,169.949310303,30.433048248,0,0,0
SL8_2080_2050,H42043,0.01325719,0.099419698,0.087719463,0.06828966,0.094556309,0.031538952,0.005556182,0.036057826,0.025270224,0.004446924,0.004550743,0.042150375,0.156658098,0.129268423,0.000556213,0.001449366,5.210187435,3.158360243,10.03199482,27.000322342,35.473522186,0,0,0,0,0,0.620141864,0,0,0,0,0,0,0,0,64.515045166,4236.487792969,169.472900391,100.941749573,31.641679764,11.839410782,0,0,0
SL9_2050_2270,H42043,0.647694647,3.51004982,3.098995209,2.412676573,4.59723711,1.114256501,0.196635813,1.273973584,0.891001761,0.157455921,0.161143854,1.487895131,7.611135483,6.284148216,0.023624558,0.061560348,9.718128204,11.482888222,20.178809375,41.093967438,64.66822052,0,0,0,0,0,1.125596523,0,0,0,0,0,0,0,0,197.207733154,13034.736442566,253.953414917,609.095825195,70.366615295,169.431854248,0,0,0
SU2_0990_0950,H42079,0.148147091,0.616559505,0.63850373,1.440988302,0.232434019,0.154670611,0.027294818,0.357097059,0.076743282,0.155679345,0.286488175,1.295567155,0.783155799,0.573517323,0,0.004345489,0.923767805,2.975645781,4.659596443,40.464893341,6.754633427,0,0,0,0,0,1.037671447,0,0,0,0,0,0,0,0,21.074695587,1383.906494141,78.029083252,481.998199463,14.160219193,21.856843948,0,0,0
SU2_1020_0980,H42079,0.408495009,1.75343883,1.815840364,4.098046303,0.640644252,0.439869076,0.077623956,1.015551329,0.21823445,0.442737788,0.814739525,3.684488297,2.158574581,1.580740333,0,0.012227441,8.932779312,4.828250408,18.808319092,32.26166153,29.012830734,0,0,0,0,0,1.745859385,0,0,0,0,0,0,0,0,156.414978027,10271.255859375,200.935333252,1504.089599609,62.367706299,176.832763672,0,0,0
SU2_1200_1310,H42079,0.58441186,2.165338993,2.242399931,5.060705185,0.917908967,0.543198645,0.095858596,1.254114509,0.269482583,0.546741307,1.00613749,4.549988747,3.092786074,2.264863968,0,0.016222235,11.313719749,5.043258667,13.712120056,17.146215439,26.010454178,0,0,0,0,0,1.362291574,0,0,0,0,0,0,0,0,119.337989807,7836.534667969,113.164321899,915.92779541,100.092918396,219.084014893,0,0,0
SU2_1210_1310,H42079,0.027996488,0.113992274,0.118049584,0.266414523,0.043943349,0.028596194,0.005035978,0.066021703,0.014183449,0.028782692,0.052960321,0.239534602,0.148058414,0.108427987,0,0.000801442,0,0.853340805,0.277763695,2.424273729,1.119709015,0,0,0,0,0,0.086973965,0,0,0,0,0,0,0,0,3.466922045,227.6615448,2.7114e-05,3.970729113,2.595941305,0,0,0,0
SU7_1140_1420,H42079,0.054943189,0.036312312,0.03760276,0.084868379,0.086952612,0.00910969,0.001601093,0.021032071,0.004514589,0.009167496,0.016865715,0.076299436,0.292972207,0.214547068,0,0.00090856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.308052301,151.562164307,1.7667e-05,0.487922251,0.157520279,0.059612397,0,0,0
SU2_0990_0950,H42113,1.668261886,0.770746768,2.939404011,4.693702221,3.350734949,5.628209591,0.993213296,0.353851616,0,0.290654033,0.39767164,6.919282436,4.592759609,4.343110085,0.000100988,0.024034115,24.360544205,10.370130539,7.43987608,8.885106087,30.349039078,0,0,0,0,0,0.052392591,0,0,0,0,0,0,0,0,36.018951416,2365.244873047,208.362472534,509.737426758,70.828826904,104.705528259,0,0,0
SU2_1200_1310,H42113,1.371222377,0.512088478,1.952964783,3.118516684,2.754140139,3.739382982,0.65989089,0.235099003,0,0.19311057,0.264213026,4.597184181,3.775006771,3.569796324,7.3603e-05,0.017516611,16.657083511,16.662817001,10.740868568,35.779819489,35.149097443,0,0,0,0,0,0.074008107,0,0,0,0,0,0,0,0,13.478226662,885.070556641,19.581741333,167.192306519,70.275428772,174.809936523,0,0,0
SU2_1210_1310,H42113,1.953591466,0.883090436,3.367864847,5.377873898,3.923859358,6.448524952,1.137974977,0.405425727,0,0.33301717,0.455632567,7.927819729,5.378296852,5.085927486,0.000121339,0.028877355,27.633195877,1.58262682,27.814165115,3.251144648,47.086612701,0,0,0,0,0,0.06910257,0,0,0,0,0,0,0,0,396.474456787,26035.15625,94.100799561,1003.752685547,187.518447876,120.506500244,0,0,0
SW1_1180_1190,H42113,4.216929913,1.264693141,4.823198318,7.701805115,8.470111847,9.234957695,1.629698396,0.580611765,0,0.47691521,0.652513206,11.353551865,11.609491348,10.978363037,0.000209764,0.049921568,14.586250305,5.057190895,5.610332012,14.266127586,32.817173004,0,0,0,0,0,0.046556611,0,0,0,0,0,0,0,0,87.072151184,5717.73828125,52.928943634,105.00554657,53.395938873,52.270542145,0,0,0
SW2_1070_1060,H42113,6.72503376,2.62694788,10.018476486,15.997689247,13.507466316,19.182575226,3.385160446,1.206029177,0,0.990633786,1.355380654,23.583070755,18.514223099,17.507759094,0.000379206,0.090246737,66.572845459,46.734344482,29.092071533,132.851608276,172.047348022,0,0,0,0,0,0.287884057,0,0,0,0,0,0,0,0,199.199569702,13080.7734375,425.682006836,1031.603515625,187.31048584,401.149414063,0,0,0
SW2_1190_1410,H42113,0.055489875,0.032112762,0.122463368,0.195553824,0.111450829,0.234491661,0.041380882,0.014742745,0,0.012109227,0.016568448,0.288281232,0.152766973,0.144462258,3.898e-06,0.000927631,0.085460708,0.182787731,0.002470103,0.276892036,1.376588583,0,0,0,0,0,0.001238427,0,0,0,0,0,0,0,0,4.005037785,262.997528076,1.1616e-05,35.504653931,0.033367869,0.028171891,0,0,0
SU1_0660_0710,H42115,67.32964325,0.299703449,2.944487095,4.840015411,51.949970245,4.885867119,0.862211883,1.337902784,28.047506332,0.536483049,8.470093727,100.958786011,263.471832275,203.891479492,0.003011482,0.533109128,27.178640366,16.716579437,9.88606739,8.766677856,85.190666199,0,0,0,0,0,2.44278717,0,0,0,0,0,0,0,0,33.802871704,2219.810546875,23.502637863,221.018600464,127.219291687,66.913513184,0,0,0
SU2_0670_0810,H42115,275.358032227,1.328405499,13.051147461,21.452932358,212.441421509,21.656122208,3.82166791,5.930119991,124.32699585,2.377907276,37.542961121,447.490844727,1077.427612305,833.78338623,0.012650556,2.239471197,159.968154907,136.515457153,48.645332336,72.70438385,562.899536133,0,0,0,0,0,16.215946198,0,0,0,0,0,0,0,0,144.630371094,9497.76953125,763.365539551,853.81463623,455.948760986,727.421936035,0,0,0
SU2_0780_0710,H42115,115.726753235,0.482596666,4.741373539,7.793661118,89.30620575,7.867454529,1.388374448,2.154354095,45.175769806,0.863870442,13.639073372,162.570098877,452.929382324,350.506835938,0.005213696,0.922957182,49.057159424,67.379692078,25.188680649,42.70224762,223.311767578,0,0,0,0,0,6.740123749,0,0,0,0,0,0,0,0,78.854598999,5178.255859375,88.696846008,192.259933472,200.260452271,145.052856445,0,0,0
SU3_0810_0970,H42115,29.398990631,0.121631168,1.194993496,1.964272261,22.687559128,1.982872486,0.349918723,0.542972326,11.386226654,0.217725456,3.437520742,40.973373413,115.063232422,89.043525696,0.00138794,0.245700821,26.011594772,51.452201843,12.5254879,38.054222107,193.505172729,5.026860237,19.131116867,2.075170517,19.345935822,32.265048981,6.603767872,28.283281326,76.28666687,12.701479912,42.559955597,92.150688171,4.16640234,9.756205559,29.880203247,35.164840698,2309.192626953,37.933074951,84.655944824,58.23997879,75.90435791,0,0,0
SU6_0480_0520,H42115,60.022327423,0.480968058,4.72535038,7.767328262,46.263275146,7.840903282,1.383689165,2.147083998,45.011310577,0.860951662,13.59292984,162.020050049,234.63092041,181.572540283,0.003076608,0.544638097,37.471298218,32.417255402,23.617208481,19.015127182,103.554199219,0,0,0,0,0,3.572697639,0,0,0,0,0,0,0,0,40.612529755,2667.006347656,59.545265198,272.564575195,77.154785156,230.756149292,0,0,0
SW2_1100_1130,H42117,11.975974083,2.261720419,11.876600266,18.233921051,20.255468369,10.50974369,1.854660749,5.198494434,16.522228241,0.538610458,6.901551247,60.819019318,72.947242737,46.876106262,0.018320579,0.134871885,4.136247158,7.026415348,26.5032444,69.731269836,65.294487,0,0,0,0,0,0.469865799,0,0,0,0,0,0,0,0,108.322113037,7113.219238281,31.349096298,31.638284683,336.121520996,28.019416809,0,0,0
SW3_0930_1110,H42117,12.044223785,0.58442539,3.068907022,4.711644173,20.409614563,2.715702772,0.479241729,1.343283534,4.270167828,0.139176995,1.783377171,15.71681118,73.50239563,47.232952118,0.014803462,0.10897968,11.511735916,9.600165367,21.097068787,13.676527977,51.249851227,0,0,0,0,0,0.291497797,0,0,0,0,0,0,0,0,81.539749146,5354.472167969,2.410104752,141.673706055,278.621765137,42.732456207,0,0,0
SW4_1110_1150,H42117,0.089586541,0.049838431,0.261710644,0.401795775,0.15076597,0.231588811,0.040868524,0.114549734,0.364049345,0.011867602,0.152080238,1.340142608,0.542971253,0.348917305,0.000200501,0.001476044,16.490861893,2.058935165,45.801055908,9.86226368,10.695819855,0,0,0,0,0,0.231023341,0,0,0,0,0,0,0,0,224.611679077,14749.500976563,21.835163116,715.123168945,307.285675049,96.356765747,0,0,0
SW4_1150_1350,H42117,0.143380255,0.076087706,0.399563581,0.613449574,0.241146639,0.353585273,0.062396191,0.174894333,0.555619895,0.018121731,0.232148468,2.045775414,0.868450522,0.558070481,0.000313467,0.002307671,9.304286957,0.549209595,49.131874084,9.284322739,2.922878027,0,0,0,0,0,0.193703339,0,0,0,0,0,0,0,0,171.141662598,11238.305664063,16.730234146,300.316497803,266.084716797,47.52967453,0,0,0
SL3_1710_1740,H42119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357979715,0.038004685,8.310964584,0.061052702,0.000245191,0,0,0,0,0,0.068427801,0,0,0,0,0,0,0,0,23.523937225,1544.738647461,0,177.358673096,7.675817966,4.025342464,0,0,0
SW1_1560_1460,H42119,0.364377171,6.889940262,5.728313923,3.951536417,16.907712936,2.961158752,0.522558212,0.734108269,1.950052619,0.1284841,0.230818838,2.357273579,5.381008148,10.686804771,0.008248301,0.140722245,55.458618164,4.920868874,31.375547409,0.582231939,18.866352081,0,0,0,0,0,0.867838025,0,0,0,0,0,0,0,0,107.708641052,7072.868652344,167.372558594,215.687591553,101.656936646,42.491348267,0,0,0
SW1_1570_1640,H42119,0.001941976,0.048611578,0.040414535,0.027878281,0.089715824,0.020894503,0.003680761,0.005179859,0.013752519,0.000901814,0.001621587,0.016621033,0.028550744,0.056711983,4.9847e-05,0.000850434,25.061672211,4.8861413,54.100143433,7.187269211,1.956613541,0,0,0,0,0,0.727273345,0,0,0,0,0,0,0,0,212.30140686,13941.125976563,24.420801163,677.977355957,83.097091675,72.635475159,0,0,0
SW3_1580_1440,H42119,0.00759123,0.191052675,0.158840969,0.109572545,0.352045655,0.082107574,0.014484898,0.020356162,0.054069165,0.003556463,0.006400602,0.065362349,0.112043351,0.222522631,0.000195904,0.003342268,9.191703796,1.023038149,1.203048587,0.196540996,3.732867241,0,0,0,0,0,0.119770236,0,0,0,0,0,0,0,0,7.016014576,460.718322754,1.8498e-05,13.478233337,12.597917557,1.369989038,0,0,0
SW7_1410_1460,H42119,1.4027e-05,7.1705e-05,5.9613e-05,4.1123e-05,0.000137062,3.0817e-05,5.438e-06,7.64e-06,2.0298e-05,1.387e-06,2.492e-06,2.4533e-05,4.362e-05,8.782e-05,7.7e-08,1.322e-06,0.142946616,0,0.068897806,1e-09,0.001471147,0,0,0,0,0,0.001664724,0,0,0,0,0,0,0,0,11.427999496,750.438659668,5.02e-07,18.173574448,0.217204779,0.725006342,0,0,0
SU2_0990_0950,H42131,2.772441149,0.33094123,3.880705833,7.768023014,6.527791977,1.120885849,0.197803378,0.422636598,2.300519228,0.383582234,0.790915966,18.846120834,19.100061417,9.815283775,0,0.039706212,4.491855621,22.003553391,11.442826271,21.307788849,15.875644684,0,0,0,0,0,0.187902823,0,0,0,0,0,0,0,0,236.026992798,15499.111328125,322.34375,3243.15234375,242.579818726,246.893630981,0,0,0
SU2_1020_0980,H42131,2.73175025,0.663036764,7.774947166,15.563186646,6.418776989,2.245681286,0.39629671,0.846747339,4.609707355,0.768510163,1.584685683,37.758228302,18.781152725,9.651414871,0,0.05178263,8.307139397,38.967895508,19.43627739,25.523164749,48.278255463,0,0,0,0,0,0.351466358,0,0,0,0,0,0,0,0,226.93762207,14902.248046875,163.270187378,1108.923583984,153.525009155,99.391578674,0,0,0
SW2_1070_1060,H42131,2.681660652,0.141882107,1.663748026,3.330336571,6.321702003,0.480549604,0.084802866,0.181194052,0.986382246,0.164453804,0.339102209,8.079813004,18.497097015,9.505437851,0,0.031636521,0.089367881,2.991191864,0.203018725,0,0.145225078,0,0,0,0,0,0.008576512,0,0,0,0,0,0,0,0,2.652723312,174.198181152,16.437133789,57.691005707,9.679890633,12.587892532,0,0,0
JL1_6560_6440,H51003,5.737712383,0.193889633,0.11203137,0.136644274,0.509892762,0.024385817,0.004301026,0.011989169,0.112862937,0.01936016,0.237747744,0.381333053,27.030221939,61.690059662,0,0.122057132,7.737805367,5.448343158,14.636479378,2.823750719,40.543753147,0,0,0,0,0,0.228970736,0,0,0,0,0,0,0,0,48.136146545,4952.809692383,7.6523e-05,0,99.885044098,10.714233145,0,0,0
JL2_6240_6520,H51003,0.091425575,0.002005476,0.001155085,0.001414611,0.007749004,0.000255254,4.2823e-05,0.000119294,0.001166243,0.000273258,0.003410162,0.003952083,0.410990298,0.937290788,0,0.001844209,3.703138471,2.226667881,0.168083757,2.528214693,4.170468241,0,0,0,0,0,0.044294771,0,0,0,0,0,0,0,0,1.409572005,749.226097107,5.289e-06,0,5.50630784,0.889084369,0,0,0
JL2_6440_6441,H51003,28.405599594,1.531389236,0.884627283,1.079072356,2.518208981,0.192516401,0.033977602,0.094657376,0.891992986,0.152966201,1.878057241,3.012378931,133.541137695,304.600311279,0,0.608914137,38.852981567,29.607361794,25.627703667,32.028774738,335.526275635,0,0,0,0,0,1.732847333,0,0,0,0,0,0,0,0,161.136367798,26745.125,0.250139534,1.045749649,98.485912323,142.076820374,0,0,0
JL1_7080_7190,H51009,0.328248471,0,0.819581985,0.863044322,0.058098599,0,0,0.795061111,1.543999314,1.284834743,3.470309019,4.771706581,1.70644176,4.017097473,0.002975747,0.021897633,6.598779678,3.870726764,49.955648422,4.317401648,23.807621539,0,0,0,0,0,0.10196472,0,0,0,0,0,0,0,0,44.454910278,13353.204101563,3.7484e-05,0,26.496965885,49.980232239,0,0,0
JL2_7240_7350,H51009,0.059437219,0,0.03694177,0.038901433,0.005996797,0,0,0.027469601,0.069595248,0.057925653,0.156426385,0.191768289,0.176272094,0.414940864,0.000186404,0.001371694,0.607546195,0.182571664,2.958684325,0.153860027,8.941674232,0,0,0,0,0,0.014928345,0,0,0,0,0,0,0,0,10.859153748,7384.247131348,8.938e-06,0,10.550731361,22.831034899,0,0,0
JL6_7160_7440,H51009,6.668411732,0,0.017505703,0.018434264,1.724401116,0,0,0.017520314,0.032983959,0.02747103,0.074203677,0.103406079,50.652359009,119.238670349,0.027398385,0.201616526,10.850802183,5.442560479,40.035523415,5.176345191,58.09412083,0,0,0,0,0,0.206288353,0,0,0,0,0,0,0,0,56.348682404,6384.673772812,0.000134914,0.744761229,11.238915488,24.056428671,0,0,0
JU1_6880_7260,H51015,0.147264048,0.23987852,0.467815906,0.221599534,0.251150221,0.261829674,0.046205465,0.138226986,0.241693825,0.012916179,0.080018215,0.165908054,1.093667984,3.457377672,0.002514969,0.013432181,2.797097024,0.010872629,4.643550406,0.139119998,7.581875764,0,0,0,0,0,0.000314497,0,0,0,0,0,0,0,0,1.332618237,9493.663909912,5.781e-06,0,33.084028482,35.758835562,0,0,0
PS2_6420_6360,H51015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.927444458,0,0,0.582848608,0.387708008,0,0,0
PS2_6490_6420,H51015,2.476495504,0.212580159,0.414418727,0.196372345,4.247437477,0.232411221,0.04101257,0.122760125,0.213514149,0.011475216,0.071081921,0.147167727,18.496034622,58.425952911,0.030482631,0.162804484,42.049413681,29.612282634,37.715442657,28.91374588,114.45293045,0,0,0,0,0,1.051892757,0,0,0,0,0,0,0,0,25.535919189,13722.804199219,1.213733077,0.579875231,152.469238281,55.409132004,0,0,0
PS2_6660_6490,H51015,4.429802418,0.073023885,0.142422825,0.067468517,7.512209415,0.079730414,0.01406949,0.042105235,0.073555365,0.003932079,0.024360528,0.050521895,32.71289444,103.273414612,0.053020567,0.283177197,70.376770496,41.424763054,22.382856846,36.100640953,221.717061162,0,0,0,0,0,1.952284217,0,0,0,0,0,0,0,0,36.413166046,4282.338416934,0.276905149,2.4968009,72.496756077,16.013896909,0,0,0
PS2_6730_6660,H51015,2.920778036,1.459246874,2.844352722,1.348053336,5.03453064,1.595864058,0.281615019,0.843045473,1.462641716,0.078742139,0.487589449,1.010460854,21.91740799,69.299179077,0.03983051,0.212730497,66.126194954,35.060323238,106.540538788,48.956923485,159.023517609,0,0,0,0,0,1.484794974,0,0,0,0,0,0,0,0,46.909431458,25263.386230469,6.947405577,0.374569677,68.904960632,128.653576374,0,0,0
JU5_7420_7160,H51023,0.158283576,0.063448638,0.276509941,0.294514686,0.133475438,0.168678537,0.029763466,0.181047961,0.226128578,0.165203005,0.260218263,0.899781644,1.797686815,3.751568317,0,0.010836991,37.897073746,10.53882575,41.619379997,12.116436481,21.613795877,0,0,0,0,0,0.301055491,0,0,0,0,0,0,0,0,16.347253799,19933.228393555,2.1597e-05,0.278734557,24.635472536,68.210660517,0,0,0
JU5_7500_7420,H51023,7.1452e-05,3.3661e-05,0.000146701,0.000156251,4.3667e-05,8.9428e-05,1.5781e-05,9.6104e-05,0.000120091,8.9062e-05,0.000140249,0.0004862,0.000588328,0.001239961,0,4.303e-06,6.956703663,0.34186956,5.709613666,0.658106625,0.021461828,0,0,0,0,0,0.00165359,0,0,0,0,0,0,0,0,0.212628946,2572.965940475,3.97e-07,0,4.574271806,4.293452263,0,0,0
JU1_7630_7490,H51045,0.020185068,0,0.00337808,0.004258596,0.000530489,0.005568197,0.000983344,0.002687301,0,0.008458776,0.009133151,0.016966276,0.019267451,0.047328629,0,9.9852e-05,15.462166071,0.570286125,18.846730411,2.673423409,0.763350308,0,0,0,0,0,0.035811543,0,0,0,0,0,0,0,0,0.515022933,3308.197052002,1.0921e-05,0,12.217924654,5.626337383,0,0,0
JU2_7450_7360,H51045,6.976867199,0,0.251068413,0.317368537,1.443177462,0.431036532,0.076071054,0.208220631,0,0.440289944,0.475683033,1.321570396,51.998325348,127.69140625,0,0.139046848,5.941531897,0.869233519,16.417846441,1.036603577,7.103905201,0,0,0,0,0,0.066098414,0,0,0,0,0,0,0,0,10.432461739,4908.573852539,0.000142228,0,22.74807024,9.793272018,0,0,0
JU3_7490_7400,H51045,0.020240037,0,0.023800015,0.030028148,0.002597645,0.039863802,0.007037831,0.019250067,0,0.040950559,0.044249132,0.121755205,0.09359239,0.22984679,0,0.000484027,12.145227432,1.298816442,34.834372044,4.169999361,3.780040026,0,0,0,0,0,0.101464637,0,0,0,0,0,0,0,0,3.625493765,10252.585571289,3.2908e-05,4.363726139,29.79901123,26.828208447,0,0,0
JL2_6240_6520,H51079,6.778713226,0.039915405,0.116968632,0.090004146,1.52486968,0.032326527,0.005699917,0.088194095,0.196906835,0.05840674,0.318063915,0.806714833,50.221782684,108.084869385,0.008055215,0.173659757,79.707584381,37.265625238,24.426176786,36.707234859,181.11700058,0,0,0,0,0,8.442896843,0,0,0,0,0,0,0,0,75.366722107,15149.864746094,1.243111372,0.084480554,40.357750893,51.237997055,0,0,0
RU2_6090_6220,H51079,0.958789766,0.00275094,0.008262217,0.006358167,0.230209559,0.002205937,0.000388403,0.006222432,0.013761722,0.003376005,0.018399362,0.05700231,7.581559181,16.335521698,0.001207083,0.02602311,18.08604002,6.519922495,15.499336243,9.501544714,15.679586709,0,0,0,0,0,1.220607758,0,0,0,0,0,0,0,0,45.340454102,12955.265625,0.000240618,1.804024339,13.846316099,40.763950348,0,0,0
RU2_5810_5610,H51113,0.003110437,0.026990695,0.016051447,0.018879127,0.003604392,0.003897764,0.000684311,0.001111075,0.02085204,0.000846505,0.003371462,0.021484239,0.033925418,0.079236351,9.546e-06,0.000317313,15.153471351,0.392376631,0,1.556633651,0.661616087,0,0,0,0,0,0.001525383,0,0,0,0,0,0,0,0,1.355625391,9973.121826172,1.8474e-05,0,6.269894525,36.144568086,0,0,0
RU2_5940_6200,H51113,0.168859378,1.545961738,0.915686309,1.076965451,0.205631629,0.222829714,0.039320536,0.063480765,1.196212173,0.048680551,0.192864716,1.230549812,1.933967352,4.515174389,0.000546736,0.018172888,37.095744669,12.792096615,5.615497828,30.656673431,12.561573952,0,0,0,0,0,0.004196733,0,0,0,0,0,0,0,0,10.955722809,12221.208740234,2.3344e-05,24.535322189,100.417625427,36.91553545,0,0,0
