riverseg,landseg,for,hvf,hwm,nhi,lwm,nlo,hom,nho,hyw,nhy,hyo,alf,nal,pas,npa,trp,urs,afo,cfo,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,wat
DE0_3380_0000,A10001,4223.1372,42.658001,3951.613,0.99900001,5442.8062,0.99900001,1206.271,0.99900001,188.655,0.99900001,242.838,194.147,0.99900001,476.048,0.99900001,0.99900001,10.845,11.599,0.999,0.99900001,0.99900001,45.292,0.99900001,1905.391,756.36102,0.99900001,0.99900001,0.99900001,0.99900001,0.99900001,235.539
DE0_3410_0000,A10001,30769,310.798,8825.2119,1,12155.52,1,2693.9871,1,421.32501,1,542.33398,433.591,1,1063.168,1,1,24.221001,25.904,1,1,1,83.085999,1,3713.1621,1089.754,174.98399,1,1,1,1,4136.04
DE0_3790_0000,A10001,7777.7729,78.563004,5594.6201,1,7705.8262,1,1707.817,1,267.09299,1,343.80499,274.86899,1,673.98102,1,1,15.355,16.420999999999999,1,1,1,135.935,1,8229.6787,3250.688,282.771,1,1,1,1,802.29602
DE0_3791_0001,A10001,6854.1548,69.234001,2803.5339,0.99900001,3861.4839,0.99900001,855.80798,0.99900001,133.84399,0.99900001,172.285,137.741,0.99900001,337.73999,0.99900001,0.99900001,7.6939998,8.2289999999999992,0.999,0.99900001,0.99900001,128.341,0.99900001,3368.5271,1448.936,53.112999,0.99900001,0.99900001,0.99900001,0.99900001,175.117
DE0_3840_0000,A10001,4168.751,42.109001,1968.3101,0.99900001,2711.0779,0.99900001,600.84698,0.99900001,93.970001,0.99900001,120.959,96.705002,0.99900001,237.121,0.99900001,0.99900001,5.402,5.7770000000000001,0.999,0.99900001,0.99900001,52.832001,0.99900001,2850.1411,919.078,53.764999,0.99900001,0.99900001,0.99900001,0.99900001,1009.101
DE0_4140_0000,A10001,14787.18,149.36501,10499.9,1,14462.17,1,3205.2019,1,501.276,1,645.24799,515.87,1,1264.915,1,1,28.816999,30.82,1,1,1,105.741,1,6311.2798,1597.5649,195.209,1,1,1,1,726.36298
DE0_4141_0001,A10001,3928.02,39.676998,2816.5701,0.99900001,3879.439,0.99900001,859.78699,0.99900001,134.466,0.99900001,173.08701,138.381,0.99900001,339.31,0.99900001,0.99900001,7.73,8.2680000000000007,0.999,0.99900001,0.99900001,7.546,0.99900001,605.31702,209.763,14.883,0.99900001,0.99900001,0.99900001,0.99900001,108.184
DE0_4230_0000,A10001,11233.39,113.469,3415.5149,0.99900001,4704.4028,0.99900001,1042.621,0.99900001,163.06,0.99900001,209.89301,167.808,0.99900001,411.465,0.99900001,0.99900001,9.3739996,10.026,0.999,0.99900001,0.99900001,30.201,0.99900001,1929.769,829.47101,0.99900001,0.99900001,0.99900001,0.99900001,0.99900001,799.88599
DE0_4231_0001,A10001,899.64301,9.0869999,591.698,0.99400002,814.98401,0.99400002,180.62199,0.99400002,28.249001,0.99400002,36.361,29.070999,0.99400002,71.280998,0.99400002,0.99400002,1.624,1.736,0.99399999999999999,0.99400002,0.99400002,0.75099999,0.99400002,85.977997,33.695999,0.99400002,0.99400002,0.99400002,0.99400002,0.99400002,0.99400002
EL0_4560_4562,A10001,2907.8511,29.372,1410.871,0.99800003,1943.281,0.99800003,430.68201,0.99800003,67.356003,0.99800003,86.700996,69.317001,0.99800003,169.966,0.99800003,0.99800003,3.872,4.141,0.998,0.99800003,0.99800003,3.016,0.99800003,308.34698,105.676,0.99800003,0.99800003,0.99800003,0.99800003,0.99800003,2.2190001
EL2_4400_4590,A10001,10854.48,109.641,6074.2402,0.99900001,8366.4336,0.99900001,1854.225,0.99900001,289.991,0.99900001,373.27899,298.43301,0.99900001,731.76001,0.99900001,0.99900001,16.671,17.829999999999998,0.999,0.99900001,0.99900001,15.102,0.99900001,1066.4399,367.80701,0.99900001,0.99900001,0.99900001,0.99900001,0.99900001,2.0009999
EL2_4590_0001,A10001,3855.5759,38.945,1617.84,0.99800003,2228.355,0.99800003,493.86301,0.99800003,77.237,0.99800003,99.420998,79.486,0.99800003,194.89999,0.99800003,0.99800003,4.441,4.7489999999999997,0.998,0.99800003,0.99800003,1.508,0.99800003,147.71899,89.730003,0.99800003,0.99800003,0.99800003,0.99800003,0.99800003,0.99800003
EM2_3980_0001,A10001,21716.41,219.35699,8468.2979,1,11663.92,1,2585.0359,1,404.28601,1,520.401,416.056,1,1020.17,1,1,23.240999,24.856999999999999,1,1,1,22.658001,1,2266.323,779.76703,20.232,1,1,1,1,66.252998
EM3_4326_0000,A10001,3739.366,37.771,2713.9709,0.99900001,3738.124,0.99900001,828.46802,0.99900001,129.56799,0.99900001,166.78101,133.34,0.99900001,326.95001,0.99900001,0.99900001,7.4489999,7.9660000000000002,0.999,0.99900001,0.99900001,0.99900001,0.99900001,376.483,163.77499,0.99900001,0.99900001,0.99900001,0.99900001,0.99900001,0.222
EU2_3520_0001,A10001,8304.8887,83.887001,3239.0259,0.99900001,4461.314,0.99900001,988.74597,0.99900001,154.63499,0.99900001,199.047,159.13699,0.99900001,390.203,0.99900001,0.99900001,8.8900003,9.5069999999999997,0.999,0.99900001,0.99900001,7.5489998,0.99900001,698.41199,261.78,0.99900001,0.99900001,0.99900001,0.99900001,0.99900001,13.11
DE0_2590_0000,A10003,539.72302,5.4520001,28.891001,0.99800003,29.704,0.99800003,2.9549999,0.99800003,5.822,0.99800003,1.452,0.90700001,0.99800003,3.388,0.99800003,0.99800003,0.066,4.5999999999999999E-2,0.998,0.99800003,0.99800003,30.146,0.99800003,4275.4868,1555.176,0.99800003,0.99800003,0.99800003,0.99800003,0.99800003,11.98
DE0_2600_0000,A10003,5398.6572,54.532001,808.81097,0.99900001,831.56799,0.99900001,82.723,0.99900001,162.974,0.99900001,40.669998,25.379999,0.99900001,94.839996,0.99900001,0.99900001,1.846,1.2829999999999999,0.999,0.99900001,0.99900001,67.920998,0.99900001,4684.8779,2257.532,0.99900001,0.99900001,0.99900001,0.99900001,0.99900001,106.411
DE0_2610_0000,A10003,1026.738,10.371,7.8099999,0.99800003,8.0290003,0.99800003,0.79900002,0.99800003,1.573,0.99800003,0.39199999,0.245,0.99800003,0.91500002,0.99800003,0.99800003,1.7999999E-2,0.012,0.998,0.99800003,0.99800003,60.337002,0.99800003,5730.1709,2312.0339,0.99800003,0.99800003,0.99800003,0.99800003,0.99800003,152.52299
DE0_2640_0000,A10003,4952.4019,50.025002,685.37402,0.99900001,704.65997,0.99900001,70.098,0.99900001,138.10201,0.99900001,34.463001,21.506001,0.99900001,80.366997,0.99900001,0.99900001,1.564,1.087,0.999,0.99900001,0.99900001,7.546,0.99900001,4931.1421,1591.11,0.99900001,0.99900001,0.99900001,0.99900001,0.99900001,181.925
DE0_2690_0000,A10003,7885.8691,79.654999,739.052,0.99900001,759.84698,0.99900001,75.587997,0.99900001,148.91701,0.99900001,37.161999,23.191,0.99900001,86.660004,0.99900001,0.99900001,1.687,1.1719999999999999,0.999,0.99900001,0.99900001,218.976,0.99900001,14242.28,5058.2588,0.99900001,0.99900001,0.99900001,0.99900001,0.99900001,150.479
