riverseg,landseg,for,hvf,hwm,nhi,lwm,nlo,hom,nho,hyw,nhy,hyo,alf,nal,pas,npa,trp,urs,afo,cfo,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,wat
RL1_6180_0001,A51159,8208.9189,82.917999,1213.547,87.897003,0,0,17.368999,0,38.613998,0,64.359001,7.033,0,76.692001,3.273,4.2090001,1.4,1.239,0,0,0,0,0,178,82.400002,10.453,0,0,0,0,35.805
RL1_6322_0000,A51159,10132.732,102.351,3515.7881,252.041,0,0,50.284,0,111.792,0,186.328,20.363001,0,202.821,28.688,12.185,4.053,3.588,0,0,0,7.5549998,0,463,177,5.3369999,0,0,0,0,135.883
RL5_6071_0000,A51159,5802.5659,58.612,914.81201,20.84,0,0,12.487,0,27.761,0,46.855999,5.0570002,0,50.796001,6.6939998,2.4400001,1.006,0.891,0,0,0,0,0,82.699997,48.900002,0,0,0,0,0,62.27
RL5_6072_0000,A51159,2245.8469,22.684999,1038.084,9.4610004,0,0,13.98,0,31.080999,0,52.069,5.6609998,0,61.326,3.039,3.122,1.127,0.998,0,0,0,1.511,0,125,41.400002,0,0,0,0,0,15.123
RL5_6321_0000,A51159,6360.2988,64.245003,2036.176,445.189,0,0,33.115002,0,73.622002,0,124.41,13.41,0,120.321,32.143002,6.323,2.6689999,2.363,0,0,0,7.5549998,0,576,207,16.235001,0,0,0,0,72.723
JU1_7690_7490,A51161,2317.426,23.408001,4.2189999,0.57499999,7.2610002,0.99000001,11.928,0,138.634,3.974,32.165001,12.787,0,289.36899,1.4349999,15.305,0.458,3.345,0,0,0,0,0,57.5,32,0,0,0,0,0,0
JU1_7750_7560,A51161,6386.9878,64.514999,19.598,9.0220003,33.727001,15.526,71.206001,0,821.44598,29.854,192.008,76.334,0,1714.567,21.389,91.365997,2.733,19.968,0,0,0,0,0,198,85.900002,0,0,0,0,0,0.667
OR2_7900_7740,A51161,28539.832,288.28101,18.188,0,31.302,0,45.254002,0,541.02802,0,122.027,48.513,0,1103.256,0,58.066002,1.737,12.69,0,0,0,75.550003,0,8185,1804,50.261002,0,0,0,0,24.686001
OR2_8020_8130,A51161,8543.9238,86.302002,19.919001,0,34.279999,0,49.558998,0,592.50201,0,133.63699,53.127998,0,1208.22,0,63.591,1.902,13.897,0,0,0,3.0220001,0,236,82.800003,0,0,0,0,0,4.6700001
OR2_8130_7900,A51161,8770.0938,88.586998,8.9359999,0,15.379,0,22.233,0,265.80801,0,59.952,23.834,0,542.03101,0,28.528,0.85299999,6.235,0,0,0,7.5549998,0,956,261,0,0,0,0,0,141.66499
OR3_7740_8271,A51161,6664.1162,67.314003,17.400999,0,29.945999,0,43.293999,0,517.59601,0,116.742,46.410999,0,1055.472,0,55.550999,1.6619999,12.141,0,0,0,90.660004,0,6632,1510,0.667,0,0,0,0,71.611
OR4_8271_8120,A51161,10914.875,110.251,16.636999,0,28.632,0,41.394001,0,494.87701,0,111.618,44.374001,0,1009.145,0,53.112999,1.589,11.608,0,0,0,30.219999,0,2797,668,74.946999,0,0,0,0,6.0050001
JU1_6880_7260,A51163,12117.997,122.404,51.994999,47.571999,258.29599,236.328,92.18,0,2975.106,515.78699,572.02002,366.64301,0,8700.7451,1692.303,497.311,15.633,48.646,0,0,0,0,0,1959,633,0,0,0,0,0,58.044998
JU2_6410_6640,A51163,4038.0891,40.789001,0,8.1289997,0,40.382,7.526,0,243.77299,41.230999,43.311001,29.933001,0,810.79498,37.715,43.991001,1.276,3.972,0,0,0,0,0,41.099998,46.299999,0,0,0,0,0,106.304
JU2_7180_7380,A51163,54328.766,548.77502,133.17999,9.8809996,661.60602,49.088001,132.44701,0,4809.7832,206.06,847.448,526.80603,0,14338.953,594.16302,689.00598,22.462,69.896,0,0,0,0,0,1541,970,0,0,0,0,0,72.723
JU3_6640_6790,A51163,39603.848,400.039,2.6930001,20.448,13.379,101.582,21.424,0,754.57098,56.785999,124.783,85.216003,0,2344.3169,71.246002,123.752,3.6329999,11.306,0,0,0,7.5549998,0,348,330,0,0,0,0,0,358.49899
JU3_6650_7300,A51163,6.2389998,6.30E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0
JU3_6790_7260,A51163,52532.383,530.63,187.384,85.960999,930.87598,427.035,253.064,0,9181.5547,402.133,1576.1379,1006.559,0,27407.682,1124.7729,1359.5389,42.917,133.548,0,0,0,15.11,0,5134,1878,85.177002,0,0,0,0,432.556
JU4_7260_7380,A51163,4357.0659,44.011002,31.02,2.2219999,154.099,11.038,30.775,0,1089.125,76.359001,199.37801,122.409,0,3158.6121,311.25601,157.634,5.2189999,16.241,0,0,0,0,0,770,210,0,0,0,0,0,198.59801
JU4_7380_7160,A51163,3019.8789,30.504,5.7360001,2.8529999,28.493,14.174,7.9520001,0,277.71301,23.417999,48.053001,31.627001,0,822.59497,73.928001,44.188999,1.349,4.196,0,0,0,14.354,0,464,102.6,147.002,0,0,0,0,128.099
JU5_7300_7510,A51163,97.241997,0.98199999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU5_7420_7160,A51163,13354.81,134.897,32.428001,1.73,161.099,8.5930004,31.624001,0,1120.4771,77.150002,191.812,125.785,0,3340.2671,225.297,175.045,5.3629999,16.689,0,0,0,0,0,1290,392,0,0,0,0,0,391.41299
PS0_6150_6160,A51165,13.507,0.13600001,23.775,0.745,23.934,0.75,2.4170001,0,40.521,2.04,7.9130001,9.8079996,0,107.953,1.73,5.7729998,8.30E-02,1.09,0,67.599998,11.16,1.36,0,41.900002,6.5300002,0,0,0,0,0,0
PS0_6160_6161,A51165,0,0,1300.1429,88.304001,1308.876,88.897003,130.981,5.8590002,2307.7041,102.316,455.58401,555.37299,0,6034.4668,176.377,319.38699,4.6719999,62.267,0,648,161,37.775002,0,2833,543,39.585999,0,0,0,0,14.678
PS2_5550_5560,A51165,637.95398,6.4439998,19.796,1.4119999,19.927999,1.4220001,2.0899999,0,33.879002,2.9330001,6.9450002,8.4829998,0,92.615997,2.2509999,4.8920002,7.10E-02,0.943,0,0,0,0.37799999,0,10.91,6.8200002,0,0,0,0,0,16.68
PS2_5560_5100,A51165,28448.475,287.358,7512.8481,585.50403,7563.3101,589.43701,791.95203,6.191,12034.8,2022.047,2679.0181,3239.3049,0,33540.188,2685.605,1841.129,27.247999,359.995,0,162,34.700001,92.170998,0,8180,2257,515.06403,0,0,0,0,206.382
PS2_6420_6360,A51165,1360.214,13.74,211.649,27.976999,213.071,28.165001,23.617001,0,382.60199,33.333,77.824997,95.848999,0,1043.192,28.711,55.924,0.80599999,10.652,0,0,0,22.665001,0,1138,208,0,0,0,0,0,34.693001
PS3_5990_6161,A51165,4351.7178,43.957001,3293.394,454.228,3315.5139,457.27899,334.677,34.674999,5922.395,582.59998,1224.447,1499.032,0,16021.604,742.37097,867.31097,12.61,166.592,0,812,174,52.884998,0,4325,857,2.891,0,0,0,0,184.58701
PS3_6161_6280,A51165,736.72601,7.4419999,352.427,103.615,354.79401,104.311,42.919998,2.026,756.659,34.923,150.175,182.41499,0,1943.175,96.806,104.367,1.534,20.272,0,181.5,32.599998,15.11,0,398,100.6,0,0,0,0,0,41.365002
PS3_6280_6230,A51165,1346.047,13.596,653.90302,21.431,658.29401,21.575001,64.477997,2.0799999,1168.876,3.345,220.65601,270.13,0,2959.408,61.514,156.286,2.2720001,30.021,0,0,0,0,0,492,160,0,0,0,0,0,138.996
PS4_5840_5240,A51165,23311.697,235.472,3175.084,433.07001,3196.4099,435.979,344.186,11.42,5170.2749,1092.637,1189.005,1443.246,0,14866.569,1273.535,824.909,12.14,160.393,0,146,25,92.170998,0,7093,1505,0,0,0,0,0,686.30798
PS4_6230_6360,A51165,1361.376,13.751,1342.23,35.858002,1351.245,36.098999,133.521,2.2980001,2308.405,83.633003,454.741,551.229,0,5988.7422,175.76199,314.448,4.6370001,61.26,0,500,69.099998,38.529999,0,1083,244,0,0,0,0,0,173.245
PS4_6360_5840,A51165,3755.658,37.936001,188.554,54.692001,189.82001,55.060001,23.575001,0.398,368.03201,54.187,79.499001,97.296997,0,1067.749,20.348,56.27,0.81800002,10.813,0,0,0,0.75599998,0,161,92.099998,0,0,0,0,0,74.946999
PS1_4830_5080,A51171,2958.271,29.882,428.83801,61.691002,256.336,36.875,134.215,2.99,930.41101,33.061001,238.397,180.636,0,2484.7109,57.469002,132.571,1.984,20.925,0,0,0,7.5549998,0,694,210,946.50897,0,0,0,0,45.368
PS2_5560_5100,A51171,17105.752,172.785,2594.4719,436.77301,1550.8311,261.07901,839.41302,8.4510002,5281.5352,672.28003,1491.915,1116.2469,0,14540.595,1168.906,800.49597,12.259,129.308,0,0,0,30.219999,0,3511,1003,141.22,0,0,0,0,190.592
PS3_5100_5080,A51171,37721.727,381.02802,4285.3818,809.55603,2561.563,483.90799,1425.0959,0,8781.2598,1225.9561,2511.5559,1876.196,0,23835.293,2569.3469,1341.5439,20.604,217.342,0,0,0,113.325,0,9270,2668,19.792999,0,0,0,0,1301.894
PS4_5080_4380,A51171,16058.4,162.20599,478.341,8.00E-03,285.92499,5.00E-03,123.604,10.194,907.646,31.902,234.241,176.151,0,2424.3501,54.703999,127.516,1.934,20.406,0,0,0,0,0,372,270,2.0020001,0,0,0,0,46.48
RL5_6070_0000,A51177,16271.661,164.36,124.302,9.6000004,341.33801,26.362,12.133,0,622.09399,0,191.87199,35.999001,0,700.70398,61.854,29.895,1.0470001,7.813,0,7696,2074,528.84998,182.87601,1912,561,340.194,0,0,0,0,258.867
RU4_6040_6030,A51177,8965.791,90.564003,12.025,53.43,33.02,146.722,5.9310002,0,297.634,6.4619999,91.450996,17.597,0,360.147,12.612,16.955,0.51200002,3.819,0,0,0,60.439999,0,330,226,0,0,0,0,0,386.74301
RU5_6030_0001,A51177,9852.0303,99.514999,78.939003,0,216.771,0,7.1529999,0,366.74399,0,110.757,21.223,0,449.552,0,19.982,0.61799997,4.606,0,373,116.1,52.130001,0,405,295,0,0,0,0,0,172.578
YM2_6120_6430,A51177,99777.32,1007.852,685.98401,101.014,1883.735,277.388,71.311996,0,3594.5049,61.793999,1112.0861,211.582,0,4389.0928,92.772003,191.32899,6.1560001,45.923,0,547,141,324.86499,0.66900003,3651,1771,755.69299,0,0,0,0,950.95697
YM3_6430_6620,A51177,6468.1152,65.334,75.393997,4.1810002,207.033,11.482,7.211,0,369.69501,0,108.809,21.393,0,423.939,29.231001,22.982,0.62199998,4.643,0,0,0,7.5549998,0,181,87.300003,0,0,0,0,0,15.568
YP2_6390_6330,A51177,25003.779,252.563,341.703,43.486,938.32703,119.415,34.903,0,1747.981,41.561001,539.83197,103.557,0,2158.905,34.702999,98.112999,3.013,22.477,0,0,0,60.439999,0,1037,505,0,0,0,0,0,4898.2271
YP3_6330_6700,A51177,27132.113,274.06201,205.106,0,563.22699,0,18.584999,0,952.896,0,282.98901,55.141998,0,1157.024,11.029,56.702999,1.604,11.968,0,0,0,30.219999,0,368,278,0,0,0,0,0,34.026001
PL0_5493_0000,A51179,3190.8311,32.230999,5.0700002,0,8.5139999,0,0.40200001,0,21.514,0,3.707,1.046,0,19.598,2.0940001,0.97899997,0.059,0.358,0,229,59,21.91,0,42.200001,36.599998,0,0,0,0,0,26.687
PL0_5494_0000,A51179,346.09399,3.4960001,9.30E-02,0,0.15700001,0,7.00E-03,0,0.396,0,7.50E-02,1.90E-02,0,0.27000001,0.12899999,0.011,0.001,7.00E-03,0,0,0,0.75599998,0,1.4400001,2.2,0,0,0,0,0,0.222
PL0_5495_0000,A51179,546.58301,5.5209999,0.71100003,0,1.194,0,5.60E-02,0,3.017,0,0.50300002,0.147,0,2.964,7.80E-02,0.154,8.00E-03,5.00E-02,0,0,0,3.4000001,0,33.799999,10.78,0,0,0,0,0,3.1140001
PL0_5730_5690,A51179,7632.9731,77.100998,76.198997,0,127.939,0,6.046,0,323.30701,0,55.639999,15.721,0,325.599,0.37599999,14.768,0.88300002,5.377,0,1329,318,90.660004,143.69099,505,187,178.558,0,0,0,0,36.695
PL0_5850_0000,A51179,11676.187,117.941,27.812,0,46.698002,0,2.207,0,118.007,0,21.93,5.7379999,0,118.981,0,3.7690001,0.322,1.963,0,3551,755,219.095,0,881,308,0,0,0,0,0,66.496002
